I (236685) mpu6050 stream: AX:-0.145 AY:0.062 AZ:-0.954 | GX:-0.244 GY:0.840 GZ:1.176 | T:25.33 C
I (236695) mpu6050 stream: AX:-0.140 AY:0.067 AZ:-0.943 | GX:-0.962 GY:0.763 GZ:1.053 | T:25.24 C
I (236705) mpu6050 stream: AX:-0.138 AY:0.059 AZ:-0.940 | GX:-1.573 GY:0.412 GZ:0.931 | T:25.33 C
I (236715) mpu6050 stream: AX:-0.128 AY:0.060 AZ:-0.944 | GX:-2.061 GY:0.015 GZ:0.504 | T:25.33 C
I (236725) mpu6050 stream: AX:-0.132 AY:0.060 AZ:-0.928 | GX:-2.550 GY:-0.611 GZ:0.489 | T:25.33 C
I (236735) mpu6050 stream: AX:-0.133 AY:0.061 AZ:-0.931 | GX:-2.504 GY:-1.344 GZ:0.153 | T:25.24 C
I (236745) mpu6050 stream: AX:-0.133 AY:0.068 AZ:-0.936 | GX:-2.687 GY:-2.198 GZ:-0.183 | T:25.24 C
I (236755) mpu6050 stream: AX:-0.148 AY:0.073 AZ:-0.956 | GX:-2.809 GY:-2.534 GZ:-0.351 | T:25.24 C
I (236765) mpu6050 stream: AX:-0.151 AY:0.076 AZ:-0.974 | GX:-3.145 GY:-1.282 GZ:-0.702 | T:25.33 C
I (236775) mpu6050 stream: AX:-0.159 AY:0.078 AZ:-0.959 | GX:-2.840 GY:0.076 GZ:-0.733 | T:25.24 C
I (236785) mpu6050 stream: AX:-0.148 AY:0.077 AZ:-0.950 | GX:-1.435 GY:0.473 GZ:-0.962 | T:25.14 C
I (236795) mpu6050 stream: AX:-0.143 AY:0.083 AZ:-0.950 | GX:-0.244 GY:0.580 GZ:-0.962 | T:25.24 C
I (236805) mpu6050 stream: AX:-0.138 AY:0.085 AZ:-0.949 | GX:0.336 GY:0.427 GZ:-1.099 | T:25.24 C
I (236815) mpu6050 stream: AX:-0.144 AY:0.079 AZ:-0.943 | GX:0.000 GY:-0.031 GZ:-1.237 | T:25.24 C
I (236825) mpu6050 stream: AX:-0.129 AY:0.083 AZ:-0.937 | GX:-0.733 GY:-0.672 GZ:-0.992 | T:25.24 C
I (236835) mpu6050 stream: AX:-0.133 AY:0.087 AZ:-0.927 | GX:-1.267 GY:-1.252 GZ:-0.916 | T:25.33 C
I (236845) mpu6050 stream: AX:-0.131 AY:0.086 AZ:-0.927 | GX:-1.023 GY:-1.878 GZ:-0.611 | T:25.24 C
I (236855) mpu6050 stream: AX:-0.133 AY:0.084 AZ:-0.932 | GX:-0.321 GY:-2.992 GZ:-0.336 | T:25.24 C
I (236865) mpu6050 stream: AX:-0.140 AY:0.081 AZ:-0.943 | GX:0.015 GY:-3.634 GZ:0.031 | T:25.14 C
I (236875) mpu6050 stream: AX:-0.148 AY:0.087 AZ:-0.951 | GX:-0.183 GY:-3.206 GZ:0.458 | T:25.24 C
I (236885) mpu6050 stream: AX:-0.156 AY:0.083 AZ:-0.958 | GX:-0.489 GY:-2.809 GZ:0.748 | T:25.24 C
I (236895) mpu6050 stream: AX:-0.151 AY:0.081 AZ:-0.965 | GX:-0.870 GY:-2.122 GZ:0.931 | T:25.24 C
I (236905) mpu6050 stream: AX:-0.151 AY:0.081 AZ:-0.953 | GX:-0.702 GY:-1.435 GZ:1.008 | T:25.24 C
I (236915) mpu6050 stream: AX:-0.150 AY:0.071 AZ:-0.942 | GX:-0.489 GY:-1.084 GZ:1.221 | T:25.14 C
I (236925) mpu6050 stream: AX:-0.147 AY:0.068 AZ:-0.944 | GX:-0.931 GY:-1.191 GZ:0.870 | T:25.24 C
I (236935) mpu6050 stream: AX:-0.149 AY:0.073 AZ:-0.948 | GX:-1.603 GY:-1.206 GZ:0.809 | T:25.24 C
I (236945) mpu6050 stream: AX:-0.143 AY:0.080 AZ:-0.952 | GX:-2.290 GY:-1.878 GZ:0.855 | T:25.24 C
I (236955) mpu6050 stream: AX:-0.150 AY:0.087 AZ:-0.959 | GX:-2.275 GY:-1.649 GZ:0.962 | T:25.24 C
I (236965) mpu6050 stream: AX:-0.163 AY:0.094 AZ:-0.959 | GX:-1.237 GY:-1.634 GZ:1.191 | T:25.24 C
I (236975) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.965 | GX:0.000 GY:-0.992 GZ:1.191 | T:25.24 C
I (236985) mpu6050 stream: AX:-0.166 AY:0.089 AZ:-0.965 | GX:1.084 GY:-0.305 GZ:1.496 | T:25.33 C
I (236995) mpu6050 stream: AX:-0.153 AY:0.084 AZ:-0.955 | GX:1.115 GY:0.061 GZ:1.603 | T:25.19 C
I (237005) mpu6050 stream: AX:-0.149 AY:0.079 AZ:-0.939 | GX:0.504 GY:0.550 GZ:1.634 | T:25.19 C
I (237015) mpu6050 stream: AX:-0.150 AY:0.075 AZ:-0.942 | GX:-0.351 GY:0.382 GZ:1.435 | T:25.28 C
I (237025) mpu6050 stream: AX:-0.146 AY:0.068 AZ:-0.937 | GX:-0.840 GY:-0.168 GZ:1.450 | T:25.28 C
I (237035) mpu6050 stream: AX:-0.144 AY:0.077 AZ:-0.937 | GX:-0.901 GY:-0.870 GZ:1.527 | T:25.19 C
I (237045) mpu6050 stream: AX:-0.151 AY:0.080 AZ:-0.930 | GX:-0.427 GY:-1.389 GZ:1.664 | T:25.19 C
I (237055) mpu6050 stream: AX:-0.146 AY:0.077 AZ:-0.923 | GX:-0.137 GY:-1.679 GZ:1.664 | T:25.19 C
I (237065) mpu6050 stream: AX:-0.146 AY:0.074 AZ:-0.942 | GX:-0.015 GY:-2.366 GZ:1.634 | T:25.19 C
I (237075) mpu6050 stream: AX:-0.158 AY:0.077 AZ:-0.943 | GX:-0.763 GY:-2.855 GZ:1.389 | T:25.28 C
I (237085) mpu6050 stream: AX:-0.175 AY:0.077 AZ:-0.954 | GX:-1.450 GY:-2.122 GZ:1.634 | T:25.19 C
I (237095) mpu6050 stream: AX:-0.168 AY:0.080 AZ:-0.960 | GX:-1.527 GY:-0.962 GZ:1.328 | T:25.19 C
I (237105) mpu6050 stream: AX:-0.165 AY:0.074 AZ:-0.963 | GX:-1.313 GY:-0.015 GZ:1.435 | T:25.19 C
I (237115) mpu6050 stream: AX:-0.160 AY:0.076 AZ:-0.950 | GX:-0.718 GY:0.458 GZ:1.282 | T:25.19 C
I (237125) mpu6050 stream: AX:-0.161 AY:0.082 AZ:-0.945 | GX:-0.305 GY:0.550 GZ:1.252 | T:25.28 C
I (237135) mpu6050 stream: AX:-0.152 AY:0.078 AZ:-0.944 | GX:-0.153 GY:0.885 GZ:0.931 | T:25.19 C
I (237145) mpu6050 stream: AX:-0.148 AY:0.081 AZ:-0.942 | GX:-0.336 GY:0.458 GZ:0.794 | T:25.28 C
I (237155) mpu6050 stream: AX:-0.146 AY:0.068 AZ:-0.943 | GX:-0.809 GY:-0.107 GZ:0.870 | T:25.28 C
I (237165) mpu6050 stream: AX:-0.146 AY:0.077 AZ:-0.936 | GX:-1.237 GY:-0.244 GZ:0.595 | T:25.19 C
I (237175) mpu6050 stream: AX:-0.144 AY:0.074 AZ:-0.936 | GX:-1.542 GY:-0.641 GZ:0.275 | T:25.28 C
I (237185) mpu6050 stream: AX:-0.143 AY:0.080 AZ:-0.931 | GX:-1.603 GY:-1.221 GZ:0.183 | T:25.28 C
I (237195) mpu6050 stream: AX:-0.146 AY:0.081 AZ:-0.944 | GX:-1.069 GY:-1.863 GZ:0.198 | T:25.28 C
I (237205) mpu6050 stream: AX:-0.148 AY:0.087 AZ:-0.949 | GX:-0.656 GY:-2.107 GZ:0.397 | T:25.19 C
