I (341015) mpu6050 stream: AX:-0.111 AY:0.110 AZ:-0.950 | GX:-0.397 GY:-0.305 GZ:0.947 | T:25.24 C
I (341025) mpu6050 stream: AX:-0.109 AY:0.109 AZ:-0.957 | GX:-0.519 GY:0.031 GZ:0.824 | T:25.24 C
I (341035) mpu6050 stream: AX:-0.105 AY:0.108 AZ:-0.955 | GX:-0.534 GY:-0.183 GZ:0.840 | T:25.24 C
I (341045) mpu6050 stream: AX:-0.111 AY:0.112 AZ:-0.949 | GX:-0.351 GY:-0.137 GZ:0.885 | T:25.24 C
I (341055) mpu6050 stream: AX:-0.109 AY:0.103 AZ:-0.941 | GX:-0.122 GY:-0.198 GZ:1.038 | T:25.24 C
I (341065) mpu6050 stream: AX:-0.109 AY:0.097 AZ:-0.952 | GX:-0.015 GY:-0.168 GZ:0.885 | T:25.24 C
I (341075) mpu6050 stream: AX:-0.114 AY:0.104 AZ:-0.946 | GX:-0.031 GY:0.168 GZ:0.855 | T:25.14 C
I (341085) mpu6050 stream: AX:-0.106 AY:0.102 AZ:-0.949 | GX:-0.153 GY:0.168 GZ:0.718 | T:25.24 C
I (341095) mpu6050 stream: AX:-0.106 AY:0.107 AZ:-0.950 | GX:-0.489 GY:0.031 GZ:0.748 | T:25.24 C
I (341105) mpu6050 stream: AX:-0.105 AY:0.102 AZ:-0.954 | GX:-1.099 GY:0.153 GZ:0.748 | T:25.24 C
I (341115) mpu6050 stream: AX:-0.106 AY:0.107 AZ:-0.952 | GX:-1.115 GY:0.473 GZ:0.305 | T:25.24 C
I (341125) mpu6050 stream: AX:-0.100 AY:0.115 AZ:-0.938 | GX:-0.427 GY:0.183 GZ:0.397 | T:25.24 C
I (341135) mpu6050 stream: AX:-0.098 AY:0.113 AZ:-0.933 | GX:0.931 GY:-0.718 GZ:0.183 | T:25.14 C
I (341145) mpu6050 stream: AX:-0.100 AY:0.104 AZ:-0.936 | GX:1.908 GY:-1.496 GZ:0.229 | T:25.24 C
I (341155) mpu6050 stream: AX:-0.115 AY:0.100 AZ:-0.946 | GX:1.344 GY:-1.863 GZ:0.229 | T:25.14 C
I (341165) mpu6050 stream: AX:-0.114 AY:0.100 AZ:-0.947 | GX:0.382 GY:-1.756 GZ:0.214 | T:25.24 C
I (341175) mpu6050 stream: AX:-0.119 AY:0.100 AZ:-0.951 | GX:-0.641 GY:-1.710 GZ:0.183 | T:25.33 C
I (341185) mpu6050 stream: AX:-0.118 AY:0.101 AZ:-0.946 | GX:-0.840 GY:-1.893 GZ:-0.046 | T:25.24 C
I (341195) mpu6050 stream: AX:-0.113 AY:0.106 AZ:-0.954 | GX:-0.641 GY:-1.725 GZ:0.031 | T:25.24 C
I (341205) mpu6050 stream: AX:-0.119 AY:0.107 AZ:-0.962 | GX:-0.168 GY:-1.298 GZ:-0.031 | T:25.24 C
I (341215) mpu6050 stream: AX:-0.120 AY:0.108 AZ:-0.957 | GX:0.229 GY:-0.855 GZ:0.122 | T:25.33 C
I (341225) mpu6050 stream: AX:-0.115 AY:0.111 AZ:-0.950 | GX:0.183 GY:-0.611 GZ:0.244 | T:25.14 C
I (341235) mpu6050 stream: AX:-0.119 AY:0.102 AZ:-0.945 | GX:0.076 GY:-0.580 GZ:0.351 | T:25.24 C
I (341245) mpu6050 stream: AX:-0.114 AY:0.103 AZ:-0.950 | GX:0.061 GY:-0.351 GZ:0.336 | T:25.24 C
I (341255) mpu6050 stream: AX:-0.119 AY:0.095 AZ:-0.947 | GX:0.107 GY:0.000 GZ:0.321 | T:25.24 C
I (341265) mpu6050 stream: AX:-0.124 AY:0.104 AZ:-0.953 | GX:0.015 GY:0.137 GZ:0.351 | T:25.24 C
I (341275) mpu6050 stream: AX:-0.116 AY:0.103 AZ:-0.951 | GX:-0.229 GY:0.458 GZ:0.382 | T:25.24 C
I (341285) mpu6050 stream: AX:-0.108 AY:0.103 AZ:-0.956 | GX:-0.336 GY:0.305 GZ:0.198 | T:25.24 C
I (341295) mpu6050 stream: AX:-0.119 AY:0.107 AZ:-0.959 | GX:-0.382 GY:0.244 GZ:0.198 | T:25.24 C
I (341305) mpu6050 stream: AX:-0.118 AY:0.107 AZ:-0.960 | GX:-0.214 GY:0.198 GZ:0.031 | T:25.33 C
I (341315) mpu6050 stream: AX:-0.117 AY:0.105 AZ:-0.950 | GX:-0.168 GY:-0.076 GZ:0.092 | T:25.33 C
I (341325) mpu6050 stream: AX:-0.109 AY:0.100 AZ:-0.952 | GX:0.015 GY:-0.290 GZ:0.382 | T:25.33 C
I (341335) mpu6050 stream: AX:-0.118 AY:0.110 AZ:-0.958 | GX:-0.015 GY:-0.107 GZ:0.137 | T:25.24 C
I (341345) mpu6050 stream: AX:-0.117 AY:0.098 AZ:-0.966 | GX:-0.137 GY:0.076 GZ:0.168 | T:25.24 C
I (341355) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.956 | GX:-0.427 GY:0.092 GZ:0.122 | T:25.24 C
I (341365) mpu6050 stream: AX:-0.111 AY:0.101 AZ:-0.954 | GX:-0.427 GY:0.092 GZ:0.244 | T:25.24 C
I (341375) mpu6050 stream: AX:-0.114 AY:0.108 AZ:-0.952 | GX:-0.092 GY:-0.275 GZ:0.137 | T:25.14 C
I (341385) mpu6050 stream: AX:-0.110 AY:0.113 AZ:-0.949 | GX:0.565 GY:-0.290 GZ:0.397 | T:25.33 C
I (341395) mpu6050 stream: AX:-0.116 AY:0.107 AZ:-0.959 | GX:0.855 GY:0.000 GZ:0.656 | T:25.24 C
I (341405) mpu6050 stream: AX:-0.121 AY:0.099 AZ:-0.949 | GX:1.038 GY:0.107 GZ:0.870 | T:25.14 C
I (341415) mpu6050 stream: AX:-0.115 AY:0.100 AZ:-0.962 | GX:0.656 GY:-0.076 GZ:0.748 | T:25.24 C
I (341425) mpu6050 stream: AX:-0.111 AY:0.101 AZ:-0.950 | GX:-0.092 GY:0.107 GZ:0.748 | T:25.33 C
I (341435) mpu6050 stream: AX:-0.119 AY:0.105 AZ:-0.952 | GX:-0.718 GY:0.153 GZ:0.840 | T:25.14 C
I (341445) mpu6050 stream: AX:-0.108 AY:0.105 AZ:-0.953 | GX:-0.504 GY:0.031 GZ:0.611 | T:25.24 C
I (341455) mpu6050 stream: AX:-0.113 AY:0.101 AZ:-0.948 | GX:-0.321 GY:0.198 GZ:0.779 | T:25.14 C
I (341465) mpu6050 stream: AX:-0.113 AY:0.099 AZ:-0.953 | GX:0.198 GY:-0.198 GZ:0.901 | T:25.14 C
I (341475) mpu6050 stream: AX:-0.117 AY:0.106 AZ:-0.950 | GX:0.779 GY:-0.015 GZ:0.992 | T:25.24 C
I (341485) mpu6050 stream: AX:-0.113 AY:0.102 AZ:-0.950 | GX:1.053 GY:-0.244 GZ:1.145 | T:25.24 C
I (341495) mpu6050 stream: AX:-0.117 AY:0.094 AZ:-0.957 | GX:0.962 GY:-0.366 GZ:0.977 | T:25.24 C
I (341505) mpu6050 stream: AX:-0.114 AY:0.097 AZ:-0.953 | GX:0.824 GY:-0.580 GZ:1.053 | T:25.24 C
I (341515) mpu6050 stream: AX:-0.117 AY:0.095 AZ:-0.965 | GX:0.137 GY:-0.595 GZ:0.977 | T:25.14 C
I (341525) mpu6050 stream: AX:-0.117 AY:0.096 AZ:-0.954 | GX:0.015 GY:-0.153 GZ:1.145 | T:25.14 C
I (341535) mpu6050 stream: AX:-0.115 AY:0.092 AZ:-0.951 | GX:-0.153 GY:-0.137 GZ:1.038 | T:25.14 C
I (341545) mpu6050 stream: AX:-0.116 AY:0.098 AZ:-0.960 | GX:-0.031 GY:-0.214 GZ:1.145 | T:25.14 C
I (341555) mpu6050 stream: AX:-0.123 AY:0.097 AZ:-0.957 | GX:-0.397 GY:0.290 GZ:1.038 | T:25.24 C
I (341565) mpu6050 stream: AX:-0.123 AY:0.096 AZ:-0.965 | GX:-0.794 GY:0.275 GZ:0.870 | T:25.24 C
I (341575) mpu6050 stream: AX:-0.117 AY:0.091 AZ:-0.958 | GX:-0.977 GY:0.534 GZ:0.702 | T:25.24 C
I (341585) mpu6050 stream: AX:-0.115 AY:0.094 AZ:-0.958 | GX:-0.901 GY:0.931 GZ:0.275 | T:25.24 C
I (341595) mpu6050 stream: AX:-0.114 AY:0.094 AZ:-0.957 | GX:-1.099 GY:0.931 GZ:0.031 | T:25.24 C
I (341605) mpu6050 stream: AX:-0.121 AY:0.099 AZ:-0.958 | GX:-1.023 GY:0.992 GZ:-0.214 | T:25.24 C
I (341615) mpu6050 stream: AX:-0.122 AY:0.106 AZ:-0.951 | GX:-0.779 GY:1.252 GZ:-0.260 | T:25.24 C
I (341625) mpu6050 stream: AX:-0.116 AY:0.100 AZ:-0.952 | GX:-0.901 GY:1.145 GZ:-0.489 | T:25.14 C
I (341635) mpu6050 stream: AX:-0.115 AY:0.101 AZ:-0.952 | GX:-0.794 GY:1.099 GZ:-0.656 | T:25.24 C
I (341645) mpu6050 stream: AX:-0.113 AY:0.102 AZ:-0.947 | GX:-0.901 GY:0.947 GZ:-0.977 | T:25.24 C
