I (188615) mpu6050 stream: AX:-0.057 AY:0.072 AZ:-0.949 | GX:0.031 GY:-0.672 GZ:1.221 | T:25.19 C
I (188625) mpu6050 stream: AX:-0.057 AY:0.076 AZ:-0.957 | GX:-0.046 GY:-0.840 GZ:1.267 | T:25.19 C
I (188635) mpu6050 stream: AX:-0.055 AY:0.070 AZ:-0.963 | GX:-0.305 GY:-0.885 GZ:1.267 | T:25.19 C
I (188645) mpu6050 stream: AX:-0.056 AY:0.070 AZ:-0.956 | GX:-0.382 GY:-1.069 GZ:1.420 | T:25.19 C
I (188655) mpu6050 stream: AX:-0.056 AY:0.071 AZ:-0.948 | GX:-0.382 GY:-1.221 GZ:1.298 | T:25.19 C
I (188665) mpu6050 stream: AX:-0.053 AY:0.066 AZ:-0.941 | GX:-0.519 GY:-1.389 GZ:1.038 | T:25.19 C
I (188675) mpu6050 stream: AX:-0.058 AY:0.073 AZ:-0.952 | GX:-0.458 GY:-1.542 GZ:0.977 | T:25.19 C
I (188685) mpu6050 stream: AX:-0.070 AY:0.073 AZ:-0.963 | GX:-0.504 GY:-1.328 GZ:0.794 | T:25.09 C
I (188695) mpu6050 stream: AX:-0.064 AY:0.078 AZ:-0.970 | GX:-0.489 GY:-0.947 GZ:0.824 | T:25.19 C
I (188705) mpu6050 stream: AX:-0.062 AY:0.078 AZ:-0.968 | GX:-0.366 GY:-0.595 GZ:0.656 | T:25.19 C
I (188715) mpu6050 stream: AX:-0.070 AY:0.078 AZ:-0.962 | GX:-0.290 GY:-0.641 GZ:0.855 | T:25.19 C
I (188725) mpu6050 stream: AX:-0.068 AY:0.073 AZ:-0.957 | GX:-0.305 GY:-0.519 GZ:0.748 | T:25.19 C
I (188735) mpu6050 stream: AX:-0.060 AY:0.073 AZ:-0.965 | GX:-0.626 GY:-0.122 GZ:0.962 | T:25.19 C
I (188745) mpu6050 stream: AX:-0.060 AY:0.070 AZ:-0.960 | GX:-0.947 GY:-0.137 GZ:0.809 | T:25.09 C
I (188755) mpu6050 stream: AX:-0.052 AY:0.072 AZ:-0.951 | GX:-1.053 GY:-0.458 GZ:0.458 | T:25.19 C
I (188765) mpu6050 stream: AX:-0.061 AY:0.074 AZ:-0.947 | GX:-1.099 GY:-0.656 GZ:0.504 | T:25.19 C
I (188775) mpu6050 stream: AX:-0.062 AY:0.080 AZ:-0.957 | GX:-0.870 GY:-0.672 GZ:0.427 | T:25.28 C
I (188785) mpu6050 stream: AX:-0.065 AY:0.084 AZ:-0.958 | GX:-1.008 GY:-0.763 GZ:0.198 | T:25.19 C
I (188795) mpu6050 stream: AX:-0.062 AY:0.083 AZ:-0.959 | GX:-0.733 GY:-0.702 GZ:0.107 | T:25.19 C
I (188805) mpu6050 stream: AX:-0.074 AY:0.089 AZ:-0.956 | GX:-0.427 GY:-0.519 GZ:0.321 | T:25.19 C
I (188815) mpu6050 stream: AX:-0.062 AY:0.087 AZ:-0.960 | GX:0.015 GY:-0.366 GZ:0.427 | T:25.28 C
I (188825) mpu6050 stream: AX:-0.060 AY:0.082 AZ:-0.955 | GX:0.351 GY:-0.672 GZ:0.687 | T:25.09 C
I (188835) mpu6050 stream: AX:-0.054 AY:0.080 AZ:-0.955 | GX:0.351 GY:-0.565 GZ:0.672 | T:25.28 C
I (188845) mpu6050 stream: AX:-0.066 AY:0.075 AZ:-0.959 | GX:0.229 GY:-1.053 GZ:0.672 | T:25.28 C
I (188855) mpu6050 stream: AX:-0.060 AY:0.075 AZ:-0.952 | GX:0.076 GY:-1.130 GZ:0.611 | T:25.19 C
I (188865) mpu6050 stream: AX:-0.057 AY:0.079 AZ:-0.946 | GX:-0.382 GY:-1.374 GZ:0.626 | T:25.19 C
I (188875) mpu6050 stream: AX:-0.060 AY:0.074 AZ:-0.959 | GX:-0.458 GY:-1.573 GZ:0.626 | T:25.19 C
I (188885) mpu6050 stream: AX:-0.065 AY:0.076 AZ:-0.952 | GX:-0.244 GY:-1.695 GZ:0.565 | T:25.19 C
I (188895) mpu6050 stream: AX:-0.066 AY:0.076 AZ:-0.956 | GX:-0.107 GY:-1.817 GZ:0.565 | T:25.19 C
I (188905) mpu6050 stream: AX:-0.072 AY:0.078 AZ:-0.968 | GX:-0.061 GY:-1.603 GZ:0.809 | T:25.19 C
