I (290895) mpu6050 stream: AX:-0.149 AY:0.084 AZ:-0.961 | GX:-1.405 GY:0.366 GZ:0.656 | T:25.24 C
I (290905) mpu6050 stream: AX:-0.153 AY:0.097 AZ:-0.954 | GX:-1.847 GY:0.382 GZ:0.565 | T:25.33 C
I (290915) mpu6050 stream: AX:-0.142 AY:0.092 AZ:-0.941 | GX:-1.053 GY:0.214 GZ:0.626 | T:25.24 C
I (290925) mpu6050 stream: AX:-0.147 AY:0.094 AZ:-0.936 | GX:0.473 GY:-0.702 GZ:0.534 | T:25.33 C
I (290935) mpu6050 stream: AX:-0.146 AY:0.091 AZ:-0.928 | GX:1.466 GY:-1.130 GZ:0.641 | T:25.24 C
I (290945) mpu6050 stream: AX:-0.156 AY:0.085 AZ:-0.945 | GX:1.466 GY:-1.557 GZ:0.901 | T:25.24 C
I (290955) mpu6050 stream: AX:-0.157 AY:0.084 AZ:-0.952 | GX:0.427 GY:-1.252 GZ:1.008 | T:25.33 C
I (290965) mpu6050 stream: AX:-0.160 AY:0.086 AZ:-0.949 | GX:-0.794 GY:-0.962 GZ:0.947 | T:25.24 C
I (290975) mpu6050 stream: AX:-0.161 AY:0.092 AZ:-0.948 | GX:-1.435 GY:-0.702 GZ:1.145 | T:25.24 C
I (290985) mpu6050 stream: AX:-0.164 AY:0.095 AZ:-0.943 | GX:-1.282 GY:-0.565 GZ:1.115 | T:25.24 C
I (290995) mpu6050 stream: AX:-0.159 AY:0.090 AZ:-0.942 | GX:-0.656 GY:-0.656 GZ:1.176 | T:25.24 C
I (291005) mpu6050 stream: AX:-0.157 AY:0.096 AZ:-0.950 | GX:0.000 GY:-0.168 GZ:1.496 | T:25.33 C
I (291015) mpu6050 stream: AX:-0.155 AY:0.096 AZ:-0.944 | GX:0.443 GY:-0.305 GZ:1.664 | T:25.24 C
I (291025) mpu6050 stream: AX:-0.158 AY:0.088 AZ:-0.936 | GX:0.290 GY:-0.595 GZ:1.573 | T:25.33 C
I (291035) mpu6050 stream: AX:-0.149 AY:0.087 AZ:-0.936 | GX:0.244 GY:-0.626 GZ:1.511 | T:25.24 C
I (291045) mpu6050 stream: AX:-0.159 AY:0.085 AZ:-0.939 | GX:-0.107 GY:-1.145 GZ:1.481 | T:25.24 C
I (291055) mpu6050 stream: AX:-0.159 AY:0.086 AZ:-0.952 | GX:-0.214 GY:-1.130 GZ:1.237 | T:25.24 C
I (291065) mpu6050 stream: AX:-0.158 AY:0.083 AZ:-0.952 | GX:-0.656 GY:-0.672 GZ:1.130 | T:25.14 C
I (291075) mpu6050 stream: AX:-0.162 AY:0.085 AZ:-0.944 | GX:-0.916 GY:-0.611 GZ:0.962 | T:25.33 C
I (291085) mpu6050 stream: AX:-0.159 AY:0.089 AZ:-0.955 | GX:-0.763 GY:-0.427 GZ:0.916 | T:25.33 C
I (291095) mpu6050 stream: AX:-0.163 AY:0.095 AZ:-0.946 | GX:-0.550 GY:-0.168 GZ:0.427 | T:25.24 C
I (291105) mpu6050 stream: AX:-0.162 AY:0.092 AZ:-0.953 | GX:-0.443 GY:-0.168 GZ:0.397 | T:25.24 C
I (291115) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.951 | GX:-0.168 GY:0.107 GZ:0.076 | T:25.19 C
I (291125) mpu6050 stream: AX:-0.161 AY:0.086 AZ:-0.945 | GX:0.061 GY:-0.015 GZ:0.321 | T:25.28 C
I (291135) mpu6050 stream: AX:-0.160 AY:0.087 AZ:-0.955 | GX:-0.015 GY:0.275 GZ:0.153 | T:25.28 C
I (291145) mpu6050 stream: AX:-0.162 AY:0.091 AZ:-0.948 | GX:-0.656 GY:0.351 GZ:0.229 | T:25.28 C
I (291155) mpu6050 stream: AX:-0.167 AY:0.095 AZ:-0.959 | GX:-0.901 GY:0.504 GZ:0.137 | T:25.19 C
I (291165) mpu6050 stream: AX:-0.159 AY:0.098 AZ:-0.946 | GX:-0.656 GY:0.565 GZ:0.260 | T:25.28 C
I (291175) mpu6050 stream: AX:-0.155 AY:0.095 AZ:-0.951 | GX:-0.015 GY:0.427 GZ:0.427 | T:25.28 C
I (291185) mpu6050 stream: AX:-0.167 AY:0.099 AZ:-0.949 | GX:0.656 GY:0.550 GZ:0.672 | T:25.19 C
I (291195) mpu6050 stream: AX:-0.167 AY:0.099 AZ:-0.955 | GX:1.191 GY:1.252 GZ:1.038 | T:25.28 C
I (291205) mpu6050 stream: AX:-0.162 AY:0.093 AZ:-0.955 | GX:1.237 GY:1.466 GZ:1.176 | T:25.28 C
I (291215) mpu6050 stream: AX:-0.159 AY:0.087 AZ:-0.952 | GX:0.779 GY:1.420 GZ:1.252 | T:25.28 C
I (291225) mpu6050 stream: AX:-0.156 AY:0.087 AZ:-0.941 | GX:0.092 GY:1.557 GZ:1.160 | T:25.28 C
I (291235) mpu6050 stream: AX:-0.150 AY:0.086 AZ:-0.933 | GX:-0.153 GY:1.191 GZ:1.298 | T:25.28 C
I (291245) mpu6050 stream: AX:-0.152 AY:0.089 AZ:-0.932 | GX:-0.244 GY:1.023 GZ:1.160 | T:25.28 C
I (291255) mpu6050 stream: AX:-0.143 AY:0.093 AZ:-0.927 | GX:-0.015 GY:0.473 GZ:1.374 | T:25.28 C
I (291265) mpu6050 stream: AX:-0.146 AY:0.089 AZ:-0.933 | GX:0.519 GY:-0.015 GZ:1.405 | T:25.28 C
I (291275) mpu6050 stream: AX:-0.154 AY:0.087 AZ:-0.942 | GX:0.901 GY:-0.031 GZ:1.527 | T:25.28 C
I (291285) mpu6050 stream: AX:-0.159 AY:0.089 AZ:-0.955 | GX:0.977 GY:-0.198 GZ:1.481 | T:25.28 C
I (291295) mpu6050 stream: AX:-0.158 AY:0.088 AZ:-0.951 | GX:0.916 GY:0.031 GZ:1.420 | T:25.28 C
I (291305) mpu6050 stream: AX:-0.157 AY:0.088 AZ:-0.956 | GX:0.748 GY:0.122 GZ:1.435 | T:25.28 C
I (291315) mpu6050 stream: AX:-0.164 AY:0.093 AZ:-0.955 | GX:0.656 GY:0.550 GZ:1.466 | T:25.19 C
I (291325) mpu6050 stream: AX:-0.159 AY:0.084 AZ:-0.949 | GX:0.534 GY:0.702 GZ:1.756 | T:25.28 C
I (291335) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.948 | GX:0.733 GY:0.824 GZ:1.695 | T:25.19 C
I (291345) mpu6050 stream: AX:-0.158 AY:0.086 AZ:-0.947 | GX:1.008 GY:0.611 GZ:1.695 | T:25.28 C
I (291355) mpu6050 stream: AX:-0.159 AY:0.083 AZ:-0.950 | GX:0.824 GY:0.565 GZ:1.939 | T:25.28 C
