I (657725) mpu6050 stream: AX:0.038 AY:0.124 AZ:-0.950 | GX:0.641 GY:-1.817 GZ:0.824 | T:24.95 C
I (657735) mpu6050 stream: AX:0.038 AY:0.122 AZ:-0.959 | GX:-0.443 GY:-2.198 GZ:0.718 | T:24.95 C
I (657745) mpu6050 stream: AX:0.033 AY:0.129 AZ:-0.950 | GX:-1.221 GY:-2.855 GZ:0.672 | T:24.95 C
I (657755) mpu6050 stream: AX:0.034 AY:0.133 AZ:-0.955 | GX:-1.344 GY:-2.687 GZ:0.565 | T:24.86 C
I (657765) mpu6050 stream: AX:0.030 AY:0.132 AZ:-0.953 | GX:-0.458 GY:-2.656 GZ:0.916 | T:24.86 C
I (657775) mpu6050 stream: AX:0.029 AY:0.132 AZ:-0.960 | GX:0.137 GY:-2.550 GZ:0.885 | T:24.95 C
I (657785) mpu6050 stream: AX:0.031 AY:0.127 AZ:-0.959 | GX:0.534 GY:-2.366 GZ:1.191 | T:24.95 C
I (657795) mpu6050 stream: AX:0.023 AY:0.125 AZ:-0.964 | GX:0.733 GY:-2.137 GZ:1.023 | T:24.86 C
I (657805) mpu6050 stream: AX:0.028 AY:0.125 AZ:-0.956 | GX:0.382 GY:-2.153 GZ:1.160 | T:24.95 C
I (657815) mpu6050 stream: AX:0.024 AY:0.131 AZ:-0.965 | GX:-0.137 GY:-1.817 GZ:0.870 | T:25.05 C
I (657825) mpu6050 stream: AX:0.025 AY:0.121 AZ:-0.953 | GX:-0.336 GY:-1.359 GZ:0.885 | T:24.95 C
I (657835) mpu6050 stream: AX:0.027 AY:0.135 AZ:-0.960 | GX:-0.687 GY:-1.084 GZ:0.641 | T:25.05 C
I (657845) mpu6050 stream: AX:0.025 AY:0.127 AZ:-0.959 | GX:-0.427 GY:-1.115 GZ:0.550 | T:24.86 C
I (657855) mpu6050 stream: AX:0.025 AY:0.131 AZ:-0.961 | GX:0.031 GY:-1.145 GZ:0.412 | T:24.95 C
I (657865) mpu6050 stream: AX:0.031 AY:0.135 AZ:-0.956 | GX:0.275 GY:-1.206 GZ:0.427 | T:24.95 C
I (657875) mpu6050 stream: AX:0.030 AY:0.124 AZ:-0.965 | GX:0.397 GY:-1.130 GZ:0.260 | T:24.95 C
I (657885) mpu6050 stream: AX:0.025 AY:0.126 AZ:-0.969 | GX:0.031 GY:-0.397 GZ:0.137 | T:24.95 C
I (657895) mpu6050 stream: AX:0.029 AY:0.126 AZ:-0.967 | GX:-0.366 GY:-0.305 GZ:0.153 | T:24.95 C
I (657905) mpu6050 stream: AX:0.021 AY:0.126 AZ:-0.954 | GX:-0.565 GY:-0.092 GZ:0.046 | T:25.05 C
I (657915) mpu6050 stream: AX:0.028 AY:0.135 AZ:-0.952 | GX:-0.260 GY:-0.427 GZ:0.076 | T:24.95 C
I (657925) mpu6050 stream: AX:0.030 AY:0.135 AZ:-0.957 | GX:0.153 GY:-0.382 GZ:0.366 | T:24.95 C
I (657935) mpu6050 stream: AX:0.028 AY:0.138 AZ:-0.959 | GX:0.763 GY:-0.183 GZ:0.626 | T:24.91 C
I (657945) mpu6050 stream: AX:0.020 AY:0.127 AZ:-0.963 | GX:1.038 GY:-0.122 GZ:0.824 | T:25.09 C
I (657955) mpu6050 stream: AX:0.026 AY:0.130 AZ:-0.960 | GX:0.992 GY:0.000 GZ:1.038 | T:25.00 C
I (657965) mpu6050 stream: AX:0.025 AY:0.122 AZ:-0.958 | GX:0.595 GY:0.443 GZ:1.038 | T:24.91 C
I (657975) mpu6050 stream: AX:0.034 AY:0.124 AZ:-0.955 | GX:0.168 GY:0.198 GZ:1.008 | T:24.91 C
I (657985) mpu6050 stream: AX:0.029 AY:0.125 AZ:-0.947 | GX:0.122 GY:0.122 GZ:0.977 | T:25.09 C
I (657995) mpu6050 stream: AX:0.027 AY:0.128 AZ:-0.950 | GX:0.015 GY:0.015 GZ:1.206 | T:25.00 C
I (658005) mpu6050 stream: AX:0.032 AY:0.124 AZ:-0.954 | GX:0.137 GY:-0.031 GZ:1.145 | T:25.00 C
I (658015) mpu6050 stream: AX:0.034 AY:0.126 AZ:-0.953 | GX:0.382 GY:0.061 GZ:1.267 | T:24.91 C
I (658025) mpu6050 stream: AX:0.030 AY:0.126 AZ:-0.957 | GX:0.687 GY:-0.015 GZ:1.084 | T:25.00 C
I (658035) mpu6050 stream: AX:0.027 AY:0.121 AZ:-0.960 | GX:0.702 GY:-0.092 GZ:1.099 | T:24.91 C
I (658045) mpu6050 stream: AX:0.035 AY:0.124 AZ:-0.954 | GX:0.718 GY:0.107 GZ:1.221 | T:25.00 C
I (658055) mpu6050 stream: AX:0.028 AY:0.127 AZ:-0.957 | GX:0.702 GY:-0.168 GZ:0.992 | T:25.00 C
I (658065) mpu6050 stream: AX:0.033 AY:0.124 AZ:-0.949 | GX:0.824 GY:-0.458 GZ:0.992 | T:24.91 C
I (658075) mpu6050 stream: AX:0.027 AY:0.126 AZ:-0.947 | GX:0.641 GY:-0.641 GZ:1.023 | T:25.00 C
I (658085) mpu6050 stream: AX:0.029 AY:0.129 AZ:-0.956 | GX:0.443 GY:-0.748 GZ:1.176 | T:25.00 C
I (658095) mpu6050 stream: AX:0.028 AY:0.124 AZ:-0.951 | GX:0.580 GY:-0.794 GZ:1.115 | T:25.00 C
I (658105) mpu6050 stream: AX:0.035 AY:0.129 AZ:-0.955 | GX:0.748 GY:-0.931 GZ:1.084 | T:25.00 C
I (658115) mpu6050 stream: AX:0.016 AY:0.123 AZ:-0.954 | GX:0.870 GY:-1.115 GZ:1.221 | T:25.00 C
I (658125) mpu6050 stream: AX:0.028 AY:0.127 AZ:-0.954 | GX:0.840 GY:-0.794 GZ:1.557 | T:25.00 C
I (658135) mpu6050 stream: AX:0.031 AY:0.125 AZ:-0.963 | GX:0.916 GY:-0.550 GZ:1.481 | T:25.00 C
I (658145) mpu6050 stream: AX:0.027 AY:0.122 AZ:-0.961 | GX:0.748 GY:-0.870 GZ:1.435 | T:25.00 C
I (658155) mpu6050 stream: AX:0.031 AY:0.119 AZ:-0.959 | GX:0.427 GY:-0.748 GZ:1.603 | T:24.91 C
I (658165) mpu6050 stream: AX:0.024 AY:0.125 AZ:-0.949 | GX:0.382 GY:-0.718 GZ:1.481 | T:24.91 C
I (658175) mpu6050 stream: AX:0.027 AY:0.118 AZ:-0.961 | GX:0.153 GY:-0.595 GZ:1.588 | T:24.91 C
I (658185) mpu6050 stream: AX:0.030 AY:0.118 AZ:-0.959 | GX:-0.031 GY:-0.626 GZ:1.389 | T:25.00 C
I (658195) mpu6050 stream: AX:0.027 AY:0.115 AZ:-0.948 | GX:0.092 GY:-0.656 GZ:1.496 | T:24.91 C
I (658205) mpu6050 stream: AX:0.025 AY:0.115 AZ:-0.953 | GX:0.046 GY:-0.565 GZ:1.450 | T:25.00 C
I (658215) mpu6050 stream: AX:0.027 AY:0.119 AZ:-0.961 | GX:-0.137 GY:-0.427 GZ:1.008 | T:25.05 C
I (658225) mpu6050 stream: AX:0.027 AY:0.120 AZ:-0.953 | GX:-0.351 GY:-0.519 GZ:0.840 | T:25.05 C
I (658235) mpu6050 stream: AX:0.031 AY:0.117 AZ:-0.955 | GX:-0.931 GY:-0.733 GZ:0.733 | T:24.95 C
I (658245) mpu6050 stream: AX:0.028 AY:0.125 AZ:-0.955 | GX:-0.061 GY:-0.733 GZ:0.504 | T:24.86 C
I (658255) mpu6050 stream: AX:0.025 AY:0.117 AZ:-0.962 | GX:-0.672 GY:-0.672 GZ:0.427 | T:24.95 C
I (658265) mpu6050 stream: AX:0.022 AY:0.118 AZ:-0.951 | GX:-0.061 GY:-0.626 GZ:0.137 | T:24.95 C
I (658275) mpu6050 stream: AX:0.029 AY:0.119 AZ:-0.966 | GX:0.015 GY:-0.687 GZ:0.015 | T:25.05 C
