I (346565) mpu6050 stream: AX:-0.109 AY:0.094 AZ:-0.945 | GX:-0.992 GY:0.198 GZ:0.809 | T:25.24 C
I (346575) mpu6050 stream: AX:-0.112 AY:0.091 AZ:-0.951 | GX:-0.611 GY:0.168 GZ:0.931 | T:25.24 C
I (346585) mpu6050 stream: AX:-0.107 AY:0.090 AZ:-0.946 | GX:0.061 GY:0.198 GZ:1.176 | T:25.24 C
I (346595) mpu6050 stream: AX:-0.108 AY:0.088 AZ:-0.947 | GX:0.595 GY:-0.168 GZ:1.176 | T:25.24 C
I (346605) mpu6050 stream: AX:-0.104 AY:0.085 AZ:-0.947 | GX:0.870 GY:-0.061 GZ:1.359 | T:25.33 C
I (346615) mpu6050 stream: AX:-0.106 AY:0.088 AZ:-0.954 | GX:0.809 GY:-0.137 GZ:1.344 | T:25.14 C
I (346625) mpu6050 stream: AX:-0.107 AY:0.084 AZ:-0.957 | GX:0.656 GY:-0.412 GZ:1.405 | T:25.14 C
I (346635) mpu6050 stream: AX:-0.115 AY:0.083 AZ:-0.952 | GX:0.611 GY:-0.519 GZ:1.252 | T:25.24 C
I (346645) mpu6050 stream: AX:-0.114 AY:0.081 AZ:-0.947 | GX:0.397 GY:-0.748 GZ:1.328 | T:25.14 C
I (346655) mpu6050 stream: AX:-0.109 AY:0.087 AZ:-0.959 | GX:0.229 GY:-0.519 GZ:1.511 | T:25.24 C
I (346665) mpu6050 stream: AX:-0.112 AY:0.080 AZ:-0.950 | GX:0.260 GY:-0.305 GZ:1.618 | T:25.24 C
I (346675) mpu6050 stream: AX:-0.113 AY:0.086 AZ:-0.961 | GX:0.321 GY:-0.290 GZ:1.740 | T:25.24 C
I (346685) mpu6050 stream: AX:-0.106 AY:0.082 AZ:-0.958 | GX:0.351 GY:-0.244 GZ:1.939 | T:25.14 C
I (346695) mpu6050 stream: AX:-0.111 AY:0.086 AZ:-0.955 | GX:0.427 GY:-0.107 GZ:1.802 | T:25.14 C
I (346705) mpu6050 stream: AX:-0.115 AY:0.078 AZ:-0.952 | GX:0.336 GY:-0.168 GZ:1.695 | T:25.24 C
I (346715) mpu6050 stream: AX:-0.115 AY:0.074 AZ:-0.957 | GX:0.122 GY:-0.137 GZ:1.557 | T:25.14 C
I (346725) mpu6050 stream: AX:-0.110 AY:0.078 AZ:-0.960 | GX:0.061 GY:-0.183 GZ:1.496 | T:25.14 C
