I (517355) mpu6050 stream: AX:-0.112 AY:0.097 AZ:-0.942 | GX:0.305 GY:0.290 GZ:0.748 | T:25.00 C
I (517365) mpu6050 stream: AX:-0.115 AY:0.091 AZ:-0.958 | GX:0.443 GY:0.046 GZ:0.672 | T:25.00 C
I (517375) mpu6050 stream: AX:-0.110 AY:0.092 AZ:-0.954 | GX:0.443 GY:0.244 GZ:0.824 | T:25.09 C
I (517385) mpu6050 stream: AX:-0.118 AY:0.092 AZ:-0.964 | GX:-0.214 GY:0.214 GZ:0.763 | T:25.00 C
I (517395) mpu6050 stream: AX:-0.111 AY:0.093 AZ:-0.949 | GX:-0.260 GY:0.443 GZ:0.870 | T:25.00 C
I (517405) mpu6050 stream: AX:-0.113 AY:0.097 AZ:-0.957 | GX:-0.351 GY:0.183 GZ:0.885 | T:25.00 C
I (517415) mpu6050 stream: AX:-0.107 AY:0.090 AZ:-0.955 | GX:0.214 GY:0.076 GZ:1.038 | T:25.09 C
I (517425) mpu6050 stream: AX:-0.117 AY:0.091 AZ:-0.960 | GX:0.550 GY:0.153 GZ:1.420 | T:25.00 C
I (517435) mpu6050 stream: AX:-0.113 AY:0.098 AZ:-0.964 | GX:1.176 GY:0.458 GZ:1.573 | T:25.00 C
I (517445) mpu6050 stream: AX:-0.116 AY:0.087 AZ:-0.951 | GX:1.267 GY:1.053 GZ:1.573 | T:25.00 C
I (517455) mpu6050 stream: AX:-0.117 AY:0.081 AZ:-0.960 | GX:1.038 GY:0.962 GZ:1.893 | T:25.00 C
I (517465) mpu6050 stream: AX:-0.112 AY:0.082 AZ:-0.953 | GX:0.198 GY:0.779 GZ:1.588 | T:25.00 C
I (517475) mpu6050 stream: AX:-0.111 AY:0.090 AZ:-0.952 | GX:-0.275 GY:1.145 GZ:1.863 | T:25.00 C
I (517485) mpu6050 stream: AX:-0.109 AY:0.085 AZ:-0.945 | GX:-0.489 GY:1.053 GZ:1.679 | T:25.00 C
I (517495) mpu6050 stream: AX:-0.114 AY:0.098 AZ:-0.943 | GX:-0.031 GY:1.115 GZ:2.031 | T:24.91 C
I (517505) mpu6050 stream: AX:-0.109 AY:0.089 AZ:-0.946 | GX:0.733 GY:1.176 GZ:1.924 | T:25.00 C
I (517515) mpu6050 stream: AX:-0.104 AY:0.092 AZ:-0.946 | GX:1.252 GY:1.389 GZ:1.924 | T:25.00 C
I (517525) mpu6050 stream: AX:-0.106 AY:0.085 AZ:-0.945 | GX:1.542 GY:1.282 GZ:2.122 | T:25.00 C
I (517535) mpu6050 stream: AX:-0.111 AY:0.085 AZ:-0.946 | GX:1.374 GY:1.359 GZ:2.061 | T:25.00 C
I (517545) mpu6050 stream: AX:-0.104 AY:0.080 AZ:-0.946 | GX:0.824 GY:1.145 GZ:2.076 | T:25.00 C
I (517555) mpu6050 stream: AX:-0.111 AY:0.079 AZ:-0.947 | GX:0.229 GY:0.794 GZ:2.061 | T:25.00 C
I (517565) mpu6050 stream: AX:-0.105 AY:0.084 AZ:-0.947 | GX:0.031 GY:0.595 GZ:1.969 | T:25.00 C
