5) mpu6050 stream: AX:-0.114 AY:0.110 AZ:-0.923 | GX:9.664 GY:1. AZ:-0.914 | GX:4.031 GY:0.931 GZ:1.679 | T:25.14 C
I (182605) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.951 | GX:0.992 GY:3.450 GZ:3.084 | T:25.24 C
I (182615) mpu6050 stream: AX:-0.140 AY:0.110 AZ:-0.963 | GX:1.008 GY:2.992 GZ:2.962 | T:25.24 C
I (182625) mpu6050 stream: AX:-0.137 AY:0.112 AZ:-0.960 | GX:0.901 GY:2.840 GZ:3.099 | T:25.14 C
I (182635) mpu6050 stream: AX:-0.137 AY:0.117 AZ:-0.970 | GX:0.840 GY:2.824 GZ:3.221 | T:25.14 C
I (182645) mpu6050 stream: AX:-0.146 AY:0.121 AZ:-0.971 | GX:-0.015 GY:3.710 GZ:3.115 | T:25.24 C
I (182655) mpu6050 stream: AX:-0.142 AY:0.115 AZ:-0.969 | GX:-0.031 GY:4.901 GZ:3.359 | T:25.24 C
I (182665) mpu6050 stream: AX:-0.140 AY:0.124 AZ:-0.952 | GX:0.260 GY:5.420 GZ:3.511 | T:25.24 C
I (182675) mpu6050 stream: AX:-0.130 AY:0.123 AZ:-0.932 | GX:1.389 GY:6.305 GZ:3.725 | T:25.24 C
I (182685) mpu6050 stream: AX:-0.119 AY:0.122 AZ:-0.918 | GX:3.145 GY:6.260 GZ:4.092 | T:25.14 C
I (182695) mpu6050 stream: AX:-0.115 AY:0.118 AZ:-0.901 | GX:5.145 GY:5.695 GZ:4.412 | T:25.19 C
I (182705) mpu6050 stream: AX:-0.111 AY:0.109 AZ:-0.905 | GX:6.565 GY:4.275 GZ:4.809 | T:25.19 C
I (182715) mpu6050 stream: AX:-0.117 AY:0.095 AZ:-0.903 | GX:6.962 GY:3.725 GZ:5.313 | T:25.19 C
I (182725) mpu6050 stream: AX:-0.113 AY:0.090 AZ:-0.913 | GX:6.534 GY:3.374 GZ:5.771 | T:25.19 C
