I (663735) mpu6050 stream: AX:0.053 AY:0.104 AZ:-0.961 | GX:0.122 GY:-1.176 GZ:-0.092 | T:24.95 C
I (663745) mpu6050 stream: AX:0.051 AY:0.105 AZ:-0.965 | GX:-0.565 GY:-1.466 GZ:-0.031 | T:24.95 C
I (663755) mpu6050 stream: AX:0.051 AY:0.099 AZ:-0.952 | GX:-1.771 GY:-1.557 GZ:0.137 | T:25.05 C
I (663765) mpu6050 stream: AX:0.050 AY:0.109 AZ:-0.956 | GX:-1.725 GY:-1.710 GZ:0.000 | T:25.05 C
I (663775) mpu6050 stream: AX:0.058 AY:0.107 AZ:-0.959 | GX:-1.618 GY:-1.634 GZ:0.290 | T:24.95 C
I (663785) mpu6050 stream: AX:0.052 AY:0.115 AZ:-0.954 | GX:-1.588 GY:-1.542 GZ:0.321 | T:24.95 C
I (663795) mpu6050 stream: AX:0.050 AY:0.120 AZ:-0.960 | GX:-0.824 GY:-1.023 GZ:0.595 | T:24.95 C
I (663805) mpu6050 stream: AX:0.050 AY:0.107 AZ:-0.963 | GX:-0.198 GY:-0.641 GZ:0.687 | T:24.95 C
I (663815) mpu6050 stream: AX:0.050 AY:0.102 AZ:-0.957 | GX:0.336 GY:0.031 GZ:0.641 | T:24.91 C
I (663825) mpu6050 stream: AX:0.059 AY:0.097 AZ:-0.955 | GX:0.000 GY:-0.336 GZ:0.565 | T:25.00 C
I (663835) mpu6050 stream: AX:0.055 AY:0.099 AZ:-0.966 | GX:-0.977 GY:-0.183 GZ:0.290 | T:25.00 C
I (663845) mpu6050 stream: AX:0.055 AY:0.106 AZ:-0.967 | GX:-1.634 GY:-0.076 GZ:0.397 | T:25.00 C
I (663855) mpu6050 stream: AX:0.057 AY:0.113 AZ:-0.965 | GX:-1.969 GY:0.397 GZ:0.519 | T:25.00 C
I (663865) mpu6050 stream: AX:0.062 AY:0.115 AZ:-0.954 | GX:-1.130 GY:0.244 GZ:0.672 | T:24.91 C
I (663875) mpu6050 stream: AX:0.061 AY:0.114 AZ:-0.951 | GX:0.244 GY:0.092 GZ:0.672 | T:25.00 C
I (663885) mpu6050 stream: AX:0.060 AY:0.116 AZ:-0.947 | GX:1.588 GY:-0.183 GZ:1.145 | T:24.91 C
I (663895) mpu6050 stream: AX:0.059 AY:0.111 AZ:-0.955 | GX:1.802 GY:-0.321 GZ:1.023 | T:25.00 C
I (663905) mpu6050 stream: AX:0.054 AY:0.106 AZ:-0.969 | GX:0.931 GY:-0.824 GZ:0.931 | T:25.00 C
I (663915) mpu6050 stream: AX:0.061 AY:0.099 AZ:-0.961 | GX:-0.580 GY:-0.824 GZ:1.053 | T:25.00 C
I (663925) mpu6050 stream: AX:0.059 AY:0.104 AZ:-0.953 | GX:-1.481 GY:-1.374 GZ:0.916 | T:24.91 C
I (663935) mpu6050 stream: AX:0.058 AY:0.108 AZ:-0.956 | GX:-1.511 GY:-1.511 GZ:1.038 | T:25.09 C
I (663945) mpu6050 stream: AX:0.060 AY:0.112 AZ:-0.948 | GX:-1.038 GY:-1.802 GZ:1.221 | T:25.00 C
I (663955) mpu6050 stream: AX:0.056 AY:0.115 AZ:-0.952 | GX:0.061 GY:-1.466 GZ:1.359 | T:25.00 C
I (663965) mpu6050 stream: AX:0.050 AY:0.113 AZ:-0.956 | GX:0.611 GY:-1.328 GZ:1.878 | T:25.00 C
I (663975) mpu6050 stream: AX:0.056 AY:0.109 AZ:-0.960 | GX:0.794 GY:-1.298 GZ:1.802 | T:25.00 C
I (663985) mpu6050 stream: AX:0.059 AY:0.104 AZ:-0.957 | GX:0.565 GY:-1.313 GZ:1.863 | T:25.09 C
I (663995) mpu6050 stream: AX:0.054 AY:0.106 AZ:-0.960 | GX:0.244 GY:-1.405 GZ:1.664 | T:25.00 C
I (664005) mpu6050 stream: AX:0.056 AY:0.102 AZ:-0.953 | GX:0.015 GY:-1.405 GZ:1.405 | T:24.91 C
I (664015) mpu6050 stream: AX:0.050 AY:0.103 AZ:-0.961 | GX:0.061 GY:-1.725 GZ:1.344 | T:25.00 C
I (664025) mpu6050 stream: AX:0.055 AY:0.109 AZ:-0.959 | GX:-0.015 GY:-1.603 GZ:1.145 | T:25.00 C
I (664035) mpu6050 stream: AX:0.045 AY:0.104 AZ:-0.958 | GX:0.336 GY:-1.542 GZ:0.885 | T:25.00 C
I (664045) mpu6050 stream: AX:0.054 AY:0.104 AZ:-0.953 | GX:0.718 GY:-1.267 GZ:0.840 | T:25.09 C
I (664055) mpu6050 stream: AX:0.048 AY:0.101 AZ:-0.964 | GX:0.885 GY:-1.450 GZ:0.824 | T:25.00 C
I (664065) mpu6050 stream: AX:0.052 AY:0.103 AZ:-0.968 | GX:0.824 GY:-1.160 GZ:0.779 | T:25.00 C
