I (316965) mpu6050 stream: AX:-0.138 AY:0.110 AZ:-0.944 | GX:-0.382 GY:0.794 GZ:0.702 | T:25.38 C
I (316975) mpu6050 stream: AX:-0.128 AY:0.107 AZ:-0.949 | GX:-0.656 GY:0.962 GZ:0.672 | T:25.28 C
I (316985) mpu6050 stream: AX:-0.128 AY:0.115 AZ:-0.953 | GX:-1.053 GY:1.206 GZ:0.412 | T:25.28 C
I (316995) mpu6050 stream: AX:-0.130 AY:0.121 AZ:-0.941 | GX:-1.038 GY:1.252 GZ:0.397 | T:25.19 C
I (317005) mpu6050 stream: AX:-0.127 AY:0.125 AZ:-0.931 | GX:-0.290 GY:1.023 GZ:0.244 | T:25.19 C
I (317015) mpu6050 stream: AX:-0.122 AY:0.124 AZ:-0.933 | GX:0.885 GY:0.168 GZ:0.229 | T:25.19 C
I (317025) mpu6050 stream: AX:-0.129 AY:0.120 AZ:-0.937 | GX:1.802 GY:-0.046 GZ:0.260 | T:25.28 C
I (317035) mpu6050 stream: AX:-0.124 AY:0.111 AZ:-0.938 | GX:1.878 GY:-0.305 GZ:0.305 | T:25.19 C
I (317045) mpu6050 stream: AX:-0.133 AY:0.115 AZ:-0.935 | GX:1.084 GY:-0.718 GZ:0.168 | T:25.28 C
I (317055) mpu6050 stream: AX:-0.130 AY:0.117 AZ:-0.940 | GX:-0.153 GY:-0.718 GZ:0.473 | T:25.19 C
I (317065) mpu6050 stream: AX:-0.134 AY:0.111 AZ:-0.942 | GX:-1.084 GY:-0.931 GZ:0.550 | T:25.28 C
I (317075) mpu6050 stream: AX:-0.133 AY:0.116 AZ:-0.942 | GX:-1.313 GY:-0.931 GZ:0.748 | T:25.38 C
I (317085) mpu6050 stream: AX:-0.135 AY:0.119 AZ:-0.951 | GX:-0.855 GY:-1.008 GZ:0.733 | T:25.28 C
I (317095) mpu6050 stream: AX:-0.138 AY:0.118 AZ:-0.947 | GX:-0.275 GY:-0.641 GZ:1.008 | T:25.28 C
I (317105) mpu6050 stream: AX:-0.143 AY:0.126 AZ:-0.945 | GX:0.122 GY:-0.641 GZ:0.809 | T:25.28 C
I (317115) mpu6050 stream: AX:-0.145 AY:0.118 AZ:-0.944 | GX:0.031 GY:-0.397 GZ:0.962 | T:25.19 C
I (317125) mpu6050 stream: AX:-0.137 AY:0.114 AZ:-0.942 | GX:-0.107 GY:-0.229 GZ:1.084 | T:25.19 C
I (317135) mpu6050 stream: AX:-0.141 AY:0.115 AZ:-0.954 | GX:-0.412 GY:0.229 GZ:0.977 | T:25.28 C
I (317145) mpu6050 stream: AX:-0.136 AY:0.111 AZ:-0.951 | GX:-0.519 GY:0.351 GZ:0.794 | T:25.19 C
I (317155) mpu6050 stream: AX:-0.132 AY:0.109 AZ:-0.940 | GX:-0.779 GY:0.351 GZ:0.687 | T:25.19 C
I (317165) mpu6050 stream: AX:-0.135 AY:0.117 AZ:-0.949 | GX:-0.550 GY:0.214 GZ:0.458 | T:25.28 C
I (317175) mpu6050 stream: AX:-0.136 AY:0.121 AZ:-0.954 | GX:-0.473 GY:0.489 GZ:0.443 | T:25.28 C
I (317185) mpu6050 stream: AX:-0.133 AY:0.126 AZ:-0.945 | GX:-0.153 GY:0.427 GZ:0.443 | T:25.28 C
I (317195) mpu6050 stream: AX:-0.132 AY:0.122 AZ:-0.952 | GX:0.183 GY:0.305 GZ:0.504 | T:25.28 C
I (317205) mpu6050 stream: AX:-0.141 AY:0.119 AZ:-0.946 | GX:0.321 GY:0.214 GZ:0.534 | T:25.19 C
I (317215) mpu6050 stream: AX:-0.135 AY:0.120 AZ:-0.943 | GX:0.244 GY:0.565 GZ:0.626 | T:25.28 C
I (317225) mpu6050 stream: AX:-0.129 AY:0.115 AZ:-0.946 | GX:-0.122 GY:0.489 GZ:0.641 | T:25.28 C
I (317235) mpu6050 stream: AX:-0.133 AY:0.123 AZ:-0.947 | GX:-0.198 GY:0.260 GZ:0.595 | T:25.28 C
I (317245) mpu6050 stream: AX:-0.131 AY:0.125 AZ:-0.940 | GX:0.122 GY:0.107 GZ:0.702 | T:25.38 C
I (317255) mpu6050 stream: AX:-0.133 AY:0.125 AZ:-0.952 | GX:0.641 GY:0.061 GZ:0.840 | T:25.28 C
I (317265) mpu6050 stream: AX:-0.138 AY:0.122 AZ:-0.952 | GX:1.130 GY:0.183 GZ:1.160 | T:25.19 C
I (317275) mpu6050 stream: AX:-0.138 AY:0.112 AZ:-0.952 | GX:1.084 GY:0.641 GZ:1.420 | T:25.09 C
I (317285) mpu6050 stream: AX:-0.138 AY:0.120 AZ:-0.939 | GX:0.733 GY:0.763 GZ:1.359 | T:25.28 C
I (317295) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.947 | GX:0.122 GY:1.099 GZ:1.191 | T:25.28 C
I (317305) mpu6050 stream: AX:-0.136 AY:0.112 AZ:-0.944 | GX:-0.260 GY:0.824 GZ:1.160 | T:25.24 C
I (317315) mpu6050 stream: AX:-0.128 AY:0.109 AZ:-0.945 | GX:-0.458 GY:0.672 GZ:1.130 | T:25.33 C
I (317325) mpu6050 stream: AX:-0.137 AY:0.114 AZ:-0.939 | GX:-0.244 GY:0.473 GZ:1.115 | T:25.24 C
I (317335) mpu6050 stream: AX:-0.128 AY:0.116 AZ:-0.928 | GX:0.260 GY:0.305 GZ:1.282 | T:25.14 C
I (317345) mpu6050 stream: AX:-0.138 AY:0.114 AZ:-0.944 | GX:0.656 GY:0.473 GZ:1.221 | T:25.24 C
I (317355) mpu6050 stream: AX:-0.132 AY:0.117 AZ:-0.946 | GX:0.779 GY:0.076 GZ:1.130 | T:25.24 C
I (317365) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.945 | GX:0.809 GY:0.718 GZ:0.947 | T:25.24 C
I (317375) mpu6050 stream: AX:-0.131 AY:0.112 AZ:-0.941 | GX:0.656 GY:0.458 GZ:0.916 | T:25.24 C
I (317385) mpu6050 stream: AX:-0.127 AY:0.113 AZ:-0.946 | GX:0.427 GY:0.107 GZ:1.115 | T:25.24 C
I (317395) mpu6050 stream: AX:-0.141 AY:0.113 AZ:-0.942 | GX:0.244 GY:0.198 GZ:1.008 | T:25.33 C
I (317405) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.945 | GX:0.153 GY:0.076 GZ:0.977 | T:25.33 C
I (317415) mpu6050 stream: AX:-0.137 AY:0.116 AZ:-0.950 | GX:0.290 GY:0.351 GZ:1.267 | T:25.14 C
I (317425) mpu6050 stream: AX:-0.129 AY:0.112 AZ:-0.951 | GX:0.458 GY:0.260 GZ:1.252 | T:25.24 C
I (317435) mpu6050 stream: AX:-0.136 AY:0.113 AZ:-0.949 | GX:0.412 GY:0.565 GZ:1.252 | T:25.24 C
I (317445) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.950 | GX:0.489 GY:0.565 GZ:1.344 | T:25.24 C
I (317455) mpu6050 stream: AX:-0.130 AY:0.111 AZ:-0.947 | GX:0.092 GY:0.565 GZ:1.527 | T:25.24 C
I (317465) mpu6050 stream: AX:-0.131 AY:0.110 AZ:-0.944 | GX:-0.092 GY:0.458 GZ:1.359 | T:25.33 C
I (317475) mpu6050 stream: AX:-0.130 AY:0.104 AZ:-0.953 | GX:-0.076 GY:0.397 GZ:1.466 | T:25.24 C
I (317485) mpu6050 stream: AX:-0.134 AY:0.114 AZ:-0.950 | GX:-0.061 GY:0.580 GZ:1.450 | T:25.24 C
I (317495) mpu6050 stream: AX:-0.129 AY:0.113 AZ:-0.950 | GX:0.061 GY:0.763 GZ:1.466 | T:25.33 C
I (317505) mpu6050 stream: AX:-0.129 AY:0.114 AZ:-0.942 | GX:0.305 GY:0.656 GZ:1.145 | T:25.33 C
I (317515) mpu6050 stream: AX:-0.134 AY:0.108 AZ:-0.937 | GX:0.229 GY:0.580 GZ:1.267 | T:25.33 C
I (317525) mpu6050 stream: AX:-0.133 AY:0.110 AZ:-0.948 | GX:0.031 GY:0.656 GZ:0.855 | T:25.24 C
I (317535) mpu6050 stream: AX:-0.131 AY:0.113 AZ:-0.944 | GX:-0.107 GY:0.382 GZ:0.901 | T:25.24 C
I (317545) mpu6050 stream: AX:-0.129 AY:0.114 AZ:-0.941 | GX:-0.397 GY:0.733 GZ:0.931 | T:25.33 C
I (317555) mpu6050 stream: AX:-0.130 AY:0.114 AZ:-0.947 | GX:-0.198 GY:0.702 GZ:0.840 | T:25.19 C
I (317565) mpu6050 stream: AX:-0.132 AY:0.119 AZ:-0.944 | GX:-0.107 GY:0.489 GZ:0.641 | T:25.28 C
I (317575) mpu6050 stream: AX:-0.132 AY:0.115 AZ:-0.958 | GX:0.061 GY:0.504 GZ:0.718 | T:25.28 C
I (317585) mpu6050 stream: AX:-0.137 AY:0.111 AZ:-0.938 | GX:0.107 GY:0.534 GZ:0.733 | T:25.28 C
I (317595) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.943 | GX:-0.015 GY:0.366 GZ:0.580 | T:25.19 C
I (317605) mpu6050 stream: AX:-0.131 AY:0.120 AZ:-0.945 | GX:0.061 GY:0.351 GZ:0.565 | T:25.28 C
I (317615) mpu6050 stream: AX:-0.132 AY:0.110 AZ:-0.951 | GX:-0.183 GY:0.427 GZ:0.626 | T:25.28 C
I (317625) mpu6050 stream: AX:-0.131 AY:0.118 AZ:-0.951 | GX:0.015 GY:0.382 GZ:0.748 | T:25.28 C
I (317635) mpu6050 stream: AX:-0.135 AY:0.117 AZ:-0.947 | GX:0.153 GY:0.504 GZ:0.794 | T:25.28 C
I (317645) mpu6050 stream: AX:-0.132 AY:0.120 AZ:-0.948 | GX:0.458 GY:0.336 GZ:0.794 | T:25.19 C
I (317655) mpu6050 stream: AX:-0.126 AY:0.117 AZ:-0.952 | GX:0.565 GY:0.840 GZ:0.901 | T:25.19 C
I (317665) mpu6050 stream: AX:-0.130 AY:0.119 AZ:-0.951 | GX:0.382 GY:0.443 GZ:1.023 | T:25.28 C
I (317675) mpu6050 stream: AX:-0.133 AY:0.118 AZ:-0.951 | GX:0.534 GY:0.504 GZ:1.206 | T:25.28 C
I (317685) mpu6050 stream: AX:-0.128 AY:0.113 AZ:-0.940 | GX:0.458 GY:0.748 GZ:1.344 | T:25.28 C
