I (382655) mpu6050 stream: AX:-0.107 AY:0.109 AZ:-0.949 | GX:-0.580 GY:-0.855 GZ:-0.092 | T:25.24 C
I (382665) mpu6050 stream: AX:-0.115 AY:0.115 AZ:-0.952 | GX:-0.534 GY:-0.916 GZ:-0.092 | T:25.24 C
I (382675) mpu6050 stream: AX:-0.116 AY:0.115 AZ:-0.949 | GX:-0.321 GY:-0.550 GZ:0.275 | T:25.14 C
I (382685) mpu6050 stream: AX:-0.119 AY:0.116 AZ:-0.945 | GX:0.000 GY:-0.427 GZ:0.290 | T:25.14 C
I (382695) mpu6050 stream: AX:-0.119 AY:0.114 AZ:-0.962 | GX:0.336 GY:-0.244 GZ:0.626 | T:25.19 C
I (382705) mpu6050 stream: AX:-0.114 AY:0.115 AZ:-0.954 | GX:0.473 GY:0.260 GZ:0.672 | T:25.19 C
I (382715) mpu6050 stream: AX:-0.121 AY:0.116 AZ:-0.960 | GX:0.504 GY:-0.061 GZ:0.962 | T:25.09 C
I (382725) mpu6050 stream: AX:-0.117 AY:0.113 AZ:-0.945 | GX:0.443 GY:0.015 GZ:1.115 | T:25.19 C
I (382735) mpu6050 stream: AX:-0.118 AY:0.101 AZ:-0.948 | GX:0.534 GY:0.290 GZ:1.298 | T:25.19 C
I (382745) mpu6050 stream: AX:-0.112 AY:0.103 AZ:-0.951 | GX:0.351 GY:0.351 GZ:1.496 | T:25.09 C
I (382755) mpu6050 stream: AX:-0.115 AY:0.102 AZ:-0.949 | GX:0.321 GY:0.718 GZ:1.359 | T:25.28 C
I (382765) mpu6050 stream: AX:-0.118 AY:0.100 AZ:-0.957 | GX:-0.092 GY:0.580 GZ:1.282 | T:25.19 C
I (382775) mpu6050 stream: AX:-0.114 AY:0.098 AZ:-0.958 | GX:-0.809 GY:1.099 GZ:1.038 | T:25.19 C
I (382785) mpu6050 stream: AX:-0.104 AY:0.104 AZ:-0.954 | GX:-1.466 GY:1.191 GZ:1.206 | T:25.19 C
I (382795) mpu6050 stream: AX:-0.103 AY:0.118 AZ:-0.950 | GX:-1.664 GY:1.176 GZ:0.931 | T:25.19 C
I (382805) mpu6050 stream: AX:-0.101 AY:0.118 AZ:-0.949 | GX:-0.687 GY:0.290 GZ:0.977 | T:25.19 C
I (382815) mpu6050 stream: AX:-0.108 AY:0.112 AZ:-0.948 | GX:0.550 GY:-0.275 GZ:1.023 | T:25.19 C
I (382825) mpu6050 stream: AX:-0.114 AY:0.112 AZ:-0.944 | GX:1.634 GY:-0.473 GZ:1.221 | T:25.09 C
I (382835) mpu6050 stream: AX:-0.117 AY:0.111 AZ:-0.945 | GX:1.618 GY:-0.427 GZ:1.328 | T:25.19 C
I (382845) mpu6050 stream: AX:-0.109 AY:0.100 AZ:-0.944 | GX:0.855 GY:-0.427 GZ:1.344 | T:25.19 C
I (382855) mpu6050 stream: AX:-0.108 AY:0.097 AZ:-0.945 | GX:-0.321 GY:-0.733 GZ:1.313 | T:25.19 C
I (382865) mpu6050 stream: AX:-0.110 AY:0.101 AZ:-0.944 | GX:-1.389 GY:-1.053 GZ:1.374 | T:25.19 C
I (382875) mpu6050 stream: AX:-0.115 AY:0.110 AZ:-0.941 | GX:-1.832 GY:-1.115 GZ:1.527 | T:25.19 C
I (382885) mpu6050 stream: AX:-0.113 AY:0.108 AZ:-0.950 | GX:-1.420 GY:-0.977 GZ:1.618 | T:25.19 C
I (382895) mpu6050 stream: AX:-0.114 AY:0.113 AZ:-0.941 | GX:-0.992 GY:-1.038 GZ:1.786 | T:25.19 C
I (382905) mpu6050 stream: AX:-0.115 AY:0.106 AZ:-0.937 | GX:-0.351 GY:-1.618 GZ:1.573 | T:25.19 C
I (382915) mpu6050 stream: AX:-0.121 AY:0.104 AZ:-0.956 | GX:-0.366 GY:-1.511 GZ:1.664 | T:25.28 C
I (382925) mpu6050 stream: AX:-0.125 AY:0.103 AZ:-0.964 | GX:-0.885 GY:-0.885 GZ:1.282 | T:25.09 C
I (382935) mpu6050 stream: AX:-0.126 AY:0.107 AZ:-0.950 | GX:-1.359 GY:-0.504 GZ:1.282 | T:25.19 C
I (382945) mpu6050 stream: AX:-0.118 AY:0.103 AZ:-0.945 | GX:-1.634 GY:0.198 GZ:0.870 | T:25.19 C
I (382955) mpu6050 stream: AX:-0.122 AY:0.098 AZ:-0.957 | GX:-1.649 GY:0.351 GZ:0.733 | T:25.19 C
I (382965) mpu6050 stream: AX:-0.118 AY:0.105 AZ:-0.949 | GX:-1.115 GY:0.321 GZ:0.397 | T:25.28 C
I (382975) mpu6050 stream: AX:-0.116 AY:0.112 AZ:-0.941 | GX:-0.809 GY:0.214 GZ:-0.076 | T:25.09 C
I (382985) mpu6050 stream: AX:-0.108 AY:0.109 AZ:-0.941 | GX:-0.550 GY:-0.153 GZ:-0.382 | T:25.19 C
I (382995) mpu6050 stream: AX:-0.115 AY:0.109 AZ:-0.947 | GX:-0.489 GY:-0.275 GZ:-0.351 | T:25.19 C
I (383005) mpu6050 stream: AX:-0.116 AY:0.119 AZ:-0.942 | GX:-0.718 GY:0.198 GZ:-0.382 | T:25.19 C
I (383015) mpu6050 stream: AX:-0.116 AY:0.113 AZ:-0.945 | GX:-1.038 GY:0.137 GZ:-0.305 | T:25.19 C
I (383025) mpu6050 stream: AX:-0.117 AY:0.121 AZ:-0.945 | GX:-1.267 GY:-0.260 GZ:-0.275 | T:25.19 C
I (383035) mpu6050 stream: AX:-0.114 AY:0.128 AZ:-0.946 | GX:-0.855 GY:-0.473 GZ:-0.015 | T:25.19 C
I (383045) mpu6050 stream: AX:-0.119 AY:0.126 AZ:-0.947 | GX:-0.397 GY:-0.748 GZ:0.382 | T:25.19 C
I (383055) mpu6050 stream: AX:-0.122 AY:0.124 AZ:-0.956 | GX:0.427 GY:-0.611 GZ:0.901 | T:25.19 C
I (383065) mpu6050 stream: AX:-0.118 AY:0.116 AZ:-0.957 | GX:0.580 GY:-0.244 GZ:1.237 | T:25.09 C
I (383075) mpu6050 stream: AX:-0.122 AY:0.109 AZ:-0.955 | GX:0.275 GY:-0.214 GZ:1.298 | T:25.19 C
I (383085) mpu6050 stream: AX:-0.120 AY:0.108 AZ:-0.947 | GX:-0.290 GY:-0.122 GZ:1.359 | T:25.19 C
I (383095) mpu6050 stream: AX:-0.124 AY:0.107 AZ:-0.942 | GX:-0.916 GY:0.382 GZ:1.405 | T:25.19 C
I (383105) mpu6050 stream: AX:-0.121 AY:0.114 AZ:-0.951 | GX:-0.931 GY:0.107 GZ:1.237 | T:25.19 C
I (383115) mpu6050 stream: AX:-0.115 AY:0.104 AZ:-0.954 | GX:-0.702 GY:0.214 GZ:1.328 | T:25.19 C
I (383125) mpu6050 stream: AX:-0.115 AY:0.111 AZ:-0.948 | GX:-0.473 GY:0.427 GZ:1.313 | T:25.19 C
I (383135) mpu6050 stream: AX:-0.110 AY:0.106 AZ:-0.956 | GX:0.000 GY:0.122 GZ:0.992 | T:25.09 C
I (383145) mpu6050 stream: AX:-0.108 AY:0.111 AZ:-0.949 | GX:0.412 GY:-0.076 GZ:0.855 | T:25.19 C
I (383155) mpu6050 stream: AX:-0.112 AY:0.108 AZ:-0.954 | GX:0.427 GY:0.198 GZ:0.824 | T:25.19 C
I (383165) mpu6050 stream: AX:-0.119 AY:0.111 AZ:-0.949 | GX:0.031 GY:0.153 GZ:0.885 | T:25.19 C
I (383175) mpu6050 stream: AX:-0.111 AY:0.109 AZ:-0.948 | GX:-0.122 GY:0.031 GZ:0.595 | T:25.09 C
I (383185) mpu6050 stream: AX:-0.122 AY:0.110 AZ:-0.944 | GX:-0.153 GY:-0.244 GZ:0.794 | T:25.19 C
I (383195) mpu6050 stream: AX:-0.116 AY:0.109 AZ:-0.949 | GX:-0.061 GY:-0.351 GZ:0.565 | T:25.19 C
I (383205) mpu6050 stream: AX:-0.118 AY:0.120 AZ:-0.950 | GX:-0.031 GY:-0.290 GZ:1.053 | T:25.19 C
I (383215) mpu6050 stream: AX:-0.122 AY:0.113 AZ:-0.941 | GX:-0.198 GY:-0.061 GZ:1.038 | T:25.19 C
I (383225) mpu6050 stream: AX:-0.123 AY:0.108 AZ:-0.949 | GX:-0.229 GY:0.153 GZ:0.901 | T:25.19 C
I (383235) mpu6050 stream: AX:-0.119 AY:0.108 AZ:-0.952 | GX:-0.321 GY:0.214 GZ:1.053 | T:25.19 C
I (383245) mpu6050 stream: AX:-0.122 AY:0.104 AZ:-0.943 | GX:-0.336 GY:0.458 GZ:1.023 | T:25.09 C
I (383255) mpu6050 stream: AX:-0.118 AY:0.106 AZ:-0.952 | GX:-0.305 GY:0.534 GZ:0.916 | T:25.19 C
I (383265) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.947 | GX:-0.214 GY:0.412 GZ:0.962 | T:25.19 C
I (383275) mpu6050 stream: AX:-0.112 AY:0.107 AZ:-0.946 | GX:-0.366 GY:0.504 GZ:1.160 | T:25.19 C
I (383285) mpu6050 stream: AX:-0.119 AY:0.106 AZ:-0.941 | GX:-0.611 GY:0.687 GZ:1.023 | T:25.19 C
I (383295) mpu6050 stream: AX:-0.115 AY:0.103 AZ:-0.951 | GX:-0.565 GY:0.397 GZ:1.023 | T:25.19 C
I (383305) mpu6050 stream: AX:-0.117 AY:0.104 AZ:-0.946 | GX:-0.733 GY:0.534 GZ:0.779 | T:25.28 C
I (383315) mpu6050 stream: AX:-0.118 AY:0.104 AZ:-0.952 | GX:-0.641 GY:0.855 GZ:0.870 | T:25.09 C
I (383325) mpu6050 stream: AX:-0.122 AY:0.102 AZ:-0.943 | GX:-0.962 GY:0.321 GZ:0.504 | T:25.19 C
I (383335) mpu6050 stream: AX:-0.113 AY:0.107 AZ:-0.948 | GX:-1.084 GY:0.626 GZ:0.336 | T:25.09 C
I (383345) mpu6050 stream: AX:-0.112 AY:0.110 AZ:-0.944 | GX:-1.099 GY:0.427 GZ:0.092 | T:25.19 C
I (383355) mpu6050 stream: AX:-0.115 AY:0.106 AZ:-0.944 | GX:-1.084 GY:0.290 GZ:-0.046 | T:25.19 C
I (383365) mpu6050 stream: AX:-0.114 AY:0.118 AZ:-0.946 | GX:-1.023 GY:-0.031 GZ:-0.076 | T:25.19 C
I (383375) mpu6050 stream: AX:-0.114 AY:0.115 AZ:-0.951 | GX:-0.885 GY:-0.153 GZ:-0.198 | T:25.19 C
I (383385) mpu6050 stream: AX:-0.121 AY:0.117 AZ:-0.942 | GX:-0.840 GY:0.229 GZ:-0.031 | T:25.19 C
I (383395) mpu6050 stream: AX:-0.119 AY:0.112 AZ:-0.947 | GX:-0.901 GY:0.000 GZ:0.031 | T:25.09 C
I (383405) mpu6050 stream: AX:-0.119 AY:0.115 AZ:-0.950 | GX:-0.763 GY:-0.092 GZ:-0.031 | T:25.19 C
I (383415) mpu6050 stream: AX:-0.112 AY:0.118 AZ:-0.952 | GX:-0.489 GY:-0.107 GZ:0.061 | T:25.19 C
I (383425) mpu6050 stream: AX:-0.117 AY:0.115 AZ:-0.949 | GX:0.000 GY:-0.504 GZ:0.122 | T:25.19 C
I (383435) mpu6050 stream: AX:-0.122 AY:0.108 AZ:-0.949 | GX:0.198 GY:-0.183 GZ:0.031 | T:25.19 C
I (383445) mpu6050 stream: AX:-0.121 AY:0.110 AZ:-0.961 | GX:0.092 GY:-0.168 GZ:-0.092 | T:25.19 C
I (383455) mpu6050 stream: AX:-0.118 AY:0.116 AZ:-0.948 | GX:0.107 GY:0.137 GZ:0.092 | T:25.19 C
I (383465) mpu6050 stream: AX:-0.121 AY:0.115 AZ:-0.947 | GX:-0.336 GY:0.489 GZ:0.031 | T:25.28 C
I (383475) mpu6050 stream: AX:-0.119 AY:0.113 AZ:-0.941 | GX:-0.260 GY:0.412 GZ:0.229 | T:25.19 C
I (383485) mpu6050 stream: AX:-0.119 AY:0.120 AZ:-0.949 | GX:-0.183 GY:0.137 GZ:0.321 | T:25.19 C
I (383495) mpu6050 stream: AX:-0.117 AY:0.115 AZ:-0.945 | GX:0.290 GY:-0.031 GZ:0.580 | T:25.19 C
I (383505) mpu6050 stream: AX:-0.117 AY:0.112 AZ:-0.957 | GX:0.214 GY:0.168 GZ:0.763 | T:25.19 C
I (383515) mpu6050 stream: AX:-0.117 AY:0.109 AZ:-0.960 | GX:-0.153 GY:0.641 GZ:1.008 | T:25.19 C
I (383525) mpu6050 stream: AX:-0.122 AY:0.104 AZ:-0.961 | GX:-0.626 GY:1.053 GZ:0.733 | T:25.19 C
I (383535) mpu6050 stream: AX:-0.111 AY:0.104 AZ:-0.956 | GX:-1.298 GY:1.313 GZ:0.855 | T:25.19 C
I (383545) mpu6050 stream: AX:-0.116 AY:0.106 AZ:-0.962 | GX:-1.847 GY:1.420 GZ:0.931 | T:25.28 C
I (383555) mpu6050 stream: AX:-0.110 AY:0.116 AZ:-0.956 | GX:-1.817 GY:1.954 GZ:0.702 | T:25.28 C
I (383565) mpu6050 stream: AX:-0.112 AY:0.125 AZ:-0.944 | GX:-0.168 GY:1.374 GZ:0.595 | T:25.19 C
I (383575) mpu6050 stream: AX:-0.104 AY:0.115 AZ:-0.939 | GX:1.695 GY:0.687 GZ:0.473 | T:25.19 C
I (383585) mpu6050 stream: AX:-0.113 AY:0.112 AZ:-0.942 | GX:2.351 GY:0.137 GZ:0.702 | T:25.19 C
I (383595) mpu6050 stream: AX:-0.107 AY:0.102 AZ:-0.948 | GX:1.664 GY:-0.183 GZ:0.366 | T:25.19 C
I (383605) mpu6050 stream: AX:-0.117 AY:0.104 AZ:-0.948 | GX:-0.076 GY:-0.382 GZ:0.198 | T:25.19 C
I (383615) mpu6050 stream: AX:-0.105 AY:0.109 AZ:-0.955 | GX:-1.740 GY:-0.473 GZ:-0.137 | T:25.09 C
I (383625) mpu6050 stream: AX:-0.114 AY:0.112 AZ:-0.947 | GX:-2.031 GY:-0.763 GZ:0.122 | T:25.19 C
I (383635) mpu6050 stream: AX:-0.123 AY:0.121 AZ:-0.950 | GX:-1.267 GY:-0.458 GZ:0.244 | T:25.19 C
I (383645) mpu6050 stream: AX:-0.119 AY:0.119 AZ:-0.949 | GX:-0.275 GY:-0.504 GZ:0.290 | T:25.19 C
I (383655) mpu6050 stream: AX:-0.121 AY:0.117 AZ:-0.952 | GX:0.489 GY:-0.107 GZ:0.489 | T:25.19 C
I (383665) mpu6050 stream: AX:-0.121 AY:0.119 AZ:-0.955 | GX:0.458 GY:0.214 GZ:0.672 | T:25.19 C
I (383675) mpu6050 stream: AX:-0.126 AY:0.115 AZ:-0.945 | GX:0.382 GY:0.244 GZ:0.687 | T:25.19 C
I (383685) mpu6050 stream: AX:-0.119 AY:0.105 AZ:-0.951 | GX:-0.107 GY:0.183 GZ:0.916 | T:25.19 C
I (383695) mpu6050 stream: AX:-0.128 AY:0.109 AZ:-0.952 | GX:-0.382 GY:-0.137 GZ:0.977 | T:25.19 C
I (383705) mpu6050 stream: AX:-0.120 AY:0.112 AZ:-0.955 | GX:-0.290 GY:0.153 GZ:0.916 | T:25.19 C
I (383715) mpu6050 stream: AX:-0.117 AY:0.111 AZ:-0.952 | GX:-0.641 GY:0.534 GZ:0.656 | T:25.19 C
I (383725) mpu6050 stream: AX:-0.116 AY:0.109 AZ:-0.957 | GX:-0.855 GY:0.321 GZ:0.580 | T:25.19 C
I (383735) mpu6050 stream: AX:-0.115 AY:0.107 AZ:-0.950 | GX:-0.992 GY:0.656 GZ:0.351 | T:25.14 C
I (383745) mpu6050 stream: AX:-0.122 AY:0.113 AZ:-0.952 | GX:-0.779 GY:0.626 GZ:0.336 | T:25.14 C
I (383755) mpu6050 stream: AX:-0.125 AY:0.114 AZ:-0.956 | GX:-0.580 GY:0.901 GZ:0.229 | T:25.24 C
I (383765) mpu6050 stream: AX:-0.124 AY:0.107 AZ:-0.955 | GX:-0.748 GY:0.992 GZ:0.198 | T:25.24 C
I (383775) mpu6050 stream: AX:-0.115 AY:0.112 AZ:-0.953 | GX:-0.870 GY:1.115 GZ:0.122 | T:25.24 C
