I (335005) mpu6050 stream: AX:-0.141 AY:0.099 AZ:-0.946 | GX:0.275 GY:-0.275 GZ:0.916 | T:25.19 C
I (335015) mpu6050 stream: AX:-0.147 AY:0.102 AZ:-0.942 | GX:0.137 GY:-0.489 GZ:0.794 | T:25.28 C
I (335025) mpu6050 stream: AX:-0.147 AY:0.095 AZ:-0.929 | GX:-0.183 GY:-0.641 GZ:0.809 | T:25.19 C
I (335035) mpu6050 stream: AX:-0.143 AY:0.098 AZ:-0.934 | GX:-0.382 GY:-0.702 GZ:0.702 | T:25.19 C
I (335045) mpu6050 stream: AX:-0.146 AY:0.097 AZ:-0.945 | GX:-0.611 GY:-0.824 GZ:0.641 | T:25.19 C
I (335055) mpu6050 stream: AX:-0.152 AY:0.099 AZ:-0.944 | GX:-0.992 GY:-0.824 GZ:0.656 | T:25.19 C
I (335065) mpu6050 stream: AX:-0.155 AY:0.099 AZ:-0.950 | GX:-0.901 GY:-0.824 GZ:0.733 | T:25.19 C
I (335075) mpu6050 stream: AX:-0.153 AY:0.103 AZ:-0.949 | GX:-0.977 GY:-0.626 GZ:0.550 | T:25.19 C
I (335085) mpu6050 stream: AX:-0.148 AY:0.104 AZ:-0.952 | GX:-0.748 GY:-0.489 GZ:0.580 | T:25.19 C
I (335095) mpu6050 stream: AX:-0.147 AY:0.107 AZ:-0.956 | GX:-0.443 GY:-0.718 GZ:0.473 | T:25.19 C
I (335105) mpu6050 stream: AX:-0.152 AY:0.102 AZ:-0.953 | GX:-0.107 GY:-0.305 GZ:0.656 | T:25.28 C
I (335115) mpu6050 stream: AX:-0.154 AY:0.099 AZ:-0.946 | GX:-0.137 GY:0.305 GZ:0.779 | T:25.14 C
I (335125) mpu6050 stream: AX:-0.148 AY:0.098 AZ:-0.940 | GX:-0.595 GY:0.458 GZ:0.779 | T:25.24 C
I (335135) mpu6050 stream: AX:-0.146 AY:0.094 AZ:-0.942 | GX:-0.855 GY:0.565 GZ:0.718 | T:25.24 C
I (335145) mpu6050 stream: AX:-0.138 AY:0.112 AZ:-0.931 | GX:-1.023 GY:0.244 GZ:0.458 | T:25.24 C
I (335155) mpu6050 stream: AX:-0.150 AY:0.106 AZ:-0.945 | GX:-0.702 GY:-0.626 GZ:0.473 | T:25.24 C
I (335165) mpu6050 stream: AX:-0.154 AY:0.107 AZ:-0.949 | GX:-0.473 GY:-0.305 GZ:0.840 | T:25.24 C
I (335175) mpu6050 stream: AX:-0.149 AY:0.103 AZ:-0.955 | GX:-0.137 GY:0.061 GZ:0.916 | T:25.24 C
I (335185) mpu6050 stream: AX:-0.147 AY:0.096 AZ:-0.957 | GX:-0.046 GY:0.504 GZ:0.840 | T:25.14 C
I (335195) mpu6050 stream: AX:-0.146 AY:0.100 AZ:-0.952 | GX:-0.229 GY:0.763 GZ:0.718 | T:25.14 C
I (335205) mpu6050 stream: AX:-0.138 AY:0.101 AZ:-0.946 | GX:-0.397 GY:0.656 GZ:0.885 | T:25.14 C
I (335215) mpu6050 stream: AX:-0.137 AY:0.103 AZ:-0.947 | GX:-0.595 GY:0.794 GZ:0.977 | T:25.14 C
I (335225) mpu6050 stream: AX:-0.145 AY:0.105 AZ:-0.941 | GX:-0.534 GY:0.244 GZ:0.947 | T:25.14 C
I (335235) mpu6050 stream: AX:-0.139 AY:0.113 AZ:-0.934 | GX:-0.122 GY:0.183 GZ:1.145 | T:25.24 C
I (335245) mpu6050 stream: AX:-0.144 AY:0.103 AZ:-0.941 | GX:0.290 GY:0.061 GZ:1.206 | T:25.24 C
I (335255) mpu6050 stream: AX:-0.141 AY:0.097 AZ:-0.940 | GX:0.565 GY:-0.092 GZ:1.298 | T:25.14 C
I (335265) mpu6050 stream: AX:-0.144 AY:0.105 AZ:-0.949 | GX:0.504 GY:0.076 GZ:1.298 | T:25.24 C
I (335275) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.941 | GX:0.412 GY:0.198 GZ:1.527 | T:25.14 C
I (335285) mpu6050 stream: AX:-0.149 AY:0.103 AZ:-0.942 | GX:0.183 GY:-0.015 GZ:1.588 | T:25.24 C
I (335295) mpu6050 stream: AX:-0.148 AY:0.100 AZ:-0.950 | GX:0.137 GY:-0.168 GZ:1.832 | T:25.24 C
I (335305) mpu6050 stream: AX:-0.151 AY:0.101 AZ:-0.948 | GX:0.229 GY:-0.031 GZ:1.740 | T:25.24 C
I (335315) mpu6050 stream: AX:-0.151 AY:0.102 AZ:-0.956 | GX:0.000 GY:0.092 GZ:1.863 | T:25.24 C
I (335325) mpu6050 stream: AX:-0.145 AY:0.099 AZ:-0.951 | GX:0.107 GY:0.336 GZ:1.802 | T:25.24 C
