I (406685) mpu6050 stream: AX:-0.138 AY:0.129 AZ:-0.938 | GX:0.702 GY:1.053 GZ:1.710 | T:25.19 C
I (406695) mpu6050 stream: AX:-0.134 AY:0.127 AZ:-0.945 | GX:0.672 GY:1.160 GZ:1.740 | T:25.09 C
I (406705) mpu6050 stream: AX:-0.134 AY:0.126 AZ:-0.941 | GX:0.290 GY:1.023 GZ:1.802 | T:25.19 C
I (406715) mpu6050 stream: AX:-0.133 AY:0.126 AZ:-0.943 | GX:-0.153 GY:0.809 GZ:1.695 | T:25.09 C
I (406725) mpu6050 stream: AX:-0.136 AY:0.126 AZ:-0.944 | GX:-0.626 GY:0.733 GZ:1.420 | T:25.19 C
I (406735) mpu6050 stream: AX:-0.136 AY:0.132 AZ:-0.942 | GX:-0.504 GY:1.023 GZ:1.710 | T:25.19 C
I (406745) mpu6050 stream: AX:-0.139 AY:0.127 AZ:-0.936 | GX:-0.412 GY:1.221 GZ:1.435 | T:25.19 C
I (406755) mpu6050 stream: AX:-0.133 AY:0.132 AZ:-0.948 | GX:0.183 GY:0.916 GZ:1.405 | T:25.19 C
I (406765) mpu6050 stream: AX:-0.137 AY:0.131 AZ:-0.943 | GX:0.687 GY:0.947 GZ:1.313 | T:25.28 C
I (406775) mpu6050 stream: AX:-0.131 AY:0.125 AZ:-0.947 | GX:0.840 GY:0.809 GZ:1.252 | T:25.19 C
I (406785) mpu6050 stream: AX:-0.132 AY:0.131 AZ:-0.940 | GX:0.840 GY:0.672 GZ:1.573 | T:25.19 C
I (406795) mpu6050 stream: AX:-0.136 AY:0.128 AZ:-0.936 | GX:0.718 GY:0.305 GZ:1.466 | T:25.24 C
I (406805) mpu6050 stream: AX:-0.131 AY:0.125 AZ:-0.939 | GX:0.473 GY:0.260 GZ:1.527 | T:25.19 C
I (406815) mpu6050 stream: AX:-0.138 AY:0.128 AZ:-0.950 | GX:0.214 GY:0.092 GZ:1.466 | T:25.14 C
I (406825) mpu6050 stream: AX:-0.132 AY:0.126 AZ:-0.936 | GX:0.061 GY:0.168 GZ:1.221 | T:25.24 C
I (406835) mpu6050 stream: AX:-0.134 AY:0.122 AZ:-0.945 | GX:-0.061 GY:0.153 GZ:1.450 | T:25.14 C
I (406845) mpu6050 stream: AX:-0.136 AY:0.125 AZ:-0.954 | GX:-0.244 GY:0.351 GZ:1.511 | T:25.14 C
I (406855) mpu6050 stream: AX:-0.138 AY:0.132 AZ:-0.954 | GX:-0.198 GY:0.412 GZ:1.511 | T:25.14 C
