I (296465) mpu6050 stream: AX:-0.152 AY:0.093 AZ:-0.951 | GX:-0.916 GY:-0.656 GZ:0.443 | T:25.33 C
I (296475) mpu6050 stream: AX:-0.153 AY:0.091 AZ:-0.956 | GX:-1.282 GY:-0.458 GZ:0.351 | T:25.14 C
I (296485) mpu6050 stream: AX:-0.149 AY:0.099 AZ:-0.943 | GX:-1.542 GY:-0.290 GZ:0.382 | T:25.24 C
I (296495) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.954 | GX:-1.099 GY:-0.489 GZ:0.153 | T:25.24 C
I (296505) mpu6050 stream: AX:-0.148 AY:0.112 AZ:-0.949 | GX:-0.260 GY:-0.580 GZ:0.458 | T:25.24 C
I (296515) mpu6050 stream: AX:-0.149 AY:0.100 AZ:-0.946 | GX:0.611 GY:-0.351 GZ:0.870 | T:25.38 C
I (296525) mpu6050 stream: AX:-0.159 AY:0.100 AZ:-0.947 | GX:0.947 GY:-0.122 GZ:1.099 | T:25.28 C
I (296535) mpu6050 stream: AX:-0.155 AY:0.098 AZ:-0.943 | GX:0.672 GY:0.092 GZ:1.069 | T:25.28 C
I (296545) mpu6050 stream: AX:-0.154 AY:0.096 AZ:-0.937 | GX:0.244 GY:0.168 GZ:1.023 | T:25.19 C
I (296555) mpu6050 stream: AX:-0.152 AY:0.094 AZ:-0.950 | GX:-0.061 GY:0.504 GZ:1.130 | T:25.28 C
I (296565) mpu6050 stream: AX:-0.152 AY:0.100 AZ:-0.943 | GX:-0.382 GY:0.366 GZ:1.130 | T:25.19 C
I (296575) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.948 | GX:-0.366 GY:0.473 GZ:1.176 | T:25.19 C
I (296585) mpu6050 stream: AX:-0.153 AY:0.098 AZ:-0.942 | GX:0.046 GY:0.305 GZ:1.252 | T:25.19 C
I (296595) mpu6050 stream: AX:-0.148 AY:0.096 AZ:-0.941 | GX:0.565 GY:0.290 GZ:1.282 | T:25.19 C
I (296605) mpu6050 stream: AX:-0.147 AY:0.091 AZ:-0.946 | GX:0.870 GY:0.031 GZ:1.405 | T:25.19 C
I (296615) mpu6050 stream: AX:-0.145 AY:0.083 AZ:-0.941 | GX:0.748 GY:0.122 GZ:1.282 | T:25.28 C
I (296625) mpu6050 stream: AX:-0.146 AY:0.089 AZ:-0.945 | GX:0.397 GY:-0.260 GZ:1.359 | T:25.28 C
I (296635) mpu6050 stream: AX:-0.144 AY:0.091 AZ:-0.944 | GX:0.153 GY:-0.351 GZ:1.328 | T:25.28 C
I (296645) mpu6050 stream: AX:-0.149 AY:0.094 AZ:-0.949 | GX:-0.107 GY:-0.580 GZ:1.237 | T:25.28 C
I (296655) mpu6050 stream: AX:-0.146 AY:0.094 AZ:-0.943 | GX:0.092 GY:-0.702 GZ:1.267 | T:25.19 C
I (296665) mpu6050 stream: AX:-0.153 AY:0.092 AZ:-0.948 | GX:0.412 GY:-0.534 GZ:1.435 | T:25.28 C
I (296675) mpu6050 stream: AX:-0.160 AY:0.098 AZ:-0.951 | GX:0.366 GY:-0.580 GZ:1.542 | T:25.19 C
I (296685) mpu6050 stream: AX:-0.153 AY:0.088 AZ:-0.943 | GX:0.397 GY:-0.534 GZ:1.527 | T:25.28 C
I (296695) mpu6050 stream: AX:-0.151 AY:0.088 AZ:-0.950 | GX:0.244 GY:-0.641 GZ:1.725 | T:25.28 C
I (296705) mpu6050 stream: AX:-0.147 AY:0.089 AZ:-0.948 | GX:-0.214 GY:-0.611 GZ:1.740 | T:25.19 C
I (296715) mpu6050 stream: AX:-0.156 AY:0.089 AZ:-0.941 | GX:-0.519 GY:-0.229 GZ:1.634 | T:25.28 C
I (296725) mpu6050 stream: AX:-0.151 AY:0.094 AZ:-0.946 | GX:-0.473 GY:-0.458 GZ:1.634 | T:25.28 C
I (296735) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.947 | GX:-0.336 GY:-0.305 GZ:1.511 | T:25.19 C
I (296745) mpu6050 stream: AX:-0.152 AY:0.085 AZ:-0.950 | GX:-0.275 GY:-0.214 GZ:1.374 | T:25.19 C
I (296755) mpu6050 stream: AX:-0.156 AY:0.092 AZ:-0.949 | GX:-0.107 GY:-0.122 GZ:1.237 | T:25.19 C
I (296765) mpu6050 stream: AX:-0.156 AY:0.093 AZ:-0.947 | GX:-0.336 GY:-0.198 GZ:1.099 | T:25.28 C
I (296775) mpu6050 stream: AX:-0.156 AY:0.088 AZ:-0.954 | GX:-0.397 GY:0.412 GZ:1.176 | T:25.28 C
I (296785) mpu6050 stream: AX:-0.158 AY:0.091 AZ:-0.956 | GX:-0.473 GY:0.260 GZ:0.733 | T:25.28 C
I (296795) mpu6050 stream: AX:-0.154 AY:0.094 AZ:-0.944 | GX:-0.351 GY:0.763 GZ:0.824 | T:25.28 C
I (296805) mpu6050 stream: AX:-0.155 AY:0.099 AZ:-0.944 | GX:-0.153 GY:0.641 GZ:0.794 | T:25.28 C
I (296815) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.945 | GX:0.015 GY:0.855 GZ:0.672 | T:25.28 C
I (296825) mpu6050 stream: AX:-0.148 AY:0.098 AZ:-0.942 | GX:-0.107 GY:0.534 GZ:0.626 | T:25.28 C
I (296835) mpu6050 stream: AX:-0.153 AY:0.093 AZ:-0.940 | GX:0.046 GY:0.565 GZ:0.763 | T:25.19 C
I (296845) mpu6050 stream: AX:-0.150 AY:0.090 AZ:-0.942 | GX:0.092 GY:0.305 GZ:0.702 | T:25.28 C
I (296855) mpu6050 stream: AX:-0.144 AY:0.092 AZ:-0.942 | GX:0.000 GY:-0.046 GZ:0.565 | T:25.19 C
I (296865) mpu6050 stream: AX:-0.150 AY:0.099 AZ:-0.947 | GX:-0.168 GY:-0.260 GZ:0.565 | T:25.38 C
I (296875) mpu6050 stream: AX:-0.147 AY:0.098 AZ:-0.943 | GX:-0.275 GY:-0.321 GZ:0.550 | T:25.19 C
I (296885) mpu6050 stream: AX:-0.162 AY:0.102 AZ:-0.954 | GX:-0.290 GY:-0.061 GZ:0.748 | T:25.28 C
I (296895) mpu6050 stream: AX:-0.155 AY:0.099 AZ:-0.960 | GX:-0.321 GY:0.336 GZ:0.885 | T:25.19 C
I (296905) mpu6050 stream: AX:-0.158 AY:0.097 AZ:-0.957 | GX:-0.031 GY:0.931 GZ:1.191 | T:25.28 C
