I (224705) mpu6050 stream: AX:-0.162 AY:0.088 AZ:-0.923 | GX:-0.336 GY:-1.298 GZ:0.611 | T:25.09 C
I (224715) mpu6050 stream: AX:-0.168 AY:0.080 AZ:-0.934 | GX:-1.344 GY:-1.695 GZ:0.534 | T:25.19 C
I (224725) mpu6050 stream: AX:-0.178 AY:0.093 AZ:-0.946 | GX:-1.710 GY:-1.954 GZ:0.336 | T:25.19 C
I (224735) mpu6050 stream: AX:-0.182 AY:0.103 AZ:-0.945 | GX:-1.527 GY:-2.122 GZ:0.122 | T:25.19 C
I (224745) mpu6050 stream: AX:-0.185 AY:0.098 AZ:-0.952 | GX:-0.550 GY:-1.771 GZ:0.382 | T:25.28 C
I (224755) mpu6050 stream: AX:-0.190 AY:0.094 AZ:-0.947 | GX:0.183 GY:-1.160 GZ:0.626 | T:25.28 C
I (224765) mpu6050 stream: AX:-0.188 AY:0.096 AZ:-0.944 | GX:0.351 GY:-0.626 GZ:0.733 | T:25.19 C
I (224775) mpu6050 stream: AX:-0.185 AY:0.094 AZ:-0.947 | GX:0.183 GY:-0.504 GZ:0.534 | T:25.19 C
I (224785) mpu6050 stream: AX:-0.182 AY:0.090 AZ:-0.935 | GX:-0.718 GY:-0.611 GZ:0.382 | T:25.19 C
I (224795) mpu6050 stream: AX:-0.183 AY:0.090 AZ:-0.948 | GX:-1.282 GY:-0.626 GZ:0.412 | T:25.28 C
I (224805) mpu6050 stream: AX:-0.184 AY:0.094 AZ:-0.938 | GX:-1.603 GY:-0.824 GZ:0.458 | T:25.28 C
I (224815) mpu6050 stream: AX:-0.192 AY:0.097 AZ:-0.945 | GX:-1.298 GY:-0.366 GZ:0.443 | T:25.09 C
I (224825) mpu6050 stream: AX:-0.184 AY:0.099 AZ:-0.948 | GX:-0.397 GY:0.000 GZ:0.702 | T:25.28 C
I (224835) mpu6050 stream: AX:-0.183 AY:0.101 AZ:-0.946 | GX:0.489 GY:0.122 GZ:0.565 | T:25.09 C
I (224845) mpu6050 stream: AX:-0.185 AY:0.097 AZ:-0.945 | GX:0.931 GY:0.305 GZ:0.656 | T:25.19 C
I (224855) mpu6050 stream: AX:-0.181 AY:0.092 AZ:-0.936 | GX:0.687 GY:0.824 GZ:0.809 | T:25.28 C
I (224865) mpu6050 stream: AX:-0.183 AY:0.094 AZ:-0.943 | GX:0.183 GY:0.687 GZ:0.733 | T:25.19 C
I (224875) mpu6050 stream: AX:-0.178 AY:0.090 AZ:-0.937 | GX:-0.229 GY:0.656 GZ:0.626 | T:25.19 C
I (224885) mpu6050 stream: AX:-0.180 AY:0.093 AZ:-0.938 | GX:-0.366 GY:0.351 GZ:0.519 | T:25.28 C
I (224895) mpu6050 stream: AX:-0.180 AY:0.093 AZ:-0.942 | GX:-0.122 GY:0.015 GZ:0.397 | T:25.19 C
I (224905) mpu6050 stream: AX:-0.184 AY:0.097 AZ:-0.936 | GX:0.015 GY:-0.290 GZ:0.534 | T:25.19 C
I (224915) mpu6050 stream: AX:-0.178 AY:0.095 AZ:-0.937 | GX:-0.122 GY:-0.427 GZ:0.641 | T:25.19 C
I (224925) mpu6050 stream: AX:-0.194 AY:0.089 AZ:-0.951 | GX:-0.351 GY:-0.458 GZ:0.641 | T:25.28 C
I (224935) mpu6050 stream: AX:-0.188 AY:0.092 AZ:-0.944 | GX:-0.641 GY:0.290 GZ:0.702 | T:25.19 C
I (224945) mpu6050 stream: AX:-0.187 AY:0.090 AZ:-0.941 | GX:-0.489 GY:0.595 GZ:0.687 | T:25.28 C
I (224955) mpu6050 stream: AX:-0.188 AY:0.096 AZ:-0.949 | GX:0.000 GY:1.038 GZ:0.763 | T:25.19 C
I (224965) mpu6050 stream: AX:-0.190 AY:0.094 AZ:-0.941 | GX:0.412 GY:1.420 GZ:0.718 | T:25.19 C
I (224975) mpu6050 stream: AX:-0.190 AY:0.095 AZ:-0.946 | GX:0.718 GY:1.664 GZ:0.885 | T:25.28 C
I (224985) mpu6050 stream: AX:-0.179 AY:0.091 AZ:-0.946 | GX:0.351 GY:1.435 GZ:0.748 | T:25.28 C
I (224995) mpu6050 stream: AX:-0.176 AY:0.097 AZ:-0.933 | GX:-0.046 GY:1.298 GZ:0.824 | T:25.19 C
I (225005) mpu6050 stream: AX:-0.177 AY:0.092 AZ:-0.930 | GX:-0.641 GY:1.038 GZ:0.626 | T:25.28 C
I (225015) mpu6050 stream: AX:-0.179 AY:0.095 AZ:-0.935 | GX:-0.626 GY:0.672 GZ:0.687 | T:25.19 C
I (225025) mpu6050 stream: AX:-0.176 AY:0.094 AZ:-0.936 | GX:-0.672 GY:0.550 GZ:0.504 | T:25.19 C
I (225035) mpu6050 stream: AX:-0.181 AY:0.091 AZ:-0.938 | GX:-0.427 GY:0.656 GZ:0.397 | T:25.38 C
I (225045) mpu6050 stream: AX:-0.180 AY:0.092 AZ:-0.937 | GX:-0.214 GY:0.412 GZ:0.260 | T:25.28 C
I (225055) mpu6050 stream: AX:-0.181 AY:0.099 AZ:-0.941 | GX:-0.244 GY:0.687 GZ:0.183 | T:25.28 C
I (225065) mpu6050 stream: AX:-0.175 AY:0.094 AZ:-0.938 | GX:-0.275 GY:0.718 GZ:-0.183 | T:25.28 C
I (225075) mpu6050 stream: AX:-0.180 AY:0.091 AZ:-0.930 | GX:-0.015 GY:0.748 GZ:-0.031 | T:25.19 C
I (225085) mpu6050 stream: AX:-0.182 AY:0.097 AZ:-0.944 | GX:0.275 GY:0.321 GZ:0.076 | T:25.19 C
I (225095) mpu6050 stream: AX:-0.184 AY:0.094 AZ:-0.946 | GX:0.183 GY:0.321 GZ:0.031 | T:25.28 C
I (225105) mpu6050 stream: AX:-0.184 AY:0.093 AZ:-0.949 | GX:-0.031 GY:0.534 GZ:0.153 | T:25.19 C
I (225115) mpu6050 stream: AX:-0.176 AY:0.096 AZ:-0.934 | GX:-0.260 GY:0.580 GZ:0.122 | T:25.19 C
I (225125) mpu6050 stream: AX:-0.183 AY:0.095 AZ:-0.949 | GX:-0.336 GY:0.794 GZ:0.244 | T:25.19 C
I (225135) mpu6050 stream: AX:-0.173 AY:0.093 AZ:-0.933 | GX:-0.351 GY:0.718 GZ:0.229 | T:25.19 C
I (225145) mpu6050 stream: AX:-0.181 AY:0.096 AZ:-0.949 | GX:-0.443 GY:0.763 GZ:0.321 | T:25.28 C
I (225155) mpu6050 stream: AX:-0.175 AY:0.093 AZ:-0.936 | GX:-0.458 GY:1.038 GZ:0.458 | T:25.19 C
I (225165) mpu6050 stream: AX:-0.179 AY:0.095 AZ:-0.928 | GX:-0.504 GY:1.115 GZ:0.519 | T:25.19 C
I (225175) mpu6050 stream: AX:-0.172 AY:0.093 AZ:-0.930 | GX:-0.534 GY:0.885 GZ:0.534 | T:25.19 C
I (225185) mpu6050 stream: AX:-0.180 AY:0.092 AZ:-0.942 | GX:-0.779 GY:0.641 GZ:0.290 | T:25.19 C
I (225195) mpu6050 stream: AX:-0.181 AY:0.094 AZ:-0.943 | GX:-1.359 GY:0.718 GZ:0.260 | T:25.19 C
I (225205) mpu6050 stream: AX:-0.180 AY:0.102 AZ:-0.943 | GX:-1.679 GY:1.038 GZ:0.305 | T:25.09 C
I (225215) mpu6050 stream: AX:-0.183 AY:0.102 AZ:-0.947 | GX:-0.885 GY:0.748 GZ:0.122 | T:25.19 C
