I (573505) mpu6050 stream: AX:-0.045 AY:0.107 AZ:-0.962 | GX:-0.137 GY:1.206 GZ:-0.275 | T:25.00 C
I (573515) mpu6050 stream: AX:-0.040 AY:0.103 AZ:-0.962 | GX:-0.519 GY:1.511 GZ:-0.260 | T:24.91 C
I (573525) mpu6050 stream: AX:-0.044 AY:0.110 AZ:-0.967 | GX:-1.115 GY:1.328 GZ:-0.229 | T:25.00 C
I (573535) mpu6050 stream: AX:-0.032 AY:0.107 AZ:-0.953 | GX:-1.313 GY:1.160 GZ:-0.290 | T:25.00 C
I (573545) mpu6050 stream: AX:-0.041 AY:0.112 AZ:-0.947 | GX:-0.916 GY:0.351 GZ:-0.595 | T:24.91 C
I (573555) mpu6050 stream: AX:-0.041 AY:0.120 AZ:-0.949 | GX:-0.153 GY:0.458 GZ:-0.198 | T:25.00 C
I (573565) mpu6050 stream: AX:-0.048 AY:0.119 AZ:-0.957 | GX:0.565 GY:0.733 GZ:0.443 | T:24.91 C
I (573575) mpu6050 stream: AX:-0.052 AY:0.107 AZ:-0.957 | GX:1.008 GY:1.176 GZ:0.794 | T:24.91 C
I (573585) mpu6050 stream: AX:-0.044 AY:0.108 AZ:-0.958 | GX:0.824 GY:1.374 GZ:1.237 | T:24.91 C
I (573595) mpu6050 stream: AX:-0.042 AY:0.106 AZ:-0.958 | GX:0.290 GY:1.359 GZ:1.435 | T:24.91 C
I (573605) mpu6050 stream: AX:-0.040 AY:0.106 AZ:-0.946 | GX:-0.397 GY:1.160 GZ:1.481 | T:24.91 C
I (573615) mpu6050 stream: AX:-0.036 AY:0.115 AZ:-0.949 | GX:-0.504 GY:0.870 GZ:1.695 | T:25.00 C
I (573625) mpu6050 stream: AX:-0.039 AY:0.113 AZ:-0.951 | GX:-0.519 GY:0.870 GZ:1.847 | T:24.91 C
I (573635) mpu6050 stream: AX:-0.039 AY:0.111 AZ:-0.948 | GX:-0.076 GY:0.641 GZ:1.939 | T:25.00 C
I (573645) mpu6050 stream: AX:-0.043 AY:0.111 AZ:-0.959 | GX:0.412 GY:0.702 GZ:1.985 | T:24.91 C
I (573655) mpu6050 stream: AX:-0.034 AY:0.104 AZ:-0.951 | GX:0.885 GY:0.626 GZ:1.939 | T:24.91 C
I (573665) mpu6050 stream: AX:-0.043 AY:0.103 AZ:-0.945 | GX:0.809 GY:0.290 GZ:1.740 | T:24.81 C
I (573675) mpu6050 stream: AX:-0.040 AY:0.107 AZ:-0.953 | GX:0.687 GY:0.351 GZ:1.573 | T:24.91 C
I (573685) mpu6050 stream: AX:-0.026 AY:0.119 AZ:-0.970 | GX:0.260 GY:-0.076 GZ:1.374 | T:25.00 C
I (573695) mpu6050 stream: AX:-0.034 AY:0.101 AZ:-0.956 | GX:1.985 GY:-0.061 GZ:1.191 | T:25.00 C
I (573705) mpu6050 stream: AX:-0.041 AY:0.095 AZ:-0.958 | GX:-0.977 GY:-0.168 GZ:1.450 | T:25.00 C
I (573715) mpu6050 stream: AX:-0.049 AY:0.101 AZ:-0.946 | GX:0.550 GY:-0.611 GZ:1.191 | T:25.00 C
I (573725) mpu6050 stream: AX:-0.049 AY:0.104 AZ:-0.953 | GX:-0.473 GY:-0.824 GZ:0.977 | T:24.91 C
I (573735) mpu6050 stream: AX:-0.050 AY:0.114 AZ:-0.960 | GX:0.137 GY:-0.412 GZ:1.069 | T:25.00 C
I (573745) mpu6050 stream: AX:-0.048 AY:0.101 AZ:-0.963 | GX:-0.366 GY:-0.595 GZ:0.809 | T:24.91 C
I (573755) mpu6050 stream: AX:-0.055 AY:0.106 AZ:-0.963 | GX:-1.023 GY:-0.122 GZ:0.962 | T:24.91 C
I (573765) mpu6050 stream: AX:-0.049 AY:0.113 AZ:-0.962 | GX:-0.122 GY:-0.107 GZ:0.977 | T:24.91 C
