I (609595) mpu6050 stream: AX:0.066 AY:0.089 AZ:-0.953 | GX:-0.794 GY:-1.756 GZ:0.992 | T:25.05 C
I (609605) mpu6050 stream: AX:0.060 AY:0.082 AZ:-0.952 | GX:0.000 GY:-1.695 GZ:1.237 | T:24.95 C
I (609615) mpu6050 stream: AX:0.060 AY:0.081 AZ:-0.955 | GX:0.672 GY:-1.557 GZ:0.977 | T:25.05 C
I (609625) mpu6050 stream: AX:0.062 AY:0.083 AZ:-0.955 | GX:0.947 GY:-1.527 GZ:1.130 | T:24.95 C
I (609635) mpu6050 stream: AX:0.063 AY:0.076 AZ:-0.966 | GX:-0.748 GY:-1.832 GZ:1.115 | T:24.91 C
I (609645) mpu6050 stream: AX:0.061 AY:0.070 AZ:-0.968 | GX:-0.794 GY:-1.557 GZ:0.962 | T:24.91 C
I (609655) mpu6050 stream: AX:0.060 AY:0.070 AZ:-0.970 | GX:-0.977 GY:-1.969 GZ:0.580 | T:25.00 C
I (609665) mpu6050 stream: AX:0.059 AY:0.078 AZ:-0.959 | GX:-0.885 GY:-1.603 GZ:0.351 | T:24.91 C
I (609675) mpu6050 stream: AX:0.060 AY:0.077 AZ:-0.959 | GX:-1.374 GY:-1.191 GZ:0.122 | T:24.91 C
I (609685) mpu6050 stream: AX:0.062 AY:0.082 AZ:-0.954 | GX:-1.221 GY:-1.023 GZ:-0.321 | T:25.00 C
I (609695) mpu6050 stream: AX:0.065 AY:0.078 AZ:-0.953 | GX:-0.519 GY:-1.618 GZ:-0.382 | T:24.91 C
I (609705) mpu6050 stream: AX:0.064 AY:0.084 AZ:-0.965 | GX:-1.084 GY:-1.466 GZ:-0.443 | T:25.00 C
I (609715) mpu6050 stream: AX:0.059 AY:0.072 AZ:-0.963 | GX:-1.802 GY:-1.603 GZ:-0.473 | T:24.91 C
I (609725) mpu6050 stream: AX:0.054 AY:0.079 AZ:-0.968 | GX:-1.542 GY:-1.496 GZ:-0.763 | T:25.00 C
I (609735) mpu6050 stream: AX:0.059 AY:0.093 AZ:-0.963 | GX:-1.023 GY:-1.206 GZ:-0.718 | T:24.91 C
I (609745) mpu6050 stream: AX:0.060 AY:0.087 AZ:-0.961 | GX:-0.504 GY:-1.267 GZ:-0.412 | T:24.91 C
I (609755) mpu6050 stream: AX:0.057 AY:0.089 AZ:-0.960 | GX:-0.519 GY:-1.756 GZ:-0.244 | T:24.91 C
I (609765) mpu6050 stream: AX:0.056 AY:0.089 AZ:-0.959 | GX:-0.321 GY:-1.176 GZ:0.137 | T:24.91 C
I (609775) mpu6050 stream: AX:0.052 AY:0.082 AZ:-0.967 | GX:-0.076 GY:-0.748 GZ:0.489 | T:25.00 C
I (609785) mpu6050 stream: AX:0.055 AY:0.082 AZ:-0.967 | GX:-0.611 GY:-0.382 GZ:0.626 | T:25.00 C
I (609795) mpu6050 stream: AX:0.052 AY:0.086 AZ:-0.971 | GX:-1.237 GY:-0.458 GZ:0.504 | T:25.00 C
I (609805) mpu6050 stream: AX:0.054 AY:0.090 AZ:-0.953 | GX:-1.099 GY:-0.275 GZ:0.748 | T:24.91 C
I (609815) mpu6050 stream: AX:0.059 AY:0.088 AZ:-0.954 | GX:-0.977 GY:-0.351 GZ:0.855 | T:24.91 C
I (609825) mpu6050 stream: AX:0.062 AY:0.087 AZ:-0.954 | GX:-0.840 GY:-0.718 GZ:1.038 | T:25.00 C
I (609835) mpu6050 stream: AX:0.053 AY:0.090 AZ:-0.953 | GX:0.260 GY:-0.840 GZ:1.176 | T:24.81 C
I (609845) mpu6050 stream: AX:0.058 AY:0.084 AZ:-0.956 | GX:-0.550 GY:-0.427 GZ:1.221 | T:24.91 C
I (609855) mpu6050 stream: AX:0.053 AY:0.085 AZ:-0.961 | GX:0.458 GY:-0.489 GZ:1.405 | T:24.81 C
I (609865) mpu6050 stream: AX:0.061 AY:0.084 AZ:-0.961 | GX:0.824 GY:-0.489 GZ:1.328 | T:25.00 C
I (609875) mpu6050 stream: AX:0.053 AY:0.085 AZ:-0.959 | GX:1.130 GY:-0.427 GZ:1.145 | T:25.00 C
I (609885) mpu6050 stream: AX:0.055 AY:0.084 AZ:-0.961 | GX:0.931 GY:-0.580 GZ:1.160 | T:24.91 C
I (609895) mpu6050 stream: AX:0.056 AY:0.080 AZ:-0.976 | GX:-0.031 GY:-0.748 GZ:1.221 | T:25.00 C
I (609905) mpu6050 stream: AX:0.061 AY:0.083 AZ:-0.974 | GX:-0.397 GY:-0.458 GZ:1.282 | T:24.95 C
I (609915) mpu6050 stream: AX:0.055 AY:0.082 AZ:-0.961 | GX:-0.534 GY:-0.656 GZ:1.298 | T:24.86 C
I (609925) mpu6050 stream: AX:0.059 AY:0.080 AZ:-0.961 | GX:-0.137 GY:-0.214 GZ:1.038 | T:24.95 C
I (609935) mpu6050 stream: AX:0.058 AY:0.085 AZ:-0.958 | GX:0.473 GY:-0.260 GZ:1.389 | T:25.05 C
I (609945) mpu6050 stream: AX:0.060 AY:0.081 AZ:-0.949 | GX:1.160 GY:0.061 GZ:1.191 | T:24.86 C
I (609955) mpu6050 stream: AX:0.066 AY:0.078 AZ:-0.959 | GX:1.939 GY:0.137 GZ:1.542 | T:24.95 C
I (609965) mpu6050 stream: AX:0.064 AY:0.072 AZ:-0.952 | GX:-0.260 GY:-0.336 GZ:1.557 | T:24.95 C
I (609975) mpu6050 stream: AX:0.053 AY:0.075 AZ:-0.955 | GX:0.443 GY:-0.580 GZ:1.282 | T:24.86 C
I (609985) mpu6050 stream: AX:0.055 AY:0.070 AZ:-0.955 | GX:0.046 GY:-0.397 GZ:1.298 | T:24.95 C
I (609995) mpu6050 stream: AX:0.058 AY:0.080 AZ:-0.956 | GX:0.427 GY:-0.214 GZ:1.206 | T:24.86 C
I (610005) mpu6050 stream: AX:0.056 AY:0.075 AZ:-0.967 | GX:0.290 GY:-0.229 GZ:1.176 | T:24.95 C
I (610015) mpu6050 stream: AX:0.057 AY:0.079 AZ:-0.962 | GX:-0.244 GY:-0.183 GZ:1.053 | T:24.95 C
I (610025) mpu6050 stream: AX:0.050 AY:0.073 AZ:-0.951 | GX:-0.412 GY:-0.366 GZ:1.008 | T:24.95 C
I (610035) mpu6050 stream: AX:0.062 AY:0.074 AZ:-0.956 | GX:-0.977 GY:-0.748 GZ:0.763 | T:24.95 C
I (610045) mpu6050 stream: AX:0.050 AY:0.082 AZ:-0.956 | GX:-0.595 GY:-0.824 GZ:0.580 | T:24.86 C
I (610055) mpu6050 stream: AX:0.062 AY:0.084 AZ:-0.958 | GX:-0.550 GY:-1.115 GZ:0.611 | T:24.95 C
I (610065) mpu6050 stream: AX:0.056 AY:0.086 AZ:-0.967 | GX:-0.382 GY:-0.947 GZ:0.611 | T:24.86 C
I (610075) mpu6050 stream: AX:0.051 AY:0.088 AZ:-0.952 | GX:-0.076 GY:-1.023 GZ:0.473 | T:24.95 C
I (610085) mpu6050 stream: AX:0.047 AY:0.084 AZ:-0.954 | GX:-0.046 GY:-1.298 GZ:0.397 | T:24.95 C
I (610095) mpu6050 stream: AX:0.053 AY:0.082 AZ:-0.956 | GX:-0.214 GY:-1.313 GZ:0.427 | T:24.86 C
