I (555455) mpu6050 stream: AX:-0.099 AY:0.119 AZ:-0.944 | GX:0.168 GY:-0.443 GZ:0.519 | T:24.95 C
I (555465) mpu6050 stream: AX:-0.090 AY:0.117 AZ:-0.949 | GX:0.015 GY:-0.916 GZ:0.672 | T:24.95 C
I (555475) mpu6050 stream: AX:-0.097 AY:0.112 AZ:-0.940 | GX:1.634 GY:-1.008 GZ:0.718 | T:24.95 C
I (555485) mpu6050 stream: AX:-0.092 AY:0.103 AZ:-0.947 | GX:2.504 GY:-0.931 GZ:0.916 | T:24.95 C
I (555495) mpu6050 stream: AX:-0.109 AY:0.105 AZ:-0.950 | GX:2.092 GY:-0.580 GZ:0.809 | T:24.95 C
I (555505) mpu6050 stream: AX:-0.099 AY:0.102 AZ:-0.953 | GX:0.519 GY:-1.145 GZ:0.840 | T:24.95 C
I (555515) mpu6050 stream: AX:-0.104 AY:0.100 AZ:-0.956 | GX:-1.649 GY:-1.710 GZ:0.809 | T:25.05 C
I (555525) mpu6050 stream: AX:-0.105 AY:0.106 AZ:-0.943 | GX:-1.664 GY:-1.634 GZ:0.855 | T:24.95 C
I (555535) mpu6050 stream: AX:-0.107 AY:0.105 AZ:-0.953 | GX:-1.450 GY:-1.298 GZ:1.023 | T:24.95 C
I (555545) mpu6050 stream: AX:-0.113 AY:0.115 AZ:-0.952 | GX:-0.748 GY:-1.298 GZ:1.313 | T:25.05 C
I (555555) mpu6050 stream: AX:-0.115 AY:0.118 AZ:-0.956 | GX:0.046 GY:-1.008 GZ:1.374 | T:25.05 C
I (555565) mpu6050 stream: AX:-0.113 AY:0.111 AZ:-0.947 | GX:0.382 GY:-0.382 GZ:1.511 | T:24.95 C
I (555575) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.953 | GX:0.672 GY:0.046 GZ:1.435 | T:24.95 C
I (555585) mpu6050 stream: AX:-0.114 AY:0.106 AZ:-0.948 | GX:0.168 GY:-0.550 GZ:1.267 | T:24.95 C
I (555595) mpu6050 stream: AX:-0.103 AY:0.107 AZ:-0.961 | GX:-0.153 GY:-0.489 GZ:1.160 | T:25.05 C
I (555605) mpu6050 stream: AX:-0.105 AY:0.107 AZ:-0.961 | GX:-0.260 GY:-0.244 GZ:0.885 | T:24.95 C
I (555615) mpu6050 stream: AX:-0.109 AY:0.108 AZ:-0.940 | GX:-0.198 GY:-0.412 GZ:0.565 | T:24.95 C
I (555625) mpu6050 stream: AX:-0.105 AY:0.113 AZ:-0.944 | GX:0.122 GY:-0.198 GZ:0.611 | T:25.05 C
I (555635) mpu6050 stream: AX:-0.101 AY:0.103 AZ:-0.954 | GX:0.412 GY:-0.702 GZ:0.534 | T:24.91 C
I (555645) mpu6050 stream: AX:-0.111 AY:0.107 AZ:-0.957 | GX:0.321 GY:-0.351 GZ:0.534 | T:25.00 C
I (555655) mpu6050 stream: AX:-0.108 AY:0.099 AZ:-0.958 | GX:-0.122 GY:0.290 GZ:0.733 | T:24.91 C
I (555665) mpu6050 stream: AX:-0.105 AY:0.105 AZ:-0.956 | GX:-0.779 GY:0.382 GZ:0.382 | T:24.91 C
I (555675) mpu6050 stream: AX:-0.102 AY:0.107 AZ:-0.944 | GX:-1.359 GY:-0.183 GZ:0.015 | T:25.00 C
I (555685) mpu6050 stream: AX:-0.102 AY:0.111 AZ:-0.950 | GX:-1.191 GY:-0.550 GZ:0.153 | T:24.91 C
I (555695) mpu6050 stream: AX:-0.101 AY:0.119 AZ:-0.946 | GX:-0.336 GY:-0.534 GZ:0.290 | T:24.91 C
I (555705) mpu6050 stream: AX:-0.106 AY:0.118 AZ:-0.944 | GX:0.382 GY:0.015 GZ:0.626 | T:25.00 C
I (555715) mpu6050 stream: AX:-0.108 AY:0.111 AZ:-0.947 | GX:1.145 GY:0.183 GZ:0.748 | T:25.00 C
I (555725) mpu6050 stream: AX:-0.107 AY:0.105 AZ:-0.954 | GX:1.191 GY:0.611 GZ:0.931 | T:25.00 C
I (555735) mpu6050 stream: AX:-0.110 AY:0.103 AZ:-0.960 | GX:0.489 GY:0.885 GZ:0.611 | T:25.00 C
I (555745) mpu6050 stream: AX:-0.105 AY:0.107 AZ:-0.944 | GX:-0.336 GY:0.855 GZ:0.626 | T:25.00 C
I (555755) mpu6050 stream: AX:-0.102 AY:0.108 AZ:-0.949 | GX:-0.916 GY:0.748 GZ:0.595 | T:25.00 C
I (555765) mpu6050 stream: AX:-0.097 AY:0.117 AZ:-0.951 | GX:-0.794 GY:0.763 GZ:0.702 | T:25.09 C
I (555775) mpu6050 stream: AX:-0.103 AY:0.120 AZ:-0.947 | GX:-0.260 GY:0.565 GZ:0.947 | T:24.91 C
I (555785) mpu6050 stream: AX:-0.104 AY:0.115 AZ:-0.953 | GX:0.366 GY:0.443 GZ:1.023 | T:25.00 C
I (555795) mpu6050 stream: AX:-0.104 AY:0.114 AZ:-0.951 | GX:0.947 GY:0.748 GZ:1.115 | T:24.91 C
I (555805) mpu6050 stream: AX:-0.098 AY:0.106 AZ:-0.957 | GX:1.237 GY:0.794 GZ:1.267 | T:24.91 C
I (555815) mpu6050 stream: AX:-0.099 AY:0.106 AZ:-0.955 | GX:0.779 GY:0.855 GZ:1.389 | T:25.00 C
I (555825) mpu6050 stream: AX:-0.105 AY:0.107 AZ:-0.946 | GX:0.595 GY:0.565 GZ:1.466 | T:25.00 C
I (555835) mpu6050 stream: AX:-0.099 AY:0.105 AZ:-0.937 | GX:0.305 GY:0.122 GZ:1.405 | T:25.00 C
I (555845) mpu6050 stream: AX:-0.102 AY:0.104 AZ:-0.940 | GX:0.092 GY:-0.198 GZ:1.328 | T:25.00 C
I (555855) mpu6050 stream: AX:-0.104 AY:0.109 AZ:-0.944 | GX:0.092 GY:-0.275 GZ:1.405 | T:25.00 C
I (555865) mpu6050 stream: AX:-0.101 AY:0.103 AZ:-0.948 | GX:-0.046 GY:0.015 GZ:1.511 | T:24.91 C
I (555875) mpu6050 stream: AX:-0.104 AY:0.104 AZ:-0.956 | GX:0.122 GY:-0.168 GZ:1.267 | T:24.91 C
I (555885) mpu6050 stream: AX:-0.113 AY:0.101 AZ:-0.954 | GX:0.015 GY:-0.076 GZ:1.435 | T:24.91 C
I (555895) mpu6050 stream: AX:-0.109 AY:0.105 AZ:-0.959 | GX:0.076 GY:-0.153 GZ:1.237 | T:24.91 C
I (555905) mpu6050 stream: AX:-0.103 AY:0.104 AZ:-0.959 | GX:-0.382 GY:0.153 GZ:1.374 | T:25.00 C
I (555915) mpu6050 stream: AX:-0.106 AY:0.105 AZ:-0.954 | GX:-0.336 GY:0.290 GZ:1.130 | T:25.05 C
I (555925) mpu6050 stream: AX:-0.105 AY:0.105 AZ:-0.955 | GX:0.107 GY:0.427 GZ:0.992 | T:24.95 C
I (555935) mpu6050 stream: AX:-0.103 AY:0.106 AZ:-0.952 | GX:0.076 GY:0.656 GZ:1.374 | T:25.05 C
I (555945) mpu6050 stream: AX:-0.098 AY:0.107 AZ:-0.950 | GX:0.534 GY:0.626 GZ:1.405 | T:25.14 C
I (555955) mpu6050 stream: AX:-0.103 AY:0.098 AZ:-0.951 | GX:0.397 GY:0.550 GZ:1.130 | T:24.95 C
I (555965) mpu6050 stream: AX:-0.103 AY:0.108 AZ:-0.953 | GX:-0.137 GY:0.382 GZ:1.344 | T:25.05 C
I (555975) mpu6050 stream: AX:-0.102 AY:0.096 AZ:-0.950 | GX:-0.473 GY:0.092 GZ:1.313 | T:25.05 C
I (555985) mpu6050 stream: AX:-0.099 AY:0.099 AZ:-0.950 | GX:-0.870 GY:0.244 GZ:1.176 | T:24.95 C
I (555995) mpu6050 stream: AX:-0.104 AY:0.101 AZ:-0.948 | GX:-0.763 GY:0.183 GZ:0.931 | T:24.95 C
I (556005) mpu6050 stream: AX:-0.106 AY:0.106 AZ:-0.945 | GX:-0.626 GY:0.290 GZ:1.069 | T:24.95 C
I (556015) mpu6050 stream: AX:-0.108 AY:0.104 AZ:-0.943 | GX:-0.443 GY:0.321 GZ:1.115 | T:24.95 C
I (556025) mpu6050 stream: AX:-0.101 AY:0.101 AZ:-0.947 | GX:-0.305 GY:0.275 GZ:1.069 | T:25.05 C
I (556035) mpu6050 stream: AX:-0.094 AY:0.109 AZ:-0.952 | GX:-0.275 GY:0.214 GZ:0.947 | T:25.05 C
I (556045) mpu6050 stream: AX:-0.101 AY:0.105 AZ:-0.938 | GX:-0.336 GY:0.260 GZ:0.611 | T:25.05 C
I (556055) mpu6050 stream: AX:-0.100 AY:0.102 AZ:-0.952 | GX:-0.641 GY:0.031 GZ:0.870 | T:24.86 C
I (556065) mpu6050 stream: AX:-0.107 AY:0.111 AZ:-0.959 | GX:-0.580 GY:-0.031 GZ:0.611 | T:25.05 C
I (556075) mpu6050 stream: AX:-0.105 AY:0.113 AZ:-0.954 | GX:-0.641 GY:-0.168 GZ:0.626 | T:25.05 C
I (556085) mpu6050 stream: AX:-0.110 AY:0.110 AZ:-0.957 | GX:-0.595 GY:-0.351 GZ:0.382 | T:25.05 C
I (556095) mpu6050 stream: AX:-0.101 AY:0.101 AZ:-0.954 | GX:-0.656 GY:-0.153 GZ:0.504 | T:24.95 C
I (556105) mpu6050 stream: AX:-0.101 AY:0.112 AZ:-0.954 | GX:-0.412 GY:0.137 GZ:0.504 | T:25.05 C
I (556115) mpu6050 stream: AX:-0.102 AY:0.111 AZ:-0.959 | GX:-0.321 GY:0.519 GZ:0.626 | T:25.05 C
I (556125) mpu6050 stream: AX:-0.100 AY:0.104 AZ:-0.950 | GX:0.000 GY:0.580 GZ:0.809 | T:24.95 C
