I (230715) mpu6050 stream: AX:-0.182 AY:0.094 AZ:-0.930 | GX:1.908 GY:-1.878 GZ:0.504 | T:25.33 C
I (230725) mpu6050 stream: AX:-0.184 AY:0.094 AZ:-0.942 | GX:1.344 GY:-1.756 GZ:0.305 | T:25.14 C
I (230735) mpu6050 stream: AX:-0.188 AY:0.102 AZ:-0.931 | GX:1.008 GY:-1.725 GZ:0.046 | T:25.24 C
I (230745) mpu6050 stream: AX:-0.189 AY:0.097 AZ:-0.946 | GX:0.611 GY:-1.802 GZ:-0.015 | T:25.24 C
I (230755) mpu6050 stream: AX:-0.196 AY:0.109 AZ:-0.941 | GX:0.718 GY:-1.542 GZ:0.122 | T:25.28 C
I (230765) mpu6050 stream: AX:-0.190 AY:0.111 AZ:-0.953 | GX:1.145 GY:-1.008 GZ:0.397 | T:25.28 C
I (230775) mpu6050 stream: AX:-0.195 AY:0.107 AZ:-0.937 | GX:1.679 GY:-0.550 GZ:0.504 | T:25.28 C
I (230785) mpu6050 stream: AX:-0.200 AY:0.107 AZ:-0.946 | GX:1.908 GY:-0.366 GZ:0.824 | T:25.28 C
I (230795) mpu6050 stream: AX:-0.193 AY:0.101 AZ:-0.938 | GX:1.908 GY:-0.122 GZ:1.038 | T:25.28 C
I (230805) mpu6050 stream: AX:-0.195 AY:0.105 AZ:-0.944 | GX:1.786 GY:-0.321 GZ:1.221 | T:25.19 C
I (230815) mpu6050 stream: AX:-0.198 AY:0.108 AZ:-0.944 | GX:1.603 GY:-0.061 GZ:1.603 | T:25.19 C
I (230825) mpu6050 stream: AX:-0.198 AY:0.103 AZ:-0.940 | GX:1.328 GY:0.351 GZ:1.740 | T:25.28 C
I (230835) mpu6050 stream: AX:-0.196 AY:0.099 AZ:-0.944 | GX:1.267 GY:0.397 GZ:1.817 | T:25.28 C
I (230845) mpu6050 stream: AX:-0.200 AY:0.096 AZ:-0.947 | GX:1.191 GY:0.397 GZ:2.168 | T:25.28 C
I (230855) mpu6050 stream: AX:-0.194 AY:0.098 AZ:-0.942 | GX:1.527 GY:0.260 GZ:2.275 | T:25.19 C
I (230865) mpu6050 stream: AX:-0.192 AY:0.099 AZ:-0.947 | GX:1.053 GY:0.855 GZ:2.076 | T:25.19 C
I (230875) mpu6050 stream: AX:-0.193 AY:0.095 AZ:-0.938 | GX:0.809 GY:0.992 GZ:2.260 | T:25.28 C
I (230885) mpu6050 stream: AX:-0.195 AY:0.093 AZ:-0.941 | GX:0.763 GY:1.328 GZ:2.229 | T:25.38 C
I (230895) mpu6050 stream: AX:-0.190 AY:0.090 AZ:-0.933 | GX:0.885 GY:1.176 GZ:2.198 | T:25.19 C
I (230905) mpu6050 stream: AX:-0.192 AY:0.094 AZ:-0.933 | GX:0.855 GY:1.069 GZ:2.229 | T:25.19 C
I (230915) mpu6050 stream: AX:-0.194 AY:0.092 AZ:-0.942 | GX:0.718 GY:1.191 GZ:2.015 | T:25.38 C
I (230925) mpu6050 stream: AX:-0.193 AY:0.093 AZ:-0.933 | GX:0.321 GY:0.855 GZ:2.092 | T:25.19 C
I (230935) mpu6050 stream: AX:-0.195 AY:0.085 AZ:-0.932 | GX:0.229 GY:1.252 GZ:1.878 | T:25.19 C
I (230945) mpu6050 stream: AX:-0.185 AY:0.088 AZ:-0.933 | GX:0.198 GY:1.069 GZ:1.740 | T:25.28 C
I (230955) mpu6050 stream: AX:-0.188 AY:0.085 AZ:-0.935 | GX:0.122 GY:0.870 GZ:1.557 | T:25.19 C
I (230965) mpu6050 stream: AX:-0.185 AY:0.088 AZ:-0.938 | GX:0.092 GY:0.947 GZ:1.435 | T:25.28 C
I (230975) mpu6050 stream: AX:-0.188 AY:0.097 AZ:-0.936 | GX:-0.305 GY:0.916 GZ:1.237 | T:25.28 C
I (230985) mpu6050 stream: AX:-0.180 AY:0.089 AZ:-0.936 | GX:-0.168 GY:0.763 GZ:1.145 | T:25.19 C
I (230995) mpu6050 stream: AX:-0.181 AY:0.092 AZ:-0.931 | GX:0.046 GY:0.534 GZ:0.626 | T:25.19 C
I (231005) mpu6050 stream: AX:-0.179 AY:0.095 AZ:-0.933 | GX:-0.183 GY:0.305 GZ:0.504 | T:25.28 C
I (231015) mpu6050 stream: AX:-0.179 AY:0.086 AZ:-0.935 | GX:-0.244 GY:0.244 GZ:0.229 | T:25.19 C
I (231025) mpu6050 stream: AX:-0.185 AY:0.095 AZ:-0.942 | GX:-0.519 GY:0.107 GZ:0.046 | T:25.19 C
I (231035) mpu6050 stream: AX:-0.188 AY:0.096 AZ:-0.941 | GX:-0.366 GY:0.427 GZ:-0.031 | T:25.19 C
I (231045) mpu6050 stream: AX:-0.187 AY:0.097 AZ:-0.941 | GX:-0.305 GY:0.183 GZ:-0.092 | T:25.19 C
I (231055) mpu6050 stream: AX:-0.193 AY:0.093 AZ:-0.938 | GX:-0.198 GY:0.504 GZ:0.031 | T:25.28 C
I (231065) mpu6050 stream: AX:-0.191 AY:0.105 AZ:-0.940 | GX:0.107 GY:0.565 GZ:0.153 | T:25.19 C
I (231075) mpu6050 stream: AX:-0.186 AY:0.098 AZ:-0.941 | GX:-0.031 GY:0.519 GZ:0.412 | T:25.19 C
I (231085) mpu6050 stream: AX:-0.191 AY:0.104 AZ:-0.929 | GX:-0.183 GY:0.656 GZ:0.305 | T:25.19 C
I (231095) mpu6050 stream: AX:-0.185 AY:0.104 AZ:-0.937 | GX:-0.153 GY:0.641 GZ:0.809 | T:25.19 C
I (231105) mpu6050 stream: AX:-0.188 AY:0.104 AZ:-0.937 | GX:-0.351 GY:0.840 GZ:0.901 | T:25.28 C
I (231115) mpu6050 stream: AX:-0.188 AY:0.100 AZ:-0.931 | GX:-0.290 GY:0.733 GZ:1.221 | T:25.24 C
I (231125) mpu6050 stream: AX:-0.177 AY:0.100 AZ:-0.937 | GX:-0.229 GY:0.656 GZ:1.115 | T:25.14 C
I (231135) mpu6050 stream: AX:-0.186 AY:0.103 AZ:-0.934 | GX:0.061 GY:0.824 GZ:1.313 | T:25.24 C
I (231145) mpu6050 stream: AX:-0.187 AY:0.104 AZ:-0.940 | GX:0.122 GY:0.580 GZ:1.405 | T:25.24 C
I (231155) mpu6050 stream: AX:-0.182 AY:0.096 AZ:-0.946 | GX:0.107 GY:0.336 GZ:1.450 | T:25.14 C
I (231165) mpu6050 stream: AX:-0.188 AY:0.086 AZ:-0.945 | GX:0.000 GY:0.733 GZ:1.237 | T:25.24 C
I (231175) mpu6050 stream: AX:-0.184 AY:0.088 AZ:-0.939 | GX:-0.519 GY:0.656 GZ:1.099 | T:25.33 C
I (231185) mpu6050 stream: AX:-0.184 AY:0.092 AZ:-0.945 | GX:-1.069 GY:0.641 GZ:1.038 | T:25.24 C
I (231195) mpu6050 stream: AX:-0.178 AY:0.097 AZ:-0.954 | GX:-1.435 GY:0.824 GZ:0.992 | T:25.24 C
I (231205) mpu6050 stream: AX:-0.183 AY:0.104 AZ:-0.938 | GX:-1.282 GY:0.885 GZ:0.718 | T:25.24 C
I (231215) mpu6050 stream: AX:-0.178 AY:0.108 AZ:-0.934 | GX:-0.076 GY:0.427 GZ:0.763 | T:25.24 C
