I (481295) mpu6050 stream: AX:-0.099 AY:0.087 AZ:-0.963 | GX:0.137 GY:1.176 GZ:1.710 | T:25.09 C
I (481305) mpu6050 stream: AX:-0.102 AY:0.088 AZ:-0.962 | GX:-0.046 GY:1.115 GZ:1.710 | T:25.00 C
I (481315) mpu6050 stream: AX:-0.098 AY:0.090 AZ:-0.958 | GX:-0.931 GY:1.267 GZ:1.786 | T:25.09 C
I (481325) mpu6050 stream: AX:-0.096 AY:0.094 AZ:-0.955 | GX:-1.405 GY:1.160 GZ:1.618 | T:25.00 C
I (481335) mpu6050 stream: AX:-0.100 AY:0.107 AZ:-0.959 | GX:-1.313 GY:1.160 GZ:1.603 | T:25.09 C
I (481345) mpu6050 stream: AX:-0.097 AY:0.104 AZ:-0.954 | GX:-0.198 GY:1.298 GZ:1.878 | T:25.09 C
I (481355) mpu6050 stream: AX:-0.087 AY:0.102 AZ:-0.960 | GX:1.130 GY:1.191 GZ:2.244 | T:25.00 C
I (481365) mpu6050 stream: AX:-0.090 AY:0.098 AZ:-0.944 | GX:2.031 GY:1.206 GZ:2.641 | T:25.09 C
I (481375) mpu6050 stream: AX:-0.095 AY:0.095 AZ:-0.954 | GX:2.092 GY:1.466 GZ:2.702 | T:25.09 C
I (481385) mpu6050 stream: AX:-0.098 AY:0.087 AZ:-0.954 | GX:1.053 GY:1.557 GZ:2.733 | T:25.09 C
I (481395) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.946 | GX:-0.260 GY:1.344 GZ:2.672 | T:25.09 C
I (481405) mpu6050 stream: AX:-0.092 AY:0.093 AZ:-0.952 | GX:-1.115 GY:1.053 GZ:2.809 | T:25.00 C
I (481415) mpu6050 stream: AX:-0.095 AY:0.091 AZ:-0.945 | GX:-0.916 GY:0.840 GZ:3.023 | T:25.09 C
I (481425) mpu6050 stream: AX:-0.095 AY:0.096 AZ:-0.947 | GX:-0.076 GY:0.916 GZ:3.069 | T:25.00 C
I (481435) mpu6050 stream: AX:-0.095 AY:0.091 AZ:-0.952 | GX:0.748 GY:0.992 GZ:2.947 | T:25.09 C
I (481445) mpu6050 stream: AX:-0.090 AY:0.094 AZ:-0.948 | GX:0.962 GY:1.115 GZ:2.702 | T:25.00 C
I (481455) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.944 | GX:1.053 GY:1.069 GZ:2.519 | T:25.09 C
I (481465) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.938 | GX:0.687 GY:0.809 GZ:2.351 | T:25.09 C
I (481475) mpu6050 stream: AX:-0.091 AY:0.087 AZ:-0.953 | GX:-0.015 GY:0.534 GZ:2.198 | T:25.09 C
I (481485) mpu6050 stream: AX:-0.095 AY:0.084 AZ:-0.949 | GX:-0.031 GY:0.595 GZ:1.817 | T:25.09 C
I (481495) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.950 | GX:0.046 GY:0.137 GZ:1.756 | T:25.09 C
I (481505) mpu6050 stream: AX:-0.089 AY:0.089 AZ:-0.945 | GX:0.794 GY:0.214 GZ:1.466 | T:25.09 C
I (481515) mpu6050 stream: AX:-0.088 AY:0.095 AZ:-0.951 | GX:1.038 GY:-0.183 GZ:1.466 | T:25.09 C
I (481525) mpu6050 stream: AX:-0.099 AY:0.086 AZ:-0.958 | GX:1.206 GY:0.061 GZ:1.374 | T:25.00 C
I (481535) mpu6050 stream: AX:-0.098 AY:0.090 AZ:-0.961 | GX:0.977 GY:0.275 GZ:1.359 | T:25.00 C
I (481545) mpu6050 stream: AX:-0.093 AY:0.082 AZ:-0.957 | GX:0.443 GY:0.687 GZ:1.557 | T:25.09 C
I (481555) mpu6050 stream: AX:-0.093 AY:0.091 AZ:-0.960 | GX:-0.061 GY:0.763 GZ:1.481 | T:25.09 C
I (481565) mpu6050 stream: AX:-0.089 AY:0.092 AZ:-0.949 | GX:0.153 GY:0.504 GZ:1.328 | T:25.09 C
I (481575) mpu6050 stream: AX:-0.093 AY:0.098 AZ:-0.955 | GX:0.519 GY:0.275 GZ:1.573 | T:25.00 C
I (481585) mpu6050 stream: AX:-0.090 AY:0.091 AZ:-0.957 | GX:0.885 GY:0.076 GZ:1.756 | T:25.09 C
I (481595) mpu6050 stream: AX:-0.102 AY:0.088 AZ:-0.951 | GX:1.115 GY:-0.015 GZ:2.076 | T:25.19 C
I (481605) mpu6050 stream: AX:-0.092 AY:0.084 AZ:-0.949 | GX:0.901 GY:0.061 GZ:2.153 | T:25.09 C
I (481615) mpu6050 stream: AX:-0.096 AY:0.086 AZ:-0.953 | GX:0.382 GY:-0.107 GZ:2.305 | T:25.09 C
I (481625) mpu6050 stream: AX:-0.089 AY:0.088 AZ:-0.961 | GX:-0.275 GY:-0.031 GZ:2.397 | T:25.09 C
I (481635) mpu6050 stream: AX:-0.092 AY:0.093 AZ:-0.957 | GX:-0.382 GY:0.382 GZ:2.366 | T:25.09 C
