I (511345) mpu6050 stream: AX:-0.082 AY:0.102 AZ:-0.964 | GX:0.092 GY:-0.305 GZ:0.504 | T:25.09 C
I (511355) mpu6050 stream: AX:-0.076 AY:0.090 AZ:-0.951 | GX:0.885 GY:0.107 GZ:0.763 | T:25.09 C
I (511365) mpu6050 stream: AX:-0.075 AY:0.084 AZ:-0.963 | GX:0.733 GY:0.168 GZ:0.733 | T:25.00 C
I (511375) mpu6050 stream: AX:-0.078 AY:0.082 AZ:-0.959 | GX:0.336 GY:0.351 GZ:0.641 | T:25.00 C
I (511385) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.967 | GX:-0.595 GY:0.473 GZ:0.519 | T:25.00 C
I (511395) mpu6050 stream: AX:-0.085 AY:0.094 AZ:-0.952 | GX:-1.099 GY:0.473 GZ:0.275 | T:25.09 C
I (511405) mpu6050 stream: AX:-0.082 AY:0.099 AZ:-0.952 | GX:-1.099 GY:0.550 GZ:0.458 | T:25.00 C
I (511415) mpu6050 stream: AX:-0.078 AY:0.096 AZ:-0.960 | GX:-0.519 GY:0.656 GZ:0.641 | T:25.00 C
I (511425) mpu6050 stream: AX:-0.078 AY:0.090 AZ:-0.957 | GX:0.305 GY:0.611 GZ:0.748 | T:25.00 C
I (511435) mpu6050 stream: AX:-0.082 AY:0.088 AZ:-0.953 | GX:0.977 GY:0.565 GZ:0.779 | T:25.00 C
I (511445) mpu6050 stream: AX:-0.074 AY:0.089 AZ:-0.957 | GX:1.115 GY:0.504 GZ:0.916 | T:24.91 C
I (511455) mpu6050 stream: AX:-0.077 AY:0.093 AZ:-0.949 | GX:0.962 GY:0.718 GZ:0.916 | T:25.09 C
I (511465) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.954 | GX:0.351 GY:0.489 GZ:1.145 | T:25.00 C
I (511475) mpu6050 stream: AX:-0.074 AY:0.091 AZ:-0.953 | GX:0.092 GY:0.137 GZ:1.191 | T:25.00 C
I (511485) mpu6050 stream: AX:-0.080 AY:0.090 AZ:-0.958 | GX:-0.168 GY:-0.168 GZ:1.511 | T:25.00 C
I (511495) mpu6050 stream: AX:-0.075 AY:0.089 AZ:-0.955 | GX:-0.031 GY:0.107 GZ:1.405 | T:25.09 C
I (511505) mpu6050 stream: AX:-0.081 AY:0.091 AZ:-0.962 | GX:0.061 GY:-0.122 GZ:1.664 | T:25.09 C
I (511515) mpu6050 stream: AX:-0.079 AY:0.085 AZ:-0.956 | GX:0.122 GY:0.260 GZ:1.817 | T:25.00 C
I (511525) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.964 | GX:0.214 GY:0.458 GZ:1.908 | T:25.00 C
I (511535) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.959 | GX:0.076 GY:0.519 GZ:1.924 | T:24.91 C
I (511545) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.957 | GX:0.153 GY:0.748 GZ:2.061 | T:25.00 C
I (511555) mpu6050 stream: AX:-0.077 AY:0.083 AZ:-0.953 | GX:0.290 GY:0.565 GZ:1.847 | T:25.00 C
I (511565) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.956 | GX:0.366 GY:0.382 GZ:1.817 | T:25.00 C
I (511575) mpu6050 stream: AX:-0.077 AY:0.084 AZ:-0.956 | GX:0.397 GY:0.244 GZ:1.740 | T:25.00 C
I (511585) mpu6050 stream: AX:-0.079 AY:0.081 AZ:-0.954 | GX:0.214 GY:0.565 GZ:1.618 | T:25.00 C
I (511595) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.956 | GX:-0.107 GY:0.412 GZ:1.511 | T:25.00 C
I (511605) mpu6050 stream: AX:-0.071 AY:0.084 AZ:-0.956 | GX:-0.153 GY:0.687 GZ:1.359 | T:25.00 C
I (511615) mpu6050 stream: AX:-0.075 AY:0.090 AZ:-0.962 | GX:-0.351 GY:0.366 GZ:1.191 | T:25.00 C
I (511625) mpu6050 stream: AX:-0.075 AY:0.089 AZ:-0.951 | GX:-0.260 GY:0.092 GZ:1.023 | T:25.00 C
I (511635) mpu6050 stream: AX:-0.069 AY:0.080 AZ:-0.949 | GX:-0.198 GY:0.366 GZ:0.931 | T:25.00 C
I (511645) mpu6050 stream: AX:-0.077 AY:0.080 AZ:-0.950 | GX:-0.107 GY:-0.137 GZ:0.916 | T:25.00 C
I (511655) mpu6050 stream: AX:-0.078 AY:0.083 AZ:-0.955 | GX:0.061 GY:-0.031 GZ:0.779 | T:25.00 C
I (511665) mpu6050 stream: AX:-0.081 AY:0.087 AZ:-0.957 | GX:-0.107 GY:0.076 GZ:0.748 | T:25.09 C
I (511675) mpu6050 stream: AX:-0.071 AY:0.086 AZ:-0.957 | GX:-0.275 GY:-0.031 GZ:0.626 | T:25.09 C
I (511685) mpu6050 stream: AX:-0.075 AY:0.086 AZ:-0.949 | GX:-0.305 GY:-0.214 GZ:0.611 | T:25.09 C
I (511695) mpu6050 stream: AX:-0.082 AY:0.092 AZ:-0.962 | GX:-0.198 GY:-0.305 GZ:0.916 | T:24.91 C
I (511705) mpu6050 stream: AX:-0.076 AY:0.089 AZ:-0.954 | GX:0.214 GY:-0.183 GZ:0.733 | T:25.00 C
I (511715) mpu6050 stream: AX:-0.079 AY:0.080 AZ:-0.960 | GX:0.198 GY:0.092 GZ:0.809 | T:25.09 C
I (511725) mpu6050 stream: AX:-0.074 AY:0.083 AZ:-0.959 | GX:0.214 GY:0.046 GZ:0.687 | T:25.09 C
I (511735) mpu6050 stream: AX:-0.078 AY:0.081 AZ:-0.960 | GX:-0.076 GY:-0.092 GZ:0.550 | T:24.91 C
I (511745) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.965 | GX:-1.069 GY:0.168 GZ:0.641 | T:25.00 C
I (511755) mpu6050 stream: AX:-0.077 AY:0.088 AZ:-0.974 | GX:-1.725 GY:0.061 GZ:0.718 | T:25.05 C
I (511765) mpu6050 stream: AX:-0.072 AY:0.102 AZ:-0.964 | GX:-1.710 GY:0.366 GZ:0.565 | T:25.05 C
I (511775) mpu6050 stream: AX:-0.074 AY:0.095 AZ:-0.952 | GX:-0.733 GY:0.290 GZ:0.962 | T:24.95 C
I (511785) mpu6050 stream: AX:-0.078 AY:0.098 AZ:-0.949 | GX:0.931 GY:0.305 GZ:1.130 | T:24.95 C
I (511795) mpu6050 stream: AX:-0.072 AY:0.093 AZ:-0.955 | GX:1.908 GY:0.168 GZ:1.252 | T:24.95 C
I (511805) mpu6050 stream: AX:-0.078 AY:0.089 AZ:-0.944 | GX:1.939 GY:0.366 GZ:1.221 | T:25.05 C
I (511815) mpu6050 stream: AX:-0.074 AY:0.085 AZ:-0.954 | GX:2.000 GY:-0.107 GZ:1.389 | T:25.05 C
I (511825) mpu6050 stream: AX:-0.078 AY:0.076 AZ:-0.942 | GX:-1.725 GY:-0.290 GZ:1.221 | T:24.95 C
I (511835) mpu6050 stream: AX:-0.072 AY:0.081 AZ:-0.942 | GX:-1.649 GY:-1.176 GZ:1.252 | T:24.95 C
I (511845) mpu6050 stream: AX:-0.075 AY:0.092 AZ:-0.948 | GX:-1.924 GY:-1.328 GZ:1.130 | T:24.95 C
I (511855) mpu6050 stream: AX:-0.084 AY:0.095 AZ:-0.952 | GX:-1.099 GY:-1.145 GZ:1.267 | T:25.05 C
I (511865) mpu6050 stream: AX:-0.073 AY:0.092 AZ:-0.951 | GX:-0.351 GY:-1.145 GZ:1.359 | T:25.05 C
I (511875) mpu6050 stream: AX:-0.082 AY:0.090 AZ:-0.947 | GX:0.260 GY:-1.069 GZ:1.374 | T:24.95 C
I (511885) mpu6050 stream: AX:-0.081 AY:0.088 AZ:-0.952 | GX:1.221 GY:-0.885 GZ:1.405 | T:25.05 C
I (511895) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.958 | GX:0.214 GY:-1.282 GZ:1.069 | T:25.05 C
I (511905) mpu6050 stream: AX:-0.084 AY:0.078 AZ:-0.954 | GX:-0.260 GY:-0.931 GZ:1.191 | T:25.05 C
I (511915) mpu6050 stream: AX:-0.082 AY:0.090 AZ:-0.951 | GX:-0.779 GY:-0.733 GZ:0.962 | T:25.05 C
I (511925) mpu6050 stream: AX:-0.086 AY:0.084 AZ:-0.954 | GX:-0.748 GY:-0.412 GZ:0.656 | T:25.05 C
I (511935) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.962 | GX:-0.153 GY:-0.458 GZ:0.702 | T:24.95 C
I (511945) mpu6050 stream: AX:-0.082 AY:0.095 AZ:-0.963 | GX:0.458 GY:0.000 GZ:0.519 | T:25.14 C
I (511955) mpu6050 stream: AX:-0.081 AY:0.084 AZ:-0.963 | GX:0.840 GY:0.015 GZ:0.901 | T:25.05 C
I (511965) mpu6050 stream: AX:-0.083 AY:0.080 AZ:-0.957 | GX:0.641 GY:0.550 GZ:0.931 | T:25.05 C
I (511975) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.966 | GX:-0.198 GY:0.550 GZ:0.733 | T:25.05 C
I (511985) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.961 | GX:-0.840 GY:0.534 GZ:0.672 | T:25.05 C
I (511995) mpu6050 stream: AX:-0.081 AY:0.089 AZ:-0.960 | GX:-0.870 GY:0.366 GZ:0.656 | T:25.05 C
I (512005) mpu6050 stream: AX:-0.080 AY:0.095 AZ:-0.955 | GX:-0.183 GY:0.443 GZ:0.595 | T:25.14 C
I (512015) mpu6050 stream: AX:-0.081 AY:0.093 AZ:-0.959 | GX:0.443 GY:0.351 GZ:1.038 | T:25.05 C
I (512025) mpu6050 stream: AX:-0.087 AY:0.086 AZ:-0.958 | GX:1.084 GY:0.702 GZ:1.206 | T:25.05 C
I (512035) mpu6050 stream: AX:-0.080 AY:0.088 AZ:-0.954 | GX:1.176 GY:1.053 GZ:1.237 | T:24.95 C
I (512045) mpu6050 stream: AX:-0.073 AY:0.079 AZ:-0.954 | GX:0.763 GY:0.916 GZ:1.237 | T:25.05 C
I (512055) mpu6050 stream: AX:-0.071 AY:0.081 AZ:-0.956 | GX:0.015 GY:0.595 GZ:1.145 | T:24.95 C
I (512065) mpu6050 stream: AX:-0.078 AY:0.090 AZ:-0.949 | GX:-0.443 GY:0.611 GZ:1.130 | T:24.95 C
I (512075) mpu6050 stream: AX:-0.076 AY:0.088 AZ:-0.956 | GX:-0.366 GY:0.229 GZ:1.206 | T:25.05 C
I (512085) mpu6050 stream: AX:-0.079 AY:0.088 AZ:-0.955 | GX:-0.015 GY:0.534 GZ:0.977 | T:25.05 C
I (512095) mpu6050 stream: AX:-0.083 AY:0.092 AZ:-0.951 | GX:0.718 GY:0.427 GZ:1.298 | T:24.95 C
I (512105) mpu6050 stream: AX:-0.078 AY:0.079 AZ:-0.953 | GX:0.977 GY:0.718 GZ:1.450 | T:25.05 C
I (512115) mpu6050 stream: AX:-0.073 AY:0.087 AZ:-0.958 | GX:0.931 GY:0.672 GZ:1.466 | T:24.95 C
I (512125) mpu6050 stream: AX:-0.083 AY:0.081 AZ:-0.954 | GX:0.870 GY:0.763 GZ:1.603 | T:25.05 C
I (512135) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.957 | GX:0.412 GY:0.290 GZ:1.344 | T:25.05 C
I (512145) mpu6050 stream: AX:-0.078 AY:0.082 AZ:-0.946 | GX:0.275 GY:0.000 GZ:1.328 | T:25.05 C
I (512155) mpu6050 stream: AX:-0.077 AY:0.080 AZ:-0.955 | GX:0.153 GY:-0.107 GZ:1.374 | T:24.95 C
I (512165) mpu6050 stream: AX:-0.077 AY:0.079 AZ:-0.959 | GX:0.229 GY:-0.290 GZ:1.511 | T:25.05 C
I (512175) mpu6050 stream: AX:-0.073 AY:0.083 AZ:-0.966 | GX:0.229 GY:-0.351 GZ:1.221 | T:24.95 C
I (512185) mpu6050 stream: AX:-0.071 AY:0.084 AZ:-0.949 | GX:0.321 GY:-0.443 GZ:1.298 | T:25.05 C
I (512195) mpu6050 stream: AX:-0.079 AY:0.084 AZ:-0.959 | GX:0.244 GY:-0.672 GZ:1.176 | T:25.05 C
I (512205) mpu6050 stream: AX:-0.087 AY:0.083 AZ:-0.953 | GX:0.168 GY:-0.427 GZ:1.313 | T:25.05 C
I (512215) mpu6050 stream: AX:-0.083 AY:0.085 AZ:-0.962 | GX:0.168 GY:-0.198 GZ:1.267 | T:25.05 C
I (512225) mpu6050 stream: AX:-0.086 AY:0.080 AZ:-0.971 | GX:0.275 GY:-0.061 GZ:1.267 | T:25.05 C
I (512235) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.950 | GX:0.321 GY:0.046 GZ:1.252 | T:25.05 C
I (512245) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.954 | GX:0.458 GY:0.290 GZ:1.237 | T:25.05 C
I (512255) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.957 | GX:0.214 GY:0.794 GZ:1.267 | T:25.05 C
I (512265) mpu6050 stream: AX:-0.077 AY:0.080 AZ:-0.957 | GX:0.153 GY:0.794 GZ:1.221 | T:25.05 C
I (512275) mpu6050 stream: AX:-0.071 AY:0.084 AZ:-0.955 | GX:0.076 GY:0.611 GZ:1.328 | T:25.05 C
I (512285) mpu6050 stream: AX:-0.072 AY:0.081 AZ:-0.958 | GX:-0.046 GY:0.763 GZ:1.206 | T:25.14 C
I (512295) mpu6050 stream: AX:-0.080 AY:0.086 AZ:-0.944 | GX:0.031 GY:0.092 GZ:1.313 | T:25.05 C
I (512305) mpu6050 stream: AX:-0.073 AY:0.087 AZ:-0.949 | GX:-0.275 GY:-0.137 GZ:1.298 | T:24.95 C
I (512315) mpu6050 stream: AX:-0.075 AY:0.086 AZ:-0.948 | GX:-0.183 GY:0.046 GZ:1.359 | T:25.05 C
I (512325) mpu6050 stream: AX:-0.073 AY:0.086 AZ:-0.944 | GX:-0.305 GY:-0.595 GZ:1.206 | T:24.95 C
I (512335) mpu6050 stream: AX:-0.079 AY:0.085 AZ:-0.946 | GX:0.076 GY:-0.412 GZ:1.191 | T:25.05 C
I (512345) mpu6050 stream: AX:-0.082 AY:0.086 AZ:-0.962 | GX:-0.046 GY:-0.504 GZ:1.176 | T:25.05 C
I (512355) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.953 | GX:0.168 GY:-0.260 GZ:0.885 | T:25.05 C
I (512365) mpu6050 stream: AX:-0.084 AY:0.086 AZ:-0.968 | GX:0.076 GY:-0.275 GZ:0.992 | T:24.95 C
I (512375) mpu6050 stream: AX:-0.081 AY:0.085 AZ:-0.950 | GX:0.076 GY:-0.397 GZ:0.947 | T:25.05 C
I (512385) mpu6050 stream: AX:-0.083 AY:0.079 AZ:-0.965 | GX:0.214 GY:-0.229 GZ:1.038 | T:25.05 C
I (512395) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.957 | GX:0.382 GY:0.076 GZ:0.916 | T:24.95 C
I (512405) mpu6050 stream: AX:-0.076 AY:0.076 AZ:-0.958 | GX:-0.168 GY:0.260 GZ:0.580 | T:25.14 C
I (512415) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.950 | GX:-0.519 GY:0.351 GZ:0.641 | T:24.95 C
I (512425) mpu6050 stream: AX:-0.074 AY:0.083 AZ:-0.960 | GX:-1.008 GY:0.275 GZ:0.687 | T:24.95 C
I (512435) mpu6050 stream: AX:-0.077 AY:0.095 AZ:-0.965 | GX:-1.420 GY:0.153 GZ:0.427 | T:25.05 C
I (512445) mpu6050 stream: AX:-0.074 AY:0.094 AZ:-0.959 | GX:-0.947 GY:-0.290 GZ:0.641 | T:25.05 C
I (512455) mpu6050 stream: AX:-0.087 AY:0.097 AZ:-0.950 | GX:0.412 GY:-0.061 GZ:0.779 | T:25.05 C
I (512465) mpu6050 stream: AX:-0.082 AY:0.087 AZ:-0.953 | GX:1.939 GY:0.046 GZ:1.069 | T:25.05 C
I (512475) mpu6050 stream: AX:-0.078 AY:0.082 AZ:-0.951 | GX:2.305 GY:0.397 GZ:1.252 | T:24.95 C
I (512485) mpu6050 stream: AX:-0.078 AY:0.074 AZ:-0.958 | GX:1.481 GY:0.137 GZ:1.221 | T:25.05 C
I (512495) mpu6050 stream: AX:-0.080 AY:0.077 AZ:-0.958 | GX:-0.031 GY:-0.092 GZ:1.221 | T:25.09 C
I (512505) mpu6050 stream: AX:-0.077 AY:0.075 AZ:-0.963 | GX:-1.557 GY:-0.534 GZ:1.267 | T:25.00 C
I (512515) mpu6050 stream: AX:-0.074 AY:0.086 AZ:-0.955 | GX:-2.046 GY:-0.672 GZ:1.252 | T:25.09 C
I (512525) mpu6050 stream: AX:-0.084 AY:0.086 AZ:-0.951 | GX:-1.725 GY:-0.931 GZ:1.313 | T:25.00 C
I (512535) mpu6050 stream: AX:-0.081 AY:0.089 AZ:-0.958 | GX:-0.870 GY:-0.702 GZ:1.420 | T:25.00 C
I (512545) mpu6050 stream: AX:-0.081 AY:0.088 AZ:-0.952 | GX:0.107 GY:-0.641 GZ:1.405 | T:25.09 C
I (512555) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.951 | GX:0.641 GY:-0.534 GZ:1.389 | T:25.00 C
I (512565) mpu6050 stream: AX:-0.085 AY:0.076 AZ:-0.953 | GX:0.427 GY:-0.687 GZ:1.252 | T:25.00 C
