I (504885) mpu6050 stream: AX:-0.100 AY:0.096 AZ:-0.948 | GX:-0.534 GY:-0.763 GZ:1.252 | T:25.00 C
I (504895) mpu6050 stream: AX:-0.095 AY:0.100 AZ:-0.952 | GX:-0.015 GY:-0.412 GZ:1.038 | T:25.00 C
I (504905) mpu6050 stream: AX:-0.101 AY:0.091 AZ:-0.959 | GX:-0.031 GY:-0.550 GZ:0.977 | T:25.00 C
I (504915) mpu6050 stream: AX:-0.099 AY:0.092 AZ:-0.959 | GX:-0.580 GY:-0.336 GZ:0.809 | T:25.09 C
I (504925) mpu6050 stream: AX:-0.098 AY:0.088 AZ:-0.954 | GX:-1.008 GY:0.031 GZ:0.656 | T:25.00 C
I (504935) mpu6050 stream: AX:-0.092 AY:0.095 AZ:-0.962 | GX:-1.450 GY:0.366 GZ:0.473 | T:25.09 C
I (504945) mpu6050 stream: AX:-0.094 AY:0.104 AZ:-0.957 | GX:-1.359 GY:0.351 GZ:0.244 | T:25.09 C
I (504955) mpu6050 stream: AX:-0.091 AY:0.098 AZ:-0.955 | GX:-1.176 GY:0.031 GZ:0.031 | T:25.09 C
I (504965) mpu6050 stream: AX:-0.098 AY:0.102 AZ:-0.947 | GX:-0.489 GY:0.107 GZ:0.046 | T:25.09 C
I (504975) mpu6050 stream: AX:-0.095 AY:0.105 AZ:-0.953 | GX:-0.198 GY:-0.214 GZ:0.015 | T:25.09 C
I (504985) mpu6050 stream: AX:-0.092 AY:0.097 AZ:-0.957 | GX:-0.137 GY:-0.336 GZ:0.290 | T:25.00 C
I (504995) mpu6050 stream: AX:-0.091 AY:0.096 AZ:-0.961 | GX:-0.641 GY:0.000 GZ:0.336 | T:25.00 C
I (505005) mpu6050 stream: AX:-0.087 AY:0.104 AZ:-0.954 | GX:-1.160 GY:-0.137 GZ:0.153 | T:25.00 C
I (505015) mpu6050 stream: AX:-0.098 AY:0.107 AZ:-0.960 | GX:-1.145 GY:0.122 GZ:0.305 | T:25.09 C
I (505025) mpu6050 stream: AX:-0.093 AY:0.115 AZ:-0.948 | GX:-0.656 GY:-0.168 GZ:0.427 | T:25.09 C
I (505035) mpu6050 stream: AX:-0.097 AY:0.111 AZ:-0.948 | GX:0.351 GY:-0.458 GZ:0.672 | T:25.09 C
I (505045) mpu6050 stream: AX:-0.092 AY:0.112 AZ:-0.956 | GX:1.298 GY:-0.351 GZ:1.008 | T:25.09 C
I (505055) mpu6050 stream: AX:-0.097 AY:0.100 AZ:-0.964 | GX:1.267 GY:-0.183 GZ:1.160 | T:25.00 C
I (505065) mpu6050 stream: AX:-0.097 AY:0.095 AZ:-0.954 | GX:0.779 GY:-0.351 GZ:0.992 | T:25.00 C
I (505075) mpu6050 stream: AX:-0.097 AY:0.102 AZ:-0.947 | GX:-0.168 GY:-0.275 GZ:0.977 | T:25.00 C
I (505085) mpu6050 stream: AX:-0.099 AY:0.095 AZ:-0.955 | GX:-0.748 GY:-0.595 GZ:1.008 | T:25.09 C
I (505095) mpu6050 stream: AX:-0.106 AY:0.099 AZ:-0.949 | GX:-0.855 GY:-0.611 GZ:1.206 | T:25.00 C
I (505105) mpu6050 stream: AX:-0.102 AY:0.102 AZ:-0.945 | GX:-0.260 GY:-0.504 GZ:1.328 | T:24.91 C
I (505115) mpu6050 stream: AX:-0.097 AY:0.104 AZ:-0.952 | GX:0.519 GY:-0.092 GZ:1.450 | T:25.00 C
I (505125) mpu6050 stream: AX:-0.100 AY:0.104 AZ:-0.960 | GX:1.267 GY:-0.122 GZ:1.450 | T:25.00 C
I (505135) mpu6050 stream: AX:-0.101 AY:0.100 AZ:-0.948 | GX:1.450 GY:0.046 GZ:1.420 | T:25.00 C
I (505145) mpu6050 stream: AX:-0.095 AY:0.097 AZ:-0.943 | GX:1.435 GY:0.031 GZ:1.588 | T:25.09 C
I (505155) mpu6050 stream: AX:-0.096 AY:0.095 AZ:-0.958 | GX:1.023 GY:-0.015 GZ:1.328 | T:25.00 C
I (505165) mpu6050 stream: AX:-0.094 AY:0.094 AZ:-0.947 | GX:0.702 GY:-0.412 GZ:1.405 | T:25.00 C
I (505175) mpu6050 stream: AX:-0.099 AY:0.091 AZ:-0.959 | GX:0.321 GY:-0.290 GZ:1.466 | T:25.00 C
I (505185) mpu6050 stream: AX:-0.100 AY:0.097 AZ:-0.956 | GX:0.321 GY:-0.275 GZ:1.344 | T:25.00 C
I (505195) mpu6050 stream: AX:-0.102 AY:0.093 AZ:-0.958 | GX:0.397 GY:-0.260 GZ:1.466 | T:24.95 C
I (505205) mpu6050 stream: AX:-0.102 AY:0.095 AZ:-0.957 | GX:0.504 GY:-0.321 GZ:1.679 | T:25.05 C
I (505215) mpu6050 stream: AX:-0.099 AY:0.091 AZ:-0.964 | GX:0.611 GY:0.031 GZ:1.496 | T:25.14 C
I (505225) mpu6050 stream: AX:-0.094 AY:0.090 AZ:-0.959 | GX:0.458 GY:0.107 GZ:1.435 | T:25.05 C
I (505235) mpu6050 stream: AX:-0.097 AY:0.090 AZ:-0.954 | GX:0.305 GY:0.092 GZ:1.649 | T:24.95 C
I (505245) mpu6050 stream: AX:-0.096 AY:0.093 AZ:-0.949 | GX:0.366 GY:0.137 GZ:1.588 | T:24.95 C
I (505255) mpu6050 stream: AX:-0.088 AY:0.097 AZ:-0.944 | GX:0.321 GY:0.061 GZ:1.527 | T:24.95 C
I (505265) mpu6050 stream: AX:-0.097 AY:0.091 AZ:-0.950 | GX:0.153 GY:0.092 GZ:1.542 | T:25.05 C
I (505275) mpu6050 stream: AX:-0.097 AY:0.090 AZ:-0.952 | GX:0.092 GY:0.031 GZ:1.282 | T:25.05 C
I (505285) mpu6050 stream: AX:-0.096 AY:0.092 AZ:-0.959 | GX:-0.061 GY:0.107 GZ:1.237 | T:25.05 C
I (505295) mpu6050 stream: AX:-0.100 AY:0.092 AZ:-0.954 | GX:-0.092 GY:0.031 GZ:1.130 | T:25.05 C
I (505305) mpu6050 stream: AX:-0.098 AY:0.088 AZ:-0.955 | GX:-0.244 GY:-0.031 GZ:0.840 | T:25.05 C
I (505315) mpu6050 stream: AX:-0.098 AY:0.088 AZ:-0.954 | GX:-0.443 GY:-0.046 GZ:0.947 | T:24.95 C
I (505325) mpu6050 stream: AX:-0.096 AY:0.091 AZ:-0.960 | GX:-0.504 GY:-0.122 GZ:0.519 | T:25.05 C
I (505335) mpu6050 stream: AX:-0.095 AY:0.097 AZ:-0.939 | GX:-0.489 GY:-0.290 GZ:0.611 | T:24.95 C
I (505345) mpu6050 stream: AX:-0.093 AY:0.095 AZ:-0.950 | GX:-0.229 GY:-0.198 GZ:0.504 | T:24.95 C
I (505355) mpu6050 stream: AX:-0.101 AY:0.101 AZ:-0.956 | GX:-0.519 GY:-0.321 GZ:0.412 | T:25.05 C
I (505365) mpu6050 stream: AX:-0.098 AY:0.098 AZ:-0.959 | GX:-0.458 GY:-0.137 GZ:0.458 | T:25.05 C
I (505375) mpu6050 stream: AX:-0.096 AY:0.100 AZ:-0.938 | GX:-0.626 GY:-0.168 GZ:0.534 | T:25.05 C
I (505385) mpu6050 stream: AX:-0.102 AY:0.099 AZ:-0.945 | GX:-0.611 GY:-0.244 GZ:0.504 | T:25.05 C
I (505395) mpu6050 stream: AX:-0.097 AY:0.100 AZ:-0.960 | GX:-0.550 GY:-0.153 GZ:0.504 | T:25.05 C
I (505405) mpu6050 stream: AX:-0.099 AY:0.101 AZ:-0.961 | GX:-0.672 GY:0.107 GZ:0.565 | T:25.05 C
I (505415) mpu6050 stream: AX:-0.104 AY:0.099 AZ:-0.956 | GX:-0.504 GY:0.321 GZ:0.611 | T:24.95 C
I (505425) mpu6050 stream: AX:-0.098 AY:0.106 AZ:-0.954 | GX:-0.321 GY:0.305 GZ:0.473 | T:25.05 C
I (505435) mpu6050 stream: AX:-0.097 AY:0.101 AZ:-0.950 | GX:-0.092 GY:0.122 GZ:0.595 | T:25.05 C
I (505445) mpu6050 stream: AX:-0.100 AY:0.101 AZ:-0.946 | GX:0.183 GY:0.137 GZ:0.626 | T:24.95 C
I (505455) mpu6050 stream: AX:-0.103 AY:0.089 AZ:-0.953 | GX:0.244 GY:0.000 GZ:0.687 | T:25.05 C
I (505465) mpu6050 stream: AX:-0.102 AY:0.094 AZ:-0.950 | GX:0.000 GY:0.672 GZ:0.656 | T:25.05 C
I (505475) mpu6050 stream: AX:-0.093 AY:0.096 AZ:-0.961 | GX:-0.427 GY:0.794 GZ:0.626 | T:25.00 C
I (505485) mpu6050 stream: AX:-0.100 AY:0.095 AZ:-0.956 | GX:-1.084 GY:0.809 GZ:0.656 | T:25.00 C
I (505495) mpu6050 stream: AX:-0.090 AY:0.099 AZ:-0.962 | GX:-1.679 GY:0.855 GZ:0.427 | T:25.00 C
I (505505) mpu6050 stream: AX:-0.089 AY:0.107 AZ:-0.966 | GX:-1.954 GY:1.191 GZ:0.519 | T:25.09 C
I (505515) mpu6050 stream: AX:-0.092 AY:0.110 AZ:-0.949 | GX:-1.160 GY:0.931 GZ:0.672 | T:25.09 C
I (505525) mpu6050 stream: AX:-0.085 AY:0.106 AZ:-0.938 | GX:0.672 GY:0.458 GZ:0.443 | T:25.00 C
I (505535) mpu6050 stream: AX:-0.090 AY:0.099 AZ:-0.945 | GX:2.015 GY:0.153 GZ:0.763 | T:25.00 C
I (505545) mpu6050 stream: AX:-0.094 AY:0.097 AZ:-0.942 | GX:2.656 GY:-0.214 GZ:0.748 | T:25.09 C
I (505555) mpu6050 stream: AX:-0.092 AY:0.085 AZ:-0.956 | GX:0.687 GY:-0.214 GZ:0.947 | T:25.09 C
I (505565) mpu6050 stream: AX:-0.101 AY:0.088 AZ:-0.944 | GX:-0.763 GY:-0.427 GZ:0.748 | T:25.00 C
I (505575) mpu6050 stream: AX:-0.096 AY:0.093 AZ:-0.943 | GX:-1.588 GY:-0.641 GZ:0.656 | T:25.00 C
I (505585) mpu6050 stream: AX:-0.101 AY:0.102 AZ:-0.946 | GX:-1.664 GY:-1.038 GZ:0.550 | T:25.09 C
I (505595) mpu6050 stream: AX:-0.098 AY:0.099 AZ:-0.946 | GX:-0.840 GY:-1.267 GZ:0.931 | T:24.91 C
I (505605) mpu6050 stream: AX:-0.096 AY:0.105 AZ:-0.940 | GX:0.015 GY:-1.130 GZ:0.992 | T:25.09 C
