I (310935) mpu6050 stream: AX:-0.137 AY:0.117 AZ:-0.942 | GX:-0.275 GY:0.443 GZ:0.397 | T:25.28 C
I (310945) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.934 | GX:0.214 GY:0.305 GZ:0.153 | T:25.19 C
I (310955) mpu6050 stream: AX:-0.136 AY:0.117 AZ:-0.941 | GX:0.916 GY:0.122 GZ:0.443 | T:25.38 C
I (310965) mpu6050 stream: AX:-0.140 AY:0.118 AZ:-0.948 | GX:1.435 GY:0.031 GZ:0.412 | T:25.19 C
I (310975) mpu6050 stream: AX:-0.132 AY:0.105 AZ:-0.940 | GX:1.450 GY:0.122 GZ:0.321 | T:25.28 C
I (310985) mpu6050 stream: AX:-0.140 AY:0.105 AZ:-0.940 | GX:0.901 GY:-0.198 GZ:0.290 | T:25.19 C
I (310995) mpu6050 stream: AX:-0.133 AY:0.105 AZ:-0.942 | GX:0.198 GY:-0.244 GZ:0.366 | T:25.19 C
I (311005) mpu6050 stream: AX:-0.136 AY:0.113 AZ:-0.940 | GX:-0.473 GY:-0.183 GZ:0.229 | T:25.28 C
I (311015) mpu6050 stream: AX:-0.139 AY:0.110 AZ:-0.945 | GX:-0.122 GY:0.015 GZ:0.397 | T:25.28 C
I (311025) mpu6050 stream: AX:-0.131 AY:0.113 AZ:-0.952 | GX:0.229 GY:-0.046 GZ:0.443 | T:25.28 C
I (311035) mpu6050 stream: AX:-0.137 AY:0.112 AZ:-0.949 | GX:0.809 GY:0.336 GZ:0.855 | T:25.28 C
I (311045) mpu6050 stream: AX:-0.137 AY:0.109 AZ:-0.949 | GX:1.237 GY:0.351 GZ:0.779 | T:25.19 C
I (311055) mpu6050 stream: AX:-0.140 AY:0.113 AZ:-0.940 | GX:1.466 GY:0.214 GZ:0.763 | T:25.19 C
I (311065) mpu6050 stream: AX:-0.130 AY:0.107 AZ:-0.946 | GX:1.206 GY:0.076 GZ:0.656 | T:25.19 C
I (311075) mpu6050 stream: AX:-0.138 AY:0.103 AZ:-0.936 | GX:0.809 GY:-0.489 GZ:0.656 | T:25.28 C
I (311085) mpu6050 stream: AX:-0.138 AY:0.106 AZ:-0.945 | GX:0.504 GY:-0.855 GZ:0.672 | T:25.28 C
I (311095) mpu6050 stream: AX:-0.142 AY:0.105 AZ:-0.942 | GX:0.473 GY:-0.763 GZ:0.443 | T:25.28 C
I (311105) mpu6050 stream: AX:-0.146 AY:0.103 AZ:-0.951 | GX:0.305 GY:-0.672 GZ:0.824 | T:25.19 C
I (311115) mpu6050 stream: AX:-0.144 AY:0.113 AZ:-0.961 | GX:0.290 GY:-0.473 GZ:0.840 | T:25.28 C
I (311125) mpu6050 stream: AX:-0.144 AY:0.115 AZ:-0.953 | GX:0.550 GY:-0.382 GZ:0.885 | T:25.38 C
I (311135) mpu6050 stream: AX:-0.141 AY:0.107 AZ:-0.949 | GX:0.473 GY:-0.076 GZ:0.763 | T:25.28 C
I (311145) mpu6050 stream: AX:-0.151 AY:0.113 AZ:-0.949 | GX:0.504 GY:0.321 GZ:1.069 | T:25.19 C
I (311155) mpu6050 stream: AX:-0.144 AY:0.111 AZ:-0.944 | GX:0.626 GY:0.290 GZ:1.099 | T:25.28 C
I (311165) mpu6050 stream: AX:-0.140 AY:0.115 AZ:-0.945 | GX:0.580 GY:0.397 GZ:1.176 | T:25.28 C
I (311175) mpu6050 stream: AX:-0.136 AY:0.102 AZ:-0.948 | GX:0.504 GY:0.550 GZ:1.038 | T:25.38 C
I (311185) mpu6050 stream: AX:-0.137 AY:0.105 AZ:-0.938 | GX:0.458 GY:0.137 GZ:1.359 | T:25.28 C
I (311195) mpu6050 stream: AX:-0.139 AY:0.107 AZ:-0.946 | GX:0.198 GY:-0.198 GZ:0.962 | T:25.28 C
I (311205) mpu6050 stream: AX:-0.136 AY:0.097 AZ:-0.941 | GX:0.046 GY:0.107 GZ:0.931 | T:25.28 C
I (311215) mpu6050 stream: AX:-0.144 AY:0.101 AZ:-0.948 | GX:-0.153 GY:0.031 GZ:1.008 | T:25.24 C
I (311225) mpu6050 stream: AX:-0.140 AY:0.105 AZ:-0.951 | GX:-0.275 GY:-0.046 GZ:1.053 | T:25.38 C
I (311235) mpu6050 stream: AX:-0.145 AY:0.107 AZ:-0.944 | GX:-0.229 GY:0.031 GZ:0.779 | T:25.24 C
