I (371075) mpu6050 stream: AX:-0.056 AY:0.077 AZ:-0.950 | GX:-0.305 GY:0.366 GZ:0.198 | T:25.14 C
I (371085) mpu6050 stream: AX:-0.058 AY:0.075 AZ:-0.957 | GX:-0.260 GY:-0.168 GZ:0.000 | T:25.24 C
I (371095) mpu6050 stream: AX:-0.052 AY:0.078 AZ:-0.959 | GX:-0.076 GY:0.229 GZ:0.107 | T:25.14 C
I (371105) mpu6050 stream: AX:-0.057 AY:0.076 AZ:-0.958 | GX:0.122 GY:0.061 GZ:0.168 | T:25.14 C
I (371115) mpu6050 stream: AX:-0.060 AY:0.073 AZ:-0.964 | GX:0.092 GY:-0.336 GZ:0.244 | T:25.24 C
I (371125) mpu6050 stream: AX:-0.054 AY:0.077 AZ:-0.959 | GX:-0.198 GY:-0.031 GZ:0.275 | T:25.14 C
I (371135) mpu6050 stream: AX:-0.054 AY:0.074 AZ:-0.962 | GX:-0.366 GY:-0.031 GZ:0.229 | T:25.05 C
I (371145) mpu6050 stream: AX:-0.055 AY:0.073 AZ:-0.966 | GX:-0.580 GY:0.061 GZ:0.702 | T:25.24 C
I (371155) mpu6050 stream: AX:-0.060 AY:0.079 AZ:-0.962 | GX:-0.244 GY:-0.061 GZ:0.489 | T:25.24 C
I (371165) mpu6050 stream: AX:-0.052 AY:0.084 AZ:-0.963 | GX:-0.046 GY:-0.260 GZ:0.672 | T:25.14 C
I (371175) mpu6050 stream: AX:-0.056 AY:0.077 AZ:-0.961 | GX:0.092 GY:-0.061 GZ:0.580 | T:25.14 C
I (371185) mpu6050 stream: AX:-0.062 AY:0.079 AZ:-0.960 | GX:0.260 GY:-0.061 GZ:0.519 | T:25.14 C
I (371195) mpu6050 stream: AX:-0.060 AY:0.071 AZ:-0.956 | GX:0.107 GY:-0.290 GZ:0.656 | T:25.24 C
I (371205) mpu6050 stream: AX:-0.067 AY:0.069 AZ:-0.954 | GX:0.183 GY:0.107 GZ:0.595 | T:25.14 C
I (371215) mpu6050 stream: AX:-0.060 AY:0.075 AZ:-0.961 | GX:0.260 GY:0.198 GZ:0.626 | T:25.05 C
I (371225) mpu6050 stream: AX:-0.054 AY:0.070 AZ:-0.955 | GX:0.397 GY:0.458 GZ:0.702 | T:25.24 C
I (371235) mpu6050 stream: AX:-0.048 AY:0.069 AZ:-0.972 | GX:0.198 GY:0.290 GZ:0.458 | T:25.14 C
I (371245) mpu6050 stream: AX:-0.058 AY:0.075 AZ:-0.964 | GX:-0.382 GY:0.366 GZ:0.443 | T:25.24 C
I (371255) mpu6050 stream: AX:-0.059 AY:0.081 AZ:-0.971 | GX:-0.870 GY:0.855 GZ:0.321 | T:25.14 C
I (371265) mpu6050 stream: AX:-0.052 AY:0.080 AZ:-0.961 | GX:-0.519 GY:1.145 GZ:0.458 | T:25.24 C
I (371275) mpu6050 stream: AX:-0.053 AY:0.082 AZ:-0.947 | GX:0.977 GY:0.641 GZ:0.702 | T:25.14 C
I (371285) mpu6050 stream: AX:-0.049 AY:0.082 AZ:-0.950 | GX:2.198 GY:-0.443 GZ:0.870 | T:25.24 C
I (371295) mpu6050 stream: AX:-0.056 AY:0.077 AZ:-0.943 | GX:2.550 GY:-0.672 GZ:0.992 | T:25.24 C
I (371305) mpu6050 stream: AX:-0.058 AY:0.068 AZ:-0.957 | GX:1.740 GY:-0.687 GZ:1.160 | T:25.14 C
I (371315) mpu6050 stream: AX:-0.062 AY:0.067 AZ:-0.957 | GX:0.489 GY:-0.779 GZ:1.038 | T:25.09 C
I (371325) mpu6050 stream: AX:-0.059 AY:0.074 AZ:-0.961 | GX:-0.550 GY:-0.931 GZ:0.733 | T:25.19 C
I (371335) mpu6050 stream: AX:-0.058 AY:0.064 AZ:-0.951 | GX:-0.550 GY:-1.099 GZ:0.794 | T:25.19 C
I (371345) mpu6050 stream: AX:-0.062 AY:0.066 AZ:-0.958 | GX:-0.290 GY:-1.359 GZ:0.947 | T:25.09 C
I (371355) mpu6050 stream: AX:-0.062 AY:0.074 AZ:-0.952 | GX:0.260 GY:-0.870 GZ:1.053 | T:25.19 C
I (371365) mpu6050 stream: AX:-0.057 AY:0.073 AZ:-0.950 | GX:0.641 GY:-0.901 GZ:1.221 | T:25.19 C
I (371375) mpu6050 stream: AX:-0.066 AY:0.069 AZ:-0.964 | GX:0.595 GY:-0.885 GZ:1.359 | T:25.28 C
I (371385) mpu6050 stream: AX:-0.062 AY:0.069 AZ:-0.950 | GX:0.275 GY:-0.840 GZ:1.221 | T:25.19 C
I (371395) mpu6050 stream: AX:-0.065 AY:0.069 AZ:-0.955 | GX:0.000 GY:-1.069 GZ:1.115 | T:25.09 C
I (371405) mpu6050 stream: AX:-0.064 AY:0.066 AZ:-0.958 | GX:-0.519 GY:-0.962 GZ:0.824 | T:25.19 C
I (371415) mpu6050 stream: AX:-0.073 AY:0.065 AZ:-0.969 | GX:-0.702 GY:-0.550 GZ:0.702 | T:25.19 C
I (371425) mpu6050 stream: AX:-0.068 AY:0.071 AZ:-0.966 | GX:-0.870 GY:-0.397 GZ:0.443 | T:25.19 C
I (371435) mpu6050 stream: AX:-0.062 AY:0.073 AZ:-0.959 | GX:-0.519 GY:-0.550 GZ:0.366 | T:25.19 C
I (371445) mpu6050 stream: AX:-0.065 AY:0.073 AZ:-0.958 | GX:-0.351 GY:-0.519 GZ:0.290 | T:25.19 C
I (371455) mpu6050 stream: AX:-0.063 AY:0.073 AZ:-0.956 | GX:-0.061 GY:-0.641 GZ:0.153 | T:25.19 C
I (371465) mpu6050 stream: AX:-0.063 AY:0.065 AZ:-0.967 | GX:-0.183 GY:-0.672 GZ:0.092 | T:25.19 C
I (371475) mpu6050 stream: AX:-0.067 AY:0.070 AZ:-0.960 | GX:-0.504 GY:-0.595 GZ:-0.031 | T:25.09 C
I (371485) mpu6050 stream: AX:-0.066 AY:0.063 AZ:-0.961 | GX:-0.977 GY:-0.412 GZ:-0.122 | T:25.19 C
I (371495) mpu6050 stream: AX:-0.063 AY:0.069 AZ:-0.950 | GX:-1.252 GY:-0.290 GZ:-0.382 | T:25.19 C
I (371505) mpu6050 stream: AX:-0.065 AY:0.083 AZ:-0.959 | GX:-1.008 GY:-0.565 GZ:-0.366 | T:25.19 C
I (371515) mpu6050 stream: AX:-0.069 AY:0.080 AZ:-0.959 | GX:-0.565 GY:-0.885 GZ:-0.366 | T:25.28 C
I (371525) mpu6050 stream: AX:-0.071 AY:0.080 AZ:-0.961 | GX:-0.351 GY:-0.748 GZ:-0.214 | T:25.19 C
I (371535) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.968 | GX:-0.031 GY:-0.168 GZ:-0.046 | T:25.28 C
I (371545) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.959 | GX:0.046 GY:-0.214 GZ:0.015 | T:25.19 C
I (371555) mpu6050 stream: AX:-0.064 AY:0.070 AZ:-0.951 | GX:0.061 GY:-0.198 GZ:-0.153 | T:25.19 C
I (371565) mpu6050 stream: AX:-0.074 AY:0.068 AZ:-0.963 | GX:-0.122 GY:-0.137 GZ:-0.305 | T:25.19 C
I (371575) mpu6050 stream: AX:-0.065 AY:0.078 AZ:-0.963 | GX:-0.275 GY:0.214 GZ:-0.183 | T:25.19 C
I (371585) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.952 | GX:-0.382 GY:0.382 GZ:-0.015 | T:25.28 C
I (371595) mpu6050 stream: AX:-0.065 AY:0.083 AZ:-0.954 | GX:-0.168 GY:0.504 GZ:0.046 | T:25.19 C
I (371605) mpu6050 stream: AX:-0.069 AY:0.085 AZ:-0.950 | GX:0.290 GY:0.412 GZ:0.336 | T:25.19 C
I (371615) mpu6050 stream: AX:-0.066 AY:0.079 AZ:-0.953 | GX:0.947 GY:0.489 GZ:0.412 | T:25.19 C
I (371625) mpu6050 stream: AX:-0.069 AY:0.070 AZ:-0.962 | GX:1.038 GY:0.214 GZ:0.626 | T:25.28 C
I (371635) mpu6050 stream: AX:-0.063 AY:0.072 AZ:-0.958 | GX:0.977 GY:-0.031 GZ:0.550 | T:25.09 C
I (371645) mpu6050 stream: AX:-0.064 AY:0.075 AZ:-0.964 | GX:0.534 GY:0.168 GZ:0.595 | T:25.24 C
I (371655) mpu6050 stream: AX:-0.061 AY:0.073 AZ:-0.956 | GX:0.412 GY:-0.076 GZ:0.885 | T:25.24 C
I (371665) mpu6050 stream: AX:-0.064 AY:0.070 AZ:-0.962 | GX:0.153 GY:-0.214 GZ:0.885 | T:25.14 C
I (371675) mpu6050 stream: AX:-0.064 AY:0.071 AZ:-0.958 | GX:-0.031 GY:-0.137 GZ:1.023 | T:25.14 C
I (371685) mpu6050 stream: AX:-0.064 AY:0.065 AZ:-0.970 | GX:0.137 GY:0.015 GZ:0.916 | T:25.24 C
I (371695) mpu6050 stream: AX:-0.066 AY:0.075 AZ:-0.956 | GX:0.076 GY:-0.031 GZ:0.962 | T:25.14 C
I (371705) mpu6050 stream: AX:-0.073 AY:0.070 AZ:-0.966 | GX:0.275 GY:0.534 GZ:1.145 | T:25.24 C
I (371715) mpu6050 stream: AX:-0.065 AY:0.073 AZ:-0.966 | GX:0.183 GY:0.534 GZ:1.130 | T:25.14 C
I (371725) mpu6050 stream: AX:-0.071 AY:0.072 AZ:-0.964 | GX:0.244 GY:0.321 GZ:1.115 | T:25.14 C
I (371735) mpu6050 stream: AX:-0.064 AY:0.068 AZ:-0.957 | GX:0.046 GY:0.656 GZ:1.145 | T:25.24 C
I (371745) mpu6050 stream: AX:-0.061 AY:0.073 AZ:-0.961 | GX:0.031 GY:0.718 GZ:1.053 | T:25.14 C
I (371755) mpu6050 stream: AX:-0.065 AY:0.069 AZ:-0.957 | GX:-0.015 GY:0.595 GZ:1.053 | T:25.33 C
I (371765) mpu6050 stream: AX:-0.067 AY:0.068 AZ:-0.954 | GX:0.137 GY:0.611 GZ:0.702 | T:25.14 C
I (371775) mpu6050 stream: AX:-0.065 AY:0.068 AZ:-0.960 | GX:-0.092 GY:0.504 GZ:0.870 | T:25.24 C
