I (322525) mpu6050 stream: AX:-0.132 AY:0.113 AZ:-0.944 | GX:-0.840 GY:1.023 GZ:-0.244 | T:25.24 C
I (322535) mpu6050 stream: AX:-0.131 AY:0.119 AZ:-0.932 | GX:-0.702 GY:1.069 GZ:-0.351 | T:25.24 C
I (322545) mpu6050 stream: AX:-0.125 AY:0.117 AZ:-0.941 | GX:-0.427 GY:0.992 GZ:-0.336 | T:25.24 C
I (322555) mpu6050 stream: AX:-0.131 AY:0.121 AZ:-0.944 | GX:-0.351 GY:0.992 GZ:-0.458 | T:25.24 C
I (322565) mpu6050 stream: AX:-0.144 AY:0.118 AZ:-0.943 | GX:-0.061 GY:0.992 GZ:-0.290 | T:25.24 C
I (322575) mpu6050 stream: AX:-0.129 AY:0.116 AZ:-0.944 | GX:-0.107 GY:0.595 GZ:-0.168 | T:25.24 C
I (322585) mpu6050 stream: AX:-0.132 AY:0.124 AZ:-0.945 | GX:-0.214 GY:0.580 GZ:-0.061 | T:25.24 C
I (322595) mpu6050 stream: AX:-0.133 AY:0.115 AZ:-0.949 | GX:-0.397 GY:0.641 GZ:-0.046 | T:25.14 C
I (322605) mpu6050 stream: AX:-0.136 AY:0.121 AZ:-0.948 | GX:-0.473 GY:0.748 GZ:0.183 | T:25.24 C
I (322615) mpu6050 stream: AX:-0.131 AY:0.119 AZ:-0.948 | GX:-0.443 GY:0.992 GZ:0.244 | T:25.24 C
I (322625) mpu6050 stream: AX:-0.131 AY:0.120 AZ:-0.947 | GX:-0.382 GY:1.069 GZ:0.534 | T:25.33 C
I (322635) mpu6050 stream: AX:-0.127 AY:0.118 AZ:-0.943 | GX:-0.611 GY:0.840 GZ:0.672 | T:25.24 C
I (322645) mpu6050 stream: AX:-0.123 AY:0.122 AZ:-0.935 | GX:-0.473 GY:0.779 GZ:0.473 | T:25.33 C
I (322655) mpu6050 stream: AX:-0.126 AY:0.126 AZ:-0.951 | GX:0.244 GY:0.275 GZ:0.595 | T:25.24 C
