I (388665) mpu6050 stream: AX:-0.131 AY:0.108 AZ:-0.940 | GX:1.496 GY:-0.504 GZ:0.214 | T:25.19 C
I (388675) mpu6050 stream: AX:-0.132 AY:0.106 AZ:-0.946 | GX:1.481 GY:-0.641 GZ:0.183 | T:25.09 C
I (388685) mpu6050 stream: AX:-0.133 AY:0.100 AZ:-0.955 | GX:0.550 GY:-0.580 GZ:0.061 | T:25.09 C
I (388695) mpu6050 stream: AX:-0.129 AY:0.111 AZ:-0.944 | GX:-0.504 GY:-0.824 GZ:0.366 | T:25.19 C
I (388705) mpu6050 stream: AX:-0.133 AY:0.109 AZ:-0.938 | GX:-1.160 GY:-0.992 GZ:0.427 | T:25.19 C
I (388715) mpu6050 stream: AX:-0.131 AY:0.117 AZ:-0.938 | GX:-1.359 GY:-1.053 GZ:0.641 | T:25.19 C
I (388725) mpu6050 stream: AX:-0.135 AY:0.118 AZ:-0.936 | GX:-0.656 GY:-0.901 GZ:0.901 | T:25.19 C
I (388735) mpu6050 stream: AX:-0.136 AY:0.112 AZ:-0.945 | GX:0.061 GY:-0.809 GZ:1.084 | T:25.19 C
I (388745) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.942 | GX:0.153 GY:-0.794 GZ:1.282 | T:25.19 C
I (388755) mpu6050 stream: AX:-0.132 AY:0.107 AZ:-0.948 | GX:0.122 GY:-0.870 GZ:1.176 | T:25.28 C
I (388765) mpu6050 stream: AX:-0.130 AY:0.106 AZ:-0.940 | GX:-0.229 GY:-0.992 GZ:1.023 | T:25.09 C
I (388775) mpu6050 stream: AX:-0.136 AY:0.101 AZ:-0.941 | GX:-0.687 GY:-1.038 GZ:0.916 | T:25.14 C
I (388785) mpu6050 stream: AX:-0.139 AY:0.106 AZ:-0.949 | GX:-1.282 GY:-0.779 GZ:0.702 | T:25.24 C
I (388795) mpu6050 stream: AX:-0.132 AY:0.108 AZ:-0.946 | GX:-1.298 GY:-0.412 GZ:0.458 | T:25.24 C
I (388805) mpu6050 stream: AX:-0.140 AY:0.108 AZ:-0.950 | GX:-1.267 GY:-0.718 GZ:-0.015 | T:25.24 C
I (388815) mpu6050 stream: AX:-0.143 AY:0.112 AZ:-0.944 | GX:-0.947 GY:-0.412 GZ:-0.214 | T:25.24 C
I (388825) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.944 | GX:-0.427 GY:-0.534 GZ:-0.061 | T:25.24 C
I (388835) mpu6050 stream: AX:-0.136 AY:0.119 AZ:-0.947 | GX:0.031 GY:-0.504 GZ:0.015 | T:25.05 C
I (388845) mpu6050 stream: AX:-0.145 AY:0.121 AZ:-0.963 | GX:0.061 GY:-0.076 GZ:0.031 | T:25.14 C
I (388855) mpu6050 stream: AX:-0.143 AY:0.116 AZ:-0.946 | GX:-0.214 GY:0.198 GZ:0.214 | T:25.24 C
I (388865) mpu6050 stream: AX:-0.136 AY:0.116 AZ:-0.948 | GX:-0.534 GY:0.061 GZ:0.443 | T:25.24 C
I (388875) mpu6050 stream: AX:-0.135 AY:0.125 AZ:-0.940 | GX:-0.305 GY:-0.061 GZ:0.397 | T:25.24 C
I (388885) mpu6050 stream: AX:-0.137 AY:0.124 AZ:-0.943 | GX:0.198 GY:-0.198 GZ:0.733 | T:25.14 C
I (388895) mpu6050 stream: AX:-0.134 AY:0.126 AZ:-0.944 | GX:0.458 GY:-0.504 GZ:1.221 | T:25.24 C
I (388905) mpu6050 stream: AX:-0.134 AY:0.125 AZ:-0.943 | GX:0.824 GY:-0.565 GZ:1.679 | T:25.14 C
I (388915) mpu6050 stream: AX:-0.133 AY:0.116 AZ:-0.947 | GX:0.718 GY:-0.336 GZ:1.893 | T:25.24 C
I (388925) mpu6050 stream: AX:-0.142 AY:0.112 AZ:-0.950 | GX:0.504 GY:-0.351 GZ:2.076 | T:25.14 C
I (388935) mpu6050 stream: AX:-0.137 AY:0.116 AZ:-0.941 | GX:0.061 GY:-0.412 GZ:2.260 | T:25.14 C
I (388945) mpu6050 stream: AX:-0.137 AY:0.115 AZ:-0.942 | GX:-0.092 GY:-0.168 GZ:2.366 | T:25.24 C
