I (376625) mpu6050 stream: AX:-0.053 AY:0.104 AZ:-0.943 | GX:-0.519 GY:2.947 GZ:-2.718 | T:25.19 C
I (376635) mpu6050 stream: AX:-0.049 AY:0.105 AZ:-0.947 | GX:-0.855 GY:2.687 GZ:-2.366 | T:25.19 C
I (376645) mpu6050 stream: AX:-0.054 AY:0.110 AZ:-0.954 | GX:-0.718 GY:2.611 GZ:-2.168 | T:25.19 C
I (376655) mpu6050 stream: AX:-0.054 AY:0.114 AZ:-0.953 | GX:-0.611 GY:2.412 GZ:-1.405 | T:25.19 C
I (376665) mpu6050 stream: AX:-0.053 AY:0.106 AZ:-0.954 | GX:-0.076 GY:2.321 GZ:-1.374 | T:25.19 C
I (376675) mpu6050 stream: AX:-0.054 AY:0.111 AZ:-0.954 | GX:0.244 GY:2.153 GZ:-0.992 | T:25.09 C
I (376685) mpu6050 stream: AX:-0.051 AY:0.110 AZ:-0.941 | GX:0.336 GY:1.771 GZ:-0.473 | T:25.19 C
I (376695) mpu6050 stream: AX:-0.051 AY:0.104 AZ:-0.938 | GX:0.214 GY:1.313 GZ:-0.198 | T:25.19 C
I (376705) mpu6050 stream: AX:-0.059 AY:0.100 AZ:-0.930 | GX:0.137 GY:0.885 GZ:0.107 | T:25.28 C
I (376715) mpu6050 stream: AX:-0.037 AY:0.101 AZ:-0.941 | GX:0.214 GY:-0.031 GZ:0.061 | T:25.19 C
I (376725) mpu6050 stream: AX:-0.053 AY:0.100 AZ:-0.946 | GX:-0.626 GY:-0.443 GZ:0.153 | T:25.19 C
I (376735) mpu6050 stream: AX:-0.051 AY:0.102 AZ:-0.954 | GX:-1.374 GY:-0.427 GZ:0.183 | T:25.19 C
I (376745) mpu6050 stream: AX:-0.054 AY:0.105 AZ:-0.958 | GX:-1.817 GY:-0.473 GZ:0.275 | T:25.19 C
I (376755) mpu6050 stream: AX:-0.053 AY:0.101 AZ:-0.954 | GX:-1.435 GY:-1.053 GZ:-0.046 | T:25.19 C
I (376765) mpu6050 stream: AX:-0.053 AY:0.117 AZ:-0.949 | GX:0.046 GY:-1.481 GZ:0.290 | T:25.19 C
I (376775) mpu6050 stream: AX:-0.055 AY:0.109 AZ:-0.948 | GX:0.626 GY:-2.153 GZ:0.382 | T:25.19 C
I (376785) mpu6050 stream: AX:-0.065 AY:0.100 AZ:-0.947 | GX:1.099 GY:-2.458 GZ:0.656 | T:25.09 C
I (376795) mpu6050 stream: AX:-0.069 AY:0.092 AZ:-0.958 | GX:0.244 GY:-2.916 GZ:0.534 | T:25.19 C
I (376805) mpu6050 stream: AX:-0.077 AY:0.092 AZ:-0.961 | GX:-0.580 GY:-2.504 GZ:0.458 | T:25.19 C
I (376815) mpu6050 stream: AX:-0.083 AY:0.083 AZ:-0.963 | GX:-1.389 GY:-2.229 GZ:0.290 | T:25.09 C
I (376825) mpu6050 stream: AX:-0.077 AY:0.088 AZ:-0.968 | GX:-2.412 GY:-1.649 GZ:0.153 | T:25.19 C
I (376835) mpu6050 stream: AX:-0.077 AY:0.092 AZ:-0.960 | GX:-2.519 GY:-1.405 GZ:0.061 | T:25.19 C
I (376845) mpu6050 stream: AX:-0.081 AY:0.093 AZ:-0.955 | GX:-2.382 GY:-0.977 GZ:0.198 | T:25.19 C
I (376855) mpu6050 stream: AX:-0.083 AY:0.099 AZ:-0.959 | GX:-2.107 GY:-0.504 GZ:0.031 | T:25.19 C
I (376865) mpu6050 stream: AX:-0.080 AY:0.097 AZ:-0.950 | GX:-2.412 GY:-0.260 GZ:-0.031 | T:25.19 C
I (376875) mpu6050 stream: AX:-0.079 AY:0.106 AZ:-0.963 | GX:-2.443 GY:-0.229 GZ:-0.427 | T:25.19 C
I (376885) mpu6050 stream: AX:-0.078 AY:0.106 AZ:-0.959 | GX:-2.565 GY:-0.031 GZ:-0.687 | T:25.28 C
I (376895) mpu6050 stream: AX:-0.077 AY:0.104 AZ:-0.953 | GX:-2.626 GY:-0.122 GZ:-0.809 | T:25.19 C
I (376905) mpu6050 stream: AX:-0.079 AY:0.105 AZ:-0.960 | GX:-2.656 GY:0.427 GZ:-1.008 | T:25.19 C
I (376915) mpu6050 stream: AX:-0.072 AY:0.107 AZ:-0.953 | GX:-2.962 GY:-0.076 GZ:-1.328 | T:25.19 C
I (376925) mpu6050 stream: AX:-0.078 AY:0.109 AZ:-0.952 | GX:-2.763 GY:-0.122 GZ:-1.679 | T:25.19 C
I (376935) mpu6050 stream: AX:-0.073 AY:0.112 AZ:-0.955 | GX:-2.382 GY:0.153 GZ:-2.061 | T:25.19 C
I (376945) mpu6050 stream: AX:-0.072 AY:0.118 AZ:-0.954 | GX:-1.603 GY:0.122 GZ:-2.061 | T:25.19 C
I (376955) mpu6050 stream: AX:-0.079 AY:0.114 AZ:-0.963 | GX:-1.359 GY:-0.015 GZ:-2.122 | T:25.19 C
I (376965) mpu6050 stream: AX:-0.077 AY:0.116 AZ:-0.966 | GX:-1.893 GY:0.336 GZ:-2.000 | T:25.19 C
I (376975) mpu6050 stream: AX:-0.073 AY:0.111 AZ:-0.957 | GX:-1.908 GY:0.626 GZ:-2.229 | T:25.19 C
I (376985) mpu6050 stream: AX:-0.075 AY:0.114 AZ:-0.950 | GX:-1.802 GY:0.779 GZ:-2.244 | T:25.09 C
I (376995) mpu6050 stream: AX:-0.064 AY:0.123 AZ:-0.949 | GX:-1.450 GY:0.260 GZ:-2.427 | T:25.19 C
I (377005) mpu6050 stream: AX:-0.070 AY:0.122 AZ:-0.949 | GX:-0.687 GY:0.183 GZ:-2.168 | T:25.19 C
I (377015) mpu6050 stream: AX:-0.072 AY:0.121 AZ:-0.948 | GX:-0.458 GY:0.366 GZ:-1.573 | T:25.09 C
I (377025) mpu6050 stream: AX:-0.069 AY:0.115 AZ:-0.953 | GX:-0.275 GY:0.427 GZ:-1.435 | T:25.19 C
I (377035) mpu6050 stream: AX:-0.068 AY:0.115 AZ:-0.952 | GX:-0.565 GY:0.443 GZ:-1.328 | T:25.09 C
I (377045) mpu6050 stream: AX:-0.069 AY:0.109 AZ:-0.941 | GX:-0.656 GY:0.076 GZ:-1.298 | T:25.09 C
I (377055) mpu6050 stream: AX:-0.070 AY:0.120 AZ:-0.949 | GX:-0.794 GY:0.198 GZ:-1.282 | T:25.19 C
I (377065) mpu6050 stream: AX:-0.066 AY:0.113 AZ:-0.936 | GX:-1.145 GY:-0.214 GZ:-1.282 | T:25.19 C
I (377075) mpu6050 stream: AX:-0.069 AY:0.122 AZ:-0.943 | GX:-0.763 GY:-0.550 GZ:-0.855 | T:25.09 C
I (377085) mpu6050 stream: AX:-0.073 AY:0.123 AZ:-0.945 | GX:-0.183 GY:-1.038 GZ:-0.687 | T:25.09 C
I (377095) mpu6050 stream: AX:-0.071 AY:0.124 AZ:-0.951 | GX:0.321 GY:-1.160 GZ:-0.443 | T:25.19 C
I (377105) mpu6050 stream: AX:-0.073 AY:0.116 AZ:-0.954 | GX:0.641 GY:-0.687 GZ:0.183 | T:25.19 C
I (377115) mpu6050 stream: AX:-0.075 AY:0.117 AZ:-0.955 | GX:0.443 GY:-1.038 GZ:0.351 | T:25.09 C
I (377125) mpu6050 stream: AX:-0.075 AY:0.116 AZ:-0.954 | GX:0.534 GY:-1.130 GZ:0.458 | T:25.19 C
I (377135) mpu6050 stream: AX:-0.072 AY:0.119 AZ:-0.964 | GX:0.473 GY:-0.870 GZ:0.580 | T:25.19 C
I (377145) mpu6050 stream: AX:-0.074 AY:0.122 AZ:-0.950 | GX:0.611 GY:-0.916 GZ:0.794 | T:25.19 C
I (377155) mpu6050 stream: AX:-0.070 AY:0.116 AZ:-0.950 | GX:0.962 GY:-1.267 GZ:0.962 | T:25.19 C
I (377165) mpu6050 stream: AX:-0.070 AY:0.111 AZ:-0.953 | GX:1.038 GY:-1.527 GZ:1.206 | T:25.09 C
I (377175) mpu6050 stream: AX:-0.081 AY:0.109 AZ:-0.953 | GX:0.977 GY:-1.954 GZ:1.191 | T:25.19 C
I (377185) mpu6050 stream: AX:-0.078 AY:0.111 AZ:-0.959 | GX:0.626 GY:-2.031 GZ:1.481 | T:25.19 C
I (377195) mpu6050 stream: AX:-0.075 AY:0.115 AZ:-0.960 | GX:0.534 GY:-1.496 GZ:1.481 | T:25.14 C
I (377205) mpu6050 stream: AX:-0.076 AY:0.110 AZ:-0.960 | GX:0.672 GY:-1.466 GZ:1.450 | T:25.24 C
I (377215) mpu6050 stream: AX:-0.079 AY:0.113 AZ:-0.956 | GX:0.977 GY:-0.901 GZ:1.618 | T:25.14 C
I (377225) mpu6050 stream: AX:-0.083 AY:0.116 AZ:-0.956 | GX:1.542 GY:-1.084 GZ:1.893 | T:25.24 C
I (377235) mpu6050 stream: AX:-0.076 AY:0.112 AZ:-0.948 | GX:1.771 GY:-1.221 GZ:1.969 | T:25.14 C
I (377245) mpu6050 stream: AX:-0.071 AY:0.102 AZ:-0.955 | GX:1.191 GY:-0.931 GZ:2.107 | T:25.24 C
I (377255) mpu6050 stream: AX:-0.070 AY:0.100 AZ:-0.938 | GX:0.824 GY:-1.237 GZ:2.183 | T:25.14 C
I (377265) mpu6050 stream: AX:-0.070 AY:0.097 AZ:-0.940 | GX:0.473 GY:-1.679 GZ:2.000 | T:25.14 C
I (377275) mpu6050 stream: AX:-0.074 AY:0.101 AZ:-0.944 | GX:0.290 GY:-2.229 GZ:1.847 | T:25.24 C
I (377285) mpu6050 stream: AX:-0.073 AY:0.105 AZ:-0.941 | GX:0.427 GY:-2.748 GZ:1.802 | T:25.14 C
I (377295) mpu6050 stream: AX:-0.073 AY:0.096 AZ:-0.946 | GX:0.382 GY:-3.115 GZ:1.511 | T:25.14 C
I (377305) mpu6050 stream: AX:-0.073 AY:0.100 AZ:-0.949 | GX:0.366 GY:-3.313 GZ:1.237 | T:25.14 C
I (377315) mpu6050 stream: AX:-0.082 AY:0.098 AZ:-0.946 | GX:0.137 GY:-3.160 GZ:1.206 | T:25.24 C
I (377325) mpu6050 stream: AX:-0.074 AY:0.097 AZ:-0.941 | GX:0.107 GY:-3.191 GZ:0.473 | T:25.24 C
I (377335) mpu6050 stream: AX:-0.075 AY:0.089 AZ:-0.945 | GX:0.244 GY:-3.710 GZ:-0.168 | T:25.24 C
I (377345) mpu6050 stream: AX:-0.084 AY:0.095 AZ:-0.958 | GX:0.092 GY:-3.634 GZ:-0.519 | T:25.24 C
I (377355) mpu6050 stream: AX:-0.082 AY:0.089 AZ:-0.949 | GX:-0.046 GY:-3.649 GZ:-0.977 | T:25.24 C
I (377365) mpu6050 stream: AX:-0.087 AY:0.100 AZ:-0.958 | GX:-0.473 GY:-3.634 GZ:-1.176 | T:25.24 C
I (377375) mpu6050 stream: AX:-0.084 AY:0.099 AZ:-0.945 | GX:-0.626 GY:-3.649 GZ:-1.084 | T:25.24 C
I (377385) mpu6050 stream: AX:-0.070 AY:0.101 AZ:-0.945 | GX:-0.687 GY:-4.168 GZ:-1.313 | T:25.14 C
I (377395) mpu6050 stream: AX:-0.077 AY:0.108 AZ:-0.936 | GX:-0.916 GY:-4.962 GZ:-1.328 | T:25.24 C
I (377405) mpu6050 stream: AX:-0.084 AY:0.111 AZ:-0.947 | GX:-0.824 GY:-5.389 GZ:-1.191 | T:25.24 C
I (377415) mpu6050 stream: AX:-0.095 AY:0.117 AZ:-0.953 | GX:-1.115 GY:-5.267 GZ:-0.672 | T:25.14 C
I (377425) mpu6050 stream: AX:-0.090 AY:0.115 AZ:-0.961 | GX:-1.053 GY:-4.916 GZ:-0.504 | T:25.33 C
I (377435) mpu6050 stream: AX:-0.103 AY:0.107 AZ:-0.960 | GX:-1.313 GY:-4.366 GZ:-0.198 | T:25.14 C
I (377445) mpu6050 stream: AX:-0.095 AY:0.108 AZ:-0.954 | GX:-1.053 GY:-4.015 GZ:-0.168 | T:25.33 C
I (377455) mpu6050 stream: AX:-0.101 AY:0.108 AZ:-0.962 | GX:-1.344 GY:-3.924 GZ:-0.382 | T:25.14 C
I (377465) mpu6050 stream: AX:-0.100 AY:0.110 AZ:-0.967 | GX:-1.695 GY:-3.405 GZ:-0.305 | T:25.14 C
I (377475) mpu6050 stream: AX:-0.091 AY:0.114 AZ:-0.958 | GX:-2.046 GY:-2.687 GZ:-0.168 | T:25.14 C
I (377485) mpu6050 stream: AX:-0.097 AY:0.121 AZ:-0.957 | GX:-1.832 GY:-2.489 GZ:-0.244 | T:25.14 C
I (377495) mpu6050 stream: AX:-0.097 AY:0.127 AZ:-0.963 | GX:-0.901 GY:-3.130 GZ:-0.198 | T:25.24 C
