I (439205) mpu6050 stream: AX:-0.099 AY:0.092 AZ:-0.955 | GX:-0.351 GY:1.023 GZ:1.069 | T:25.19 C
I (439215) mpu6050 stream: AX:-0.095 AY:0.103 AZ:-0.951 | GX:-0.672 GY:0.702 GZ:1.008 | T:25.19 C
I (439225) mpu6050 stream: AX:-0.094 AY:0.102 AZ:-0.950 | GX:-0.794 GY:0.427 GZ:0.763 | T:25.19 C
I (439235) mpu6050 stream: AX:-0.097 AY:0.095 AZ:-0.957 | GX:-0.733 GY:0.153 GZ:0.947 | T:25.09 C
I (439245) mpu6050 stream: AX:-0.090 AY:0.103 AZ:-0.950 | GX:-0.748 GY:0.458 GZ:0.855 | T:25.19 C
I (439255) mpu6050 stream: AX:-0.094 AY:0.105 AZ:-0.953 | GX:-0.626 GY:0.427 GZ:0.885 | T:25.19 C
I (439265) mpu6050 stream: AX:-0.096 AY:0.106 AZ:-0.948 | GX:-0.351 GY:0.351 GZ:0.870 | T:25.19 C
I (439275) mpu6050 stream: AX:-0.083 AY:0.102 AZ:-0.953 | GX:-0.015 GY:0.550 GZ:0.916 | T:25.09 C
I (439285) mpu6050 stream: AX:-0.087 AY:0.101 AZ:-0.948 | GX:-0.122 GY:0.244 GZ:1.099 | T:25.09 C
I (439295) mpu6050 stream: AX:-0.087 AY:0.108 AZ:-0.945 | GX:-0.305 GY:-0.092 GZ:1.130 | T:25.09 C
I (439305) mpu6050 stream: AX:-0.083 AY:0.107 AZ:-0.955 | GX:-0.427 GY:0.031 GZ:1.374 | T:25.19 C
I (439315) mpu6050 stream: AX:-0.094 AY:0.106 AZ:-0.954 | GX:-0.305 GY:-0.290 GZ:1.450 | T:25.19 C
I (439325) mpu6050 stream: AX:-0.096 AY:0.104 AZ:-0.954 | GX:-0.198 GY:0.122 GZ:1.695 | T:25.19 C
I (439335) mpu6050 stream: AX:-0.099 AY:0.107 AZ:-0.955 | GX:0.000 GY:0.580 GZ:1.847 | T:25.19 C
I (439345) mpu6050 stream: AX:-0.091 AY:0.101 AZ:-0.958 | GX:-0.275 GY:1.298 GZ:1.695 | T:25.00 C
I (439355) mpu6050 stream: AX:-0.091 AY:0.109 AZ:-0.964 | GX:-0.733 GY:1.282 GZ:1.878 | T:25.19 C
I (439365) mpu6050 stream: AX:-0.090 AY:0.111 AZ:-0.952 | GX:-1.038 GY:1.191 GZ:1.603 | T:25.19 C
I (439375) mpu6050 stream: AX:-0.084 AY:0.115 AZ:-0.948 | GX:-0.855 GY:0.718 GZ:1.832 | T:25.09 C
I (439385) mpu6050 stream: AX:-0.091 AY:0.116 AZ:-0.951 | GX:0.168 GY:0.290 GZ:1.389 | T:25.19 C
I (439395) mpu6050 stream: AX:-0.087 AY:0.106 AZ:-0.947 | GX:1.282 GY:0.122 GZ:2.061 | T:25.19 C
I (439405) mpu6050 stream: AX:-0.092 AY:0.104 AZ:-0.949 | GX:2.092 GY:0.412 GZ:2.214 | T:25.09 C
I (439415) mpu6050 stream: AX:-0.094 AY:0.097 AZ:-0.950 | GX:2.122 GY:0.351 GZ:2.382 | T:25.09 C
I (439425) mpu6050 stream: AX:-0.093 AY:0.092 AZ:-0.945 | GX:1.389 GY:0.565 GZ:2.275 | T:25.19 C
I (439435) mpu6050 stream: AX:-0.090 AY:0.093 AZ:-0.941 | GX:0.382 GY:-0.046 GZ:2.061 | T:25.09 C
I (439445) mpu6050 stream: AX:-0.091 AY:0.092 AZ:-0.951 | GX:-0.473 GY:-0.198 GZ:1.756 | T:25.09 C
I (439455) mpu6050 stream: AX:-0.090 AY:0.093 AZ:-0.949 | GX:-0.840 GY:-0.214 GZ:1.802 | T:25.28 C
I (439465) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.948 | GX:-0.534 GY:-0.321 GZ:1.954 | T:25.09 C
I (439475) mpu6050 stream: AX:-0.091 AY:0.098 AZ:-0.951 | GX:-0.046 GY:-0.397 GZ:1.710 | T:25.19 C
I (439485) mpu6050 stream: AX:-0.096 AY:0.092 AZ:-0.940 | GX:0.198 GY:-0.489 GZ:1.267 | T:25.09 C
I (439495) mpu6050 stream: AX:-0.088 AY:0.102 AZ:-0.951 | GX:0.351 GY:-0.992 GZ:1.374 | T:25.19 C
I (439505) mpu6050 stream: AX:-0.099 AY:0.096 AZ:-0.950 | GX:-0.031 GY:-1.069 GZ:1.267 | T:25.19 C
