I (260375) mpu6050 stream: AX:-0.183 AY:0.073 AZ:-0.945 | GX:4.244 GY:17.176 GZ:2.748 | T:25.24 C
I (260385) mpu6050 stream: AX:-0.202 AY:0.070 AZ:-0.983 | GX:3.435 GY:18.076 GZ:2.504 | T:25.33 C
I (260395) mpu6050 stream: AX:-0.197 AY:0.075 AZ:-0.973 | GX:3.038 GY:20.443 GZ:2.656 | T:25.24 C
I (260405) mpu6050 stream: AX:-0.191 AY:0.072 AZ:-0.943 | GX:3.817 GY:21.863 GZ:2.595 | T:25.24 C
I (260415) mpu6050 stream: AX:-0.169 AY:0.072 AZ:-0.936 | GX:4.779 GY:21.969 GZ:2.672 | T:25.24 C
I (260425) mpu6050 stream: AX:-0.156 AY:0.064 AZ:-0.922 | GX:5.069 GY:20.977 GZ:2.504 | T:25.33 C
I (260435) mpu6050 stream: AX:-0.139 AY:0.062 AZ:-0.908 | GX:4.366 GY:19.908 GZ:2.198 | T:25.14 C
I (260445) mpu6050 stream: AX:-0.125 AY:0.068 AZ:-0.900 | GX:3.237 GY:17.634 GZ:2.122 | T:25.24 C
I (260455) mpu6050 stream: AX:-0.128 AY:0.065 AZ:-0.882 | GX:2.198 GY:15.282 GZ:1.847 | T:25.24 C
I (260465) mpu6050 stream: AX:-0.140 AY:0.069 AZ:-0.924 | GX:1.649 GY:12.809 GZ:1.908 | T:25.24 C
I (260475) mpu6050 stream: AX:-0.161 AY:0.068 AZ:-0.961 | GX:1.038 GY:12.611 GZ:1.924 | T:25.24 C
I (260485) mpu6050 stream: AX:-0.175 AY:0.074 AZ:-0.984 | GX:1.160 GY:14.947 GZ:1.847 | T:25.24 C
I (260495) mpu6050 stream: AX:-0.164 AY:0.075 AZ:-0.971 | GX:2.595 GY:16.855 GZ:2.137 | T:25.33 C
I (260505) mpu6050 stream: AX:-0.156 AY:0.067 AZ:-0.954 | GX:4.489 GY:17.344 GZ:1.924 | T:25.33 C
I (260515) mpu6050 stream: AX:-0.136 AY:0.063 AZ:-0.944 | GX:5.557 GY:16.855 GZ:1.817 | T:25.24 C
I (260525) mpu6050 stream: AX:-0.125 AY:0.059 AZ:-0.938 | GX:5.008 GY:16.275 GZ:1.786 | T:25.24 C
I (260535) mpu6050 stream: AX:-0.115 AY:0.056 AZ:-0.917 | GX:3.634 GY:14.855 GZ:1.710 | T:25.24 C
I (260545) mpu6050 stream: AX:-0.111 AY:0.058 AZ:-0.907 | GX:2.000 GY:13.344 GZ:1.435 | T:25.33 C
I (260555) mpu6050 stream: AX:-0.108 AY:0.056 AZ:-0.903 | GX:0.901 GY:11.695 GZ:1.374 | T:25.33 C
I (260565) mpu6050 stream: AX:-0.114 AY:0.058 AZ:-0.913 | GX:0.748 GY:9.618 GZ:1.237 | T:25.24 C
I (260575) mpu6050 stream: AX:-0.131 AY:0.064 AZ:-0.943 | GX:0.702 GY:8.840 GZ:1.145 | T:25.33 C
I (260585) mpu6050 stream: AX:-0.161 AY:0.062 AZ:-1.007 | GX:0.397 GY:9.557 GZ:0.901 | T:25.33 C
I (260595) mpu6050 stream: AX:-0.174 AY:0.073 AZ:-1.010 | GX:0.794 GY:13.679 GZ:1.084 | T:25.33 C
I (260605) mpu6050 stream: AX:-0.167 AY:0.073 AZ:-1.000 | GX:2.336 GY:17.267 GZ:1.450 | T:25.33 C
I (260615) mpu6050 stream: AX:-0.139 AY:0.069 AZ:-0.961 | GX:4.260 GY:17.985 GZ:1.313 | T:25.33 C
I (260625) mpu6050 stream: AX:-0.124 AY:0.063 AZ:-0.945 | GX:5.008 GY:17.985 GZ:1.221 | T:25.33 C
I (260635) mpu6050 stream: AX:-0.110 AY:0.055 AZ:-0.938 | GX:4.687 GY:17.221 GZ:1.115 | T:25.24 C
