I (418725) mpu6050 stream: AX:-0.118 AY:0.125 AZ:-0.942 | GX:0.443 GY:0.901 GZ:0.779 | T:25.24 C
I (418735) mpu6050 stream: AX:-0.122 AY:0.119 AZ:-0.939 | GX:1.695 GY:0.489 GZ:0.779 | T:25.24 C
I (418745) mpu6050 stream: AX:-0.125 AY:0.114 AZ:-0.926 | GX:2.260 GY:0.336 GZ:0.931 | T:25.14 C
I (418755) mpu6050 stream: AX:-0.123 AY:0.114 AZ:-0.941 | GX:1.863 GY:0.061 GZ:0.931 | T:25.14 C
I (418765) mpu6050 stream: AX:-0.125 AY:0.119 AZ:-0.948 | GX:1.023 GY:0.000 GZ:1.008 | T:25.24 C
I (418775) mpu6050 stream: AX:-0.119 AY:0.115 AZ:-0.943 | GX:-0.015 GY:-0.092 GZ:0.947 | T:25.24 C
I (418785) mpu6050 stream: AX:-0.128 AY:0.115 AZ:-0.943 | GX:-0.366 GY:-0.290 GZ:1.084 | T:25.14 C
I (418795) mpu6050 stream: AX:-0.126 AY:0.121 AZ:-0.948 | GX:-0.183 GY:-0.489 GZ:1.252 | T:25.19 C
I (418805) mpu6050 stream: AX:-0.117 AY:0.123 AZ:-0.941 | GX:0.275 GY:-0.519 GZ:1.328 | T:25.19 C
I (418815) mpu6050 stream: AX:-0.126 AY:0.114 AZ:-0.943 | GX:0.641 GY:-0.565 GZ:1.282 | T:25.19 C
I (418825) mpu6050 stream: AX:-0.132 AY:0.118 AZ:-0.935 | GX:0.702 GY:-0.565 GZ:1.328 | T:25.19 C
I (418835) mpu6050 stream: AX:-0.130 AY:0.116 AZ:-0.937 | GX:0.611 GY:-0.519 GZ:1.359 | T:25.19 C
I (418845) mpu6050 stream: AX:-0.135 AY:0.116 AZ:-0.942 | GX:0.290 GY:-0.855 GZ:1.267 | T:25.09 C
I (418855) mpu6050 stream: AX:-0.132 AY:0.115 AZ:-0.953 | GX:0.015 GY:-0.931 GZ:1.237 | T:25.19 C
I (418865) mpu6050 stream: AX:-0.133 AY:0.112 AZ:-0.944 | GX:-0.076 GY:-0.885 GZ:1.038 | T:25.28 C
I (418875) mpu6050 stream: AX:-0.127 AY:0.108 AZ:-0.947 | GX:-0.076 GY:-0.290 GZ:0.489 | T:25.19 C
I (418885) mpu6050 stream: AX:-0.130 AY:0.117 AZ:-0.961 | GX:0.122 GY:-0.458 GZ:0.244 | T:25.19 C
I (418895) mpu6050 stream: AX:-0.131 AY:0.117 AZ:-0.945 | GX:0.015 GY:-0.366 GZ:0.137 | T:25.19 C
I (418905) mpu6050 stream: AX:-0.127 AY:0.119 AZ:-0.936 | GX:0.366 GY:-0.443 GZ:-0.076 | T:25.09 C
I (418915) mpu6050 stream: AX:-0.129 AY:0.117 AZ:-0.952 | GX:0.519 GY:-0.519 GZ:0.107 | T:25.19 C
I (418925) mpu6050 stream: AX:-0.132 AY:0.118 AZ:-0.956 | GX:0.305 GY:-0.260 GZ:-0.031 | T:25.19 C
I (418935) mpu6050 stream: AX:-0.132 AY:0.115 AZ:-0.953 | GX:0.427 GY:0.122 GZ:0.107 | T:25.09 C
I (418945) mpu6050 stream: AX:-0.137 AY:0.112 AZ:-0.950 | GX:-0.153 GY:0.336 GZ:0.168 | T:25.19 C
I (418955) mpu6050 stream: AX:-0.131 AY:0.119 AZ:-0.949 | GX:-0.076 GY:0.656 GZ:0.183 | T:25.19 C
I (418965) mpu6050 stream: AX:-0.132 AY:0.121 AZ:-0.954 | GX:0.076 GY:0.458 GZ:0.137 | T:25.19 C
I (418975) mpu6050 stream: AX:-0.130 AY:0.119 AZ:-0.949 | GX:0.260 GY:0.458 GZ:0.382 | T:25.19 C
I (418985) mpu6050 stream: AX:-0.134 AY:0.126 AZ:-0.948 | GX:0.382 GY:0.779 GZ:0.702 | T:25.09 C
I (418995) mpu6050 stream: AX:-0.128 AY:0.121 AZ:-0.948 | GX:0.519 GY:0.809 GZ:0.489 | T:25.19 C
I (419005) mpu6050 stream: AX:-0.132 AY:0.112 AZ:-0.948 | GX:0.366 GY:0.885 GZ:0.504 | T:25.19 C
I (419015) mpu6050 stream: AX:-0.130 AY:0.110 AZ:-0.950 | GX:0.107 GY:1.221 GZ:0.809 | T:25.19 C
I (419025) mpu6050 stream: AX:-0.125 AY:0.117 AZ:-0.941 | GX:-0.290 GY:1.328 GZ:0.733 | T:25.28 C
I (419035) mpu6050 stream: AX:-0.128 AY:0.120 AZ:-0.949 | GX:-0.580 GY:1.405 GZ:0.840 | T:25.19 C
I (419045) mpu6050 stream: AX:-0.125 AY:0.124 AZ:-0.937 | GX:-0.305 GY:1.374 GZ:0.977 | T:25.09 C
I (419055) mpu6050 stream: AX:-0.123 AY:0.120 AZ:-0.943 | GX:0.122 GY:1.038 GZ:1.069 | T:25.28 C
I (419065) mpu6050 stream: AX:-0.120 AY:0.124 AZ:-0.934 | GX:0.397 GY:0.794 GZ:1.328 | T:25.19 C
I (419075) mpu6050 stream: AX:-0.122 AY:0.117 AZ:-0.940 | GX:0.641 GY:0.870 GZ:1.328 | T:25.19 C
I (419085) mpu6050 stream: AX:-0.120 AY:0.111 AZ:-0.952 | GX:0.611 GY:0.504 GZ:1.466 | T:25.09 C
I (419095) mpu6050 stream: AX:-0.119 AY:0.111 AZ:-0.937 | GX:0.321 GY:0.137 GZ:1.588 | T:25.19 C
I (419105) mpu6050 stream: AX:-0.125 AY:0.110 AZ:-0.933 | GX:-0.092 GY:-0.137 GZ:1.389 | T:25.09 C
I (419115) mpu6050 stream: AX:-0.123 AY:0.118 AZ:-0.944 | GX:-0.412 GY:-0.076 GZ:1.328 | T:25.19 C
I (419125) mpu6050 stream: AX:-0.123 AY:0.110 AZ:-0.938 | GX:-0.504 GY:-0.153 GZ:1.344 | T:25.19 C
I (419135) mpu6050 stream: AX:-0.124 AY:0.115 AZ:-0.949 | GX:-0.198 GY:-0.107 GZ:1.634 | T:25.09 C
I (419145) mpu6050 stream: AX:-0.130 AY:0.110 AZ:-0.955 | GX:0.290 GY:0.122 GZ:1.679 | T:25.19 C
I (419155) mpu6050 stream: AX:-0.129 AY:0.109 AZ:-0.942 | GX:0.122 GY:0.107 GZ:1.298 | T:25.19 C
I (419165) mpu6050 stream: AX:-0.129 AY:0.118 AZ:-0.958 | GX:0.046 GY:0.534 GZ:1.389 | T:25.19 C
I (419175) mpu6050 stream: AX:-0.123 AY:0.112 AZ:-0.945 | GX:0.000 GY:0.672 GZ:1.206 | T:25.28 C
I (419185) mpu6050 stream: AX:-0.133 AY:0.111 AZ:-0.946 | GX:-0.260 GY:0.748 GZ:1.176 | T:25.09 C
I (419195) mpu6050 stream: AX:-0.131 AY:0.106 AZ:-0.938 | GX:0.122 GY:0.244 GZ:0.855 | T:25.09 C
I (419205) mpu6050 stream: AX:-0.124 AY:0.109 AZ:-0.940 | GX:0.275 GY:0.198 GZ:0.840 | T:25.09 C
I (419215) mpu6050 stream: AX:-0.124 AY:0.115 AZ:-0.941 | GX:0.122 GY:0.366 GZ:0.672 | T:25.09 C
I (419225) mpu6050 stream: AX:-0.120 AY:0.113 AZ:-0.942 | GX:0.122 GY:0.336 GZ:0.550 | T:25.09 C
I (419235) mpu6050 stream: AX:-0.126 AY:0.106 AZ:-0.948 | GX:-0.031 GY:0.489 GZ:0.275 | T:25.19 C
I (419245) mpu6050 stream: AX:-0.121 AY:0.113 AZ:-0.938 | GX:-0.153 GY:0.687 GZ:0.534 | T:25.09 C
I (419255) mpu6050 stream: AX:-0.126 AY:0.109 AZ:-0.949 | GX:-0.305 GY:0.092 GZ:0.244 | T:25.19 C
I (419265) mpu6050 stream: AX:-0.119 AY:0.111 AZ:-0.948 | GX:-0.504 GY:0.366 GZ:0.427 | T:25.19 C
I (419275) mpu6050 stream: AX:-0.122 AY:0.106 AZ:-0.944 | GX:-0.733 GY:0.168 GZ:0.168 | T:25.19 C
I (419285) mpu6050 stream: AX:-0.121 AY:0.115 AZ:-0.947 | GX:-0.885 GY:-0.137 GZ:-0.015 | T:25.19 C
I (419295) mpu6050 stream: AX:-0.130 AY:0.115 AZ:-0.952 | GX:-1.053 GY:-0.489 GZ:0.015 | T:25.28 C
I (419305) mpu6050 stream: AX:-0.122 AY:0.119 AZ:-0.946 | GX:-0.916 GY:-0.260 GZ:0.015 | T:25.09 C
I (419315) mpu6050 stream: AX:-0.127 AY:0.118 AZ:-0.947 | GX:-0.565 GY:-0.382 GZ:0.061 | T:25.19 C
I (419325) mpu6050 stream: AX:-0.128 AY:0.117 AZ:-0.949 | GX:-0.229 GY:-0.351 GZ:0.198 | T:25.19 C
I (419335) mpu6050 stream: AX:-0.120 AY:0.117 AZ:-0.936 | GX:-0.076 GY:-0.336 GZ:0.183 | T:25.19 C
I (419345) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.950 | GX:-0.214 GY:-0.015 GZ:0.366 | T:25.19 C
I (419355) mpu6050 stream: AX:-0.128 AY:0.117 AZ:-0.953 | GX:-0.305 GY:0.260 GZ:0.382 | T:25.19 C
I (419365) mpu6050 stream: AX:-0.126 AY:0.119 AZ:-0.951 | GX:-0.519 GY:0.305 GZ:0.473 | T:25.09 C
I (419375) mpu6050 stream: AX:-0.124 AY:0.114 AZ:-0.948 | GX:-0.412 GY:0.382 GZ:0.641 | T:25.09 C
I (419385) mpu6050 stream: AX:-0.126 AY:0.115 AZ:-0.947 | GX:-0.489 GY:0.168 GZ:0.427 | T:25.19 C
I (419395) mpu6050 stream: AX:-0.128 AY:0.116 AZ:-0.943 | GX:-0.473 GY:0.351 GZ:0.550 | T:25.09 C
I (419405) mpu6050 stream: AX:-0.123 AY:0.120 AZ:-0.949 | GX:-0.611 GY:0.412 GZ:0.672 | T:25.09 C
I (419415) mpu6050 stream: AX:-0.128 AY:0.116 AZ:-0.942 | GX:-0.626 GY:0.183 GZ:0.641 | T:25.09 C
