I (206645) mpu6050 stream: AX:-0.156 AY:0.094 AZ:-0.945 | GX:-0.198 GY:-0.031 GZ:1.374 | T:25.19 C
I (206655) mpu6050 stream: AX:-0.151 AY:0.097 AZ:-0.943 | GX:-0.382 GY:0.153 GZ:1.328 | T:25.28 C
I (206665) mpu6050 stream: AX:-0.159 AY:0.090 AZ:-0.948 | GX:-0.351 GY:0.550 GZ:1.221 | T:25.28 C
I (206675) mpu6050 stream: AX:-0.156 AY:0.091 AZ:-0.956 | GX:-0.336 GY:0.809 GZ:1.130 | T:25.28 C
I (206685) mpu6050 stream: AX:-0.161 AY:0.095 AZ:-0.946 | GX:-0.351 GY:0.611 GZ:1.008 | T:25.28 C
I (206695) mpu6050 stream: AX:-0.153 AY:0.092 AZ:-0.939 | GX:-0.382 GY:0.855 GZ:0.885 | T:25.28 C
I (206705) mpu6050 stream: AX:-0.157 AY:0.103 AZ:-0.935 | GX:-0.336 GY:0.641 GZ:0.748 | T:25.19 C
I (206715) mpu6050 stream: AX:-0.148 AY:0.100 AZ:-0.942 | GX:-0.290 GY:0.366 GZ:0.580 | T:25.19 C
I (206725) mpu6050 stream: AX:-0.141 AY:0.100 AZ:-0.939 | GX:-0.336 GY:0.000 GZ:0.550 | T:25.28 C
I (206735) mpu6050 stream: AX:-0.153 AY:0.100 AZ:-0.937 | GX:-0.122 GY:-0.748 GZ:0.519 | T:25.19 C
I (206745) mpu6050 stream: AX:-0.157 AY:0.097 AZ:-0.939 | GX:-0.534 GY:-0.992 GZ:0.504 | T:25.28 C
I (206755) mpu6050 stream: AX:-0.156 AY:0.093 AZ:-0.955 | GX:-0.794 GY:-1.191 GZ:0.595 | T:25.19 C
I (206765) mpu6050 stream: AX:-0.158 AY:0.098 AZ:-0.949 | GX:-0.748 GY:-0.794 GZ:0.550 | T:25.19 C
I (206775) mpu6050 stream: AX:-0.157 AY:0.096 AZ:-0.949 | GX:-0.779 GY:-0.153 GZ:0.656 | T:25.14 C
I (206785) mpu6050 stream: AX:-0.156 AY:0.104 AZ:-0.949 | GX:-0.412 GY:0.290 GZ:0.779 | T:25.24 C
I (206795) mpu6050 stream: AX:-0.158 AY:0.096 AZ:-0.941 | GX:-0.214 GY:0.534 GZ:0.626 | T:25.24 C
I (206805) mpu6050 stream: AX:-0.156 AY:0.103 AZ:-0.937 | GX:-0.214 GY:0.382 GZ:0.779 | T:25.24 C
I (206815) mpu6050 stream: AX:-0.155 AY:0.096 AZ:-0.938 | GX:-0.443 GY:-0.046 GZ:0.702 | T:25.14 C
I (206825) mpu6050 stream: AX:-0.149 AY:0.101 AZ:-0.941 | GX:-0.641 GY:-0.580 GZ:0.733 | T:25.14 C
I (206835) mpu6050 stream: AX:-0.155 AY:0.106 AZ:-0.955 | GX:-0.901 GY:-0.412 GZ:0.718 | T:25.24 C
I (206845) mpu6050 stream: AX:-0.151 AY:0.103 AZ:-0.956 | GX:-0.977 GY:-0.443 GZ:0.901 | T:25.24 C
I (206855) mpu6050 stream: AX:-0.157 AY:0.106 AZ:-0.944 | GX:-0.656 GY:-0.366 GZ:0.855 | T:25.24 C
I (206865) mpu6050 stream: AX:-0.158 AY:0.103 AZ:-0.948 | GX:-0.458 GY:0.015 GZ:0.763 | T:25.24 C
I (206875) mpu6050 stream: AX:-0.165 AY:0.105 AZ:-0.957 | GX:0.015 GY:0.031 GZ:0.977 | T:25.24 C
I (206885) mpu6050 stream: AX:-0.156 AY:0.105 AZ:-0.938 | GX:-0.015 GY:0.366 GZ:0.977 | T:25.24 C
I (206895) mpu6050 stream: AX:-0.157 AY:0.110 AZ:-0.937 | GX:-0.076 GY:0.595 GZ:0.870 | T:25.24 C
I (206905) mpu6050 stream: AX:-0.153 AY:0.100 AZ:-0.937 | GX:0.244 GY:0.641 GZ:0.840 | T:25.24 C
