I (328545) mpu6050 stream: AX:-0.137 AY:0.104 AZ:-0.950 | GX:0.702 GY:0.076 GZ:1.282 | T:25.19 C
I (328555) mpu6050 stream: AX:-0.134 AY:0.104 AZ:-0.948 | GX:0.321 GY:-0.046 GZ:1.328 | T:25.28 C
I (328565) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.943 | GX:-0.076 GY:0.031 GZ:1.313 | T:25.28 C
I (328575) mpu6050 stream: AX:-0.138 AY:0.114 AZ:-0.954 | GX:0.153 GY:0.046 GZ:1.450 | T:25.28 C
I (328585) mpu6050 stream: AX:-0.140 AY:0.103 AZ:-0.948 | GX:0.244 GY:0.321 GZ:1.405 | T:25.28 C
I (328595) mpu6050 stream: AX:-0.145 AY:0.104 AZ:-0.946 | GX:0.336 GY:0.229 GZ:1.450 | T:25.28 C
I (328605) mpu6050 stream: AX:-0.137 AY:0.108 AZ:-0.948 | GX:0.489 GY:0.214 GZ:1.618 | T:25.19 C
I (328615) mpu6050 stream: AX:-0.140 AY:0.112 AZ:-0.952 | GX:0.565 GY:0.321 GZ:1.389 | T:25.19 C
I (328625) mpu6050 stream: AX:-0.141 AY:0.100 AZ:-0.969 | GX:0.366 GY:0.412 GZ:1.282 | T:25.19 C
I (328635) mpu6050 stream: AX:-0.137 AY:0.099 AZ:-0.959 | GX:0.321 GY:0.733 GZ:1.176 | T:25.28 C
I (328645) mpu6050 stream: AX:-0.138 AY:0.106 AZ:-0.946 | GX:0.214 GY:0.641 GZ:1.084 | T:25.19 C
I (328655) mpu6050 stream: AX:-0.135 AY:0.100 AZ:-0.947 | GX:0.137 GY:0.794 GZ:1.069 | T:25.28 C
I (328665) mpu6050 stream: AX:-0.134 AY:0.105 AZ:-0.951 | GX:0.229 GY:0.947 GZ:1.176 | T:25.19 C
I (328675) mpu6050 stream: AX:-0.132 AY:0.099 AZ:-0.945 | GX:0.290 GY:1.160 GZ:1.053 | T:25.19 C
I (328685) mpu6050 stream: AX:-0.136 AY:0.108 AZ:-0.928 | GX:0.061 GY:1.069 GZ:1.008 | T:25.19 C
I (328695) mpu6050 stream: AX:-0.131 AY:0.101 AZ:-0.947 | GX:-0.198 GY:0.702 GZ:0.901 | T:25.28 C
I (328705) mpu6050 stream: AX:-0.137 AY:0.100 AZ:-0.935 | GX:-0.427 GY:0.763 GZ:0.779 | T:25.19 C
I (328715) mpu6050 stream: AX:-0.125 AY:0.109 AZ:-0.941 | GX:-0.427 GY:0.794 GZ:0.840 | T:25.19 C
I (328725) mpu6050 stream: AX:-0.136 AY:0.101 AZ:-0.945 | GX:-0.305 GY:0.534 GZ:0.870 | T:25.28 C
I (328735) mpu6050 stream: AX:-0.127 AY:0.103 AZ:-0.946 | GX:-0.336 GY:0.168 GZ:0.656 | T:25.28 C
I (328745) mpu6050 stream: AX:-0.138 AY:0.101 AZ:-0.941 | GX:-0.214 GY:0.366 GZ:0.855 | T:25.19 C
I (328755) mpu6050 stream: AX:-0.141 AY:0.105 AZ:-0.944 | GX:-0.031 GY:0.565 GZ:0.656 | T:25.19 C
I (328765) mpu6050 stream: AX:-0.139 AY:0.105 AZ:-0.953 | GX:-0.076 GY:0.351 GZ:0.473 | T:25.19 C
I (328775) mpu6050 stream: AX:-0.141 AY:0.111 AZ:-0.941 | GX:-0.076 GY:0.611 GZ:0.641 | T:25.19 C
I (328785) mpu6050 stream: AX:-0.133 AY:0.112 AZ:-0.950 | GX:0.031 GY:0.443 GZ:0.595 | T:25.19 C
I (328795) mpu6050 stream: AX:-0.132 AY:0.103 AZ:-0.941 | GX:-0.031 GY:0.321 GZ:0.534 | T:25.28 C
I (328805) mpu6050 stream: AX:-0.134 AY:0.109 AZ:-0.948 | GX:0.122 GY:0.183 GZ:0.626 | T:25.19 C
I (328815) mpu6050 stream: AX:-0.136 AY:0.104 AZ:-0.941 | GX:0.092 GY:0.168 GZ:0.595 | T:25.14 C
I (328825) mpu6050 stream: AX:-0.140 AY:0.108 AZ:-0.949 | GX:0.107 GY:-0.092 GZ:0.641 | T:25.19 C
I (328835) mpu6050 stream: AX:-0.134 AY:0.102 AZ:-0.949 | GX:0.229 GY:0.031 GZ:0.611 | T:25.24 C
I (328845) mpu6050 stream: AX:-0.136 AY:0.113 AZ:-0.949 | GX:0.183 GY:0.015 GZ:0.687 | T:25.33 C
I (328855) mpu6050 stream: AX:-0.142 AY:0.106 AZ:-0.944 | GX:0.092 GY:0.351 GZ:0.641 | T:25.33 C
I (328865) mpu6050 stream: AX:-0.137 AY:0.107 AZ:-0.950 | GX:-0.153 GY:0.443 GZ:0.748 | T:25.24 C
I (328875) mpu6050 stream: AX:-0.137 AY:0.100 AZ:-0.941 | GX:-0.061 GY:0.427 GZ:0.611 | T:25.24 C
I (328885) mpu6050 stream: AX:-0.128 AY:0.104 AZ:-0.946 | GX:0.031 GY:0.229 GZ:0.626 | T:25.24 C
I (328895) mpu6050 stream: AX:-0.135 AY:0.104 AZ:-0.955 | GX:0.076 GY:0.122 GZ:0.824 | T:25.24 C
I (328905) mpu6050 stream: AX:-0.135 AY:0.106 AZ:-0.943 | GX:-0.031 GY:0.290 GZ:0.809 | T:25.24 C
I (328915) mpu6050 stream: AX:-0.138 AY:0.107 AZ:-0.941 | GX:-0.031 GY:0.321 GZ:0.733 | T:25.24 C
I (328925) mpu6050 stream: AX:-0.133 AY:0.102 AZ:-0.936 | GX:0.092 GY:0.427 GZ:0.702 | T:25.14 C
I (328935) mpu6050 stream: AX:-0.129 AY:0.096 AZ:-0.951 | GX:-0.107 GY:0.061 GZ:0.626 | T:25.33 C
I (328945) mpu6050 stream: AX:-0.132 AY:0.104 AZ:-0.960 | GX:-0.687 GY:0.046 GZ:0.611 | T:25.24 C
I (328955) mpu6050 stream: AX:-0.125 AY:0.099 AZ:-0.949 | GX:-1.359 GY:0.229 GZ:0.550 | T:25.14 C
