I (639665) mpu6050 stream: AX:-0.004 AY:0.100 AZ:-0.959 | GX:0.061 GY:0.275 GZ:1.496 | T:25.05 C
I (639675) mpu6050 stream: AX:-0.001 AY:0.104 AZ:-0.959 | GX:0.168 GY:0.092 GZ:1.466 | T:25.05 C
I (639685) mpu6050 stream: AX:-0.006 AY:0.104 AZ:-0.967 | GX:0.275 GY:-0.046 GZ:1.405 | T:24.95 C
I (639695) mpu6050 stream: AX:-0.007 AY:0.099 AZ:-0.956 | GX:0.504 GY:0.015 GZ:1.405 | T:25.05 C
I (639705) mpu6050 stream: AX:0.000 AY:0.102 AZ:-0.961 | GX:0.641 GY:-0.290 GZ:1.374 | T:24.95 C
I (639715) mpu6050 stream: AX:-0.005 AY:0.097 AZ:-0.966 | GX:0.427 GY:-0.168 GZ:1.206 | T:24.95 C
I (639725) mpu6050 stream: AX:-0.002 AY:0.108 AZ:-0.956 | GX:0.366 GY:-0.412 GZ:1.160 | T:24.86 C
I (639735) mpu6050 stream: AX:0.001 AY:0.102 AZ:-0.957 | GX:0.366 GY:-0.565 GZ:1.328 | T:24.86 C
I (639745) mpu6050 stream: AX:-0.002 AY:0.099 AZ:-0.962 | GX:0.244 GY:-0.427 GZ:1.328 | T:24.95 C
I (639755) mpu6050 stream: AX:-0.003 AY:0.108 AZ:-0.960 | GX:0.031 GY:-0.489 GZ:1.221 | T:25.05 C
I (639765) mpu6050 stream: AX:-0.005 AY:0.099 AZ:-0.955 | GX:0.198 GY:-0.580 GZ:1.420 | T:24.95 C
I (639775) mpu6050 stream: AX:-0.005 AY:0.102 AZ:-0.968 | GX:0.443 GY:-0.321 GZ:1.191 | T:24.95 C
I (639785) mpu6050 stream: AX:-0.005 AY:0.100 AZ:-0.963 | GX:0.321 GY:0.412 GZ:1.420 | T:24.95 C
I (639795) mpu6050 stream: AX:-0.004 AY:0.099 AZ:-0.958 | GX:0.412 GY:0.473 GZ:1.191 | T:24.95 C
I (639805) mpu6050 stream: AX:-0.002 AY:0.099 AZ:-0.963 | GX:0.076 GY:0.229 GZ:1.176 | T:24.95 C
I (639815) mpu6050 stream: AX:-0.000 AY:0.102 AZ:-0.973 | GX:-0.366 GY:0.275 GZ:1.176 | T:24.95 C
I (639825) mpu6050 stream: AX:-0.005 AY:0.100 AZ:-0.974 | GX:-0.916 GY:0.275 GZ:0.916 | T:24.95 C
I (639835) mpu6050 stream: AX:-0.001 AY:0.108 AZ:-0.960 | GX:-0.611 GY:0.305 GZ:1.206 | T:24.91 C
