I (567045) mpu6050 stream: AX:-0.043 AY:0.097 AZ:-0.959 | GX:-0.565 GY:0.565 GZ:1.069 | T:25.05 C
I (567055) mpu6050 stream: AX:-0.052 AY:0.109 AZ:-0.968 | GX:-0.656 GY:0.412 GZ:0.855 | T:24.95 C
I (567065) mpu6050 stream: AX:-0.043 AY:0.103 AZ:-0.957 | GX:-0.840 GY:1.252 GZ:0.794 | T:25.05 C
I (567075) mpu6050 stream: AX:-0.048 AY:0.108 AZ:-0.964 | GX:-0.260 GY:1.954 GZ:0.901 | T:24.95 C
I (567085) mpu6050 stream: AX:-0.048 AY:0.109 AZ:-0.958 | GX:0.382 GY:2.412 GZ:0.840 | T:24.95 C
I (567095) mpu6050 stream: AX:-0.049 AY:0.105 AZ:-0.958 | GX:0.748 GY:2.198 GZ:0.763 | T:24.95 C
I (567105) mpu6050 stream: AX:-0.046 AY:0.103 AZ:-0.958 | GX:0.794 GY:2.382 GZ:0.809 | T:24.86 C
I (567115) mpu6050 stream: AX:-0.042 AY:0.105 AZ:-0.957 | GX:0.702 GY:2.183 GZ:0.626 | T:24.95 C
I (567125) mpu6050 stream: AX:-0.042 AY:0.111 AZ:-0.950 | GX:0.473 GY:2.000 GZ:0.611 | T:24.95 C
I (567135) mpu6050 stream: AX:-0.038 AY:0.109 AZ:-0.951 | GX:0.336 GY:1.496 GZ:0.550 | T:24.95 C
I (567145) mpu6050 stream: AX:-0.040 AY:0.103 AZ:-0.952 | GX:0.198 GY:1.344 GZ:0.733 | T:25.05 C
I (567155) mpu6050 stream: AX:-0.046 AY:0.111 AZ:-0.952 | GX:0.198 GY:1.374 GZ:0.718 | T:24.95 C
I (567165) mpu6050 stream: AX:-0.041 AY:0.106 AZ:-0.951 | GX:0.550 GY:1.496 GZ:0.809 | T:24.95 C
I (567175) mpu6050 stream: AX:-0.042 AY:0.106 AZ:-0.950 | GX:0.641 GY:1.115 GZ:1.115 | T:25.05 C
I (567185) mpu6050 stream: AX:-0.036 AY:0.104 AZ:-0.939 | GX:0.519 GY:0.840 GZ:1.115 | T:25.05 C
