I (541415) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.947 | GX:1.420 GY:-1.145 GZ:3.206 | T:24.95 C
I (541425) mpu6050 stream: AX:-0.100 AY:0.071 AZ:-0.960 | GX:0.763 GY:-1.557 GZ:3.069 | T:24.95 C
I (541435) mpu6050 stream: AX:-0.091 AY:0.076 AZ:-0.964 | GX:0.366 GY:-1.634 GZ:2.916 | T:24.95 C
I (541445) mpu6050 stream: AX:-0.093 AY:0.078 AZ:-0.959 | GX:-0.076 GY:-1.389 GZ:2.702 | T:24.95 C
I (541455) mpu6050 stream: AX:-0.098 AY:0.076 AZ:-0.963 | GX:-0.107 GY:-1.420 GZ:2.779 | T:24.95 C
I (541465) mpu6050 stream: AX:-0.109 AY:0.080 AZ:-0.965 | GX:-0.382 GY:-0.794 GZ:2.489 | T:24.95 C
I (541475) mpu6050 stream: AX:-0.099 AY:0.094 AZ:-0.959 | GX:-0.519 GY:-0.168 GZ:2.687 | T:24.95 C
I (541485) mpu6050 stream: AX:-0.099 AY:0.082 AZ:-0.952 | GX:-0.412 GY:0.137 GZ:2.824 | T:24.95 C
I (541495) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.950 | GX:-0.214 GY:0.229 GZ:2.962 | T:24.95 C
I (541505) mpu6050 stream: AX:-0.087 AY:0.089 AZ:-0.954 | GX:-1.008 GY:-0.198 GZ:2.733 | T:25.05 C
I (541515) mpu6050 stream: AX:-0.093 AY:0.090 AZ:-0.958 | GX:-2.076 GY:-0.656 GZ:3.008 | T:25.05 C
I (541525) mpu6050 stream: AX:-0.088 AY:0.089 AZ:-0.950 | GX:-2.534 GY:-1.221 GZ:2.794 | T:25.05 C
I (541535) mpu6050 stream: AX:-0.092 AY:0.089 AZ:-0.958 | GX:-2.595 GY:-1.786 GZ:2.519 | T:24.86 C
I (541545) mpu6050 stream: AX:-0.104 AY:0.098 AZ:-0.979 | GX:-3.023 GY:-1.496 GZ:2.489 | T:25.05 C
I (541555) mpu6050 stream: AX:-0.103 AY:0.095 AZ:-0.969 | GX:-3.435 GY:-0.305 GZ:2.351 | T:24.95 C
I (541565) mpu6050 stream: AX:-0.101 AY:0.099 AZ:-0.966 | GX:-3.374 GY:0.641 GZ:2.305 | T:25.05 C
I (541575) mpu6050 stream: AX:-0.091 AY:0.104 AZ:-0.946 | GX:-3.008 GY:0.702 GZ:2.198 | T:24.95 C
I (541585) mpu6050 stream: AX:-0.093 AY:0.105 AZ:-0.955 | GX:-2.412 GY:1.130 GZ:2.107 | T:24.95 C
I (541595) mpu6050 stream: AX:-0.087 AY:0.099 AZ:-0.943 | GX:-2.015 GY:1.115 GZ:1.878 | T:24.95 C
I (541605) mpu6050 stream: AX:-0.086 AY:0.096 AZ:-0.942 | GX:-1.771 GY:0.550 GZ:1.634 | T:25.05 C
I (541615) mpu6050 stream: AX:-0.081 AY:0.099 AZ:-0.942 | GX:-2.489 GY:0.504 GZ:1.649 | T:24.95 C
I (541625) mpu6050 stream: AX:-0.073 AY:0.097 AZ:-0.952 | GX:-2.382 GY:-0.183 GZ:1.313 | T:24.95 C
