I (278435) mpu6050 stream: AX:-0.137 AY:0.069 AZ:-0.947 | GX:-0.244 GY:-1.206 GZ:1.573 | T:25.38 C
I (278445) mpu6050 stream: AX:-0.148 AY:0.069 AZ:-0.945 | GX:0.137 GY:-1.237 GZ:1.588 | T:25.28 C
I (278455) mpu6050 stream: AX:-0.141 AY:0.070 AZ:-0.948 | GX:0.290 GY:-1.435 GZ:1.832 | T:25.19 C
I (278465) mpu6050 stream: AX:-0.146 AY:0.068 AZ:-0.949 | GX:-0.107 GY:-1.328 GZ:1.908 | T:25.19 C
I (278475) mpu6050 stream: AX:-0.149 AY:0.065 AZ:-0.950 | GX:-0.519 GY:-1.115 GZ:1.557 | T:25.28 C
I (278485) mpu6050 stream: AX:-0.142 AY:0.068 AZ:-0.958 | GX:-0.794 GY:-0.809 GZ:1.252 | T:25.24 C
I (278495) mpu6050 stream: AX:-0.146 AY:0.065 AZ:-0.951 | GX:-0.809 GY:-0.443 GZ:1.206 | T:25.33 C
I (278505) mpu6050 stream: AX:-0.143 AY:0.072 AZ:-0.944 | GX:-0.870 GY:-0.076 GZ:0.870 | T:25.24 C
I (278515) mpu6050 stream: AX:-0.140 AY:0.069 AZ:-0.958 | GX:-0.702 GY:-0.260 GZ:0.473 | T:25.24 C
I (278525) mpu6050 stream: AX:-0.138 AY:0.078 AZ:-0.958 | GX:-0.565 GY:-0.351 GZ:0.412 | T:25.33 C
I (278535) mpu6050 stream: AX:-0.138 AY:0.080 AZ:-0.950 | GX:-0.458 GY:-0.260 GZ:0.229 | T:25.24 C
I (278545) mpu6050 stream: AX:-0.137 AY:0.076 AZ:-0.945 | GX:-0.214 GY:-0.595 GZ:0.107 | T:25.24 C
I (278555) mpu6050 stream: AX:-0.131 AY:0.073 AZ:-0.946 | GX:0.229 GY:-1.145 GZ:0.046 | T:25.33 C
I (278565) mpu6050 stream: AX:-0.143 AY:0.075 AZ:-0.949 | GX:0.092 GY:-1.023 GZ:-0.031 | T:25.33 C
I (278575) mpu6050 stream: AX:-0.143 AY:0.073 AZ:-0.955 | GX:-0.321 GY:-0.733 GZ:0.168 | T:25.24 C
I (278585) mpu6050 stream: AX:-0.143 AY:0.072 AZ:-0.956 | GX:-0.718 GY:-0.458 GZ:0.229 | T:25.24 C
I (278595) mpu6050 stream: AX:-0.138 AY:0.078 AZ:-0.952 | GX:-0.870 GY:-0.702 GZ:0.031 | T:25.24 C
I (278605) mpu6050 stream: AX:-0.146 AY:0.084 AZ:-0.948 | GX:-0.198 GY:-0.489 GZ:0.229 | T:25.24 C
I (278615) mpu6050 stream: AX:-0.142 AY:0.082 AZ:-0.949 | GX:0.168 GY:-0.427 GZ:0.305 | T:25.24 C
I (278625) mpu6050 stream: AX:-0.141 AY:0.079 AZ:-0.946 | GX:0.702 GY:-0.382 GZ:0.901 | T:25.33 C
I (278635) mpu6050 stream: AX:-0.146 AY:0.069 AZ:-0.957 | GX:0.977 GY:-0.351 GZ:0.855 | T:25.33 C
I (278645) mpu6050 stream: AX:-0.142 AY:0.073 AZ:-0.943 | GX:0.351 GY:-0.397 GZ:1.099 | T:25.24 C
I (278655) mpu6050 stream: AX:-0.139 AY:0.073 AZ:-0.951 | GX:-0.183 GY:-0.351 GZ:1.069 | T:25.24 C
