I (432755) mpu6050 stream: AX:-0.119 AY:0.095 AZ:-0.947 | GX:0.107 GY:-0.565 GZ:0.626 | T:25.09 C
I (432765) mpu6050 stream: AX:-0.115 AY:0.089 AZ:-0.947 | GX:0.916 GY:-0.290 GZ:1.038 | T:25.19 C
I (432775) mpu6050 stream: AX:-0.120 AY:0.087 AZ:-0.954 | GX:1.420 GY:-0.137 GZ:1.084 | T:25.28 C
I (432785) mpu6050 stream: AX:-0.116 AY:0.083 AZ:-0.958 | GX:1.191 GY:0.107 GZ:1.160 | T:25.09 C
I (432795) mpu6050 stream: AX:-0.117 AY:0.084 AZ:-0.962 | GX:0.687 GY:0.427 GZ:1.588 | T:25.09 C
I (432805) mpu6050 stream: AX:-0.116 AY:0.080 AZ:-0.964 | GX:0.336 GY:0.443 GZ:1.634 | T:25.09 C
I (432815) mpu6050 stream: AX:-0.115 AY:0.084 AZ:-0.966 | GX:-0.061 GY:0.565 GZ:1.664 | T:25.28 C
I (432825) mpu6050 stream: AX:-0.119 AY:0.086 AZ:-0.954 | GX:-0.076 GY:1.053 GZ:1.710 | T:25.09 C
I (432835) mpu6050 stream: AX:-0.111 AY:0.083 AZ:-0.953 | GX:0.168 GY:0.916 GZ:1.802 | T:25.09 C
I (432845) mpu6050 stream: AX:-0.112 AY:0.078 AZ:-0.948 | GX:0.336 GY:0.794 GZ:1.817 | T:25.19 C
I (432855) mpu6050 stream: AX:-0.112 AY:0.079 AZ:-0.952 | GX:0.473 GY:0.718 GZ:1.725 | T:25.19 C
I (432865) mpu6050 stream: AX:-0.103 AY:0.076 AZ:-0.941 | GX:0.260 GY:-0.061 GZ:1.664 | T:25.19 C
I (432875) mpu6050 stream: AX:-0.114 AY:0.085 AZ:-0.948 | GX:0.092 GY:-0.061 GZ:1.786 | T:25.09 C
I (432885) mpu6050 stream: AX:-0.109 AY:0.081 AZ:-0.947 | GX:0.046 GY:0.137 GZ:1.771 | T:25.09 C
I (432895) mpu6050 stream: AX:-0.118 AY:0.081 AZ:-0.957 | GX:-0.290 GY:0.321 GZ:1.771 | T:25.09 C
I (432905) mpu6050 stream: AX:-0.116 AY:0.083 AZ:-0.953 | GX:-0.122 GY:0.519 GZ:2.061 | T:25.09 C
I (432915) mpu6050 stream: AX:-0.115 AY:0.083 AZ:-0.955 | GX:-0.244 GY:1.053 GZ:2.046 | T:25.19 C
I (432925) mpu6050 stream: AX:-0.118 AY:0.082 AZ:-0.970 | GX:-0.275 GY:1.359 GZ:2.137 | T:25.09 C
I (432935) mpu6050 stream: AX:-0.115 AY:0.079 AZ:-0.952 | GX:-0.504 GY:1.206 GZ:1.954 | T:25.19 C
I (432945) mpu6050 stream: AX:-0.106 AY:0.086 AZ:-0.953 | GX:-0.595 GY:1.099 GZ:1.878 | T:25.09 C
I (432955) mpu6050 stream: AX:-0.111 AY:0.083 AZ:-0.948 | GX:-0.718 GY:0.885 GZ:1.542 | T:25.09 C
I (432965) mpu6050 stream: AX:-0.107 AY:0.082 AZ:-0.955 | GX:-0.550 GY:1.023 GZ:1.511 | T:25.09 C
I (432975) mpu6050 stream: AX:-0.105 AY:0.093 AZ:-0.945 | GX:-0.397 GY:0.473 GZ:1.344 | T:25.09 C
I (432985) mpu6050 stream: AX:-0.110 AY:0.080 AZ:-0.948 | GX:-0.122 GY:0.061 GZ:0.931 | T:25.19 C
I (432995) mpu6050 stream: AX:-0.104 AY:0.088 AZ:-0.947 | GX:-0.076 GY:-0.031 GZ:1.145 | T:25.19 C
I (433005) mpu6050 stream: AX:-0.102 AY:0.084 AZ:-0.949 | GX:-0.198 GY:-0.168 GZ:0.992 | T:25.19 C
I (433015) mpu6050 stream: AX:-0.114 AY:0.088 AZ:-0.950 | GX:-0.351 GY:-0.031 GZ:1.008 | T:25.19 C
I (433025) mpu6050 stream: AX:-0.112 AY:0.086 AZ:-0.968 | GX:-0.504 GY:0.229 GZ:0.824 | T:25.09 C
I (433035) mpu6050 stream: AX:-0.114 AY:0.084 AZ:-0.954 | GX:-0.458 GY:0.519 GZ:1.038 | T:25.19 C
I (433045) mpu6050 stream: AX:-0.108 AY:0.090 AZ:-0.956 | GX:-0.092 GY:0.473 GZ:0.809 | T:25.09 C
I (433055) mpu6050 stream: AX:-0.105 AY:0.086 AZ:-0.954 | GX:-0.046 GY:0.824 GZ:1.069 | T:25.09 C
I (433065) mpu6050 stream: AX:-0.107 AY:0.086 AZ:-0.956 | GX:0.244 GY:0.794 GZ:0.748 | T:25.19 C
I (433075) mpu6050 stream: AX:-0.110 AY:0.086 AZ:-0.951 | GX:0.366 GY:0.672 GZ:0.595 | T:25.09 C
I (433085) mpu6050 stream: AX:-0.108 AY:0.082 AZ:-0.940 | GX:0.382 GY:0.458 GZ:0.641 | T:25.09 C
I (433095) mpu6050 stream: AX:-0.109 AY:0.080 AZ:-0.947 | GX:0.458 GY:0.595 GZ:0.534 | T:25.19 C
I (433105) mpu6050 stream: AX:-0.104 AY:0.076 AZ:-0.941 | GX:0.321 GY:0.443 GZ:0.382 | T:25.09 C
I (433115) mpu6050 stream: AX:-0.106 AY:0.080 AZ:-0.959 | GX:-0.412 GY:0.107 GZ:0.290 | T:25.09 C
I (433125) mpu6050 stream: AX:-0.118 AY:0.081 AZ:-0.967 | GX:-1.176 GY:0.336 GZ:0.122 | T:25.19 C
I (433135) mpu6050 stream: AX:-0.104 AY:0.086 AZ:-0.968 | GX:-1.908 GY:0.885 GZ:0.229 | T:25.19 C
I (433145) mpu6050 stream: AX:-0.105 AY:0.092 AZ:-0.962 | GX:-1.282 GY:1.206 GZ:0.305 | T:25.09 C
I (433155) mpu6050 stream: AX:-0.100 AY:0.101 AZ:-0.941 | GX:0.031 GY:0.901 GZ:0.427 | T:25.09 C
I (433165) mpu6050 stream: AX:-0.101 AY:0.095 AZ:-0.947 | GX:1.573 GY:0.565 GZ:0.641 | T:25.09 C
I (433175) mpu6050 stream: AX:-0.112 AY:0.087 AZ:-0.932 | GX:1.939 GY:0.214 GZ:0.977 | T:25.09 C
I (433185) mpu6050 stream: AX:-0.109 AY:0.087 AZ:-0.959 | GX:1.267 GY:0.366 GZ:1.130 | T:25.19 C
I (433195) mpu6050 stream: AX:-0.106 AY:0.086 AZ:-0.956 | GX:1.130 GY:-0.076 GZ:0.840 | T:25.19 C
I (433205) mpu6050 stream: AX:-0.108 AY:0.073 AZ:-0.953 | GX:-1.282 GY:0.015 GZ:1.374 | T:25.19 C
I (433215) mpu6050 stream: AX:-0.110 AY:0.086 AZ:-0.940 | GX:-1.924 GY:-0.565 GZ:1.115 | T:25.09 C
I (433225) mpu6050 stream: AX:-0.112 AY:0.082 AZ:-0.949 | GX:-1.145 GY:-0.794 GZ:1.374 | T:25.19 C
I (433235) mpu6050 stream: AX:-0.117 AY:0.085 AZ:-0.949 | GX:-0.718 GY:-0.718 GZ:1.298 | T:25.19 C
I (433245) mpu6050 stream: AX:-0.114 AY:0.090 AZ:-0.954 | GX:0.748 GY:-0.168 GZ:1.466 | T:25.19 C
I (433255) mpu6050 stream: AX:-0.110 AY:0.087 AZ:-0.965 | GX:-0.015 GY:-0.489 GZ:1.511 | T:25.09 C
I (433265) mpu6050 stream: AX:-0.109 AY:0.086 AZ:-0.949 | GX:0.885 GY:-0.305 GZ:1.481 | T:25.09 C
I (433275) mpu6050 stream: AX:-0.108 AY:0.086 AZ:-0.946 | GX:0.336 GY:-0.366 GZ:1.374 | T:25.19 C
I (433285) mpu6050 stream: AX:-0.110 AY:0.084 AZ:-0.952 | GX:-0.168 GY:-0.519 GZ:1.359 | T:25.09 C
I (433295) mpu6050 stream: AX:-0.119 AY:0.078 AZ:-0.948 | GX:-0.076 GY:-0.519 GZ:1.115 | T:25.19 C
I (433305) mpu6050 stream: AX:-0.111 AY:0.084 AZ:-0.943 | GX:-0.473 GY:-0.458 GZ:0.962 | T:25.19 C
I (433315) mpu6050 stream: AX:-0.110 AY:0.082 AZ:-0.947 | GX:-0.168 GY:-0.656 GZ:0.473 | T:25.19 C
I (433325) mpu6050 stream: AX:-0.119 AY:0.081 AZ:-0.950 | GX:-0.153 GY:-0.840 GZ:0.565 | T:25.00 C
I (433335) mpu6050 stream: AX:-0.120 AY:0.080 AZ:-0.957 | GX:0.168 GY:-0.550 GZ:0.550 | T:25.19 C
I (433345) mpu6050 stream: AX:-0.127 AY:0.082 AZ:-0.962 | GX:0.061 GY:-0.351 GZ:0.458 | T:25.19 C
I (433355) mpu6050 stream: AX:-0.117 AY:0.082 AZ:-0.965 | GX:-0.107 GY:0.092 GZ:0.534 | T:25.09 C
I (433365) mpu6050 stream: AX:-0.123 AY:0.086 AZ:-0.957 | GX:-0.489 GY:0.046 GZ:0.427 | T:25.19 C
I (433375) mpu6050 stream: AX:-0.116 AY:0.090 AZ:-0.949 | GX:-0.382 GY:0.229 GZ:0.321 | T:25.19 C
I (433385) mpu6050 stream: AX:-0.114 AY:0.091 AZ:-0.954 | GX:0.046 GY:-0.031 GZ:0.260 | T:25.19 C
I (433395) mpu6050 stream: AX:-0.120 AY:0.098 AZ:-0.952 | GX:0.336 GY:-0.031 GZ:0.977 | T:25.09 C
I (433405) mpu6050 stream: AX:-0.120 AY:0.087 AZ:-0.959 | GX:0.840 GY:0.015 GZ:1.130 | T:25.19 C
I (433415) mpu6050 stream: AX:-0.115 AY:0.082 AZ:-0.957 | GX:0.855 GY:0.351 GZ:1.420 | T:25.19 C
I (433425) mpu6050 stream: AX:-0.117 AY:0.082 AZ:-0.951 | GX:0.656 GY:0.779 GZ:1.481 | T:25.09 C
I (433435) mpu6050 stream: AX:-0.118 AY:0.079 AZ:-0.953 | GX:0.214 GY:0.382 GZ:1.252 | T:25.19 C
I (433445) mpu6050 stream: AX:-0.115 AY:0.081 AZ:-0.949 | GX:-0.382 GY:0.473 GZ:1.298 | T:25.19 C
I (433455) mpu6050 stream: AX:-0.112 AY:0.088 AZ:-0.946 | GX:-0.748 GY:0.275 GZ:1.359 | T:25.09 C
I (433465) mpu6050 stream: AX:-0.112 AY:0.088 AZ:-0.952 | GX:-0.565 GY:0.626 GZ:1.435 | T:25.19 C
I (433475) mpu6050 stream: AX:-0.110 AY:0.085 AZ:-0.956 | GX:-0.076 GY:0.550 GZ:1.481 | T:25.19 C
I (433485) mpu6050 stream: AX:-0.112 AY:0.092 AZ:-0.956 | GX:0.473 GY:0.565 GZ:1.557 | T:25.00 C
I (433495) mpu6050 stream: AX:-0.109 AY:0.085 AZ:-0.950 | GX:1.023 GY:0.656 GZ:1.771 | T:25.09 C
I (433505) mpu6050 stream: AX:-0.118 AY:0.082 AZ:-0.959 | GX:1.298 GY:0.504 GZ:1.740 | T:25.09 C
I (433515) mpu6050 stream: AX:-0.112 AY:0.077 AZ:-0.947 | GX:1.099 GY:0.473 GZ:1.573 | T:25.19 C
I (433525) mpu6050 stream: AX:-0.111 AY:0.073 AZ:-0.957 | GX:0.565 GY:0.519 GZ:1.420 | T:25.19 C
I (433535) mpu6050 stream: AX:-0.112 AY:0.071 AZ:-0.953 | GX:0.092 GY:0.672 GZ:1.313 | T:25.19 C
I (433545) mpu6050 stream: AX:-0.111 AY:0.072 AZ:-0.944 | GX:0.031 GY:0.611 GZ:0.901 | T:25.09 C
I (433555) mpu6050 stream: AX:-0.111 AY:0.081 AZ:-0.947 | GX:0.031 GY:0.443 GZ:1.008 | T:25.09 C
I (433565) mpu6050 stream: AX:-0.118 AY:0.083 AZ:-0.951 | GX:0.473 GY:-0.031 GZ:0.840 | T:25.09 C
I (433575) mpu6050 stream: AX:-0.113 AY:0.083 AZ:-0.950 | GX:0.763 GY:0.107 GZ:0.931 | T:25.09 C
I (433585) mpu6050 stream: AX:-0.110 AY:0.080 AZ:-0.957 | GX:0.702 GY:0.214 GZ:1.130 | T:25.09 C
I (433595) mpu6050 stream: AX:-0.113 AY:0.077 AZ:-0.953 | GX:0.580 GY:0.137 GZ:1.237 | T:25.19 C
I (433605) mpu6050 stream: AX:-0.108 AY:0.079 AZ:-0.953 | GX:0.290 GY:0.321 GZ:1.557 | T:25.19 C
I (433615) mpu6050 stream: AX:-0.105 AY:0.081 AZ:-0.953 | GX:0.229 GY:0.336 GZ:1.786 | T:25.09 C
I (433625) mpu6050 stream: AX:-0.109 AY:0.079 AZ:-0.944 | GX:0.183 GY:0.107 GZ:1.878 | T:25.09 C
I (433635) mpu6050 stream: AX:-0.115 AY:0.073 AZ:-0.948 | GX:0.137 GY:0.031 GZ:2.031 | T:25.19 C
I (433645) mpu6050 stream: AX:-0.105 AY:0.074 AZ:-0.946 | GX:-0.244 GY:0.397 GZ:1.725 | T:25.19 C
