I (395125) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.943 | GX:1.252 GY:1.725 GZ:1.145 | T:25.14 C
I (395135) mpu6050 stream: AX:-0.115 AY:0.099 AZ:-0.946 | GX:1.023 GY:1.496 GZ:1.038 | T:25.14 C
I (395145) mpu6050 stream: AX:-0.111 AY:0.098 AZ:-0.938 | GX:0.702 GY:1.084 GZ:1.130 | T:25.24 C
I (395155) mpu6050 stream: AX:-0.112 AY:0.104 AZ:-0.948 | GX:0.412 GY:1.145 GZ:1.038 | T:25.14 C
I (395165) mpu6050 stream: AX:-0.110 AY:0.097 AZ:-0.952 | GX:0.168 GY:0.733 GZ:1.160 | T:25.14 C
I (395175) mpu6050 stream: AX:-0.108 AY:0.096 AZ:-0.948 | GX:0.137 GY:0.489 GZ:1.099 | T:25.14 C
I (395185) mpu6050 stream: AX:-0.114 AY:0.097 AZ:-0.956 | GX:-0.122 GY:0.260 GZ:0.992 | T:25.24 C
I (395195) mpu6050 stream: AX:-0.114 AY:0.102 AZ:-0.960 | GX:-0.153 GY:0.260 GZ:1.298 | T:25.24 C
I (395205) mpu6050 stream: AX:-0.116 AY:0.101 AZ:-0.965 | GX:-0.107 GY:0.595 GZ:1.435 | T:25.24 C
I (395215) mpu6050 stream: AX:-0.116 AY:0.099 AZ:-0.945 | GX:-0.137 GY:0.840 GZ:1.511 | T:25.24 C
I (395225) mpu6050 stream: AX:-0.115 AY:0.101 AZ:-0.951 | GX:0.153 GY:0.885 GZ:1.557 | T:25.14 C
I (395235) mpu6050 stream: AX:-0.113 AY:0.094 AZ:-0.953 | GX:0.305 GY:0.931 GZ:1.527 | T:25.24 C
I (395245) mpu6050 stream: AX:-0.113 AY:0.098 AZ:-0.945 | GX:0.122 GY:1.145 GZ:1.634 | T:25.14 C
I (395255) mpu6050 stream: AX:-0.105 AY:0.090 AZ:-0.957 | GX:-0.137 GY:1.206 GZ:1.359 | T:25.14 C
I (395265) mpu6050 stream: AX:-0.111 AY:0.097 AZ:-0.945 | GX:-0.351 GY:1.115 GZ:1.176 | T:25.14 C
I (395275) mpu6050 stream: AX:-0.113 AY:0.096 AZ:-0.958 | GX:-0.473 GY:0.962 GZ:0.916 | T:25.14 C
I (395285) mpu6050 stream: AX:-0.109 AY:0.097 AZ:-0.945 | GX:-0.336 GY:0.901 GZ:0.397 | T:25.33 C
I (395295) mpu6050 stream: AX:-0.111 AY:0.100 AZ:-0.949 | GX:-0.275 GY:0.656 GZ:0.290 | T:25.14 C
I (395305) mpu6050 stream: AX:-0.103 AY:0.100 AZ:-0.947 | GX:0.137 GY:0.534 GZ:0.198 | T:25.14 C
I (395315) mpu6050 stream: AX:-0.112 AY:0.101 AZ:-0.952 | GX:-0.168 GY:0.137 GZ:0.229 | T:25.24 C
I (395325) mpu6050 stream: AX:-0.106 AY:0.100 AZ:-0.953 | GX:-0.397 GY:0.260 GZ:0.489 | T:25.14 C
