I (401125) mpu6050 stream: AX:-0.117 AY:0.115 AZ:-0.946 | GX:-0.550 GY:0.672 GZ:0.809 | T:25.14 C
I (401135) mpu6050 stream: AX:-0.122 AY:0.119 AZ:-0.940 | GX:-0.061 GY:0.427 GZ:1.038 | T:25.14 C
I (401145) mpu6050 stream: AX:-0.117 AY:0.115 AZ:-0.948 | GX:0.458 GY:0.092 GZ:1.099 | T:25.14 C
I (401155) mpu6050 stream: AX:-0.121 AY:0.112 AZ:-0.939 | GX:1.191 GY:-0.137 GZ:1.038 | T:25.24 C
I (401165) mpu6050 stream: AX:-0.123 AY:0.107 AZ:-0.944 | GX:1.237 GY:-0.275 GZ:0.824 | T:25.24 C
I (401175) mpu6050 stream: AX:-0.128 AY:0.101 AZ:-0.952 | GX:1.176 GY:0.061 GZ:0.840 | T:25.14 C
I (401185) mpu6050 stream: AX:-0.119 AY:0.109 AZ:-0.957 | GX:0.992 GY:0.000 GZ:0.672 | T:25.14 C
I (401195) mpu6050 stream: AX:-0.124 AY:0.105 AZ:-0.950 | GX:0.641 GY:-0.290 GZ:0.565 | T:25.14 C
I (401205) mpu6050 stream: AX:-0.116 AY:0.111 AZ:-0.951 | GX:0.412 GY:-0.290 GZ:0.718 | T:25.14 C
I (401215) mpu6050 stream: AX:-0.120 AY:0.113 AZ:-0.952 | GX:-0.107 GY:-0.519 GZ:0.916 | T:25.14 C
I (401225) mpu6050 stream: AX:-0.121 AY:0.112 AZ:-0.956 | GX:0.107 GY:-0.275 GZ:1.160 | T:25.14 C
I (401235) mpu6050 stream: AX:-0.121 AY:0.109 AZ:-0.952 | GX:0.244 GY:-0.122 GZ:1.588 | T:25.14 C
I (401245) mpu6050 stream: AX:-0.122 AY:0.111 AZ:-0.956 | GX:0.336 GY:0.321 GZ:1.649 | T:25.14 C
I (401255) mpu6050 stream: AX:-0.126 AY:0.105 AZ:-0.953 | GX:0.412 GY:0.489 GZ:1.863 | T:25.19 C
I (401265) mpu6050 stream: AX:-0.122 AY:0.108 AZ:-0.954 | GX:0.489 GY:0.626 GZ:2.153 | T:25.14 C
I (401275) mpu6050 stream: AX:-0.120 AY:0.105 AZ:-0.957 | GX:0.382 GY:0.733 GZ:2.046 | T:25.19 C
I (401285) mpu6050 stream: AX:-0.125 AY:0.099 AZ:-0.946 | GX:0.168 GY:0.580 GZ:2.061 | T:25.14 C
I (401295) mpu6050 stream: AX:-0.120 AY:0.099 AZ:-0.952 | GX:0.061 GY:0.779 GZ:2.031 | T:25.19 C
I (401305) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.938 | GX:-0.122 GY:0.687 GZ:1.863 | T:25.14 C
I (401315) mpu6050 stream: AX:-0.118 AY:0.104 AZ:-0.949 | GX:-0.275 GY:0.824 GZ:1.664 | T:25.14 C
I (401325) mpu6050 stream: AX:-0.122 AY:0.101 AZ:-0.942 | GX:-0.290 GY:0.550 GZ:1.618 | T:25.14 C
I (401335) mpu6050 stream: AX:-0.119 AY:0.101 AZ:-0.949 | GX:-0.229 GY:0.473 GZ:1.405 | T:25.09 C
I (401345) mpu6050 stream: AX:-0.113 AY:0.100 AZ:-0.948 | GX:-0.305 GY:0.595 GZ:1.206 | T:25.19 C
I (401355) mpu6050 stream: AX:-0.115 AY:0.104 AZ:-0.943 | GX:-0.397 GY:0.275 GZ:1.130 | T:25.19 C
I (401365) mpu6050 stream: AX:-0.108 AY:0.108 AZ:-0.941 | GX:-0.489 GY:0.260 GZ:1.084 | T:25.19 C
I (401375) mpu6050 stream: AX:-0.127 AY:0.104 AZ:-0.950 | GX:-0.794 GY:0.046 GZ:0.885 | T:25.19 C
I (401385) mpu6050 stream: AX:-0.120 AY:0.101 AZ:-0.949 | GX:-0.763 GY:0.015 GZ:0.763 | T:25.19 C
I (401395) mpu6050 stream: AX:-0.119 AY:0.112 AZ:-0.949 | GX:-0.916 GY:0.046 GZ:0.611 | T:25.19 C
I (401405) mpu6050 stream: AX:-0.117 AY:0.110 AZ:-0.944 | GX:-0.779 GY:-0.092 GZ:0.611 | T:25.09 C
I (401415) mpu6050 stream: AX:-0.124 AY:0.107 AZ:-0.948 | GX:-0.443 GY:-0.382 GZ:0.595 | T:25.19 C
I (401425) mpu6050 stream: AX:-0.121 AY:0.111 AZ:-0.950 | GX:-0.183 GY:-0.183 GZ:0.504 | T:25.19 C
I (401435) mpu6050 stream: AX:-0.120 AY:0.120 AZ:-0.948 | GX:-0.214 GY:-0.351 GZ:0.641 | T:25.09 C
I (401445) mpu6050 stream: AX:-0.124 AY:0.115 AZ:-0.948 | GX:-0.336 GY:0.107 GZ:0.687 | T:25.19 C
I (401455) mpu6050 stream: AX:-0.122 AY:0.113 AZ:-0.949 | GX:-0.153 GY:-0.214 GZ:0.870 | T:25.19 C
I (401465) mpu6050 stream: AX:-0.124 AY:0.114 AZ:-0.950 | GX:-0.183 GY:-0.214 GZ:0.748 | T:25.19 C
I (401475) mpu6050 stream: AX:-0.120 AY:0.115 AZ:-0.954 | GX:-0.183 GY:-0.092 GZ:0.885 | T:25.19 C
I (401485) mpu6050 stream: AX:-0.125 AY:0.112 AZ:-0.953 | GX:-0.107 GY:-0.061 GZ:1.130 | T:25.19 C
I (401495) mpu6050 stream: AX:-0.119 AY:0.110 AZ:-0.951 | GX:0.015 GY:0.351 GZ:1.084 | T:25.09 C
I (401505) mpu6050 stream: AX:-0.117 AY:0.107 AZ:-0.948 | GX:0.153 GY:0.397 GZ:0.977 | T:25.09 C
I (401515) mpu6050 stream: AX:-0.113 AY:0.115 AZ:-0.956 | GX:0.031 GY:0.473 GZ:1.115 | T:25.09 C
I (401525) mpu6050 stream: AX:-0.113 AY:0.116 AZ:-0.947 | GX:-0.489 GY:0.702 GZ:1.176 | T:25.28 C
I (401535) mpu6050 stream: AX:-0.115 AY:0.115 AZ:-0.954 | GX:-0.763 GY:0.595 GZ:1.344 | T:25.09 C
I (401545) mpu6050 stream: AX:-0.113 AY:0.120 AZ:-0.946 | GX:-0.397 GY:0.397 GZ:1.420 | T:25.09 C
I (401555) mpu6050 stream: AX:-0.102 AY:0.111 AZ:-0.933 | GX:0.489 GY:-0.290 GZ:1.359 | T:25.19 C
I (401565) mpu6050 stream: AX:-0.109 AY:0.107 AZ:-0.937 | GX:1.420 GY:-1.053 GZ:1.267 | T:25.19 C
I (401575) mpu6050 stream: AX:-0.106 AY:0.109 AZ:-0.935 | GX:1.664 GY:-1.237 GZ:1.267 | T:25.28 C
I (401585) mpu6050 stream: AX:-0.117 AY:0.105 AZ:-0.938 | GX:1.145 GY:-1.847 GZ:1.542 | T:25.28 C
I (401595) mpu6050 stream: AX:-0.118 AY:0.101 AZ:-0.938 | GX:0.153 GY:-2.122 GZ:1.389 | T:25.09 C
I (401605) mpu6050 stream: AX:-0.112 AY:0.095 AZ:-0.943 | GX:-0.504 GY:-2.473 GZ:1.374 | T:25.09 C
I (401615) mpu6050 stream: AX:-0.127 AY:0.108 AZ:-0.948 | GX:-1.328 GY:-2.687 GZ:1.130 | T:25.09 C
I (401625) mpu6050 stream: AX:-0.133 AY:0.112 AZ:-0.945 | GX:-1.298 GY:-2.076 GZ:1.374 | T:25.09 C
I (401635) mpu6050 stream: AX:-0.132 AY:0.114 AZ:-0.948 | GX:-0.626 GY:-1.786 GZ:1.267 | T:25.19 C
I (401645) mpu6050 stream: AX:-0.134 AY:0.109 AZ:-0.961 | GX:0.000 GY:-1.405 GZ:1.450 | T:25.19 C
I (401655) mpu6050 stream: AX:-0.131 AY:0.108 AZ:-0.951 | GX:0.336 GY:-1.252 GZ:1.466 | T:25.19 C
I (401665) mpu6050 stream: AX:-0.136 AY:0.103 AZ:-0.949 | GX:0.366 GY:-0.718 GZ:1.084 | T:25.19 C
I (401675) mpu6050 stream: AX:-0.132 AY:0.097 AZ:-0.950 | GX:-0.031 GY:-0.397 GZ:0.947 | T:25.14 C
I (401685) mpu6050 stream: AX:-0.126 AY:0.103 AZ:-0.951 | GX:-0.687 GY:-0.198 GZ:0.550 | T:25.14 C
I (401695) mpu6050 stream: AX:-0.127 AY:0.099 AZ:-0.945 | GX:-1.130 GY:-0.046 GZ:0.031 | T:25.14 C
I (401705) mpu6050 stream: AX:-0.125 AY:0.105 AZ:-0.947 | GX:-1.038 GY:-0.137 GZ:-0.168 | T:25.14 C
I (401715) mpu6050 stream: AX:-0.129 AY:0.110 AZ:-0.944 | GX:-0.641 GY:-0.107 GZ:-0.427 | T:25.14 C
I (401725) mpu6050 stream: AX:-0.127 AY:0.108 AZ:-0.949 | GX:-0.305 GY:0.046 GZ:-0.550 | T:25.05 C
I (401735) mpu6050 stream: AX:-0.126 AY:0.114 AZ:-0.940 | GX:0.366 GY:-0.092 GZ:-0.473 | T:25.14 C
I (401745) mpu6050 stream: AX:-0.129 AY:0.115 AZ:-0.952 | GX:0.534 GY:-0.260 GZ:-0.473 | T:25.24 C
I (401755) mpu6050 stream: AX:-0.130 AY:0.114 AZ:-0.954 | GX:0.214 GY:0.275 GZ:0.214 | T:25.24 C
I (401765) mpu6050 stream: AX:-0.123 AY:0.105 AZ:-0.954 | GX:-0.092 GY:0.489 GZ:-0.092 | T:25.14 C
I (401775) mpu6050 stream: AX:-0.127 AY:0.114 AZ:-0.940 | GX:-0.427 GY:0.397 GZ:0.321 | T:25.14 C
I (401785) mpu6050 stream: AX:-0.117 AY:0.115 AZ:-0.945 | GX:-0.382 GY:0.305 GZ:0.122 | T:25.14 C
I (401795) mpu6050 stream: AX:-0.121 AY:0.127 AZ:-0.947 | GX:0.107 GY:-0.107 GZ:0.595 | T:25.14 C
I (401805) mpu6050 stream: AX:-0.127 AY:0.122 AZ:-0.947 | GX:0.626 GY:0.031 GZ:0.824 | T:25.14 C
I (401815) mpu6050 stream: AX:-0.125 AY:0.111 AZ:-0.960 | GX:0.824 GY:0.092 GZ:1.023 | T:25.14 C
I (401825) mpu6050 stream: AX:-0.128 AY:0.105 AZ:-0.947 | GX:0.718 GY:0.412 GZ:1.557 | T:25.14 C
I (401835) mpu6050 stream: AX:-0.128 AY:0.105 AZ:-0.951 | GX:0.214 GY:0.641 GZ:1.466 | T:25.14 C
I (401845) mpu6050 stream: AX:-0.127 AY:0.107 AZ:-0.944 | GX:-0.046 GY:0.702 GZ:1.542 | T:25.14 C
I (401855) mpu6050 stream: AX:-0.124 AY:0.102 AZ:-0.948 | GX:-0.260 GY:0.641 GZ:1.557 | T:25.14 C
I (401865) mpu6050 stream: AX:-0.122 AY:0.112 AZ:-0.940 | GX:-0.137 GY:0.565 GZ:1.679 | T:25.14 C
I (401875) mpu6050 stream: AX:-0.118 AY:0.108 AZ:-0.943 | GX:0.168 GY:0.260 GZ:1.557 | T:25.24 C
I (401885) mpu6050 stream: AX:-0.126 AY:0.105 AZ:-0.938 | GX:0.397 GY:-0.076 GZ:1.573 | T:25.24 C
I (401895) mpu6050 stream: AX:-0.125 AY:0.102 AZ:-0.945 | GX:0.748 GY:0.031 GZ:1.435 | T:25.14 C
I (401905) mpu6050 stream: AX:-0.113 AY:0.102 AZ:-0.945 | GX:0.794 GY:-0.092 GZ:1.557 | T:25.14 C
I (401915) mpu6050 stream: AX:-0.123 AY:0.102 AZ:-0.946 | GX:0.702 GY:-0.214 GZ:1.511 | T:25.14 C
I (401925) mpu6050 stream: AX:-0.123 AY:0.106 AZ:-0.942 | GX:0.504 GY:-0.321 GZ:1.374 | T:25.14 C
I (401935) mpu6050 stream: AX:-0.126 AY:0.101 AZ:-0.956 | GX:0.412 GY:-0.397 GZ:1.435 | T:25.24 C
I (401945) mpu6050 stream: AX:-0.125 AY:0.102 AZ:-0.939 | GX:0.168 GY:-0.580 GZ:1.466 | T:25.24 C
I (401955) mpu6050 stream: AX:-0.126 AY:0.112 AZ:-0.946 | GX:-0.214 GY:-0.687 GZ:1.420 | T:25.05 C
I (401965) mpu6050 stream: AX:-0.122 AY:0.104 AZ:-0.957 | GX:-0.076 GY:-0.489 GZ:1.206 | T:25.14 C
I (401975) mpu6050 stream: AX:-0.136 AY:0.108 AZ:-0.953 | GX:0.076 GY:-0.382 GZ:1.313 | T:25.24 C
I (401985) mpu6050 stream: AX:-0.132 AY:0.112 AZ:-0.951 | GX:0.031 GY:-0.137 GZ:1.282 | T:25.24 C
I (401995) mpu6050 stream: AX:-0.134 AY:0.104 AZ:-0.953 | GX:0.229 GY:-0.153 GZ:1.328 | T:25.14 C
I (402005) mpu6050 stream: AX:-0.129 AY:0.104 AZ:-0.953 | GX:0.275 GY:0.244 GZ:1.405 | T:25.24 C
I (402015) mpu6050 stream: AX:-0.133 AY:0.097 AZ:-0.952 | GX:0.000 GY:0.198 GZ:1.267 | T:25.14 C
I (402025) mpu6050 stream: AX:-0.132 AY:0.103 AZ:-0.954 | GX:-0.153 GY:0.519 GZ:1.160 | T:25.14 C
I (402035) mpu6050 stream: AX:-0.124 AY:0.108 AZ:-0.952 | GX:-0.015 GY:0.672 GZ:1.008 | T:25.24 C
I (402045) mpu6050 stream: AX:-0.128 AY:0.103 AZ:-0.953 | GX:-0.122 GY:0.962 GZ:1.023 | T:25.24 C
I (402055) mpu6050 stream: AX:-0.125 AY:0.097 AZ:-0.953 | GX:0.031 GY:1.084 GZ:1.069 | T:25.14 C
I (402065) mpu6050 stream: AX:-0.121 AY:0.101 AZ:-0.946 | GX:-0.046 GY:1.252 GZ:0.779 | T:25.24 C
I (402075) mpu6050 stream: AX:-0.121 AY:0.092 AZ:-0.940 | GX:-0.076 GY:1.038 GZ:0.656 | T:25.14 C
I (402085) mpu6050 stream: AX:-0.119 AY:0.095 AZ:-0.933 | GX:-0.275 GY:0.382 GZ:0.351 | T:25.24 C
I (402095) mpu6050 stream: AX:-0.119 AY:0.094 AZ:-0.939 | GX:-0.855 GY:-0.305 GZ:0.260 | T:25.24 C
I (402105) mpu6050 stream: AX:-0.127 AY:0.105 AZ:-0.945 | GX:-1.328 GY:-0.718 GZ:0.046 | T:25.14 C
I (402115) mpu6050 stream: AX:-0.127 AY:0.107 AZ:-0.947 | GX:-1.511 GY:-0.779 GZ:0.229 | T:25.14 C
I (402125) mpu6050 stream: AX:-0.123 AY:0.109 AZ:-0.958 | GX:-1.389 GY:-0.901 GZ:0.061 | T:25.05 C
