I (627645) mpu6050 stream: AX:0.010 AY:0.098 AZ:-0.964 | GX:1.573 GY:0.901 GZ:1.863 | T:25.05 C
I (627655) mpu6050 stream: AX:0.012 AY:0.097 AZ:-0.948 | GX:0.046 GY:0.611 GZ:1.878 | T:24.95 C
I (627665) mpu6050 stream: AX:0.009 AY:0.102 AZ:-0.948 | GX:-1.069 GY:0.061 GZ:1.573 | T:24.95 C
I (627675) mpu6050 stream: AX:0.009 AY:0.105 AZ:-0.950 | GX:-1.298 GY:-0.458 GZ:1.695 | T:24.95 C
I (627685) mpu6050 stream: AX:0.009 AY:0.111 AZ:-0.948 | GX:-0.718 GY:-0.351 GZ:1.939 | T:24.95 C
I (627695) mpu6050 stream: AX:0.007 AY:0.113 AZ:-0.958 | GX:0.015 GY:-0.214 GZ:2.000 | T:25.05 C
I (627705) mpu6050 stream: AX:0.011 AY:0.105 AZ:-0.950 | GX:0.977 GY:-0.198 GZ:2.137 | T:24.95 C
I (627715) mpu6050 stream: AX:0.010 AY:0.107 AZ:-0.960 | GX:1.313 GY:-0.198 GZ:2.031 | T:24.95 C
I (627725) mpu6050 stream: AX:0.009 AY:0.098 AZ:-0.956 | GX:1.206 GY:-0.244 GZ:1.924 | T:25.05 C
I (627735) mpu6050 stream: AX:0.006 AY:0.095 AZ:-0.961 | GX:0.611 GY:-0.214 GZ:1.695 | T:24.95 C
I (627745) mpu6050 stream: AX:0.007 AY:0.098 AZ:-0.961 | GX:0.137 GY:-0.107 GZ:1.420 | T:24.95 C
I (627755) mpu6050 stream: AX:0.007 AY:0.097 AZ:-0.951 | GX:-0.244 GY:-0.382 GZ:1.053 | T:25.05 C
I (627765) mpu6050 stream: AX:0.010 AY:0.097 AZ:-0.967 | GX:-0.107 GY:-0.076 GZ:0.824 | T:24.95 C
I (627775) mpu6050 stream: AX:0.015 AY:0.099 AZ:-0.953 | GX:0.397 GY:-0.458 GZ:0.595 | T:24.91 C
I (627785) mpu6050 stream: AX:0.010 AY:0.103 AZ:-0.951 | GX:0.489 GY:-0.626 GZ:0.382 | T:25.00 C
I (627795) mpu6050 stream: AX:0.005 AY:0.098 AZ:-0.956 | GX:0.321 GY:-0.031 GZ:0.443 | T:24.91 C
I (627805) mpu6050 stream: AX:0.012 AY:0.108 AZ:-0.961 | GX:0.046 GY:-0.046 GZ:0.214 | T:25.00 C
I (627815) mpu6050 stream: AX:0.014 AY:0.103 AZ:-0.965 | GX:-0.519 GY:-0.275 GZ:0.031 | T:25.00 C
I (627825) mpu6050 stream: AX:0.018 AY:0.110 AZ:-0.945 | GX:-0.397 GY:-0.809 GZ:0.092 | T:24.91 C
I (627835) mpu6050 stream: AX:0.011 AY:0.111 AZ:-0.954 | GX:0.198 GY:-1.405 GZ:0.351 | T:25.00 C
I (627845) mpu6050 stream: AX:0.004 AY:0.114 AZ:-0.960 | GX:0.656 GY:-1.405 GZ:0.519 | T:25.00 C
I (627855) mpu6050 stream: AX:0.008 AY:0.101 AZ:-0.964 | GX:0.992 GY:-1.359 GZ:0.962 | T:25.00 C
I (627865) mpu6050 stream: AX:0.001 AY:0.101 AZ:-0.966 | GX:0.977 GY:-0.565 GZ:1.069 | T:25.00 C
I (627875) mpu6050 stream: AX:0.005 AY:0.096 AZ:-0.967 | GX:0.611 GY:-0.702 GZ:1.023 | T:24.91 C
I (627885) mpu6050 stream: AX:0.008 AY:0.099 AZ:-0.956 | GX:-0.168 GY:-0.626 GZ:0.947 | T:25.00 C
I (627895) mpu6050 stream: AX:0.009 AY:0.101 AZ:-0.965 | GX:-0.824 GY:-0.443 GZ:0.947 | T:25.00 C
I (627905) mpu6050 stream: AX:0.005 AY:0.107 AZ:-0.953 | GX:-0.641 GY:-0.580 GZ:1.115 | T:24.91 C
I (627915) mpu6050 stream: AX:0.010 AY:0.106 AZ:-0.948 | GX:-0.443 GY:-0.794 GZ:1.328 | T:25.00 C
I (627925) mpu6050 stream: AX:0.006 AY:0.106 AZ:-0.957 | GX:0.122 GY:-0.611 GZ:1.176 | T:25.00 C
I (627935) mpu6050 stream: AX:0.010 AY:0.104 AZ:-0.953 | GX:0.504 GY:-0.611 GZ:1.115 | T:25.00 C
I (627945) mpu6050 stream: AX:0.005 AY:0.107 AZ:-0.959 | GX:0.824 GY:-0.779 GZ:1.328 | T:24.91 C
I (627955) mpu6050 stream: AX:0.003 AY:0.099 AZ:-0.954 | GX:0.672 GY:-0.672 GZ:1.282 | T:24.91 C
I (627965) mpu6050 stream: AX:0.005 AY:0.103 AZ:-0.963 | GX:0.626 GY:-0.794 GZ:1.099 | T:24.91 C
I (627975) mpu6050 stream: AX:0.008 AY:0.105 AZ:-0.970 | GX:0.473 GY:-0.672 GZ:1.053 | T:24.91 C
I (627985) mpu6050 stream: AX:0.001 AY:0.102 AZ:-0.967 | GX:0.214 GY:-0.504 GZ:0.962 | T:24.91 C
I (627995) mpu6050 stream: AX:0.006 AY:0.103 AZ:-0.967 | GX:0.260 GY:-0.366 GZ:1.130 | T:25.09 C
I (628005) mpu6050 stream: AX:0.004 AY:0.103 AZ:-0.958 | GX:0.504 GY:-0.305 GZ:1.130 | T:24.91 C
I (628015) mpu6050 stream: AX:0.005 AY:0.096 AZ:-0.964 | GX:0.611 GY:-0.534 GZ:1.252 | T:25.00 C
I (628025) mpu6050 stream: AX:0.012 AY:0.112 AZ:-0.961 | GX:0.611 GY:-0.198 GZ:1.450 | T:25.00 C
I (628035) mpu6050 stream: AX:0.007 AY:0.105 AZ:-0.955 | GX:0.427 GY:-0.397 GZ:1.603 | T:25.00 C
I (628045) mpu6050 stream: AX:-0.002 AY:0.104 AZ:-0.958 | GX:0.397 GY:-0.519 GZ:1.740 | T:24.91 C
I (628055) mpu6050 stream: AX:0.003 AY:0.108 AZ:-0.962 | GX:0.321 GY:-0.275 GZ:1.740 | T:24.91 C
I (628065) mpu6050 stream: AX:-0.002 AY:0.101 AZ:-0.970 | GX:0.519 GY:-0.107 GZ:1.847 | T:25.00 C
I (628075) mpu6050 stream: AX:0.005 AY:0.103 AZ:-0.955 | GX:0.611 GY:0.107 GZ:2.031 | T:24.91 C
I (628085) mpu6050 stream: AX:0.006 AY:0.103 AZ:-0.957 | GX:0.794 GY:-0.137 GZ:2.046 | T:25.09 C
