I (444775) mpu6050 stream: AX:-0.062 AY:0.071 AZ:-0.950 | GX:-0.595 GY:0.641 GZ:0.473 | T:25.09 C
I (444785) mpu6050 stream: AX:-0.068 AY:0.071 AZ:-0.948 | GX:-0.687 GY:0.336 GZ:0.534 | T:25.09 C
I (444795) mpu6050 stream: AX:-0.064 AY:0.080 AZ:-0.962 | GX:-0.840 GY:0.550 GZ:0.550 | T:25.19 C
I (444805) mpu6050 stream: AX:-0.076 AY:0.079 AZ:-0.958 | GX:-0.702 GY:0.473 GZ:0.779 | T:25.09 C
I (444815) mpu6050 stream: AX:-0.073 AY:0.081 AZ:-0.964 | GX:-0.809 GY:0.534 GZ:0.489 | T:25.09 C
I (444825) mpu6050 stream: AX:-0.076 AY:0.082 AZ:-0.965 | GX:-0.427 GY:0.916 GZ:0.718 | T:25.19 C
I (444835) mpu6050 stream: AX:-0.067 AY:0.075 AZ:-0.961 | GX:-0.305 GY:0.977 GZ:0.687 | T:25.19 C
I (444845) mpu6050 stream: AX:-0.071 AY:0.073 AZ:-0.954 | GX:-0.122 GY:0.962 GZ:0.702 | T:25.09 C
I (444855) mpu6050 stream: AX:-0.061 AY:0.076 AZ:-0.958 | GX:-0.427 GY:1.023 GZ:0.656 | T:25.19 C
I (444865) mpu6050 stream: AX:-0.062 AY:0.076 AZ:-0.957 | GX:-0.427 GY:0.672 GZ:0.870 | T:25.09 C
I (444875) mpu6050 stream: AX:-0.064 AY:0.079 AZ:-0.958 | GX:-0.305 GY:0.611 GZ:0.916 | T:25.09 C
I (444885) mpu6050 stream: AX:-0.066 AY:0.079 AZ:-0.954 | GX:-0.031 GY:0.687 GZ:0.962 | T:25.09 C
I (444895) mpu6050 stream: AX:-0.064 AY:0.069 AZ:-0.950 | GX:-0.076 GY:0.718 GZ:0.992 | T:25.19 C
I (444905) mpu6050 stream: AX:-0.066 AY:0.068 AZ:-0.958 | GX:-0.397 GY:0.794 GZ:1.038 | T:25.09 C
I (444915) mpu6050 stream: AX:-0.058 AY:0.066 AZ:-0.961 | GX:-1.053 GY:0.611 GZ:1.008 | T:25.09 C
I (444925) mpu6050 stream: AX:-0.063 AY:0.078 AZ:-0.962 | GX:-2.046 GY:0.305 GZ:0.702 | T:25.09 C
I (444935) mpu6050 stream: AX:-0.062 AY:0.080 AZ:-0.955 | GX:-1.802 GY:0.244 GZ:0.641 | T:25.09 C
I (444945) mpu6050 stream: AX:-0.062 AY:0.088 AZ:-0.949 | GX:-0.840 GY:0.137 GZ:0.809 | T:25.19 C
I (444955) mpu6050 stream: AX:-0.063 AY:0.084 AZ:-0.954 | GX:0.748 GY:-0.137 GZ:0.962 | T:25.19 C
I (444965) mpu6050 stream: AX:-0.060 AY:0.083 AZ:-0.950 | GX:1.847 GY:-0.107 GZ:1.176 | T:25.19 C
I (444975) mpu6050 stream: AX:-0.072 AY:0.076 AZ:-0.951 | GX:1.939 GY:-0.366 GZ:1.176 | T:25.19 C
I (444985) mpu6050 stream: AX:-0.059 AY:0.073 AZ:-0.957 | GX:1.038 GY:-0.672 GZ:1.450 | T:25.09 C
I (444995) mpu6050 stream: AX:-0.063 AY:0.070 AZ:-0.959 | GX:-0.275 GY:-0.809 GZ:1.374 | T:25.09 C
I (445005) mpu6050 stream: AX:-0.063 AY:0.072 AZ:-0.954 | GX:-1.328 GY:-1.206 GZ:1.298 | T:25.19 C
I (445015) mpu6050 stream: AX:-0.065 AY:0.078 AZ:-0.957 | GX:-1.466 GY:-1.695 GZ:1.511 | T:25.19 C
I (445025) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.956 | GX:-0.763 GY:-1.542 GZ:1.527 | T:25.09 C
I (445035) mpu6050 stream: AX:-0.077 AY:0.079 AZ:-0.954 | GX:0.198 GY:-1.282 GZ:1.527 | T:25.19 C
