I (547425) mpu6050 stream: AX:-0.052 AY:0.086 AZ:-0.951 | GX:-0.550 GY:-2.015 GZ:1.237 | T:25.00 C
I (547435) mpu6050 stream: AX:-0.059 AY:0.091 AZ:-0.965 | GX:0.092 GY:-1.496 GZ:1.511 | T:25.00 C
I (547445) mpu6050 stream: AX:-0.055 AY:0.084 AZ:-0.960 | GX:0.153 GY:-1.344 GZ:1.298 | T:25.00 C
I (547455) mpu6050 stream: AX:-0.050 AY:0.086 AZ:-0.952 | GX:-0.183 GY:-1.481 GZ:0.947 | T:25.00 C
I (547465) mpu6050 stream: AX:-0.049 AY:0.083 AZ:-0.958 | GX:-0.397 GY:-1.802 GZ:1.008 | T:25.00 C
I (547475) mpu6050 stream: AX:-0.066 AY:0.085 AZ:-0.974 | GX:-0.870 GY:-1.450 GZ:0.916 | T:24.91 C
I (547485) mpu6050 stream: AX:-0.059 AY:0.086 AZ:-0.964 | GX:-1.099 GY:-0.870 GZ:1.023 | T:25.00 C
I (547495) mpu6050 stream: AX:-0.046 AY:0.084 AZ:-0.945 | GX:-1.099 GY:-0.748 GZ:0.962 | T:24.81 C
I (547505) mpu6050 stream: AX:-0.048 AY:0.083 AZ:-0.947 | GX:-0.534 GY:-1.145 GZ:0.885 | T:24.91 C
I (547515) mpu6050 stream: AX:-0.055 AY:0.087 AZ:-0.965 | GX:-0.748 GY:-1.160 GZ:0.962 | T:25.00 C
I (547525) mpu6050 stream: AX:-0.052 AY:0.087 AZ:-0.965 | GX:-1.008 GY:-0.794 GZ:0.977 | T:25.00 C
I (547535) mpu6050 stream: AX:-0.051 AY:0.085 AZ:-0.960 | GX:-1.649 GY:-0.565 GZ:0.855 | T:25.00 C
I (547545) mpu6050 stream: AX:-0.046 AY:0.094 AZ:-0.961 | GX:-1.679 GY:-0.763 GZ:0.656 | T:25.00 C
I (547555) mpu6050 stream: AX:-0.052 AY:0.095 AZ:-0.961 | GX:-1.008 GY:-0.397 GZ:0.595 | T:24.95 C
I (547565) mpu6050 stream: AX:-0.054 AY:0.095 AZ:-0.971 | GX:-0.718 GY:-0.870 GZ:0.901 | T:24.95 C
I (547575) mpu6050 stream: AX:-0.052 AY:0.094 AZ:-0.967 | GX:-0.183 GY:-0.443 GZ:1.038 | T:24.95 C
I (547585) mpu6050 stream: AX:-0.058 AY:0.090 AZ:-0.965 | GX:0.107 GY:-0.168 GZ:1.084 | T:25.05 C
I (547595) mpu6050 stream: AX:-0.052 AY:0.089 AZ:-0.964 | GX:-0.443 GY:-0.107 GZ:0.687 | T:24.95 C
I (547605) mpu6050 stream: AX:-0.049 AY:0.085 AZ:-0.967 | GX:-1.008 GY:-0.107 GZ:0.718 | T:24.95 C
I (547615) mpu6050 stream: AX:-0.059 AY:0.089 AZ:-0.953 | GX:-1.237 GY:0.153 GZ:0.672 | T:24.95 C
I (547625) mpu6050 stream: AX:-0.054 AY:0.092 AZ:-0.948 | GX:-1.038 GY:0.244 GZ:0.840 | T:24.95 C
I (547635) mpu6050 stream: AX:-0.054 AY:0.094 AZ:-0.953 | GX:-0.534 GY:0.275 GZ:1.115 | T:24.95 C
I (547645) mpu6050 stream: AX:-0.047 AY:0.094 AZ:-0.948 | GX:0.137 GY:0.305 GZ:1.237 | T:24.95 C
I (547655) mpu6050 stream: AX:-0.050 AY:0.095 AZ:-0.952 | GX:0.947 GY:0.626 GZ:1.313 | T:24.95 C
I (547665) mpu6050 stream: AX:-0.049 AY:0.083 AZ:-0.949 | GX:0.534 GY:0.092 GZ:1.481 | T:24.95 C
I (547675) mpu6050 stream: AX:-0.043 AY:0.094 AZ:-0.948 | GX:0.031 GY:0.198 GZ:1.298 | T:24.95 C
I (547685) mpu6050 stream: AX:-0.044 AY:0.089 AZ:-0.945 | GX:-0.168 GY:-0.046 GZ:1.557 | T:24.95 C
I (547695) mpu6050 stream: AX:-0.045 AY:0.086 AZ:-0.955 | GX:-0.198 GY:-0.519 GZ:1.588 | T:24.95 C
I (547705) mpu6050 stream: AX:-0.046 AY:0.086 AZ:-0.958 | GX:0.092 GY:-0.626 GZ:1.511 | T:24.95 C
I (547715) mpu6050 stream: AX:-0.045 AY:0.079 AZ:-0.955 | GX:-0.412 GY:-0.809 GZ:1.588 | T:24.95 C
I (547725) mpu6050 stream: AX:-0.050 AY:0.078 AZ:-0.960 | GX:-0.427 GY:-0.947 GZ:1.664 | T:24.95 C
I (547735) mpu6050 stream: AX:-0.053 AY:0.082 AZ:-0.959 | GX:-0.626 GY:-0.962 GZ:1.527 | T:24.95 C
I (547745) mpu6050 stream: AX:-0.048 AY:0.084 AZ:-0.961 | GX:-0.763 GY:-0.824 GZ:1.420 | T:24.95 C
I (547755) mpu6050 stream: AX:-0.050 AY:0.081 AZ:-0.956 | GX:-0.916 GY:-0.748 GZ:1.435 | T:24.95 C
I (547765) mpu6050 stream: AX:-0.054 AY:0.088 AZ:-0.962 | GX:-0.779 GY:-0.580 GZ:1.145 | T:25.05 C
I (547775) mpu6050 stream: AX:-0.048 AY:0.088 AZ:-0.958 | GX:-0.611 GY:-0.809 GZ:1.237 | T:24.95 C
I (547785) mpu6050 stream: AX:-0.056 AY:0.087 AZ:-0.960 | GX:-0.473 GY:-0.473 GZ:1.115 | T:24.95 C
