I (633205) mpu6050 stream: AX:-0.027 AY:0.102 AZ:-0.962 | GX:-1.191 GY:-0.977 GZ:0.763 | T:25.00 C
I (633215) mpu6050 stream: AX:-0.025 AY:0.104 AZ:-0.957 | GX:-0.580 GY:-0.840 GZ:0.824 | T:24.91 C
I (633225) mpu6050 stream: AX:-0.024 AY:0.103 AZ:-0.964 | GX:-0.321 GY:-0.534 GZ:0.977 | T:25.00 C
I (633235) mpu6050 stream: AX:-0.030 AY:0.102 AZ:-0.967 | GX:-0.122 GY:-0.031 GZ:1.023 | T:25.00 C
I (633245) mpu6050 stream: AX:-0.023 AY:0.097 AZ:-0.959 | GX:-0.229 GY:0.000 GZ:1.176 | T:25.00 C
I (633255) mpu6050 stream: AX:-0.023 AY:0.097 AZ:-0.959 | GX:-0.962 GY:0.015 GZ:1.221 | T:24.91 C
I (633265) mpu6050 stream: AX:-0.024 AY:0.097 AZ:-0.965 | GX:-1.618 GY:-0.107 GZ:0.977 | T:25.00 C
I (633275) mpu6050 stream: AX:-0.027 AY:0.101 AZ:-0.965 | GX:-1.817 GY:0.183 GZ:1.206 | T:25.00 C
I (633285) mpu6050 stream: AX:-0.028 AY:0.115 AZ:-0.957 | GX:-0.947 GY:0.198 GZ:1.405 | T:24.91 C
I (633295) mpu6050 stream: AX:-0.024 AY:0.108 AZ:-0.953 | GX:0.641 GY:0.244 GZ:1.450 | T:25.00 C
I (633305) mpu6050 stream: AX:-0.025 AY:0.103 AZ:-0.949 | GX:2.076 GY:0.183 GZ:1.832 | T:24.91 C
I (633315) mpu6050 stream: AX:-0.019 AY:0.095 AZ:-0.946 | GX:2.122 GY:-0.092 GZ:1.847 | T:25.00 C
I (633325) mpu6050 stream: AX:-0.029 AY:0.102 AZ:-0.949 | GX:1.618 GY:0.015 GZ:1.863 | T:24.91 C
I (633335) mpu6050 stream: AX:-0.029 AY:0.088 AZ:-0.961 | GX:-0.412 GY:-0.229 GZ:1.420 | T:24.95 C
I (633345) mpu6050 stream: AX:-0.021 AY:0.091 AZ:-0.957 | GX:-2.489 GY:-1.053 GZ:1.313 | T:24.95 C
I (633355) mpu6050 stream: AX:-0.021 AY:0.097 AZ:-0.949 | GX:-1.740 GY:-1.206 GZ:1.511 | T:24.95 C
I (633365) mpu6050 stream: AX:-0.016 AY:0.109 AZ:-0.953 | GX:-1.023 GY:-1.557 GZ:1.435 | T:25.05 C
I (633375) mpu6050 stream: AX:-0.025 AY:0.109 AZ:-0.950 | GX:0.168 GY:-1.313 GZ:1.802 | T:24.95 C
I (633385) mpu6050 stream: AX:-0.031 AY:0.102 AZ:-0.952 | GX:0.244 GY:-1.496 GZ:1.863 | T:24.95 C
I (633395) mpu6050 stream: AX:-0.026 AY:0.103 AZ:-0.965 | GX:0.611 GY:-1.481 GZ:1.863 | T:24.86 C
I (633405) mpu6050 stream: AX:-0.031 AY:0.095 AZ:-0.961 | GX:0.595 GY:-1.679 GZ:1.924 | T:24.95 C
I (633415) mpu6050 stream: AX:-0.030 AY:0.092 AZ:-0.961 | GX:-0.534 GY:-1.588 GZ:1.786 | T:24.95 C
I (633425) mpu6050 stream: AX:-0.025 AY:0.093 AZ:-0.964 | GX:-0.687 GY:-1.328 GZ:1.679 | T:24.95 C
I (633435) mpu6050 stream: AX:-0.030 AY:0.092 AZ:-0.954 | GX:-0.595 GY:-0.931 GZ:1.420 | T:25.05 C
