I (450795) mpu6050 stream: AX:-0.069 AY:0.089 AZ:-0.958 | GX:0.992 GY:-0.107 GZ:2.107 | T:25.14 C
I (450805) mpu6050 stream: AX:-0.068 AY:0.081 AZ:-0.948 | GX:0.656 GY:0.122 GZ:2.214 | T:25.14 C
I (450815) mpu6050 stream: AX:-0.071 AY:0.084 AZ:-0.953 | GX:-0.153 GY:0.015 GZ:2.168 | T:25.14 C
I (450825) mpu6050 stream: AX:-0.072 AY:0.084 AZ:-0.949 | GX:-1.053 GY:-0.244 GZ:2.198 | T:25.14 C
I (450835) mpu6050 stream: AX:-0.072 AY:0.085 AZ:-0.952 | GX:-1.588 GY:-0.565 GZ:2.260 | T:25.14 C
I (450845) mpu6050 stream: AX:-0.076 AY:0.089 AZ:-0.942 | GX:-1.389 GY:-0.733 GZ:2.397 | T:25.14 C
I (450855) mpu6050 stream: AX:-0.068 AY:0.090 AZ:-0.944 | GX:-0.962 GY:-1.069 GZ:2.351 | T:25.14 C
I (450865) mpu6050 stream: AX:-0.073 AY:0.079 AZ:-0.952 | GX:-0.382 GY:-0.931 GZ:2.076 | T:25.14 C
I (450875) mpu6050 stream: AX:-0.077 AY:0.077 AZ:-0.951 | GX:0.076 GY:-0.916 GZ:1.969 | T:25.14 C
I (450885) mpu6050 stream: AX:-0.079 AY:0.081 AZ:-0.956 | GX:-0.168 GY:-0.824 GZ:1.573 | T:25.24 C
I (450895) mpu6050 stream: AX:-0.081 AY:0.080 AZ:-0.964 | GX:-0.824 GY:-0.809 GZ:1.359 | T:25.05 C
I (450905) mpu6050 stream: AX:-0.085 AY:0.078 AZ:-0.962 | GX:-1.389 GY:-0.183 GZ:0.702 | T:25.14 C
I (450915) mpu6050 stream: AX:-0.083 AY:0.082 AZ:-0.956 | GX:-1.618 GY:0.260 GZ:0.580 | T:25.14 C
I (450925) mpu6050 stream: AX:-0.079 AY:0.089 AZ:-0.962 | GX:-1.496 GY:0.107 GZ:0.092 | T:25.14 C
I (450935) mpu6050 stream: AX:-0.083 AY:0.092 AZ:-0.954 | GX:-1.084 GY:0.427 GZ:-0.076 | T:25.05 C
I (450945) mpu6050 stream: AX:-0.081 AY:0.093 AZ:-0.941 | GX:-0.351 GY:0.076 GZ:-0.046 | T:25.14 C
I (450955) mpu6050 stream: AX:-0.074 AY:0.093 AZ:-0.959 | GX:0.122 GY:-0.275 GZ:-0.183 | T:25.14 C
I (450965) mpu6050 stream: AX:-0.076 AY:0.092 AZ:-0.966 | GX:-0.321 GY:-0.061 GZ:-0.092 | T:25.24 C
I (450975) mpu6050 stream: AX:-0.086 AY:0.093 AZ:-0.965 | GX:-0.916 GY:-0.107 GZ:-0.351 | T:25.14 C
I (450985) mpu6050 stream: AX:-0.067 AY:0.097 AZ:-0.956 | GX:-1.405 GY:0.000 GZ:-0.198 | T:25.14 C
I (450995) mpu6050 stream: AX:-0.069 AY:0.103 AZ:-0.958 | GX:-0.916 GY:-0.015 GZ:-0.107 | T:25.14 C
