I (254805) mpu6050 stream: AX:-0.188 AY:0.079 AZ:-0.941 | GX:-0.275 GY:0.061 GZ:0.534 | T:25.24 C
I (254815) mpu6050 stream: AX:-0.195 AY:0.080 AZ:-0.951 | GX:-0.107 GY:0.168 GZ:0.656 | T:25.19 C
I (254825) mpu6050 stream: AX:-0.196 AY:0.079 AZ:-0.953 | GX:-0.321 GY:0.718 GZ:0.855 | T:25.28 C
I (254835) mpu6050 stream: AX:-0.193 AY:0.076 AZ:-0.952 | GX:-0.626 GY:1.160 GZ:1.328 | T:25.19 C
I (254845) mpu6050 stream: AX:-0.188 AY:0.079 AZ:-0.941 | GX:-0.733 GY:1.359 GZ:1.328 | T:25.28 C
I (254855) mpu6050 stream: AX:-0.183 AY:0.075 AZ:-0.940 | GX:-0.321 GY:1.359 GZ:1.344 | T:25.19 C
I (254865) mpu6050 stream: AX:-0.185 AY:0.073 AZ:-0.940 | GX:-0.153 GY:1.374 GZ:1.511 | T:25.19 C
I (254875) mpu6050 stream: AX:-0.185 AY:0.072 AZ:-0.939 | GX:-0.092 GY:1.115 GZ:1.634 | T:25.19 C
I (254885) mpu6050 stream: AX:-0.187 AY:0.072 AZ:-0.928 | GX:-0.092 GY:0.779 GZ:1.863 | T:25.19 C
I (254895) mpu6050 stream: AX:-0.183 AY:0.071 AZ:-0.947 | GX:-0.214 GY:0.641 GZ:1.939 | T:25.28 C
I (254905) mpu6050 stream: AX:-0.187 AY:0.071 AZ:-0.940 | GX:-0.519 GY:0.565 GZ:1.847 | T:25.19 C
I (254915) mpu6050 stream: AX:-0.199 AY:0.073 AZ:-0.957 | GX:-0.718 GY:1.237 GZ:2.137 | T:25.28 C
I (254925) mpu6050 stream: AX:-0.195 AY:0.075 AZ:-0.956 | GX:-0.550 GY:2.000 GZ:2.198 | T:25.19 C
I (254935) mpu6050 stream: AX:-0.189 AY:0.071 AZ:-0.943 | GX:0.183 GY:2.473 GZ:2.015 | T:25.19 C
I (254945) mpu6050 stream: AX:-0.179 AY:0.070 AZ:-0.946 | GX:0.214 GY:2.351 GZ:1.985 | T:25.38 C
I (254955) mpu6050 stream: AX:-0.176 AY:0.065 AZ:-0.940 | GX:0.168 GY:2.092 GZ:1.939 | T:25.19 C
I (254965) mpu6050 stream: AX:-0.176 AY:0.065 AZ:-0.928 | GX:-0.382 GY:2.076 GZ:1.588 | T:25.28 C
