I (585085) mpu6050 stream: AX:-0.014 AY:0.095 AZ:-0.969 | GX:-1.481 GY:0.809 GZ:0.626 | T:24.95 C
I (585095) mpu6050 stream: AX:-0.010 AY:0.104 AZ:-0.967 | GX:-2.137 GY:0.916 GZ:0.809 | T:24.86 C
I (585105) mpu6050 stream: AX:-0.007 AY:0.108 AZ:-0.960 | GX:-1.786 GY:1.084 GZ:0.473 | T:24.95 C
I (585115) mpu6050 stream: AX:-0.013 AY:0.118 AZ:-0.951 | GX:-0.672 GY:0.870 GZ:0.489 | T:24.86 C
I (585125) mpu6050 stream: AX:-0.006 AY:0.118 AZ:-0.951 | GX:0.519 GY:0.641 GZ:0.763 | T:24.86 C
I (585135) mpu6050 stream: AX:-0.006 AY:0.103 AZ:-0.948 | GX:1.313 GY:0.656 GZ:0.794 | T:24.86 C
I (585145) mpu6050 stream: AX:-0.014 AY:0.105 AZ:-0.960 | GX:1.130 GY:0.641 GZ:0.916 | T:24.86 C
I (585155) mpu6050 stream: AX:-0.010 AY:0.092 AZ:-0.960 | GX:0.580 GY:0.137 GZ:0.779 | T:24.77 C
I (585165) mpu6050 stream: AX:-0.010 AY:0.099 AZ:-0.955 | GX:-0.427 GY:-0.107 GZ:0.748 | T:24.95 C
I (585175) mpu6050 stream: AX:-0.007 AY:0.099 AZ:-0.947 | GX:-1.496 GY:-0.336 GZ:0.885 | T:24.81 C
I (585185) mpu6050 stream: AX:-0.015 AY:0.104 AZ:-0.959 | GX:-1.557 GY:-0.611 GZ:0.931 | T:25.00 C
I (585195) mpu6050 stream: AX:-0.011 AY:0.102 AZ:-0.954 | GX:-1.237 GY:-0.290 GZ:0.977 | T:25.00 C
I (585205) mpu6050 stream: AX:-0.013 AY:0.110 AZ:-0.957 | GX:-0.336 GY:-0.031 GZ:1.053 | T:24.91 C
I (585215) mpu6050 stream: AX:-0.017 AY:0.109 AZ:-0.962 | GX:0.321 GY:-0.031 GZ:1.191 | T:25.00 C
I (585225) mpu6050 stream: AX:-0.017 AY:0.105 AZ:-0.959 | GX:0.626 GY:0.183 GZ:1.130 | T:24.91 C
I (585235) mpu6050 stream: AX:-0.023 AY:0.101 AZ:-0.960 | GX:0.580 GY:0.351 GZ:1.069 | T:25.00 C
I (585245) mpu6050 stream: AX:-0.016 AY:0.099 AZ:-0.966 | GX:-0.031 GY:0.763 GZ:1.053 | T:24.91 C
I (585255) mpu6050 stream: AX:-0.016 AY:0.095 AZ:-0.964 | GX:-0.458 GY:0.809 GZ:1.038 | T:25.00 C
I (585265) mpu6050 stream: AX:-0.011 AY:0.106 AZ:-0.955 | GX:-0.870 GY:0.840 GZ:0.763 | T:25.00 C
I (585275) mpu6050 stream: AX:-0.013 AY:0.108 AZ:-0.958 | GX:-0.794 GY:0.901 GZ:0.656 | T:25.00 C
I (585285) mpu6050 stream: AX:-0.015 AY:0.103 AZ:-0.964 | GX:-0.656 GY:0.626 GZ:0.565 | T:24.91 C
I (585295) mpu6050 stream: AX:-0.014 AY:0.107 AZ:-0.944 | GX:-0.275 GY:0.305 GZ:0.443 | T:25.00 C
I (585305) mpu6050 stream: AX:-0.008 AY:0.102 AZ:-0.967 | GX:-0.412 GY:0.015 GZ:0.458 | T:24.91 C
I (585315) mpu6050 stream: AX:-0.014 AY:0.109 AZ:-0.958 | GX:-0.901 GY:-0.015 GZ:0.611 | T:24.91 C
I (585325) mpu6050 stream: AX:-0.020 AY:0.104 AZ:-0.959 | GX:-1.191 GY:0.351 GZ:0.687 | T:25.00 C
I (585335) mpu6050 stream: AX:-0.017 AY:0.113 AZ:-0.958 | GX:-1.084 GY:0.336 GZ:0.718 | T:24.91 C
I (585345) mpu6050 stream: AX:-0.017 AY:0.116 AZ:-0.960 | GX:-0.656 GY:0.290 GZ:0.779 | T:25.00 C
I (585355) mpu6050 stream: AX:-0.020 AY:0.113 AZ:-0.949 | GX:0.168 GY:0.107 GZ:0.824 | T:24.91 C
I (585365) mpu6050 stream: AX:-0.018 AY:0.117 AZ:-0.960 | GX:1.008 GY:0.580 GZ:1.282 | T:25.00 C
I (585375) mpu6050 stream: AX:-0.013 AY:0.105 AZ:-0.961 | GX:1.191 GY:0.824 GZ:1.298 | T:24.91 C
I (585385) mpu6050 stream: AX:-0.017 AY:0.110 AZ:-0.961 | GX:1.267 GY:0.885 GZ:1.496 | T:24.91 C
I (585395) mpu6050 stream: AX:-0.012 AY:0.098 AZ:-0.951 | GX:0.870 GY:1.008 GZ:1.420 | T:24.91 C
I (585405) mpu6050 stream: AX:-0.012 AY:0.097 AZ:-0.949 | GX:0.153 GY:0.870 GZ:1.145 | T:25.00 C
I (585415) mpu6050 stream: AX:-0.009 AY:0.103 AZ:-0.947 | GX:-0.061 GY:0.565 GZ:1.298 | T:24.91 C
I (585425) mpu6050 stream: AX:-0.008 AY:0.109 AZ:-0.947 | GX:-0.153 GY:0.153 GZ:1.160 | T:24.81 C
I (585435) mpu6050 stream: AX:-0.013 AY:0.102 AZ:-0.956 | GX:-0.031 GY:0.015 GZ:1.374 | T:25.00 C
I (585445) mpu6050 stream: AX:-0.019 AY:0.099 AZ:-0.952 | GX:0.412 GY:-0.183 GZ:1.405 | T:25.00 C
I (585455) mpu6050 stream: AX:-0.012 AY:0.105 AZ:-0.950 | GX:0.550 GY:-0.260 GZ:1.496 | T:25.00 C
I (585465) mpu6050 stream: AX:-0.017 AY:0.099 AZ:-0.961 | GX:1.053 GY:0.168 GZ:1.466 | T:24.91 C
I (585475) mpu6050 stream: AX:-0.019 AY:0.101 AZ:-0.958 | GX:0.901 GY:0.000 GZ:1.481 | T:24.91 C
I (585485) mpu6050 stream: AX:-0.016 AY:0.093 AZ:-0.952 | GX:0.763 GY:0.198 GZ:1.267 | T:24.91 C
I (585495) mpu6050 stream: AX:-0.013 AY:0.093 AZ:-0.955 | GX:0.580 GY:-0.092 GZ:1.221 | T:25.00 C
I (585505) mpu6050 stream: AX:-0.011 AY:0.093 AZ:-0.964 | GX:-0.015 GY:-0.366 GZ:1.206 | T:24.91 C
I (585515) mpu6050 stream: AX:-0.010 AY:0.101 AZ:-0.963 | GX:-0.321 GY:-0.824 GZ:1.206 | T:25.00 C
I (585525) mpu6050 stream: AX:-0.014 AY:0.094 AZ:-0.957 | GX:-0.427 GY:-0.763 GZ:1.191 | T:24.91 C
I (585535) mpu6050 stream: AX:-0.012 AY:0.097 AZ:-0.969 | GX:-0.366 GY:-0.580 GZ:1.252 | T:24.86 C
I (585545) mpu6050 stream: AX:-0.015 AY:0.097 AZ:-0.961 | GX:-0.183 GY:-0.565 GZ:1.481 | T:24.86 C
I (585555) mpu6050 stream: AX:-0.013 AY:0.103 AZ:-0.965 | GX:-0.275 GY:-0.366 GZ:1.191 | T:24.95 C
I (585565) mpu6050 stream: AX:-0.018 AY:0.104 AZ:-0.956 | GX:-0.397 GY:-0.489 GZ:1.405 | T:24.95 C
I (585575) mpu6050 stream: AX:-0.010 AY:0.098 AZ:-0.961 | GX:-0.412 GY:-0.214 GZ:1.481 | T:25.05 C
I (585585) mpu6050 stream: AX:-0.011 AY:0.096 AZ:-0.967 | GX:-0.550 GY:-0.092 GZ:1.267 | T:25.05 C
I (585595) mpu6050 stream: AX:-0.011 AY:0.099 AZ:-0.962 | GX:-0.550 GY:0.046 GZ:1.282 | T:24.95 C
I (585605) mpu6050 stream: AX:-0.010 AY:0.102 AZ:-0.958 | GX:-0.595 GY:0.092 GZ:1.191 | T:24.95 C
