I (365065) mpu6050 stream: AX:-0.081 AY:0.086 AZ:-0.959 | GX:0.443 GY:0.336 GZ:0.107 | T:25.24 C
I (365075) mpu6050 stream: AX:-0.075 AY:0.086 AZ:-0.958 | GX:0.534 GY:0.458 GZ:0.351 | T:25.14 C
I (365085) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.950 | GX:0.443 GY:0.489 GZ:0.489 | T:25.24 C
I (365095) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.958 | GX:0.427 GY:0.718 GZ:0.321 | T:25.24 C
I (365105) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.963 | GX:0.198 GY:0.641 GZ:0.351 | T:25.14 C
I (365115) mpu6050 stream: AX:-0.077 AY:0.083 AZ:-0.957 | GX:0.198 GY:0.565 GZ:0.656 | T:25.24 C
I (365125) mpu6050 stream: AX:-0.081 AY:0.080 AZ:-0.958 | GX:0.214 GY:0.626 GZ:0.519 | T:25.24 C
I (365135) mpu6050 stream: AX:-0.079 AY:0.084 AZ:-0.955 | GX:0.443 GY:0.626 GZ:0.611 | T:25.05 C
I (365145) mpu6050 stream: AX:-0.080 AY:0.075 AZ:-0.953 | GX:0.611 GY:0.504 GZ:0.840 | T:25.24 C
I (365155) mpu6050 stream: AX:-0.080 AY:0.075 AZ:-0.954 | GX:0.748 GY:1.084 GZ:0.748 | T:25.24 C
I (365165) mpu6050 stream: AX:-0.073 AY:0.073 AZ:-0.955 | GX:0.336 GY:0.870 GZ:0.519 | T:25.14 C
I (365175) mpu6050 stream: AX:-0.079 AY:0.081 AZ:-0.960 | GX:-0.214 GY:0.885 GZ:0.550 | T:25.14 C
I (365185) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.970 | GX:-0.931 GY:1.069 GZ:0.702 | T:25.24 C
I (365195) mpu6050 stream: AX:-0.068 AY:0.083 AZ:-0.965 | GX:-0.916 GY:1.145 GZ:0.412 | T:25.14 C
I (365205) mpu6050 stream: AX:-0.069 AY:0.090 AZ:-0.957 | GX:0.046 GY:1.084 GZ:0.366 | T:25.14 C
I (365215) mpu6050 stream: AX:-0.077 AY:0.087 AZ:-0.960 | GX:1.267 GY:0.656 GZ:0.534 | T:25.24 C
I (365225) mpu6050 stream: AX:-0.069 AY:0.082 AZ:-0.951 | GX:2.260 GY:0.107 GZ:0.733 | T:25.24 C
I (365235) mpu6050 stream: AX:-0.072 AY:0.075 AZ:-0.953 | GX:2.061 GY:-0.168 GZ:0.641 | T:25.14 C
I (365245) mpu6050 stream: AX:-0.075 AY:0.073 AZ:-0.957 | GX:0.504 GY:-0.351 GZ:0.565 | T:25.24 C
I (365255) mpu6050 stream: AX:-0.073 AY:0.067 AZ:-0.958 | GX:-0.397 GY:-0.519 GZ:0.198 | T:25.14 C
I (365265) mpu6050 stream: AX:-0.075 AY:0.070 AZ:-0.947 | GX:-1.237 GY:-0.824 GZ:0.122 | T:25.14 C
I (365275) mpu6050 stream: AX:-0.077 AY:0.079 AZ:-0.964 | GX:-0.916 GY:-0.595 GZ:0.137 | T:25.14 C
I (365285) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.960 | GX:-0.672 GY:-0.565 GZ:0.427 | T:25.14 C
I (365295) mpu6050 stream: AX:-0.079 AY:0.084 AZ:-0.953 | GX:-0.168 GY:-0.382 GZ:0.458 | T:25.14 C
I (365305) mpu6050 stream: AX:-0.080 AY:0.080 AZ:-0.947 | GX:0.198 GY:-0.046 GZ:0.275 | T:25.14 C
I (365315) mpu6050 stream: AX:-0.073 AY:0.081 AZ:-0.954 | GX:-0.198 GY:-0.336 GZ:0.290 | T:25.14 C
I (365325) mpu6050 stream: AX:-0.075 AY:0.079 AZ:-0.959 | GX:-0.473 GY:-0.489 GZ:0.260 | T:25.24 C
I (365335) mpu6050 stream: AX:-0.081 AY:0.080 AZ:-0.969 | GX:-0.718 GY:-0.229 GZ:0.290 | T:25.14 C
I (365345) mpu6050 stream: AX:-0.079 AY:0.078 AZ:-0.963 | GX:-0.992 GY:-0.351 GZ:0.305 | T:25.24 C
I (365355) mpu6050 stream: AX:-0.080 AY:0.077 AZ:-0.966 | GX:-0.656 GY:-0.046 GZ:0.168 | T:25.24 C
I (365365) mpu6050 stream: AX:-0.083 AY:0.077 AZ:-0.953 | GX:-0.489 GY:-0.061 GZ:0.076 | T:25.14 C
I (365375) mpu6050 stream: AX:-0.081 AY:0.084 AZ:-0.954 | GX:-0.351 GY:-0.229 GZ:-0.153 | T:25.14 C
I (365385) mpu6050 stream: AX:-0.077 AY:0.078 AZ:-0.958 | GX:-0.519 GY:-0.519 GZ:-0.382 | T:25.24 C
I (365395) mpu6050 stream: AX:-0.071 AY:0.083 AZ:-0.965 | GX:-0.519 GY:-0.519 GZ:-0.351 | T:25.14 C
I (365405) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.963 | GX:-0.733 GY:-0.031 GZ:-0.290 | T:25.14 C
I (365415) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.959 | GX:-0.565 GY:-0.046 GZ:-0.198 | T:25.14 C
I (365425) mpu6050 stream: AX:-0.079 AY:0.084 AZ:-0.949 | GX:-0.336 GY:0.260 GZ:-0.397 | T:25.14 C
