I (492865) mpu6050 stream: AX:-0.088 AY:0.094 AZ:-0.953 | GX:-0.962 GY:0.595 GZ:0.290 | T:25.09 C
I (492875) mpu6050 stream: AX:-0.093 AY:0.091 AZ:-0.953 | GX:-0.366 GY:0.672 GZ:0.550 | T:25.09 C
I (492885) mpu6050 stream: AX:-0.093 AY:0.093 AZ:-0.953 | GX:-0.519 GY:0.412 GZ:0.656 | T:25.00 C
I (492895) mpu6050 stream: AX:-0.093 AY:0.090 AZ:-0.955 | GX:-0.534 GY:0.290 GZ:0.504 | T:25.09 C
I (492905) mpu6050 stream: AX:-0.094 AY:0.096 AZ:-0.954 | GX:-0.550 GY:0.870 GZ:0.733 | T:25.00 C
I (492915) mpu6050 stream: AX:-0.089 AY:0.096 AZ:-0.958 | GX:-0.351 GY:0.763 GZ:0.840 | T:25.05 C
I (492925) mpu6050 stream: AX:-0.094 AY:0.093 AZ:-0.962 | GX:0.000 GY:0.855 GZ:0.916 | T:25.05 C
I (492935) mpu6050 stream: AX:-0.090 AY:0.093 AZ:-0.952 | GX:0.260 GY:1.191 GZ:0.947 | T:25.05 C
I (492945) mpu6050 stream: AX:-0.091 AY:0.091 AZ:-0.963 | GX:0.733 GY:1.725 GZ:1.115 | T:25.05 C
I (492955) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.953 | GX:0.412 GY:1.924 GZ:1.145 | T:25.05 C
I (492965) mpu6050 stream: AX:-0.087 AY:0.091 AZ:-0.952 | GX:-0.244 GY:1.710 GZ:1.084 | T:25.14 C
I (492975) mpu6050 stream: AX:-0.080 AY:0.086 AZ:-0.960 | GX:-1.130 GY:1.450 GZ:0.992 | T:25.05 C
I (492985) mpu6050 stream: AX:-0.083 AY:0.093 AZ:-0.955 | GX:-1.573 GY:1.344 GZ:0.977 | T:25.05 C
I (492995) mpu6050 stream: AX:-0.079 AY:0.097 AZ:-0.949 | GX:-0.962 GY:1.359 GZ:0.901 | T:25.05 C
I (493005) mpu6050 stream: AX:-0.076 AY:0.102 AZ:-0.943 | GX:0.412 GY:1.069 GZ:1.069 | T:25.05 C
