I (487305) mpu6050 stream: AX:-0.087 AY:0.069 AZ:-0.954 | GX:-2.519 GY:-1.679 GZ:0.702 | T:25.09 C
I (487315) mpu6050 stream: AX:-0.095 AY:0.074 AZ:-0.958 | GX:-2.931 GY:-1.435 GZ:0.534 | T:25.00 C
I (487325) mpu6050 stream: AX:-0.086 AY:0.079 AZ:-0.945 | GX:-2.473 GY:-1.511 GZ:0.641 | T:25.09 C
I (487335) mpu6050 stream: AX:-0.089 AY:0.078 AZ:-0.954 | GX:-1.450 GY:-1.344 GZ:0.565 | T:25.09 C
I (487345) mpu6050 stream: AX:-0.096 AY:0.080 AZ:-0.955 | GX:-0.015 GY:-0.916 GZ:0.580 | T:25.09 C
I (487355) mpu6050 stream: AX:-0.092 AY:0.077 AZ:-0.954 | GX:0.489 GY:-0.672 GZ:0.779 | T:25.09 C
I (487365) mpu6050 stream: AX:-0.093 AY:0.072 AZ:-0.960 | GX:0.290 GY:-0.565 GZ:0.458 | T:25.09 C
I (487375) mpu6050 stream: AX:-0.096 AY:0.069 AZ:-0.954 | GX:-0.366 GY:-0.626 GZ:0.412 | T:25.09 C
I (487385) mpu6050 stream: AX:-0.094 AY:0.070 AZ:-0.949 | GX:-1.252 GY:-0.565 GZ:0.229 | T:25.09 C
I (487395) mpu6050 stream: AX:-0.091 AY:0.065 AZ:-0.951 | GX:-1.603 GY:-0.687 GZ:0.290 | T:25.09 C
I (487405) mpu6050 stream: AX:-0.096 AY:0.069 AZ:-0.958 | GX:-1.435 GY:-0.565 GZ:0.061 | T:25.09 C
I (487415) mpu6050 stream: AX:-0.095 AY:0.082 AZ:-0.954 | GX:-0.580 GY:-1.160 GZ:0.153 | T:25.00 C
I (487425) mpu6050 stream: AX:-0.094 AY:0.077 AZ:-0.956 | GX:-0.031 GY:-0.672 GZ:-0.092 | T:25.00 C
I (487435) mpu6050 stream: AX:-0.094 AY:0.075 AZ:-0.958 | GX:-1.038 GY:-0.534 GZ:-0.061 | T:25.00 C
I (487445) mpu6050 stream: AX:-0.090 AY:0.071 AZ:-0.957 | GX:-0.702 GY:-0.214 GZ:-0.290 | T:25.09 C
I (487455) mpu6050 stream: AX:-0.089 AY:0.075 AZ:-0.965 | GX:-1.466 GY:0.046 GZ:-0.412 | T:25.09 C
I (487465) mpu6050 stream: AX:-0.094 AY:0.081 AZ:-0.953 | GX:-1.023 GY:-0.122 GZ:-0.351 | T:25.09 C
I (487475) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.957 | GX:-1.237 GY:-0.290 GZ:-0.366 | T:25.09 C
I (487485) mpu6050 stream: AX:-0.091 AY:0.082 AZ:-0.952 | GX:-0.534 GY:-0.351 GZ:-0.015 | T:25.00 C
I (487495) mpu6050 stream: AX:-0.099 AY:0.089 AZ:-0.961 | GX:0.198 GY:0.092 GZ:0.168 | T:25.00 C
I (487505) mpu6050 stream: AX:-0.090 AY:0.076 AZ:-0.958 | GX:-0.092 GY:0.275 GZ:0.382 | T:25.09 C
I (487515) mpu6050 stream: AX:-0.091 AY:0.078 AZ:-0.944 | GX:-0.321 GY:0.198 GZ:0.351 | T:25.09 C
I (487525) mpu6050 stream: AX:-0.098 AY:0.078 AZ:-0.945 | GX:-0.901 GY:-0.351 GZ:0.626 | T:25.09 C
I (487535) mpu6050 stream: AX:-0.090 AY:0.088 AZ:-0.945 | GX:-1.008 GY:-0.504 GZ:1.069 | T:25.09 C
I (487545) mpu6050 stream: AX:-0.088 AY:0.094 AZ:-0.948 | GX:-0.855 GY:-0.947 GZ:1.420 | T:25.00 C
I (487555) mpu6050 stream: AX:-0.090 AY:0.094 AZ:-0.946 | GX:-0.489 GY:-1.374 GZ:2.000 | T:25.09 C
I (487565) mpu6050 stream: AX:-0.090 AY:0.092 AZ:-0.956 | GX:0.611 GY:-1.023 GZ:2.519 | T:25.09 C
I (487575) mpu6050 stream: AX:-0.098 AY:0.085 AZ:-0.955 | GX:1.832 GY:-0.962 GZ:2.870 | T:25.09 C
I (487585) mpu6050 stream: AX:-0.093 AY:0.083 AZ:-0.965 | GX:1.817 GY:-0.504 GZ:2.947 | T:25.00 C
I (487595) mpu6050 stream: AX:-0.098 AY:0.071 AZ:-0.968 | GX:0.931 GY:-0.137 GZ:2.748 | T:25.09 C
I (487605) mpu6050 stream: AX:-0.096 AY:0.070 AZ:-0.960 | GX:1.435 GY:0.153 GZ:2.458 | T:25.00 C
I (487615) mpu6050 stream: AX:-0.100 AY:0.066 AZ:-0.956 | GX:0.702 GY:0.473 GZ:2.305 | T:25.09 C
I (487625) mpu6050 stream: AX:-0.097 AY:0.070 AZ:-0.950 | GX:0.672 GY:0.489 GZ:1.893 | T:25.09 C
I (487635) mpu6050 stream: AX:-0.093 AY:0.067 AZ:-0.951 | GX:0.214 GY:0.183 GZ:1.420 | T:25.09 C
I (487645) mpu6050 stream: AX:-0.091 AY:0.070 AZ:-0.955 | GX:0.504 GY:0.061 GZ:1.282 | T:25.09 C
I (487655) mpu6050 stream: AX:-0.090 AY:0.070 AZ:-0.958 | GX:0.611 GY:-0.244 GZ:0.992 | T:25.09 C
I (487665) mpu6050 stream: AX:-0.092 AY:0.073 AZ:-0.958 | GX:0.321 GY:-0.687 GZ:0.702 | T:25.09 C
I (487675) mpu6050 stream: AX:-0.098 AY:0.068 AZ:-0.959 | GX:0.076 GY:-0.504 GZ:0.473 | T:25.09 C
I (487685) mpu6050 stream: AX:-0.101 AY:0.066 AZ:-0.958 | GX:-0.489 GY:-0.168 GZ:0.626 | T:25.09 C
I (487695) mpu6050 stream: AX:-0.102 AY:0.072 AZ:-0.959 | GX:0.595 GY:0.290 GZ:0.321 | T:25.00 C
I (487705) mpu6050 stream: AX:-0.104 AY:0.069 AZ:-0.965 | GX:-0.351 GY:0.656 GZ:0.641 | T:25.09 C
I (487715) mpu6050 stream: AX:-0.098 AY:0.071 AZ:-0.960 | GX:-0.412 GY:1.252 GZ:0.489 | T:25.09 C
I (487725) mpu6050 stream: AX:-0.089 AY:0.074 AZ:-0.958 | GX:0.305 GY:1.588 GZ:0.489 | T:25.09 C
I (487735) mpu6050 stream: AX:-0.097 AY:0.072 AZ:-0.950 | GX:0.000 GY:1.359 GZ:0.534 | T:25.19 C
I (487745) mpu6050 stream: AX:-0.087 AY:0.068 AZ:-0.954 | GX:-0.229 GY:1.496 GZ:0.580 | T:25.19 C
I (487755) mpu6050 stream: AX:-0.091 AY:0.071 AZ:-0.956 | GX:-1.252 GY:1.053 GZ:0.763 | T:25.09 C
I (487765) mpu6050 stream: AX:-0.084 AY:0.070 AZ:-0.952 | GX:-0.687 GY:0.611 GZ:0.626 | T:25.00 C
I (487775) mpu6050 stream: AX:-0.082 AY:0.075 AZ:-0.948 | GX:-0.962 GY:0.427 GZ:0.611 | T:25.09 C
I (487785) mpu6050 stream: AX:-0.087 AY:0.072 AZ:-0.946 | GX:-1.252 GY:-0.244 GZ:0.427 | T:25.19 C
I (487795) mpu6050 stream: AX:-0.089 AY:0.068 AZ:-0.948 | GX:-1.099 GY:-0.275 GZ:0.489 | T:25.09 C
I (487805) mpu6050 stream: AX:-0.084 AY:0.077 AZ:-0.955 | GX:-0.748 GY:-0.427 GZ:0.290 | T:25.09 C
I (487815) mpu6050 stream: AX:-0.093 AY:0.079 AZ:-0.961 | GX:-0.550 GY:-0.397 GZ:0.336 | T:25.09 C
I (487825) mpu6050 stream: AX:-0.092 AY:0.071 AZ:-0.949 | GX:-0.580 GY:-0.763 GZ:0.244 | T:25.09 C
I (487835) mpu6050 stream: AX:-0.091 AY:0.076 AZ:-0.955 | GX:-0.443 GY:-0.550 GZ:0.183 | T:25.19 C
I (487845) mpu6050 stream: AX:-0.097 AY:0.077 AZ:-0.960 | GX:-0.183 GY:-0.107 GZ:0.244 | T:25.00 C
I (487855) mpu6050 stream: AX:-0.091 AY:0.078 AZ:-0.963 | GX:-0.412 GY:0.061 GZ:0.046 | T:25.05 C
I (487865) mpu6050 stream: AX:-0.088 AY:0.078 AZ:-0.965 | GX:-0.305 GY:-0.153 GZ:0.321 | T:25.05 C
I (487875) mpu6050 stream: AX:-0.096 AY:0.079 AZ:-0.950 | GX:-0.290 GY:-0.397 GZ:0.015 | T:25.05 C
I (487885) mpu6050 stream: AX:-0.095 AY:0.073 AZ:-0.948 | GX:0.015 GY:-0.244 GZ:0.260 | T:25.14 C
I (487895) mpu6050 stream: AX:-0.093 AY:0.068 AZ:-0.948 | GX:0.229 GY:0.153 GZ:0.214 | T:25.14 C
I (487905) mpu6050 stream: AX:-0.088 AY:0.073 AZ:-0.956 | GX:0.031 GY:-0.031 GZ:0.244 | T:25.05 C
I (487915) mpu6050 stream: AX:-0.087 AY:0.073 AZ:-0.959 | GX:-0.947 GY:-0.244 GZ:0.107 | T:25.05 C
I (487925) mpu6050 stream: AX:-0.088 AY:0.075 AZ:-0.964 | GX:-1.908 GY:-0.351 GZ:0.076 | T:25.05 C
I (487935) mpu6050 stream: AX:-0.097 AY:0.077 AZ:-0.964 | GX:-2.168 GY:-0.275 GZ:-0.107 | T:25.05 C
I (487945) mpu6050 stream: AX:-0.096 AY:0.092 AZ:-0.964 | GX:-1.313 GY:-0.198 GZ:-0.137 | T:24.95 C
I (487955) mpu6050 stream: AX:-0.101 AY:0.084 AZ:-0.958 | GX:0.275 GY:-0.015 GZ:0.061 | T:25.05 C
I (487965) mpu6050 stream: AX:-0.098 AY:0.083 AZ:-0.946 | GX:1.878 GY:0.305 GZ:0.412 | T:24.95 C
I (487975) mpu6050 stream: AX:-0.097 AY:0.074 AZ:-0.951 | GX:2.290 GY:0.290 GZ:0.687 | T:25.05 C
I (487985) mpu6050 stream: AX:-0.093 AY:0.072 AZ:-0.951 | GX:1.130 GY:0.137 GZ:0.702 | T:25.05 C
I (487995) mpu6050 stream: AX:-0.094 AY:0.069 AZ:-0.951 | GX:-0.779 GY:-0.412 GZ:0.656 | T:25.05 C
I (488005) mpu6050 stream: AX:-0.091 AY:0.076 AZ:-0.955 | GX:-2.290 GY:-0.870 GZ:0.733 | T:25.05 C
I (488015) mpu6050 stream: AX:-0.092 AY:0.074 AZ:-0.947 | GX:-2.748 GY:-1.160 GZ:0.916 | T:25.14 C
I (488025) mpu6050 stream: AX:-0.096 AY:0.081 AZ:-0.952 | GX:-1.908 GY:-0.962 GZ:1.053 | T:25.14 C
I (488035) mpu6050 stream: AX:-0.098 AY:0.082 AZ:-0.959 | GX:-0.687 GY:-0.870 GZ:1.099 | T:25.05 C
I (488045) mpu6050 stream: AX:-0.103 AY:0.083 AZ:-0.954 | GX:0.473 GY:-0.534 GZ:1.267 | T:25.05 C
I (488055) mpu6050 stream: AX:-0.104 AY:0.070 AZ:-0.951 | GX:0.824 GY:-0.183 GZ:1.191 | T:25.14 C
I (488065) mpu6050 stream: AX:-0.097 AY:0.070 AZ:-0.960 | GX:0.260 GY:-0.168 GZ:1.115 | T:25.05 C
I (488075) mpu6050 stream: AX:-0.101 AY:0.075 AZ:-0.956 | GX:-0.397 GY:-0.137 GZ:1.023 | T:25.05 C
I (488085) mpu6050 stream: AX:-0.099 AY:0.074 AZ:-0.957 | GX:-0.885 GY:0.305 GZ:0.733 | T:25.05 C
I (488095) mpu6050 stream: AX:-0.102 AY:0.072 AZ:-0.958 | GX:-1.115 GY:0.260 GZ:0.580 | T:25.05 C
I (488105) mpu6050 stream: AX:-0.100 AY:0.082 AZ:-0.948 | GX:-0.397 GY:0.641 GZ:0.534 | T:25.05 C
I (488115) mpu6050 stream: AX:-0.095 AY:0.080 AZ:-0.957 | GX:0.565 GY:0.748 GZ:0.580 | T:25.05 C
I (488125) mpu6050 stream: AX:-0.098 AY:0.080 AZ:-0.957 | GX:0.962 GY:0.458 GZ:0.489 | T:25.05 C
I (488135) mpu6050 stream: AX:-0.094 AY:0.072 AZ:-0.963 | GX:0.275 GY:0.702 GZ:0.565 | T:25.05 C
I (488145) mpu6050 stream: AX:-0.094 AY:0.078 AZ:-0.964 | GX:-0.443 GY:0.687 GZ:0.595 | T:25.14 C
I (488155) mpu6050 stream: AX:-0.095 AY:0.075 AZ:-0.951 | GX:-0.931 GY:0.336 GZ:0.321 | T:25.05 C
I (488165) mpu6050 stream: AX:-0.092 AY:0.077 AZ:-0.958 | GX:-0.672 GY:0.427 GZ:0.366 | T:25.14 C
I (488175) mpu6050 stream: AX:-0.094 AY:0.086 AZ:-0.956 | GX:-0.260 GY:0.305 GZ:0.733 | T:25.14 C
