I (302915) mpu6050 stream: AX:-0.166 AY:0.091 AZ:-0.939 | GX:-1.374 GY:-1.130 GZ:1.481 | T:25.28 C
I (302925) mpu6050 stream: AX:-0.163 AY:0.090 AZ:-0.935 | GX:-0.763 GY:-0.733 GZ:1.756 | T:25.19 C
I (302935) mpu6050 stream: AX:-0.163 AY:0.090 AZ:-0.950 | GX:-0.321 GY:-0.672 GZ:1.771 | T:25.38 C
I (302945) mpu6050 stream: AX:-0.162 AY:0.087 AZ:-0.943 | GX:-0.214 GY:-0.397 GZ:1.756 | T:25.28 C
I (302955) mpu6050 stream: AX:-0.164 AY:0.091 AZ:-0.946 | GX:-0.321 GY:-0.473 GZ:1.511 | T:25.28 C
I (302965) mpu6050 stream: AX:-0.160 AY:0.083 AZ:-0.953 | GX:-0.687 GY:-0.336 GZ:1.298 | T:25.19 C
I (302975) mpu6050 stream: AX:-0.163 AY:0.083 AZ:-0.946 | GX:-0.931 GY:-0.321 GZ:1.313 | T:25.28 C
I (302985) mpu6050 stream: AX:-0.166 AY:0.083 AZ:-0.943 | GX:-1.038 GY:-0.031 GZ:0.977 | T:25.28 C
I (302995) mpu6050 stream: AX:-0.159 AY:0.089 AZ:-0.954 | GX:-0.977 GY:0.351 GZ:0.626 | T:25.24 C
I (303005) mpu6050 stream: AX:-0.159 AY:0.087 AZ:-0.948 | GX:-0.809 GY:0.382 GZ:0.275 | T:25.24 C
I (303015) mpu6050 stream: AX:-0.158 AY:0.088 AZ:-0.954 | GX:-0.504 GY:0.427 GZ:0.244 | T:25.14 C
I (303025) mpu6050 stream: AX:-0.162 AY:0.094 AZ:-0.940 | GX:-0.427 GY:0.244 GZ:0.260 | T:25.24 C
I (303035) mpu6050 stream: AX:-0.159 AY:0.094 AZ:-0.947 | GX:-0.305 GY:0.168 GZ:0.092 | T:25.24 C
I (303045) mpu6050 stream: AX:-0.172 AY:0.091 AZ:-0.952 | GX:-0.397 GY:0.137 GZ:0.198 | T:25.24 C
I (303055) mpu6050 stream: AX:-0.165 AY:0.086 AZ:-0.951 | GX:-0.397 GY:0.351 GZ:0.366 | T:25.33 C
I (303065) mpu6050 stream: AX:-0.165 AY:0.091 AZ:-0.948 | GX:-0.656 GY:0.595 GZ:0.504 | T:25.24 C
