I (498875) mpu6050 stream: AX:-0.104 AY:0.094 AZ:-0.944 | GX:0.260 GY:-1.145 GZ:1.969 | T:25.09 C
I (498885) mpu6050 stream: AX:-0.110 AY:0.092 AZ:-0.952 | GX:0.641 GY:-0.824 GZ:1.985 | T:25.00 C
I (498895) mpu6050 stream: AX:-0.116 AY:0.090 AZ:-0.953 | GX:0.534 GY:-0.748 GZ:1.817 | T:25.00 C
I (498905) mpu6050 stream: AX:-0.111 AY:0.090 AZ:-0.957 | GX:-0.046 GY:-0.153 GZ:1.786 | T:25.00 C
I (498915) mpu6050 stream: AX:-0.113 AY:0.092 AZ:-0.963 | GX:-0.397 GY:0.061 GZ:1.802 | T:25.09 C
I (498925) mpu6050 stream: AX:-0.107 AY:0.092 AZ:-0.953 | GX:-0.397 GY:0.321 GZ:1.740 | T:25.09 C
I (498935) mpu6050 stream: AX:-0.107 AY:0.094 AZ:-0.942 | GX:-0.153 GY:0.229 GZ:1.557 | T:25.00 C
I (498945) mpu6050 stream: AX:-0.107 AY:0.093 AZ:-0.951 | GX:0.168 GY:0.351 GZ:1.481 | T:25.09 C
I (498955) mpu6050 stream: AX:-0.105 AY:0.095 AZ:-0.943 | GX:0.427 GY:0.122 GZ:1.573 | T:25.00 C
I (498965) mpu6050 stream: AX:-0.108 AY:0.086 AZ:-0.951 | GX:0.427 GY:-0.443 GZ:1.435 | T:25.00 C
I (498975) mpu6050 stream: AX:-0.109 AY:0.087 AZ:-0.947 | GX:0.107 GY:-0.611 GZ:1.557 | T:25.09 C
I (498985) mpu6050 stream: AX:-0.109 AY:0.080 AZ:-0.949 | GX:-0.779 GY:-0.443 GZ:1.389 | T:25.09 C
I (498995) mpu6050 stream: AX:-0.108 AY:0.088 AZ:-0.953 | GX:-1.466 GY:-0.611 GZ:1.267 | T:25.00 C
I (499005) mpu6050 stream: AX:-0.115 AY:0.088 AZ:-0.956 | GX:-1.649 GY:-0.733 GZ:0.763 | T:25.00 C
I (499015) mpu6050 stream: AX:-0.115 AY:0.098 AZ:-0.964 | GX:-1.267 GY:-0.565 GZ:0.748 | T:25.00 C
I (499025) mpu6050 stream: AX:-0.115 AY:0.098 AZ:-0.960 | GX:-0.427 GY:-0.031 GZ:0.824 | T:25.00 C
I (499035) mpu6050 stream: AX:-0.115 AY:0.092 AZ:-0.958 | GX:0.260 GY:0.397 GZ:0.824 | T:25.00 C
I (499045) mpu6050 stream: AX:-0.115 AY:0.091 AZ:-0.958 | GX:0.733 GY:0.656 GZ:0.534 | T:25.00 C
I (499055) mpu6050 stream: AX:-0.109 AY:0.086 AZ:-0.953 | GX:0.412 GY:0.794 GZ:0.366 | T:25.05 C
I (499065) mpu6050 stream: AX:-0.109 AY:0.089 AZ:-0.941 | GX:-0.458 GY:0.718 GZ:0.260 | T:25.05 C
I (499075) mpu6050 stream: AX:-0.114 AY:0.088 AZ:-0.945 | GX:-1.267 GY:0.137 GZ:0.382 | T:25.05 C
I (499085) mpu6050 stream: AX:-0.110 AY:0.101 AZ:-0.945 | GX:-1.618 GY:0.061 GZ:0.290 | T:25.05 C
I (499095) mpu6050 stream: AX:-0.113 AY:0.097 AZ:-0.948 | GX:-1.328 GY:-0.229 GZ:0.260 | T:25.05 C
I (499105) mpu6050 stream: AX:-0.112 AY:0.101 AZ:-0.944 | GX:-0.809 GY:-0.137 GZ:0.840 | T:25.05 C
