I (475275) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.943 | GX:-0.183 GY:0.153 GZ:1.252 | T:25.05 C
I (475285) mpu6050 stream: AX:-0.079 AY:0.081 AZ:-0.952 | GX:-0.275 GY:0.168 GZ:1.130 | T:25.14 C
I (475295) mpu6050 stream: AX:-0.076 AY:0.076 AZ:-0.945 | GX:-0.290 GY:-0.214 GZ:0.962 | T:25.05 C
I (475305) mpu6050 stream: AX:-0.077 AY:0.085 AZ:-0.955 | GX:-0.153 GY:-0.183 GZ:0.947 | T:25.05 C
I (475315) mpu6050 stream: AX:-0.086 AY:0.082 AZ:-0.954 | GX:-0.244 GY:-0.168 GZ:0.733 | T:25.05 C
I (475325) mpu6050 stream: AX:-0.073 AY:0.079 AZ:-0.957 | GX:-0.229 GY:-0.137 GZ:0.794 | T:25.14 C
I (475335) mpu6050 stream: AX:-0.085 AY:0.087 AZ:-0.950 | GX:-0.397 GY:-0.382 GZ:0.779 | T:25.05 C
I (475345) mpu6050 stream: AX:-0.072 AY:0.088 AZ:-0.952 | GX:-0.031 GY:-0.427 GZ:0.656 | T:25.14 C
I (475355) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.959 | GX:-0.046 GY:-0.412 GZ:0.885 | T:25.05 C
I (475365) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.962 | GX:-0.229 GY:0.198 GZ:0.519 | T:25.14 C
I (475375) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.946 | GX:-0.336 GY:0.076 GZ:0.504 | T:25.14 C
I (475385) mpu6050 stream: AX:-0.079 AY:0.090 AZ:-0.962 | GX:-0.733 GY:-0.015 GZ:0.595 | T:25.14 C
I (475395) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.961 | GX:-1.389 GY:0.137 GZ:0.595 | T:24.95 C
I (475405) mpu6050 stream: AX:-0.080 AY:0.091 AZ:-0.963 | GX:-2.183 GY:-0.321 GZ:0.595 | T:25.05 C
I (475415) mpu6050 stream: AX:-0.084 AY:0.104 AZ:-0.960 | GX:-1.771 GY:-0.031 GZ:0.550 | T:25.05 C
I (475425) mpu6050 stream: AX:-0.079 AY:0.103 AZ:-0.957 | GX:-0.336 GY:-0.214 GZ:0.916 | T:25.14 C
I (475435) mpu6050 stream: AX:-0.084 AY:0.102 AZ:-0.954 | GX:1.328 GY:0.275 GZ:1.191 | T:25.05 C
I (475445) mpu6050 stream: AX:-0.081 AY:0.095 AZ:-0.945 | GX:2.076 GY:-0.092 GZ:1.664 | T:25.05 C
I (475455) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.948 | GX:1.832 GY:0.183 GZ:1.786 | T:25.05 C
I (475465) mpu6050 stream: AX:-0.078 AY:0.083 AZ:-0.956 | GX:0.763 GY:-0.336 GZ:1.710 | T:25.05 C
I (475475) mpu6050 stream: AX:-0.074 AY:0.079 AZ:-0.944 | GX:-0.718 GY:-0.672 GZ:1.802 | T:25.14 C
I (475485) mpu6050 stream: AX:-0.084 AY:0.086 AZ:-0.946 | GX:-1.832 GY:-1.267 GZ:1.832 | T:25.05 C
I (475495) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.957 | GX:-2.000 GY:-1.511 GZ:1.756 | T:25.05 C
I (475505) mpu6050 stream: AX:-0.082 AY:0.086 AZ:-0.948 | GX:-1.206 GY:-1.405 GZ:1.908 | T:25.05 C
I (475515) mpu6050 stream: AX:-0.085 AY:0.089 AZ:-0.955 | GX:-0.107 GY:-1.099 GZ:1.924 | T:25.05 C
I (475525) mpu6050 stream: AX:-0.086 AY:0.092 AZ:-0.947 | GX:0.733 GY:-0.870 GZ:1.740 | T:25.05 C
I (475535) mpu6050 stream: AX:-0.087 AY:0.083 AZ:-0.949 | GX:1.053 GY:-0.931 GZ:1.817 | T:25.05 C
I (475545) mpu6050 stream: AX:-0.088 AY:0.091 AZ:-0.955 | GX:0.458 GY:-0.794 GZ:1.786 | T:25.05 C
I (475555) mpu6050 stream: AX:-0.086 AY:0.085 AZ:-0.957 | GX:-0.092 GY:-0.840 GZ:1.206 | T:25.05 C
I (475565) mpu6050 stream: AX:-0.089 AY:0.081 AZ:-0.951 | GX:-0.565 GY:-1.099 GZ:1.099 | T:25.14 C
I (475575) mpu6050 stream: AX:-0.083 AY:0.084 AZ:-0.947 | GX:-0.641 GY:-1.282 GZ:0.840 | T:25.14 C
I (475585) mpu6050 stream: AX:-0.088 AY:0.092 AZ:-0.952 | GX:-0.183 GY:-1.435 GZ:0.870 | T:25.05 C
I (475595) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.948 | GX:0.870 GY:-1.359 GZ:0.870 | T:25.14 C
I (475605) mpu6050 stream: AX:-0.087 AY:0.082 AZ:-0.966 | GX:1.099 GY:-1.405 GZ:0.824 | T:25.05 C
I (475615) mpu6050 stream: AX:-0.090 AY:0.087 AZ:-0.962 | GX:0.656 GY:-0.840 GZ:0.885 | T:25.05 C
I (475625) mpu6050 stream: AX:-0.092 AY:0.078 AZ:-0.966 | GX:-0.290 GY:-0.473 GZ:1.099 | T:25.05 C
I (475635) mpu6050 stream: AX:-0.092 AY:0.085 AZ:-0.956 | GX:-1.115 GY:-0.351 GZ:0.718 | T:25.05 C
I (475645) mpu6050 stream: AX:-0.091 AY:0.084 AZ:-0.948 | GX:-0.824 GY:-0.656 GZ:0.809 | T:25.05 C
I (475655) mpu6050 stream: AX:-0.085 AY:0.092 AZ:-0.964 | GX:-0.412 GY:-0.870 GZ:0.870 | T:25.14 C
I (475665) mpu6050 stream: AX:-0.088 AY:0.090 AZ:-0.957 | GX:0.321 GY:-0.397 GZ:1.313 | T:25.14 C
I (475675) mpu6050 stream: AX:-0.089 AY:0.092 AZ:-0.963 | GX:1.038 GY:-0.015 GZ:1.389 | T:25.05 C
I (475685) mpu6050 stream: AX:-0.091 AY:0.084 AZ:-0.952 | GX:0.672 GY:-0.015 GZ:1.405 | T:24.95 C
I (475695) mpu6050 stream: AX:-0.090 AY:0.085 AZ:-0.953 | GX:0.214 GY:-0.046 GZ:1.282 | T:25.09 C
I (475705) mpu6050 stream: AX:-0.087 AY:0.082 AZ:-0.953 | GX:-0.565 GY:0.260 GZ:1.313 | T:25.14 C
I (475715) mpu6050 stream: AX:-0.097 AY:0.090 AZ:-0.948 | GX:-1.084 GY:-0.031 GZ:1.206 | T:25.09 C
I (475725) mpu6050 stream: AX:-0.091 AY:0.086 AZ:-0.952 | GX:-0.824 GY:0.122 GZ:1.420 | T:25.14 C
I (475735) mpu6050 stream: AX:-0.089 AY:0.099 AZ:-0.952 | GX:-0.168 GY:0.214 GZ:1.496 | T:25.09 C
