I (248775) mpu6050 stream: AX:-0.201 AY:0.082 AZ:-0.929 | GX:-0.336 GY:-2.061 GZ:1.374 | T:25.38 C
I (248785) mpu6050 stream: AX:-0.209 AY:0.080 AZ:-0.928 | GX:-0.473 GY:-2.015 GZ:1.359 | T:25.28 C
I (248795) mpu6050 stream: AX:-0.220 AY:0.081 AZ:-0.950 | GX:-0.519 GY:-1.695 GZ:1.450 | T:25.28 C
I (248805) mpu6050 stream: AX:-0.214 AY:0.083 AZ:-0.946 | GX:-0.427 GY:-0.992 GZ:1.389 | T:25.28 C
I (248815) mpu6050 stream: AX:-0.214 AY:0.082 AZ:-0.952 | GX:-0.336 GY:-0.382 GZ:1.328 | T:25.28 C
I (248825) mpu6050 stream: AX:-0.220 AY:0.089 AZ:-0.951 | GX:0.015 GY:0.122 GZ:1.435 | T:25.19 C
I (248835) mpu6050 stream: AX:-0.218 AY:0.082 AZ:-0.950 | GX:0.336 GY:0.718 GZ:1.511 | T:25.28 C
I (248845) mpu6050 stream: AX:-0.217 AY:0.084 AZ:-0.946 | GX:0.427 GY:1.008 GZ:1.420 | T:25.28 C
I (248855) mpu6050 stream: AX:-0.202 AY:0.079 AZ:-0.936 | GX:0.214 GY:1.466 GZ:1.313 | T:25.28 C
I (248865) mpu6050 stream: AX:-0.200 AY:0.076 AZ:-0.934 | GX:0.107 GY:1.435 GZ:1.298 | T:25.28 C
I (248875) mpu6050 stream: AX:-0.205 AY:0.069 AZ:-0.929 | GX:-0.260 GY:1.206 GZ:1.252 | T:25.19 C
I (248885) mpu6050 stream: AX:-0.191 AY:0.071 AZ:-0.921 | GX:-0.519 GY:0.687 GZ:1.115 | T:25.28 C
I (248895) mpu6050 stream: AX:-0.191 AY:0.077 AZ:-0.931 | GX:-0.947 GY:0.351 GZ:0.687 | T:25.28 C
I (248905) mpu6050 stream: AX:-0.204 AY:0.083 AZ:-0.931 | GX:-1.069 GY:0.336 GZ:0.626 | T:25.19 C
I (248915) mpu6050 stream: AX:-0.208 AY:0.082 AZ:-0.929 | GX:-1.023 GY:0.382 GZ:0.412 | T:25.38 C
I (248925) mpu6050 stream: AX:-0.209 AY:0.083 AZ:-0.938 | GX:-0.702 GY:0.565 GZ:0.412 | T:25.38 C
I (248935) mpu6050 stream: AX:-0.203 AY:0.082 AZ:-0.937 | GX:-0.290 GY:0.580 GZ:0.382 | T:25.38 C
I (248945) mpu6050 stream: AX:-0.202 AY:0.080 AZ:-0.933 | GX:-0.229 GY:0.382 GZ:0.275 | T:25.19 C
I (248955) mpu6050 stream: AX:-0.199 AY:0.084 AZ:-0.932 | GX:-0.275 GY:-0.198 GZ:0.122 | T:25.19 C
I (248965) mpu6050 stream: AX:-0.201 AY:0.086 AZ:-0.928 | GX:-0.672 GY:-0.198 GZ:0.229 | T:25.28 C
I (248975) mpu6050 stream: AX:-0.205 AY:0.081 AZ:-0.936 | GX:-1.115 GY:-0.351 GZ:0.397 | T:25.28 C
I (248985) mpu6050 stream: AX:-0.206 AY:0.082 AZ:-0.940 | GX:-1.038 GY:-0.351 GZ:0.489 | T:25.28 C
I (248995) mpu6050 stream: AX:-0.206 AY:0.092 AZ:-0.946 | GX:-0.885 GY:-0.244 GZ:0.397 | T:25.28 C
I (249005) mpu6050 stream: AX:-0.206 AY:0.094 AZ:-0.937 | GX:-0.397 GY:0.015 GZ:0.733 | T:25.28 C
I (249015) mpu6050 stream: AX:-0.207 AY:0.094 AZ:-0.938 | GX:-0.107 GY:0.351 GZ:1.023 | T:25.28 C
I (249025) mpu6050 stream: AX:-0.210 AY:0.089 AZ:-0.938 | GX:0.336 GY:0.824 GZ:1.359 | T:25.28 C
I (249035) mpu6050 stream: AX:-0.211 AY:0.083 AZ:-0.937 | GX:0.153 GY:0.947 GZ:1.389 | T:25.28 C
I (249045) mpu6050 stream: AX:-0.204 AY:0.086 AZ:-0.942 | GX:-0.031 GY:1.099 GZ:1.389 | T:25.19 C
I (249055) mpu6050 stream: AX:-0.209 AY:0.087 AZ:-0.943 | GX:-0.076 GY:1.053 GZ:1.527 | T:25.28 C
I (249065) mpu6050 stream: AX:-0.206 AY:0.081 AZ:-0.936 | GX:-0.046 GY:1.069 GZ:1.389 | T:25.28 C
I (249075) mpu6050 stream: AX:-0.205 AY:0.080 AZ:-0.927 | GX:-0.076 GY:0.901 GZ:1.221 | T:25.28 C
I (249085) mpu6050 stream: AX:-0.200 AY:0.079 AZ:-0.925 | GX:-0.275 GY:0.809 GZ:1.206 | T:25.19 C
I (249095) mpu6050 stream: AX:-0.199 AY:0.082 AZ:-0.938 | GX:-0.931 GY:0.855 GZ:1.069 | T:25.28 C
I (249105) mpu6050 stream: AX:-0.194 AY:0.083 AZ:-0.933 | GX:-1.389 GY:0.779 GZ:0.885 | T:25.28 C
I (249115) mpu6050 stream: AX:-0.194 AY:0.083 AZ:-0.937 | GX:-1.557 GY:0.718 GZ:0.641 | T:25.28 C
I (249125) mpu6050 stream: AX:-0.200 AY:0.094 AZ:-0.929 | GX:-0.809 GY:0.366 GZ:0.580 | T:25.28 C
I (249135) mpu6050 stream: AX:-0.199 AY:0.099 AZ:-0.926 | GX:0.519 GY:-0.351 GZ:0.427 | T:25.28 C
I (249145) mpu6050 stream: AX:-0.199 AY:0.087 AZ:-0.925 | GX:1.435 GY:-0.809 GZ:0.443 | T:25.28 C
I (249155) mpu6050 stream: AX:-0.205 AY:0.084 AZ:-0.937 | GX:1.756 GY:-1.099 GZ:0.870 | T:25.28 C
I (249165) mpu6050 stream: AX:-0.206 AY:0.083 AZ:-0.933 | GX:1.282 GY:-0.870 GZ:0.885 | T:25.19 C
I (249175) mpu6050 stream: AX:-0.200 AY:0.075 AZ:-0.936 | GX:0.137 GY:-0.672 GZ:0.840 | T:25.38 C
I (249185) mpu6050 stream: AX:-0.206 AY:0.079 AZ:-0.930 | GX:-0.855 GY:-0.198 GZ:1.130 | T:25.28 C
I (249195) mpu6050 stream: AX:-0.203 AY:0.074 AZ:-0.937 | GX:-1.160 GY:-0.366 GZ:0.901 | T:25.14 C
I (249205) mpu6050 stream: AX:-0.211 AY:0.090 AZ:-0.947 | GX:-1.053 GY:-0.137 GZ:1.206 | T:25.24 C
I (249215) mpu6050 stream: AX:-0.206 AY:0.091 AZ:-0.934 | GX:-0.687 GY:0.061 GZ:1.130 | T:25.24 C
I (249225) mpu6050 stream: AX:-0.210 AY:0.089 AZ:-0.935 | GX:0.000 GY:0.076 GZ:1.191 | T:25.24 C
I (249235) mpu6050 stream: AX:-0.206 AY:0.089 AZ:-0.934 | GX:0.183 GY:-0.107 GZ:1.435 | T:25.24 C
I (249245) mpu6050 stream: AX:-0.205 AY:0.087 AZ:-0.933 | GX:0.183 GY:-0.183 GZ:1.298 | T:25.24 C
I (249255) mpu6050 stream: AX:-0.210 AY:0.080 AZ:-0.942 | GX:-0.076 GY:-0.214 GZ:0.992 | T:25.24 C
I (249265) mpu6050 stream: AX:-0.205 AY:0.075 AZ:-0.938 | GX:-0.366 GY:0.153 GZ:0.840 | T:25.24 C
I (249275) mpu6050 stream: AX:-0.208 AY:0.075 AZ:-0.933 | GX:-0.534 GY:0.321 GZ:0.718 | T:25.24 C
I (249285) mpu6050 stream: AX:-0.217 AY:0.074 AZ:-0.942 | GX:-0.397 GY:0.489 GZ:0.580 | T:25.24 C
I (249295) mpu6050 stream: AX:-0.209 AY:0.090 AZ:-0.937 | GX:-0.229 GY:0.427 GZ:0.656 | T:25.24 C
I (249305) mpu6050 stream: AX:-0.201 AY:0.085 AZ:-0.940 | GX:-0.214 GY:0.656 GZ:0.718 | T:25.24 C
I (249315) mpu6050 stream: AX:-0.200 AY:0.086 AZ:-0.935 | GX:-0.076 GY:0.580 GZ:0.672 | T:25.24 C
I (249325) mpu6050 stream: AX:-0.197 AY:0.083 AZ:-0.929 | GX:-0.275 GY:0.214 GZ:0.687 | T:25.24 C
I (249335) mpu6050 stream: AX:-0.202 AY:0.077 AZ:-0.933 | GX:-0.305 GY:0.046 GZ:0.580 | T:25.24 C
I (249345) mpu6050 stream: AX:-0.204 AY:0.080 AZ:-0.937 | GX:-0.962 GY:0.229 GZ:0.641 | T:25.24 C
I (249355) mpu6050 stream: AX:-0.200 AY:0.078 AZ:-0.930 | GX:-1.221 GY:0.260 GZ:0.366 | T:25.24 C
I (249365) mpu6050 stream: AX:-0.200 AY:0.081 AZ:-0.943 | GX:-1.420 GY:-0.061 GZ:0.351 | T:25.24 C
I (249375) mpu6050 stream: AX:-0.205 AY:0.084 AZ:-0.933 | GX:-1.130 GY:-0.015 GZ:0.198 | T:25.24 C
I (249385) mpu6050 stream: AX:-0.204 AY:0.092 AZ:-0.934 | GX:-0.336 GY:-0.244 GZ:0.290 | T:25.14 C
I (249395) mpu6050 stream: AX:-0.210 AY:0.088 AZ:-0.929 | GX:0.519 GY:-0.275 GZ:0.366 | T:25.24 C
I (249405) mpu6050 stream: AX:-0.203 AY:0.086 AZ:-0.943 | GX:0.626 GY:0.137 GZ:0.519 | T:25.33 C
I (249415) mpu6050 stream: AX:-0.202 AY:0.076 AZ:-0.937 | GX:0.382 GY:0.748 GZ:0.519 | T:25.33 C
I (249425) mpu6050 stream: AX:-0.205 AY:0.083 AZ:-0.944 | GX:-0.244 GY:1.023 GZ:0.427 | T:25.14 C
I (249435) mpu6050 stream: AX:-0.196 AY:0.083 AZ:-0.930 | GX:-0.840 GY:0.977 GZ:0.305 | T:25.14 C
I (249445) mpu6050 stream: AX:-0.198 AY:0.087 AZ:-0.939 | GX:-0.962 GY:0.855 GZ:0.244 | T:25.33 C
I (249455) mpu6050 stream: AX:-0.200 AY:0.083 AZ:-0.929 | GX:-1.023 GY:0.550 GZ:0.397 | T:25.24 C
I (249465) mpu6050 stream: AX:-0.198 AY:0.089 AZ:-0.933 | GX:-0.885 GY:0.336 GZ:0.305 | T:25.24 C
I (249475) mpu6050 stream: AX:-0.192 AY:0.088 AZ:-0.927 | GX:-0.397 GY:0.183 GZ:0.382 | T:25.28 C
I (249485) mpu6050 stream: AX:-0.202 AY:0.087 AZ:-0.941 | GX:-0.229 GY:-0.092 GZ:0.397 | T:25.28 C
I (249495) mpu6050 stream: AX:-0.196 AY:0.087 AZ:-0.928 | GX:0.183 GY:-0.198 GZ:0.687 | T:25.28 C
I (249505) mpu6050 stream: AX:-0.196 AY:0.084 AZ:-0.935 | GX:0.366 GY:0.122 GZ:0.519 | T:25.19 C
I (249515) mpu6050 stream: AX:-0.202 AY:0.088 AZ:-0.929 | GX:0.076 GY:-0.290 GZ:0.733 | T:25.38 C
I (249525) mpu6050 stream: AX:-0.206 AY:0.084 AZ:-0.941 | GX:-0.076 GY:-0.458 GZ:0.672 | T:25.19 C
I (249535) mpu6050 stream: AX:-0.200 AY:0.081 AZ:-0.932 | GX:-0.107 GY:-0.656 GZ:0.748 | T:25.19 C
I (249545) mpu6050 stream: AX:-0.199 AY:0.087 AZ:-0.935 | GX:0.031 GY:-0.595 GZ:0.947 | T:25.19 C
I (249555) mpu6050 stream: AX:-0.210 AY:0.084 AZ:-0.944 | GX:-0.305 GY:-0.519 GZ:1.130 | T:25.28 C
I (249565) mpu6050 stream: AX:-0.208 AY:0.083 AZ:-0.938 | GX:-0.260 GY:-0.275 GZ:1.359 | T:25.28 C
I (249575) mpu6050 stream: AX:-0.207 AY:0.082 AZ:-0.940 | GX:-0.198 GY:-0.260 GZ:1.405 | T:25.28 C
I (249585) mpu6050 stream: AX:-0.206 AY:0.085 AZ:-0.937 | GX:-0.183 GY:-0.183 GZ:1.542 | T:25.28 C
I (249595) mpu6050 stream: AX:-0.203 AY:0.086 AZ:-0.938 | GX:-0.244 GY:-0.122 GZ:1.435 | T:25.19 C
I (249605) mpu6050 stream: AX:-0.206 AY:0.085 AZ:-0.926 | GX:-0.305 GY:0.260 GZ:1.481 | T:25.19 C
I (249615) mpu6050 stream: AX:-0.203 AY:0.081 AZ:-0.933 | GX:-0.458 GY:0.321 GZ:1.557 | T:25.19 C
I (249625) mpu6050 stream: AX:-0.206 AY:0.082 AZ:-0.942 | GX:-0.641 GY:0.626 GZ:1.267 | T:25.19 C
I (249635) mpu6050 stream: AX:-0.206 AY:0.083 AZ:-0.940 | GX:-0.305 GY:0.427 GZ:1.389 | T:25.28 C
I (249645) mpu6050 stream: AX:-0.201 AY:0.081 AZ:-0.938 | GX:-0.397 GY:0.244 GZ:1.145 | T:25.19 C
I (249655) mpu6050 stream: AX:-0.204 AY:0.081 AZ:-0.928 | GX:-0.504 GY:0.275 GZ:0.962 | T:25.28 C
I (249665) mpu6050 stream: AX:-0.209 AY:0.080 AZ:-0.938 | GX:-0.458 GY:0.443 GZ:0.992 | T:25.28 C
I (249675) mpu6050 stream: AX:-0.201 AY:0.085 AZ:-0.945 | GX:-0.656 GY:0.046 GZ:0.809 | T:25.28 C
I (249685) mpu6050 stream: AX:-0.204 AY:0.087 AZ:-0.934 | GX:-0.550 GY:0.290 GZ:0.748 | T:25.28 C
I (249695) mpu6050 stream: AX:-0.205 AY:0.092 AZ:-0.933 | GX:-0.092 GY:0.397 GZ:0.901 | T:25.28 C
I (249705) mpu6050 stream: AX:-0.201 AY:0.094 AZ:-0.935 | GX:0.153 GY:0.519 GZ:0.504 | T:25.28 C
I (249715) mpu6050 stream: AX:-0.198 AY:0.088 AZ:-0.937 | GX:0.137 GY:0.198 GZ:0.458 | T:25.28 C
