I (535405) mpu6050 stream: AX:-0.076 AY:0.088 AZ:-0.957 | GX:0.611 GY:-0.168 GZ:1.389 | T:24.95 C
I (535415) mpu6050 stream: AX:-0.076 AY:0.080 AZ:-0.961 | GX:0.275 GY:-0.092 GZ:1.420 | T:24.95 C
I (535425) mpu6050 stream: AX:-0.072 AY:0.089 AZ:-0.958 | GX:-0.061 GY:0.000 GZ:1.695 | T:24.95 C
I (535435) mpu6050 stream: AX:-0.079 AY:0.077 AZ:-0.960 | GX:-0.015 GY:0.122 GZ:1.878 | T:24.95 C
I (535445) mpu6050 stream: AX:-0.075 AY:0.085 AZ:-0.960 | GX:-0.046 GY:0.290 GZ:2.046 | T:24.95 C
I (535455) mpu6050 stream: AX:-0.070 AY:0.083 AZ:-0.954 | GX:1.634 GY:0.595 GZ:1.985 | T:24.95 C
I (535465) mpu6050 stream: AX:-0.074 AY:0.082 AZ:-0.959 | GX:0.107 GY:0.626 GZ:2.443 | T:24.86 C
I (535475) mpu6050 stream: AX:-0.068 AY:0.085 AZ:-0.957 | GX:0.076 GY:0.718 GZ:1.969 | T:25.05 C
I (535485) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.957 | GX:0.168 GY:0.321 GZ:1.954 | T:24.95 C
I (535495) mpu6050 stream: AX:-0.072 AY:0.083 AZ:-0.954 | GX:0.382 GY:0.092 GZ:2.046 | T:25.00 C
I (535505) mpu6050 stream: AX:-0.070 AY:0.081 AZ:-0.955 | GX:0.137 GY:0.229 GZ:1.802 | T:24.91 C
I (535515) mpu6050 stream: AX:-0.076 AY:0.083 AZ:-0.953 | GX:-0.672 GY:0.015 GZ:1.817 | T:25.00 C
I (535525) mpu6050 stream: AX:-0.073 AY:0.087 AZ:-0.952 | GX:0.015 GY:0.290 GZ:1.588 | T:24.91 C
I (535535) mpu6050 stream: AX:-0.071 AY:0.080 AZ:-0.974 | GX:0.092 GY:0.458 GZ:1.603 | T:25.00 C
I (535545) mpu6050 stream: AX:-0.076 AY:0.086 AZ:-0.951 | GX:0.137 GY:0.336 GZ:1.344 | T:24.91 C
I (535555) mpu6050 stream: AX:-0.073 AY:0.081 AZ:-0.959 | GX:0.183 GY:0.336 GZ:1.496 | T:25.09 C
I (535565) mpu6050 stream: AX:-0.066 AY:0.083 AZ:-0.962 | GX:0.305 GY:0.656 GZ:1.511 | T:25.00 C
I (535575) mpu6050 stream: AX:-0.073 AY:0.089 AZ:-0.947 | GX:0.656 GY:0.397 GZ:1.649 | T:25.00 C
I (535585) mpu6050 stream: AX:-0.063 AY:0.079 AZ:-0.946 | GX:0.412 GY:0.244 GZ:1.634 | T:25.00 C
I (535595) mpu6050 stream: AX:-0.072 AY:0.084 AZ:-0.954 | GX:0.244 GY:-0.229 GZ:1.649 | T:25.00 C
I (535605) mpu6050 stream: AX:-0.072 AY:0.073 AZ:-0.953 | GX:0.260 GY:-0.092 GZ:1.679 | T:25.00 C
I (535615) mpu6050 stream: AX:-0.072 AY:0.083 AZ:-0.951 | GX:0.076 GY:-0.641 GZ:1.481 | T:24.91 C
I (535625) mpu6050 stream: AX:-0.071 AY:0.088 AZ:-0.959 | GX:-0.229 GY:-1.084 GZ:1.649 | T:25.00 C
I (535635) mpu6050 stream: AX:-0.068 AY:0.082 AZ:-0.966 | GX:0.076 GY:-0.916 GZ:1.542 | T:25.00 C
I (535645) mpu6050 stream: AX:-0.075 AY:0.080 AZ:-0.955 | GX:0.366 GY:-0.244 GZ:1.603 | T:24.91 C
I (535655) mpu6050 stream: AX:-0.076 AY:0.079 AZ:-0.964 | GX:0.687 GY:0.382 GZ:1.466 | T:25.00 C
I (535665) mpu6050 stream: AX:-0.074 AY:0.075 AZ:-0.956 | GX:0.412 GY:0.351 GZ:1.618 | T:25.00 C
I (535675) mpu6050 stream: AX:-0.076 AY:0.072 AZ:-0.964 | GX:-0.336 GY:0.565 GZ:1.481 | T:25.00 C
I (535685) mpu6050 stream: AX:-0.067 AY:0.080 AZ:-0.962 | GX:-1.130 GY:0.321 GZ:1.298 | T:25.00 C
I (535695) mpu6050 stream: AX:-0.073 AY:0.084 AZ:-0.972 | GX:-1.924 GY:0.718 GZ:1.191 | T:25.00 C
I (535705) mpu6050 stream: AX:-0.076 AY:0.089 AZ:-0.967 | GX:-1.466 GY:0.916 GZ:1.313 | T:25.00 C
I (535715) mpu6050 stream: AX:-0.071 AY:0.090 AZ:-0.954 | GX:-0.260 GY:1.237 GZ:1.145 | T:24.91 C
I (535725) mpu6050 stream: AX:-0.070 AY:0.090 AZ:-0.950 | GX:1.313 GY:1.237 GZ:1.420 | T:25.00 C
I (535735) mpu6050 stream: AX:-0.070 AY:0.076 AZ:-0.944 | GX:2.000 GY:0.931 GZ:1.557 | T:25.00 C
I (535745) mpu6050 stream: AX:-0.068 AY:0.071 AZ:-0.947 | GX:1.710 GY:0.962 GZ:1.481 | T:25.00 C
I (535755) mpu6050 stream: AX:-0.068 AY:0.074 AZ:-0.950 | GX:0.473 GY:0.427 GZ:1.328 | T:25.00 C
I (535765) mpu6050 stream: AX:-0.072 AY:0.066 AZ:-0.950 | GX:-0.992 GY:0.122 GZ:0.885 | T:25.00 C
I (535775) mpu6050 stream: AX:-0.065 AY:0.079 AZ:-0.946 | GX:-1.725 GY:-0.565 GZ:0.931 | T:25.00 C
I (535785) mpu6050 stream: AX:-0.077 AY:0.080 AZ:-0.951 | GX:-1.527 GY:-0.397 GZ:0.763 | T:25.00 C
I (535795) mpu6050 stream: AX:-0.074 AY:0.081 AZ:-0.949 | GX:-0.641 GY:-0.244 GZ:0.687 | T:25.00 C
I (535805) mpu6050 stream: AX:-0.075 AY:0.086 AZ:-0.959 | GX:0.565 GY:-0.321 GZ:0.748 | T:24.91 C
I (535815) mpu6050 stream: AX:-0.071 AY:0.081 AZ:-0.960 | GX:1.038 GY:0.229 GZ:0.916 | T:24.91 C
I (535825) mpu6050 stream: AX:-0.079 AY:0.082 AZ:-0.970 | GX:0.901 GY:0.351 GZ:0.916 | T:25.00 C
I (535835) mpu6050 stream: AX:-0.077 AY:0.084 AZ:-0.966 | GX:0.275 GY:0.351 GZ:0.840 | T:25.00 C
I (535845) mpu6050 stream: AX:-0.071 AY:0.085 AZ:-0.960 | GX:-0.397 GY:0.519 GZ:0.809 | T:24.91 C
I (535855) mpu6050 stream: AX:-0.082 AY:0.085 AZ:-0.955 | GX:-0.702 GY:0.626 GZ:0.824 | T:25.00 C
I (535865) mpu6050 stream: AX:-0.073 AY:0.082 AZ:-0.952 | GX:-0.427 GY:0.702 GZ:0.672 | T:24.91 C
I (535875) mpu6050 stream: AX:-0.073 AY:0.090 AZ:-0.950 | GX:0.244 GY:0.870 GZ:0.763 | T:25.09 C
I (535885) mpu6050 stream: AX:-0.071 AY:0.084 AZ:-0.956 | GX:0.947 GY:0.687 GZ:0.947 | T:24.91 C
I (535895) mpu6050 stream: AX:-0.075 AY:0.082 AZ:-0.966 | GX:0.565 GY:1.023 GZ:0.885 | T:24.91 C
I (535905) mpu6050 stream: AX:-0.075 AY:0.078 AZ:-0.970 | GX:0.031 GY:1.221 GZ:0.947 | T:25.00 C
I (535915) mpu6050 stream: AX:-0.076 AY:0.079 AZ:-0.964 | GX:-0.641 GY:1.328 GZ:0.870 | T:25.09 C
I (535925) mpu6050 stream: AX:-0.067 AY:0.093 AZ:-0.959 | GX:-0.595 GY:1.252 GZ:0.870 | T:25.00 C
I (535935) mpu6050 stream: AX:-0.064 AY:0.091 AZ:-0.957 | GX:0.137 GY:0.962 GZ:0.885 | T:25.00 C
I (535945) mpu6050 stream: AX:-0.064 AY:0.089 AZ:-0.955 | GX:1.008 GY:0.992 GZ:1.435 | T:25.00 C
I (535955) mpu6050 stream: AX:-0.071 AY:0.090 AZ:-0.956 | GX:1.939 GY:1.374 GZ:1.496 | T:25.00 C
I (535965) mpu6050 stream: AX:-0.078 AY:0.080 AZ:-0.959 | GX:2.107 GY:1.679 GZ:1.618 | T:25.09 C
I (535975) mpu6050 stream: AX:-0.061 AY:0.077 AZ:-0.945 | GX:1.695 GY:1.053 GZ:1.954 | T:25.00 C
I (535985) mpu6050 stream: AX:-0.068 AY:0.073 AZ:-0.950 | GX:0.687 GY:0.779 GZ:1.832 | T:25.00 C
I (535995) mpu6050 stream: AX:-0.062 AY:0.073 AZ:-0.957 | GX:-0.214 GY:0.550 GZ:1.786 | T:25.05 C
I (536005) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.948 | GX:-0.626 GY:-0.031 GZ:2.046 | T:25.05 C
I (536015) mpu6050 stream: AX:-0.071 AY:0.085 AZ:-0.953 | GX:-0.473 GY:-0.046 GZ:2.153 | T:25.05 C
I (536025) mpu6050 stream: AX:-0.062 AY:0.085 AZ:-0.961 | GX:0.290 GY:0.122 GZ:2.137 | T:24.95 C
I (536035) mpu6050 stream: AX:-0.071 AY:0.077 AZ:-0.966 | GX:0.809 GY:0.275 GZ:2.305 | T:24.95 C
I (536045) mpu6050 stream: AX:-0.067 AY:0.083 AZ:-0.959 | GX:1.191 GY:0.550 GZ:2.336 | T:24.95 C
I (536055) mpu6050 stream: AX:-0.069 AY:0.076 AZ:-0.958 | GX:1.191 GY:0.305 GZ:2.290 | T:25.05 C
I (536065) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.953 | GX:0.611 GY:0.198 GZ:2.397 | T:24.95 C
I (536075) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.956 | GX:0.244 GY:0.076 GZ:2.198 | T:25.05 C
I (536085) mpu6050 stream: AX:-0.070 AY:0.080 AZ:-0.958 | GX:0.046 GY:-0.061 GZ:2.305 | T:24.95 C
