I (651705) mpu6050 stream: AX:0.026 AY:0.076 AZ:-0.963 | GX:-0.366 GY:-0.763 GZ:1.252 | T:25.00 C
I (651715) mpu6050 stream: AX:0.021 AY:0.074 AZ:-0.970 | GX:-0.366 GY:-0.626 GZ:1.313 | T:25.00 C
I (651725) mpu6050 stream: AX:0.017 AY:0.073 AZ:-0.966 | GX:-0.290 GY:-0.122 GZ:0.702 | T:25.00 C
I (651735) mpu6050 stream: AX:0.016 AY:0.073 AZ:-0.964 | GX:-0.137 GY:0.229 GZ:0.855 | T:25.00 C
I (651745) mpu6050 stream: AX:0.026 AY:0.076 AZ:-0.959 | GX:0.336 GY:0.305 GZ:0.656 | T:25.00 C
I (651755) mpu6050 stream: AX:0.029 AY:0.079 AZ:-0.974 | GX:0.244 GY:0.656 GZ:0.504 | T:25.00 C
I (651765) mpu6050 stream: AX:0.027 AY:0.066 AZ:-0.969 | GX:-0.382 GY:0.885 GZ:0.473 | T:25.00 C
I (651775) mpu6050 stream: AX:0.028 AY:0.078 AZ:-0.968 | GX:-0.855 GY:0.885 GZ:0.229 | T:25.05 C
I (651785) mpu6050 stream: AX:0.031 AY:0.078 AZ:-0.961 | GX:-1.130 GY:0.473 GZ:0.076 | T:25.00 C
I (651795) mpu6050 stream: AX:0.033 AY:0.083 AZ:-0.949 | GX:-0.534 GY:0.214 GZ:0.321 | T:24.95 C
I (651805) mpu6050 stream: AX:0.038 AY:0.084 AZ:-0.953 | GX:0.137 GY:0.031 GZ:0.489 | T:24.95 C
I (651815) mpu6050 stream: AX:0.032 AY:0.084 AZ:-0.953 | GX:0.718 GY:-0.489 GZ:0.580 | T:24.95 C
I (651825) mpu6050 stream: AX:0.025 AY:0.080 AZ:-0.964 | GX:0.595 GY:-0.550 GZ:0.779 | T:25.05 C
I (651835) mpu6050 stream: AX:0.026 AY:0.078 AZ:-0.972 | GX:0.107 GY:-0.153 GZ:0.794 | T:24.95 C
I (651845) mpu6050 stream: AX:0.024 AY:0.068 AZ:-0.970 | GX:-0.321 GY:-0.046 GZ:0.718 | T:24.95 C
I (651855) mpu6050 stream: AX:0.029 AY:0.073 AZ:-0.948 | GX:-0.550 GY:0.290 GZ:0.947 | T:24.95 C
I (651865) mpu6050 stream: AX:0.029 AY:0.079 AZ:-0.955 | GX:-0.519 GY:0.290 GZ:1.008 | T:24.95 C
I (651875) mpu6050 stream: AX:0.027 AY:0.082 AZ:-0.964 | GX:-0.412 GY:0.275 GZ:1.313 | T:25.05 C
I (651885) mpu6050 stream: AX:0.030 AY:0.082 AZ:-0.954 | GX:0.015 GY:0.015 GZ:1.420 | T:24.95 C
I (651895) mpu6050 stream: AX:0.035 AY:0.076 AZ:-0.954 | GX:0.214 GY:0.153 GZ:1.420 | T:24.95 C
I (651905) mpu6050 stream: AX:0.028 AY:0.071 AZ:-0.959 | GX:0.305 GY:0.076 GZ:1.496 | T:25.05 C
I (651915) mpu6050 stream: AX:0.035 AY:0.075 AZ:-0.970 | GX:0.214 GY:-0.137 GZ:1.298 | T:25.05 C
I (651925) mpu6050 stream: AX:0.028 AY:0.075 AZ:-0.959 | GX:0.137 GY:-0.412 GZ:0.977 | T:24.95 C
I (651935) mpu6050 stream: AX:0.025 AY:0.074 AZ:-0.964 | GX:-0.046 GY:-0.061 GZ:1.053 | T:24.95 C
I (651945) mpu6050 stream: AX:0.019 AY:0.077 AZ:-0.960 | GX:0.046 GY:-0.168 GZ:0.916 | T:24.95 C
I (651955) mpu6050 stream: AX:0.031 AY:0.078 AZ:-0.961 | GX:0.275 GY:0.107 GZ:0.947 | T:24.95 C
I (651965) mpu6050 stream: AX:0.030 AY:0.075 AZ:-0.960 | GX:0.290 GY:0.061 GZ:0.977 | T:25.05 C
I (651975) mpu6050 stream: AX:0.026 AY:0.077 AZ:-0.965 | GX:0.595 GY:-0.015 GZ:0.885 | T:24.95 C
I (651985) mpu6050 stream: AX:0.029 AY:0.080 AZ:-0.954 | GX:0.489 GY:0.168 GZ:0.855 | T:24.95 C
I (651995) mpu6050 stream: AX:0.031 AY:0.077 AZ:-0.955 | GX:0.260 GY:0.000 GZ:0.947 | T:24.95 C
I (652005) mpu6050 stream: AX:0.025 AY:0.081 AZ:-0.971 | GX:0.000 GY:0.153 GZ:1.038 | T:24.95 C
I (652015) mpu6050 stream: AX:0.028 AY:0.075 AZ:-0.957 | GX:-0.076 GY:0.321 GZ:1.038 | T:24.95 C
I (652025) mpu6050 stream: AX:0.027 AY:0.076 AZ:-0.956 | GX:-0.015 GY:0.183 GZ:1.099 | T:25.14 C
I (652035) mpu6050 stream: AX:0.028 AY:0.080 AZ:-0.954 | GX:0.229 GY:-0.076 GZ:0.992 | T:25.05 C
I (652045) mpu6050 stream: AX:0.030 AY:0.081 AZ:-0.958 | GX:0.214 GY:0.122 GZ:1.191 | T:24.86 C
I (652055) mpu6050 stream: AX:0.025 AY:0.079 AZ:-0.962 | GX:0.275 GY:0.061 GZ:1.313 | T:24.95 C
I (652065) mpu6050 stream: AX:0.036 AY:0.079 AZ:-0.955 | GX:0.229 GY:0.092 GZ:1.344 | T:25.05 C
I (652075) mpu6050 stream: AX:0.029 AY:0.074 AZ:-0.968 | GX:0.092 GY:0.122 GZ:1.069 | T:25.00 C
I (652085) mpu6050 stream: AX:0.025 AY:0.072 AZ:-0.965 | GX:-0.153 GY:0.092 GZ:1.298 | T:25.09 C
I (652095) mpu6050 stream: AX:0.029 AY:0.081 AZ:-0.968 | GX:0.000 GY:0.260 GZ:1.176 | T:25.00 C
I (652105) mpu6050 stream: AX:0.024 AY:0.083 AZ:-0.958 | GX:0.015 GY:-0.092 GZ:1.099 | T:24.91 C
I (652115) mpu6050 stream: AX:0.027 AY:0.081 AZ:-0.956 | GX:0.214 GY:0.015 GZ:0.962 | T:25.00 C
I (652125) mpu6050 stream: AX:0.024 AY:0.078 AZ:-0.965 | GX:0.412 GY:-0.137 GZ:1.115 | T:24.91 C
I (652135) mpu6050 stream: AX:0.029 AY:0.076 AZ:-0.958 | GX:0.229 GY:-0.153 GZ:1.008 | T:25.09 C
I (652145) mpu6050 stream: AX:0.032 AY:0.076 AZ:-0.963 | GX:0.015 GY:-0.489 GZ:0.885 | T:24.91 C
I (652155) mpu6050 stream: AX:0.031 AY:0.074 AZ:-0.959 | GX:-0.275 GY:-0.489 GZ:0.702 | T:25.00 C
I (652165) mpu6050 stream: AX:0.032 AY:0.074 AZ:-0.963 | GX:-0.412 GY:-0.534 GZ:0.779 | T:25.00 C
I (652175) mpu6050 stream: AX:0.018 AY:0.075 AZ:-0.965 | GX:-0.153 GY:-0.412 GZ:0.901 | T:25.00 C
I (652185) mpu6050 stream: AX:0.016 AY:0.080 AZ:-0.964 | GX:0.061 GY:-0.107 GZ:0.901 | T:25.00 C
I (652195) mpu6050 stream: AX:0.021 AY:0.072 AZ:-0.968 | GX:0.092 GY:0.397 GZ:0.779 | T:25.00 C
I (652205) mpu6050 stream: AX:0.033 AY:0.078 AZ:-0.963 | GX:0.153 GY:0.504 GZ:0.626 | T:24.91 C
I (652215) mpu6050 stream: AX:0.026 AY:0.075 AZ:-0.969 | GX:-0.595 GY:0.504 GZ:0.611 | T:25.00 C
I (652225) mpu6050 stream: AX:0.030 AY:0.079 AZ:-0.969 | GX:-1.130 GY:0.672 GZ:0.382 | T:25.00 C
